========================================
Signal Sender Workload (Synchronized)
========================================
Initializing shared memory...
Waiting for speedometer to register...
Found speedometer in shared memory!
Sending START command to speedometer: START: 15;5;20

Running workload signal period for 15 seconds...

Workload signal period completed.
Sending STOP command to speedometer...
Waiting for statistics from speedometer...

Stress workload terminated.
===VMSTAT_START===
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 152528   3676  28500    0    0    81     9   82   51  7 14 79  0  0
 0  0      0 152528   3676  28500    0    0     0     0   11   15  0  0 100  0  0
 1  0      0 152528   3676  28500    0    0     0     0   14   15  0  0 100  0  0
 2  0      0 152528   3676  28500    0    0     0    48   17   18  0  0 100  0  0
 0  0      0 152528   3676  28500    0    0     0   124   34   34  0  1 98  2  0
 0  0      0 152528   3676  28500    0    0     0     0   18   19  0  1 100  0  0
 0  0      0 152528   3676  28500    0    0     0     0   14   19  0  0 100  0  0
 0  0      0 152528   3676  28500    0    0     0     0   14   16  0  0 100  0  0
 1  0      0 152528   3676  28500    0    0     0     0   16   19  0  0 100  0  0
 0  0      0 152528   3676  28500    0    0     0     0   14   19  0  1 100  0  0
 0  0      0 152528   3676  28500    0    0     0     0   15   17  0  0 100  0  0
 0  0      0 152528   3676  28500    0    0     0     0   17   20  0  1 100  0  0
 0  0      0 152528   3676  28500    0    0     0     0   16   19  0  0 100  0  0
 0  0      0 152528   3676  28500    0    0     0     0   12   14  0  0 100  0  0
 0  0      0 152528   3676  28500    0    0     0     0   13   18  0  0 100  0  0
 1  0      0 152528   3676  28500    0    0     0     0   20   24  0  1 99  0  0
 0  0      0 152528   3676  28500    0    0     0     0   38   33  1  2 97  0  0
===VMSTAT_END===
========== SPEEDOMETER RT APPLICATION RESULTS ==========
Test Configuration:
Period: 50.000 ms
Deadline: 5.000 ms
RT Priority: 99 (SCHED_FIFO)
Execution Statistics:
Total cycles: 300
Deadline misses: 1 (0.333%)
Execution Time (μs):
Mean: 209.250
Min: 153.648
Max: 335.680
50th percentile: 202.736
95th percentile: 285.600
99th percentile: 314.896
99.9th percentile: 335.680
Jitter (μs):
Mean: 1560.860
Min: 1351.344
Max: 4935.904
Response Time (μs):
Mean: 1770.110
Min: 1530.816
Max: 5103.952
50th percentile: 1722.304
95th percentile: 2057.648
99th percentile: 2784.000
99.9th percentile: 5103.952
========================================================
===VMSTAT_START===
(no vmstat data captured)
===VMSTAT_END===
===CSV_START===
cycle,timestamp_s,execution_time_us,jitter_us,response_time_us,deadline_miss
1,0.051847,210.384,1847.264,2057.648,0
2,0.101454,249.856,1454.096,1703.952,0
3,0.151533,171.984,1533.232,1705.216,0
4,0.201462,153.648,1461.904,1615.552,0
5,0.251438,171.056,1438.032,1609.088,0
6,0.301531,206.048,1531.424,1737.472,0
7,0.351444,173.984,1444.416,1618.400,0
8,0.401386,184.784,1386.448,1571.232,0
9,0.451386,189.440,1385.696,1575.136,0
10,0.501400,209.456,1399.984,1609.440,0
11,0.551545,259.584,1545.440,1805.024,0
12,0.601504,167.920,1503.504,1671.424,0
13,0.651452,185.712,1451.936,1637.648,0
14,0.701551,254.128,1551.376,1805.504,0
15,0.751500,172.976,1500.496,1673.472,0
16,0.801460,219.200,1459.568,1678.768,0
17,0.851398,171.632,1397.824,1569.456,0
18,0.901378,173.152,1377.552,1550.704,0
19,0.951469,219.584,1468.944,1688.528,0
20,1.001364,205.504,1363.872,1569.376,0
21,1.051612,176.144,1611.808,1787.952,0
22,1.101449,179.488,1448.528,1628.016,0
23,1.151464,248.864,1463.904,1712.768,0
24,1.201897,190.560,1896.848,2087.408,0
25,1.251921,226.688,1921.040,2147.728,0
26,1.301661,219.744,1660.640,1880.384,0
27,1.351677,174.976,1676.624,1851.600,0
28,1.401542,236.752,1542.096,1778.848,0
29,1.451633,220.256,1633.280,1853.536,0
30,1.501488,169.680,1487.632,1657.312,0
31,1.551715,237.600,1715.024,1952.624,0
32,1.601519,177.200,1519.136,1696.336,0
33,1.651516,165.184,1516.256,1681.440,0
34,1.701402,192.032,1402.016,1594.048,0
35,1.751521,164.800,1520.928,1685.728,0
36,1.801433,193.664,1433.440,1627.104,0
37,1.851535,187.104,1535.200,1722.304,0
38,1.901414,171.264,1413.600,1584.864,0
39,1.951565,210.352,1564.832,1775.184,0
40,2.001641,228.016,1640.592,1868.608,0
41,2.052076,217.328,2075.792,2293.120,0
42,2.101878,209.392,1877.712,2087.104,0
43,2.151716,264.736,1716.032,1980.768,0
44,2.201580,177.056,1580.176,1757.232,0
45,2.251669,193.888,1668.816,1862.704,0
46,2.301576,172.176,1576.240,1748.416,0
47,2.351504,257.168,1503.776,1760.944,0
48,2.401602,173.680,1602.336,1776.016,0
49,2.451807,188.096,1806.832,1994.928,0
50,2.501644,155.520,1643.936,1799.456,0
51,2.551384,186.352,1383.728,1570.080,0
52,2.601630,212.992,1629.968,1842.960,0
53,2.651605,239.648,1604.896,1844.544,0
54,2.701532,191.712,1531.632,1723.344,0
55,2.751618,164.080,1617.824,1781.904,0
56,2.801472,166.448,1472.432,1638.880,0
