========================================
Signal Sender Workload (Synchronized)
========================================
Initializing shared memory...
Waiting for speedometer to register...
Found speedometer in shared memory!
Sending START command to speedometer: START: 15;5;20

Running workload signal period for 15 seconds...

Workload signal period completed.
Sending STOP command to speedometer...
Waiting for statistics from speedometer...

Stress workload terminated.
===VMSTAT_START===
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 152508   3704  28496    0    0    46     8   64   39  6 11 84  0  0
 0  0      0 152508   3704  28500    0    0     0     0   15   23  0  0 99  0  0
 0  0      0 152508   3704  28500    0    0     0     0   10   12  0  0 100  0  0
 1  0      0 152508   3704  28500    0    0     0     0   15   17  0  0 100  0  0
 0  0      0 152508   3704  28500    0    0     0    48   18   18  0  0 100  0  0
 0  0      0 152508   3712  28500    0    0     0   124   31   34  0  1 97  2  0
 0  0      0 152508   3712  28500    0    0     0     0   18   18  0  0 100  0  0
 0  0      0 152508   3712  28500    0    0     0     0   12   14  0  0 100  0  0
 1  0      0 152508   3712  28500    0    0     0     0   17   18  0  0 100  0  0
 1  0      0 152508   3712  28500    0    0     0     0   17   18  0  0 100  0  0
 0  0      0 152508   3712  28500    0    0     0     0   11   16  0  0 100  0  0
 0  0      0 152508   3712  28500    0    0     0     0   14   16  0  0 100  0  0
 0  0      0 152508   3712  28500    0    0     0     0   14   16  0  0 100  0  0
 0  0      0 152508   3712  28500    0    0     0     0   15   18  0  0 100  0  0
 0  0      0 152508   3712  28500    0    0     0     0   17   18  0  0 100  0  0
 1  0      0 152508   3712  28500    0    0     0     0   31   30  0  2 97  0  0
 2  0      0 152508   3712  28500    0    0     0     0   28   32  0  1 99  0  0
===VMSTAT_END===
========== SPEEDOMETER RT APPLICATION RESULTS ==========
Test Configuration:
Period: 50.000 ms
Deadline: 5.000 ms
RT Priority: 99 (SCHED_FIFO)
Execution Statistics:
Total cycles: 300
Deadline misses: 0 (0.000%)
Execution Time (μs):
Mean: 209.255
Min: 151.760
Max: 1198.432
50th percentile: 201.584
95th percentile: 276.560
99th percentile: 320.320
99.9th percentile: 1198.432
Jitter (μs):
Mean: 1410.750
Min: 1096.576
Max: 3339.344
Response Time (μs):
Mean: 1620.005
Min: 1266.592
Max: 3591.600
50th percentile: 1457.808
95th percentile: 2519.552
99th percentile: 2685.216
99.9th percentile: 3591.600
========================================================
===VMSTAT_START===
(no vmstat data captured)
===VMSTAT_END===
===CSV_START===
cycle,timestamp_s,execution_time_us,jitter_us,response_time_us,deadline_miss
1,0.051554,216.000,1554.080,1770.080,0
2,0.101383,203.056,1383.360,1586.416,0
3,0.151286,257.232,1286.432,1543.664,0
4,0.201155,212.672,1155.056,1367.728,0
5,0.252346,166.704,2345.856,2512.560,0
6,0.301260,220.528,1260.224,1480.752,0
7,0.351200,213.584,1199.632,1413.216,0
8,0.401177,209.552,1177.360,1386.912,0
9,0.451215,195.952,1215.472,1411.424,0
10,0.501199,183.616,1198.576,1382.192,0
11,0.551190,221.088,1190.144,1411.232,0
12,0.601296,251.632,1295.728,1547.360,0
13,0.651144,224.576,1143.568,1368.144,0
14,0.701348,185.296,1347.696,1532.992,0
15,0.751289,263.184,1288.512,1551.696,0
16,0.801261,221.104,1261.184,1482.288,0
17,0.851245,187.856,1244.656,1432.512,0
18,0.901290,182.256,1290.416,1472.672,0
19,0.951255,222.704,1254.784,1477.488,0
20,1.001345,164.464,1344.960,1509.424,0
21,1.051346,219.504,1346.352,1565.856,0
22,1.101487,1198.432,1487.024,2685.456,0
23,1.151415,249.216,1415.072,1664.288,0
24,1.201285,230.208,1285.040,1515.248,0
25,1.251262,234.320,1262.208,1496.528,0
26,1.301289,172.912,1289.312,1462.224,0
27,1.351289,269.088,1289.216,1558.304,0
28,1.401310,174.672,1309.728,1484.400,0
29,1.451225,170.496,1224.784,1395.280,0
30,1.501169,171.104,1168.704,1339.808,0
31,1.551289,184.384,1288.512,1472.896,0
32,1.601189,197.248,1188.656,1385.904,0
33,1.651298,162.048,1298.464,1460.512,0
34,1.701236,213.472,1235.968,1449.440,0
35,1.751212,153.456,1212.000,1365.456,0
36,1.801298,202.800,1297.536,1500.336,0
37,1.851147,219.776,1147.328,1367.104,0
38,1.901134,225.264,1134.032,1359.296,0
39,1.953339,252.256,3339.344,3591.600,0
40,2.001185,224.752,1184.688,1409.440,0
41,2.051180,190.272,1180.320,1370.592,0
42,2.101351,184.528,1350.544,1535.072,0
43,2.152361,163.856,2360.784,2524.640,0
44,2.201266,220.704,1266.192,1486.896,0
45,2.251263,152.368,1263.472,1415.840,0
46,2.301185,189.776,1185.488,1375.264,0
47,2.351181,173.200,1181.136,1354.336,0
48,2.401176,193.760,1176.032,1369.792,0
49,2.452175,171.168,2174.960,2346.128,0
50,2.501163,196.480,1162.880,1359.360,0
51,2.552199,190.544,2199.232,2389.776,0
52,2.601187,235.632,1187.168,1422.800,0
53,2.651389,163.792,1388.672,1552.464,0
54,2.701281,203.840,1281.296,1485.136,0
55,2.751341,168.240,1340.752,1508.992,0
56,2.801258,215.920,1258.400,1474.320,0
