========================================
Signal Sender Workload (Synchronized)
========================================
Initializing shared memory...
Waiting for speedometer to register...
Found speedometer in shared memory!
Sending START command to speedometer: START: 15;5;20

Running workload signal period for 15 seconds...

Workload signal period completed.
Sending STOP command to speedometer...
Waiting for statistics from speedometer...

Stress workload terminated.
===VMSTAT_START===
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 152468   3728  28500    0    0    40     8   61   36  5 10 84  0  0
 0  0      0 152468   3728  28500    0    0     0     0   20   25  0  0 100  0  0
 0  0      0 152468   3728  28500    0    0     0     0   12   13  0  0 100  0  0
 0  0      0 152468   3728  28500    0    0     0     0   15   21  0  0 99  0  0
 0  0      0 152468   3736  28500    0    0     0   124   23   32  0  0 98  2  0
 0  0      0 152468   3736  28500    0    0     0     0   20   21  0  0 100  0  0
 0  0      0 152468   3736  28500    0    0     0     0   16   16  0  0 100  0  0
 1  0      0 152468   3736  28500    0    0     0     0   15   16  0  0 100  0  0
 0  0      0 152468   3736  28500    0    0     0     0   13   21  0  0 100  0  0
 1  0      0 152468   3736  28500    0    0     0     0   21   21  0  0 100  0  0
 0  0      0 152468   3736  28500    0    0     0     0   13   16  0  0 100  0  0
 0  0      0 152468   3736  28500    0    0     0     0   16   17  0  0 100  0  0
 0  0      0 152468   3736  28500    0    0     0     0   18   20  1  0 100  0  0
 0  0      0 152468   3736  28500    0    0     0     0   12   17  0  0 100  0  0
 0  0      0 152468   3736  28500    0    0     0     0   12   14  0  0 99  0  0
 1  0      0 152468   3736  28500    0    0     0     0   20   25  0  1 99  0  0
 0  0      0 152468   3736  28500    0    0     0     0   30   34  0  1 99  0  0
===VMSTAT_END===
========== SPEEDOMETER RT APPLICATION RESULTS ==========
Test Configuration:
Period: 50.000 ms
Deadline: 5.000 ms
RT Priority: 99 (SCHED_FIFO)
Execution Statistics:
Total cycles: 300
Deadline misses: 0 (0.000%)
Execution Time (μs):
Mean: 246.085
Min: 152.256
Max: 1577.376
50th percentile: 198.816
95th percentile: 309.824
99th percentile: 1292.688
99.9th percentile: 1577.376
Jitter (μs):
Mean: 1485.005
Min: 1125.600
Max: 3711.056
Response Time (μs):
Mean: 1731.090
Min: 1310.272
Max: 3997.312
50th percentile: 1501.760
95th percentile: 3392.016
99th percentile: 3989.008
99.9th percentile: 3997.312
========================================================
===VMSTAT_START===
(no vmstat data captured)
===VMSTAT_END===
===CSV_START===
cycle,timestamp_s,execution_time_us,jitter_us,response_time_us,deadline_miss
1,0.052897,207.216,2896.544,3103.760,0
2,0.101574,266.944,1574.192,1841.136,0
3,0.152347,175.424,2346.896,2522.320,0
4,0.201295,172.960,1294.528,1467.488,0
5,0.251369,187.504,1368.752,1556.256,0
6,0.301294,204.256,1294.160,1498.416,0
7,0.353468,172.608,3468.000,3640.608,0
8,0.402326,1066.352,2325.664,3392.016,0
9,0.451330,184.560,1329.520,1514.080,0
10,0.501302,199.744,1302.352,1502.096,0
11,0.551215,195.040,1214.992,1410.032,0
12,0.601258,200.912,1258.320,1459.232,0
13,0.651301,214.816,1300.752,1515.568,0
14,0.701375,196.704,1375.280,1571.984,0
15,0.752305,164.544,2305.408,2469.952,0
16,0.801298,168.224,1297.792,1466.016,0
17,0.851281,164.864,1281.280,1446.144,0
18,0.901284,165.184,1283.856,1449.040,0
19,0.951329,164.096,1328.736,1492.832,0
20,1.001184,260.960,1183.744,1444.704,0
21,1.051311,195.920,1310.512,1506.432,0
22,1.101436,216.112,1436.112,1652.224,0
23,1.151323,223.008,1322.576,1545.584,0
24,1.201292,167.264,1291.712,1458.976,0
25,1.251381,186.672,1381.472,1568.144,0
26,1.302343,1177.616,2342.672,3520.288,0
27,1.351163,242.272,1163.248,1405.520,0
28,1.401459,205.792,1458.960,1664.752,0
29,1.452536,169.392,2535.760,2705.152,0
30,1.502357,1126.384,2356.624,3483.008,0
31,1.551421,164.064,1421.216,1585.280,0
32,1.601312,157.744,1312.016,1469.760,0
33,1.651451,191.968,1450.512,1642.480,0
34,1.701323,161.520,1322.688,1484.208,0
35,1.751353,182.720,1353.216,1535.936,0
36,1.801247,190.384,1247.296,1437.680,0
37,1.851240,165.872,1240.032,1405.904,0
38,1.901466,209.632,1465.824,1675.456,0
39,1.951337,174.384,1336.880,1511.264,0
40,2.001382,165.920,1382.480,1548.400,0
41,2.052357,159.712,2356.720,2516.432,0
42,2.101242,175.104,1241.568,1416.672,0
43,2.151289,195.776,1289.168,1484.944,0
44,2.201143,249.344,1142.912,1392.256,0
45,2.251429,191.104,1428.896,1620.000,0
46,2.301297,172.896,1296.848,1469.744,0
47,2.351319,175.808,1318.720,1494.528,0
48,2.401387,239.424,1386.816,1626.240,0
49,2.452284,174.320,2284.160,2458.480,0
50,2.501300,164.928,1299.904,1464.832,0
51,2.551337,190.144,1336.608,1526.752,0
52,2.601290,192.544,1290.128,1482.672,0
53,2.651443,173.760,1442.624,1616.384,0
54,2.701440,212.976,1439.584,1652.560,0
55,2.751331,201.008,1331.056,1532.064,0
56,2.801306,172.448,1306.080,1478.528,0
57,2.851239,203.840,1238.544,1442.384,0
58,2.901283,180.832,1282.656,1463.488,0
59,2.951261,254.912,1261.232,1516.144,0
60,3.001344,201.440,1343.680,1545.120,0
61,3.051471,227.056,1470.736,1697.792,0
62,3.101763,261.984,1763.008,2024.992,0
63,3.153302,173.392,3302.400,3475.792,0
64,3.201340,202.416,1339.536,1541.952,0
65,3.252321,193.392,2321.360,2514.752,0
66,3.301290,199.696,1289.744,1489.440,0
67,3.351375,185.904,1374.704,1560.608,0
68,3.402459,987.296,2458.944,3446.240,0
69,3.451311,190.480,1311.280,1501.760,0
70,3.501311,227.376,1310.912,1538.288,0
71,3.551342,166.960,1342.208,1509.168,0
72,3.601296,198.944,1295.680,1494.624,0
73,3.652211,300.240,2211.072,2511.312,0
74,3.701458,206.432,1457.568,1664.000,0
75,3.752296,152.832,2295.776,2448.608,0
76,3.801380,171.440,1379.584,1551.024,0
77,3.851398,309.824,1397.792,1707.616,0
78,3.902317,174.480,2316.800,2491.280,0
79,3.951397,173.840,1397.312,1571.152,0
80,4.001243,215.648,1242.912,1458.560,0
81,4.051326,206.480,1325.776,1532.256,0
82,4.101360,182.928,1360.368,1543.296,0
83,4.151364,210.624,1364.336,1574.960,0
84,4.201291,153.856,1290.752,1444.608,0
85,4.251328,264.544,1328.064,1592.608,0
86,4.301285,188.112,1284.960,1473.072,0
87,4.352349,160.304,2348.928,2509.232,0
88,4.401205,246.752,1205.472,1452.224,0
89,4.451339,164.864,1339.280,1504.144,0
90,4.501330,182.576,1330.048,1512.624,0
91,4.551299,171.168,1299.216,1470.384,0
92,4.601328,190.480,1327.920,1518.400,0
93,4.651284,171.600,1283.664,1455.264,0
94,4.701386,203.024,1386.240,1589.264,0
95,4.752312,168.272,2311.904,2480.176,0
96,4.801211,294.640,1210.704,1505.344,0
97,4.851288,205.376,1287.856,1493.232,0
98,4.901234,174.768,1234.352,1409.120,0
99,4.951278,172.944,1278.112,1451.056,0
100,5.001321,205.696,1321.424,1527.120,0
101,5.051466,163.152,1466.320,1629.472,0
102,5.101463,165.664,1462.992,1628.656,0
103,5.151372,163.216,1371.648,1534.864,0
104,5.201330,163.696,1329.728,1493.424,0
105,5.252415,221.616,2414.528,2636.144,0
106,5.301330,155.040,1329.568,1484.608,0
107,5.351236,179.248,1235.792,1415.040,0
108,5.401362,163.584,1361.504,1525.088,0
109,5.451590,166.864,1590.224,1757.088,0
110,5.502300,1176.752,2300.432,3477.184,0
111,5.551231,165.712,1231.392,1397.104,0
112,5.601310,173.232,1310.448,1483.680,0
113,5.651283,238.784,1282.736,1521.520,0
114,5.701376,270.480,1376.016,1646.496,0
115,5.751163,260.080,1163.312,1423.392,0
116,5.801204,187.920,1204.016,1391.936,0
117,5.851308,189.744,1307.776,1497.520,0
118,5.901202,170.560,1201.536,1372.096,0
119,5.951327,187.312,1326.784,1514.096,0
120,6.002288,1037.040,2288.432,3325.472,0
121,6.051130,190.768,1129.600,1320.368,0
122,6.101208,224.752,1207.760,1432.512,0
123,6.151265,171.088,1265.488,1436.576,0
124,6.201256,227.760,1256.000,1483.760,0
125,6.251217,190.320,1216.512,1406.832,0
126,6.301187,208.928,1186.624,1395.552,0
127,6.351186,264.544,1185.824,1450.368,0
128,6.401263,168.864,1262.624,1431.488,0
129,6.451307,211.200,1306.896,1518.096,0
130,6.501194,201.168,1193.984,1395.152,0
131,6.551202,172.112,1202.416,1374.528,0
132,6.601410,170.464,1410.240,1580.704,0
133,6.651255,257.120,1255.008,1512.128,0
134,6.701254,253.328,1253.824,1507.152,0
135,6.751293,244.128,1293.472,1537.600,0
136,6.801189,204.384,1188.720,1393.104,0
137,6.851320,167.472,1320.416,1487.888,0
138,6.901314,196.288,1314.208,1510.496,0
139,6.951320,176.400,1320.496,1496.896,0
140,7.001209,170.080,1209.104,1379.184,0
141,7.051127,232.976,1127.120,1360.096,0
142,7.101196,241.664,1195.552,1437.216,0
143,7.151289,222.000,1289.472,1511.472,0
144,7.201165,250.192,1165.488,1415.680,0
145,7.251278,210.448,1278.304,1488.752,0
146,7.301305,179.520,1305.056,1484.576,0
147,7.351313,192.944,1313.216,1506.160,0
148,7.401252,233.808,1252.192,1486.000,0
149,7.451299,156.000,1298.800,1454.800,0
150,7.501437,173.984,1436.992,1610.976,0
151,7.551291,202.704,1290.560,1493.264,0
152,7.601308,193.856,1307.840,1501.696,0
153,7.652313,170.032,2313.072,2483.104,0
154,7.701322,165.056,1322.064,1487.120,0
155,7.751208,213.840,1208.272,1422.112,0
156,7.801402,182.704,1402.032,1584.736,0
157,7.853352,164.944,3352.000,3516.944,0
158,7.901519,190.880,1519.360,1710.240,0
159,7.951248,214.192,1247.776,1461.968,0
160,8.001440,224.352,1439.744,1664.096,0
161,8.051379,209.904,1379.424,1589.328,0
162,8.102296,1145.904,2295.984,3441.888,0
163,8.151301,200.336,1300.944,1501.280,0
164,8.201305,165.840,1304.912,1470.752,0
165,8.251291,200.144,1291.088,1491.232,0
166,8.301356,181.712,1355.872,1537.584,0
167,8.352425,177.360,2425.280,2602.640,0
168,8.401299,186.208,1298.736,1484.944,0
169,8.451298,177.376,1297.920,1475.296,0
170,8.501182,239.568,1182.144,1421.712,0
171,8.551246,207.808,1246.384,1454.192,0
172,8.601446,166.704,1446.048,1612.752,0
173,8.652469,187.792,2469.424,2657.216,0
174,8.701302,184.288,1301.984,1486.272,0
175,8.751468,185.280,1468.224,1653.504,0
176,8.801312,201.040,1311.600,1512.640,0
177,8.851331,197.344,1330.528,1527.872,0
178,8.901218,251.984,1217.824,1469.808,0
179,8.951271,168.048,1270.672,1438.720,0
180,9.001381,197.232,1381.248,1578.480,0
181,9.052296,175.952,2296.320,2472.272,0
182,9.101335,173.888,1335.136,1509.024,0
183,9.151285,218.032,1285.360,1503.392,0
184,9.202402,1292.688,2401.744,3694.432,0
185,9.252754,235.840,2754.320,2990.160,0
186,9.302252,174.928,2252.080,2427.008,0
187,9.352271,244.240,2270.880,2515.120,0
188,9.401333,195.504,1332.608,1528.112,0
189,9.451406,198.272,1406.192,1604.464,0
190,9.501300,200.816,1299.856,1500.672,0
191,9.551401,262.896,1400.800,1663.696,0
192,9.601332,195.568,1332.384,1527.952,0
193,9.651399,223.984,1399.360,1623.344,0
194,9.702422,1574.080,2422.208,3996.288,0
195,9.752313,184.288,2312.992,2497.280,0
196,9.801274,197.808,1274.432,1472.240,0
197,9.851616,230.608,1615.792,1846.400,0
198,9.902420,1577.376,2419.936,3997.312,0
199,9.952294,199.376,2294.256,2493.632,0
200,10.001319,170.784,1318.528,1489.312,0
201,10.051293,190.208,1293.184,1483.392,0
202,10.101219,208.720,1219.248,1427.968,0
203,10.151412,231.664,1411.824,1643.488,0
204,10.202210,220.768,2210.128,2430.896,0
205,10.251241,152.256,1240.656,1392.912,0
206,10.301302,209.360,1302.464,1511.824,0
207,10.351214,177.472,1214.272,1391.744,0
208,10.401212,226.752,1211.680,1438.432,0
209,10.451207,210.288,1207.424,1417.712,0
210,10.501200,237.552,1200.080,1437.632,0
211,10.551310,280.640,1310.080,1590.720,0
212,10.601379,166.288,1378.912,1545.200,0
213,10.651303,164.944,1302.544,1467.488,0
214,10.702152,817.472,2152.224,2969.696,0
215,10.752177,249.472,2176.848,2426.320,0
216,10.801214,202.960,1213.744,1416.704,0
217,10.851206,224.384,1205.904,1430.288,0
218,10.901236,239.216,1236.272,1475.488,0
219,10.951200,199.632,1200.256,1399.888,0
220,11.001199,200.208,1198.896,1399.104,0
221,11.051185,189.744,1185.360,1375.104,0
222,11.102127,167.232,2126.976,2294.208,0
223,11.151378,201.296,1377.760,1579.056,0
224,11.202266,207.296,2265.824,2473.120,0
225,11.251279,219.648,1279.152,1498.800,0
226,11.301275,152.640,1275.008,1427.648,0
227,11.351202,227.712,1202.304,1430.016,0
228,11.402216,203.520,2216.176,2419.696,0
229,11.452225,228.592,2224.992,2453.584,0
230,11.501185,217.504,1185.392,1402.896,0
231,11.551235,221.696,1234.736,1456.432,0
232,11.601382,159.056,1382.208,1541.264,0
233,11.651305,180.320,1305.456,1485.776,0
234,11.701233,154.400,1232.688,1387.088,0
235,11.751210,188.320,1210.304,1398.624,0
236,11.801207,191.216,1206.592,1397.808,0
237,11.851207,192.928,1207.024,1399.952,0
238,11.901186,193.648,1186.048,1379.696,0
239,11.951186,198.624,1185.712,1384.336,0
240,12.001187,199.072,1186.880,1385.952,0
241,12.051200,193.904,1200.256,1394.160,0
242,12.101291,222.128,1291.344,1513.472,0
243,12.151291,198.816,1290.928,1489.744,0
244,12.201194,195.152,1193.664,1388.816,0
245,12.251549,237.840,1548.640,1786.480,0
246,12.302277,989.392,2277.264,3266.656,0
247,12.352307,195.664,2307.120,2502.784,0
248,12.401195,228.832,1194.704,1423.536,0
249,12.451149,190.464,1148.992,1339.456,0
250,12.501196,216.560,1196.384,1412.944,0
251,12.551268,196.400,1268.144,1464.544,0
252,12.601207,243.216,1207.168,1450.384,0
253,12.651134,194.320,1133.728,1328.048,0
254,12.701365,156.656,1364.656,1521.312,0
255,12.751246,230.336,1246.336,1476.672,0
256,12.801141,185.664,1140.848,1326.512,0
257,12.851215,225.904,1214.576,1440.480,0
258,12.901268,251.728,1267.904,1519.632,0
259,12.952270,242.480,2269.504,2511.984,0
260,13.001153,228.096,1153.168,1381.264,0
261,13.051306,183.584,1305.872,1489.456,0
262,13.101297,154.896,1296.736,1451.632,0
263,13.151184,228.944,1183.552,1412.496,0
264,13.201597,243.728,1596.576,1840.304,0
265,13.253192,196.560,3192.128,3388.688,0
266,13.301234,185.696,1234.144,1419.840,0
267,13.352164,238.896,2164.416,2403.312,0
268,13.401192,249.440,1191.552,1440.992,0
269,13.451229,197.632,1229.328,1426.960,0
270,13.501222,203.216,1222.400,1425.616,0
271,13.551326,168.176,1325.664,1493.840,0
272,13.601507,232.320,1506.704,1739.024,0
273,13.653711,277.952,3711.056,3989.008,0
274,13.702298,1162.160,2298.336,3460.496,0
275,13.751272,253.280,1272.080,1525.360,0
276,13.801214,212.288,1213.904,1426.192,0
277,13.851188,238.752,1188.240,1426.992,0
278,13.901294,227.520,1294.416,1521.936,0
279,13.951263,246.912,1263.152,1510.064,0
280,14.001279,199.824,1278.832,1478.656,0
281,14.051149,173.424,1148.512,1321.936,0
282,14.101322,153.152,1321.696,1474.848,0
283,14.151225,219.232,1224.608,1443.840,0
284,14.201168,280.752,1168.064,1448.816,0
285,14.251264,233.664,1264.192,1497.856,0
286,14.302271,1155.600,2270.848,3426.448,0
287,14.351193,237.808,1193.216,1431.024,0
288,14.401189,199.632,1189.376,1389.008,0
289,14.451300,218.400,1300.304,1518.704,0
290,14.501230,197.760,1229.520,1427.280,0
291,14.551292,225.360,1291.792,1517.152,0
292,14.601198,217.408,1198.144,1415.552,0
293,14.651286,289.504,1286.128,1575.632,0
294,14.701149,211.168,1149.472,1360.640,0
295,14.751227,201.616,1226.720,1428.336,0
296,14.801194,162.032,1194.144,1356.176,0
297,14.851198,238.176,1197.728,1435.904,0
298,14.901191,254.848,1191.248,1446.096,0
299,14.951126,184.672,1125.600,1310.272,0
300,15.001403,166.992,1402.592,1569.584,0
===CSV_END===
Run #8 completed. Waiting for next START command...
Waiting for START command from li VM...
