========================================
Signal Sender Workload (Synchronized)
========================================
Initializing shared memory...
Waiting for speedometer to register...
Found speedometer in shared memory!
Sending START command to speedometer: START: 15;5;20

Running workload signal period for 15 seconds...

Workload signal period completed.
Sending STOP command to speedometer...
Waiting for statistics from speedometer...

Stress workload terminated.
===VMSTAT_START===
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 152216   3824  28504    0    0    27     8   54   32  5  9 87  0  0
 0  0      0 152216   3824  28504    0    0     0     0   16   18  0  0 100  0  0
 0  0      0 152216   3824  28512    0    0     0     0   11   15  0  0 100  0  0
 1  0      0 152216   3824  28512    0    0     0     0   19   20  0  0 100  0  0
 0  0      0 152216   3824  28512    0    0     0     0   13   14  0  0 100  0  0
 0  0      0 152216   3832  28512    0    0     0   124   31   34  0  1 98  2  0
 0  0      0 152216   3832  28512    0    0     0     0   12   15  0  0 100  0  0
 0  0      0 152216   3832  28512    0    0     0     0   16   20  0  0 100  0  0
 0  0      0 152216   3832  28512    0    0     0     0   14   14  0  0 100  0  0
 0  0      0 152216   3832  28512    0    0     0   164   28   21  0  1 99  0  0
 1  0      0 152216   3832  28512    0    0     0     0   18   23  0  0 100  0  0
 0  0      0 152216   3832  28512    0    0     0     0   11   17  0  0 100  0  0
 0  0      0 152216   3832  28512    0    0     0     0   16   19  0  0 100  0  0
 1  0      0 152216   3832  28512    0    0     0     0   14   16  0  0 99  0  0
 1  0      0 152216   3832  28512    0    0     0     0   15   14  0  0 100  0  0
 0  0      0 152216   3832  28512    0    0     0     0   33   35  0  2 98  0  0
 0  0      0 152216   3832  28512    0    0     0     0   28   32  0  1 99  0  0
===VMSTAT_END===
========== SPEEDOMETER RT APPLICATION RESULTS ==========
Test Configuration:
Period: 50.000 ms
Deadline: 5.000 ms
RT Priority: 99 (SCHED_FIFO)
Execution Statistics:
Total cycles: 300
Deadline misses: 0 (0.000%)
Execution Time (μs):
Mean: 268.715
Min: 132.416
Max: 1731.920
50th percentile: 187.328
95th percentile: 1074.688
99th percentile: 1635.136
99.9th percentile: 1731.920
Jitter (μs):
Mean: 1634.174
Min: 1032.160
Max: 3654.080
Response Time (μs):
Mean: 1902.889
Min: 1210.912
Max: 3842.976
50th percentile: 2063.712
95th percentile: 2479.920
99th percentile: 3321.824
99.9th percentile: 3842.976
========================================================
===VMSTAT_START===
(no vmstat data captured)
===VMSTAT_END===
===CSV_START===
cycle,timestamp_s,execution_time_us,jitter_us,response_time_us,deadline_miss
1,0.052058,239.440,2057.504,2296.944,0
2,0.101032,178.752,1032.160,1210.912,0
3,0.151920,185.280,1919.632,2104.912,0
4,0.201978,180.496,1978.112,2158.608,0
5,0.252037,137.536,2037.088,2174.624,0
6,0.301978,170.416,1977.776,2148.192,0
7,0.351956,181.296,1956.224,2137.520,0
8,0.401982,171.920,1982.352,2154.272,0
9,0.451892,223.312,1891.840,2115.152,0
10,0.502001,179.024,2001.024,2180.048,0
11,0.551892,193.104,1892.192,2085.296,0
12,0.603011,310.448,3011.376,3321.824,0
13,0.652076,178.064,2076.304,2254.368,0
14,0.701883,157.536,1883.408,2040.944,0
15,0.751905,210.832,1904.784,2115.616,0
16,0.801976,174.320,1975.632,2149.952,0
17,0.851961,173.760,1960.512,2134.272,0
18,0.903654,188.896,3654.080,3842.976,0
19,0.951062,183.424,1061.936,1245.360,0
20,1.001879,155.008,1879.376,2034.384,0
21,1.051393,204.416,1392.704,1597.120,0
22,1.101325,737.744,1325.248,2062.992,0
23,1.152275,187.120,2275.360,2462.480,0
24,1.201106,150.160,1106.128,1256.288,0
25,1.251876,158.592,1875.840,2034.432,0
26,1.301147,170.720,1146.672,1317.392,0
27,1.352242,136.912,2241.920,2378.832,0
28,1.401189,151.312,1189.488,1340.800,0
29,1.452239,172.672,2238.896,2411.568,0
30,1.501163,183.248,1162.944,1346.192,0
31,1.552162,166.912,2162.336,2329.248,0
32,1.601153,165.920,1152.544,1318.464,0
33,1.652179,213.888,2178.816,2392.704,0
34,1.701179,195.248,1178.928,1374.176,0
35,1.752220,161.168,2220.400,2381.568,0
36,1.802148,203.488,2147.696,2351.184,0
37,1.851165,173.328,1164.960,1338.288,0
38,1.901150,150.096,1150.224,1300.320,0
39,1.952241,146.576,2241.472,2388.048,0
40,2.001213,162.160,1212.576,1374.736,0
41,2.052254,214.112,2254.096,2468.208,0
42,2.101274,144.272,1273.712,1417.984,0
43,2.152152,183.392,2152.016,2335.408,0
44,2.202218,183.040,2218.000,2401.040,0
45,2.251178,226.464,1178.320,1404.784,0
46,2.301205,181.008,1204.608,1385.616,0
47,2.352203,204.032,2202.896,2406.928,0
48,2.401182,172.832,1182.432,1355.264,0
49,2.452203,196.736,2202.912,2399.648,0
50,2.501227,136.480,1227.296,1363.776,0
51,2.552280,174.480,2280.176,2454.656,0
52,2.601144,148.896,1144.480,1293.376,0
53,2.652476,179.824,2475.984,2655.808,0
54,2.701238,180.480,1238.416,1418.896,0
55,2.752224,154.128,2223.568,2377.696,0
56,2.801178,222.848,1177.984,1400.832,0
57,2.852164,235.504,2163.904,2399.408,0
58,2.901229,149.376,1228.704,1378.080,0
59,2.951159,233.296,1158.720,1392.016,0
60,3.001174,245.248,1174.144,1419.392,0
61,3.051116,230.144,1116.384,1346.528,0
62,3.101172,219.152,1172.064,1391.216,0
63,3.152174,186.704,2173.632,2360.336,0
64,3.201184,170.144,1183.952,1354.096,0
65,3.251153,241.040,1153.168,1394.208,0
66,3.301215,189.424,1214.816,1404.240,0
67,3.351179,213.504,1179.264,1392.768,0
68,3.401038,180.928,1037.648,1218.576,0
69,3.452285,180.720,2285.200,2465.920,0
70,3.501269,180.224,1269.008,1449.232,0
71,3.551232,171.056,1232.288,1403.344,0
72,3.601177,222.656,1176.688,1399.344,0
73,3.652160,229.872,2160.272,2390.144,0
74,3.701259,166.928,1259.280,1426.208,0
75,3.752212,169.008,2212.496,2381.504,0
76,3.801175,220.784,1174.624,1395.408,0
77,3.851187,221.856,1186.560,1408.416,0
78,3.901218,139.040,1218.096,1357.136,0
79,3.952218,191.248,2217.840,2409.088,0
80,4.001236,134.064,1236.496,1370.560,0
81,4.051162,166.960,1161.760,1328.720,0
82,4.102249,134.192,2249.040,2383.232,0
83,4.151192,195.360,1191.648,1387.008,0
84,4.201208,224.784,1208.368,1433.152,0
85,4.252164,167.808,2163.776,2331.584,0
86,4.301210,227.888,1209.936,1437.824,0
87,4.351221,146.224,1221.488,1367.712,0
88,4.401358,211.584,1358.112,1569.696,0
89,4.451254,133.968,1254.432,1388.400,0
90,4.501159,211.472,1158.848,1370.320,0
91,4.552181,168.720,2180.576,2349.296,0
92,4.602176,176.176,2175.552,2351.728,0
93,4.652174,167.488,2173.744,2341.232,0
94,4.702281,152.928,2281.472,2434.400,0
95,4.752166,192.064,2166.432,2358.496,0
96,4.803188,234.800,3187.648,3422.448,0
97,4.851125,166.864,1124.944,1291.808,0
98,4.902167,157.488,2167.376,2324.864,0
99,4.951134,167.152,1133.776,1300.928,0
100,5.002221,180.736,2221.136,2401.872,0
101,5.051539,165.168,1539.152,1704.320,0
102,5.101200,204.336,1200.160,1404.496,0
103,5.152189,180.336,2189.104,2369.440,0
104,5.201215,180.480,1214.544,1395.024,0
105,5.251201,246.816,1200.880,1447.696,0
106,5.301256,173.216,1256.176,1429.392,0
107,5.352188,191.296,2187.664,2378.960,0
108,5.401242,193.424,1242.304,1435.728,0
109,5.451170,171.456,1170.256,1341.712,0
110,5.501128,167.136,1127.952,1295.088,0
111,5.552046,132.416,2045.712,2178.128,0
112,5.602302,170.256,2302.272,2472.528,0
113,5.651222,180.544,1221.952,1402.496,0
114,5.701122,182.064,1121.744,1303.808,0
115,5.752089,158.416,2088.640,2247.056,0
116,5.802253,208.944,2252.928,2461.872,0
117,5.851181,222.176,1181.472,1403.648,0
118,5.901169,191.040,1168.784,1359.824,0
119,5.952245,185.088,2244.560,2429.648,0
120,6.001182,239.680,1182.064,1421.744,0
121,6.052174,173.328,2173.856,2347.184,0
122,6.101210,200.192,1209.504,1409.696,0
123,6.151190,222.544,1190.208,1412.752,0
124,6.201173,189.072,1172.736,1361.808,0
125,6.252179,195.520,2178.960,2374.480,0
126,6.301150,182.320,1150.496,1332.816,0
127,6.352175,225.008,2175.392,2400.400,0
128,6.401228,181.440,1228.496,1409.936,0
129,6.452239,180.560,2239.264,2419.824,0
130,6.501167,157.264,1166.528,1323.792,0
131,6.552105,190.512,2104.896,2295.408,0
132,6.602160,228.592,2159.632,2388.224,0
