========================================
Signal Sender Workload (Synchronized)
========================================
Initializing shared memory...
Waiting for speedometer to register...
Found speedometer in shared memory!
Sending START command to speedometer: START: 15;5;20

Running workload signal period for 15 seconds...

Workload signal period completed.
Sending STOP command to speedometer...
Waiting for statistics from speedometer...

Stress workload terminated.
===VMSTAT_START===
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 152136   3944  28516    0    0    19     8   50   29  4  8 88  0  0
 0  0      0 152076   3944  28516    0    0     0     0   16   22  0  0 100  0  0
 0  0      0 152076   3944  28516    0    0     0     0   11   14  0  0 100  0  0
 0  0      0 152076   3944  28516    0    0     0     0   13   18  0  0 100  0  0
 0  0      0 152076   3944  28516    0    0     0     0   18   20  0  0 100  0  0
 0  0      0 152076   3952  28508    0    0     0   124   32   28  0  1 97  3  0
 1  0      0 152076   3952  28516    0    0     0     0   18   18  1  0 100  0  0
 0  0      0 152076   3952  28516    0    0     0     0   12   15  0  0 100  0  0
 0  0      0 152016   3952  28516    0    0     0   164   35   35  0  1 99  0  0
 0  0      0 152016   3952  28516    0    0     0     0   15   14  0  0 100  0  0
 0  0      0 152016   3952  28516    0    0     0     0   13   14  0  0 100  0  0
 0  0      0 152016   3952  28516    0    0     0     0   16   17  0  0 100  0  0
 0  0      0 152016   3952  28516    0    0     0     0   16   20  0  0 100  0  0
 0  0      0 152016   3952  28516    0    0     0     0   14   16  0  0 100  0  0
 1  0      0 152016   3952  28516    0    0     0     0   18   17  0  0 99  0  0
 0  0      0 152016   3952  28516    0    0     0     0   20   24  0  1 99  0  0
 0  0      0 152016   3952  28516    0    0     0     0   47   43  0  2 98  0  0
===VMSTAT_END===
========== SPEEDOMETER RT APPLICATION RESULTS ==========
Test Configuration:
Period: 50.000 ms
Deadline: 5.000 ms
RT Priority: 99 (SCHED_FIFO)
Execution Statistics:
Total cycles: 299
Deadline misses: 0 (0.000%)
Execution Time (μs):
Mean: 198.126
Min: 133.488
Max: 1585.296
50th percentile: 185.744
95th percentile: 251.776
99th percentile: 313.264
99.9th percentile: 1585.296
Jitter (μs):
Mean: 1586.418
Min: 1387.328
Max: 2639.520
Response Time (μs):
Mean: 1784.544
Min: 1520.816
Max: 4224.816
50th percentile: 1755.040
95th percentile: 1916.496
99th percentile: 2771.696
99.9th percentile: 4224.816
========================================================
===VMSTAT_START===
(no vmstat data captured)
===VMSTAT_END===
===CSV_START===
cycle,timestamp_s,execution_time_us,jitter_us,response_time_us,deadline_miss
1,0.052640,1585.296,2639.520,4224.816,0
2,0.101721,136.560,1721.280,1857.840,0
3,0.151615,159.184,1614.720,1773.904,0
4,0.201519,233.456,1518.800,1752.256,0
5,0.251517,232.176,1516.560,1748.736,0
6,0.301566,180.256,1566.496,1746.752,0
7,0.351529,187.984,1529.472,1717.456,0
8,0.401512,187.424,1512.288,1699.712,0
9,0.451538,233.456,1538.432,1771.888,0
10,0.501533,220.512,1532.864,1753.376,0
11,0.551501,180.896,1501.312,1682.208,0
12,0.601513,207.664,1512.704,1720.368,0
13,0.651530,152.192,1529.824,1682.016,0
14,0.701494,168.848,1494.384,1663.232,0
15,0.751502,196.384,1502.064,1698.448,0
16,0.801458,238.224,1457.728,1695.952,0
17,0.851554,176.848,1554.320,1731.168,0
18,0.901500,180.048,1500.480,1680.528,0
19,0.951600,172.976,1600.496,1773.472,0
20,1.001514,157.120,1513.600,1670.720,0
21,1.051504,179.584,1504.160,1683.744,0
22,1.101514,152.736,1513.504,1666.240,0
23,1.151518,170.432,1518.384,1688.816,0
24,1.201517,234.928,1516.912,1751.840,0
25,1.251499,227.360,1498.544,1725.904,0
26,1.301502,158.400,1501.552,1659.952,0
27,1.351556,176.160,1555.536,1731.696,0
28,1.401919,188.496,1919.008,2107.504,0
29,1.451631,192.816,1631.280,1824.096,0
30,1.501678,176.448,1678.288,1854.736,0
31,1.551633,147.440,1633.376,1780.816,0
32,1.601520,156.576,1519.776,1676.352,0
33,1.651558,190.832,1558.016,1748.848,0
34,1.701687,156.880,1687.232,1844.112,0
35,1.751584,171.136,1584.160,1755.296,0
36,1.801616,147.264,1616.016,1763.280,0
37,1.851466,235.088,1465.872,1700.960,0
38,1.901621,205.408,1620.896,1826.304,0
39,1.951632,147.600,1632.496,1780.096,0
40,2.001784,144.096,1783.504,1927.600,0
41,2.051625,145.504,1624.928,1770.432,0
42,2.101887,195.104,1887.136,2082.240,0
43,2.151607,187.888,1607.024,1794.912,0
44,2.201625,200.256,1624.608,1824.864,0
45,2.251549,196.224,1549.232,1745.456,0
46,2.301793,163.168,1792.768,1955.936,0
47,2.351664,155.744,1663.936,1819.680,0
48,2.401571,177.616,1570.832,1748.448,0
49,2.451526,249.008,1525.584,1774.592,0
50,2.501676,179.456,1675.888,1855.344,0
51,2.551565,179.216,1565.456,1744.672,0
52,2.601695,185.744,1694.896,1880.640,0
53,2.651579,166.704,1579.216,1745.920,0
54,2.701630,175.984,1629.696,1805.680,0
55,2.751595,195.072,1595.376,1790.448,0
56,2.801695,147.488,1695.248,1842.736,0
