========================================
Signal Sender Workload (Synchronized)
========================================
Initializing shared memory...
Waiting for speedometer to register...
Found speedometer in shared memory!
Sending START command to speedometer: START: 15;5;20

Running workload signal period for 15 seconds...

Workload signal period completed.
Sending STOP command to speedometer...
Waiting for statistics from speedometer...

Stress workload terminated.
===VMSTAT_START===
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 151816   4040  28520    0    0    15     8   48   28  4  7 88  0  0
 0  0      0 151696   4040  28524    0    0     0     0   17   20  0  0 100  0  0
 0  0      0 151696   4040  28524    0    0     0     0   15   16  0  0 100  0  0
 0  0      0 151696   4040  28524    0    0     0     0   16   17  0  0 99  0  0
 0  0      0 151696   4048  28516    0    0     0   124   24   27  0  0 98  2  0
 0  0      0 151696   4048  28524    0    0     0     0   20   19  0  0 99  0  0
 0  0      0 151696   4048  28524    0    0     0     0   16   17  0  0 100  0  0
 0  0      0 151696   4048  28524    0    0     0     0   17   22  0  0 100  0  0
 0  0      0 151696   4048  28524    0    0     0     0   11   13  0  0 100  0  0
 0  0      0 151696   4048  28524    0    0     0     0   22   21  0  0 99  0  0
 0  0      0 151696   4048  28524    0    0     0     0   17   23  0  0 100  0  0
 0  0      0 151696   4048  28524    0    0     0     0   14   17  0  0 100  0  0
 0  0      0 151696   4048  28524    0    0     0     0   13   13  0  0 100  0  0
 0  0      0 151696   4048  28524    0    0     0     0   13   16  0  0 100  0  0
 0  0      0 151696   4048  28524    0    0     0     0   16   20  0  0 100  0  0
 0  0      0 151696   4048  28524    0    0     0     0   34   27  0  2 98  0  0
 0  0      0 151696   4048  28524    0    0     0     0   23   28  0  1 99  0  0
===VMSTAT_END===
========== SPEEDOMETER RT APPLICATION RESULTS ==========
Test Configuration:
Period: 50.000 ms
Deadline: 5.000 ms
RT Priority: 99 (SCHED_FIFO)
Execution Statistics:
Total cycles: 300
Deadline misses: 0 (0.000%)
Execution Time (μs):
Mean: 254.964
Min: 133.152
Max: 1570.768
50th percentile: 191.712
95th percentile: 1040.080
99th percentile: 1310.176
99.9th percentile: 1570.768
Jitter (μs):
Mean: 1794.678
Min: 1315.152
Max: 3213.472
Response Time (μs):
Mean: 2049.642
Min: 1472.272
Max: 3350.672
50th percentile: 1967.056
95th percentile: 2932.816
99th percentile: 3281.216
99.9th percentile: 3350.672
========================================================
===VMSTAT_START===
(no vmstat data captured)
===VMSTAT_END===
===CSV_START===
cycle,timestamp_s,execution_time_us,jitter_us,response_time_us,deadline_miss
1,0.052091,259.600,2090.624,2350.224,0
2,0.101739,224.336,1738.928,1963.264,0
3,0.151853,205.312,1852.848,2058.160,0
4,0.201758,242.480,1758.240,2000.720,0
5,0.252465,144.144,2465.296,2609.440,0
6,0.301749,214.368,1749.024,1963.392,0
7,0.351779,235.168,1778.880,2014.048,0
8,0.401725,158.592,1724.784,1883.376,0
9,0.451963,145.936,1962.848,2108.784,0
10,0.501711,228.544,1710.896,1939.440,0
11,0.551749,235.008,1749.024,1984.032,0
12,0.601677,168.640,1676.992,1845.632,0
13,0.651838,149.104,1837.680,1986.784,0
14,0.701750,159.168,1750.256,1909.424,0
15,0.751752,172.736,1751.712,1924.448,0
16,0.801739,170.672,1739.456,1910.128,0
17,0.851809,246.624,1809.296,2055.920,0
18,0.901752,172.848,1751.792,1924.640,0
19,0.951739,157.392,1739.424,1896.816,0
20,1.001876,1040.080,1876.352,2916.432,0
21,1.051716,167.424,1715.616,1883.040,0
22,1.101703,184.576,1703.344,1887.920,0
23,1.151747,206.640,1746.720,1953.360,0
24,1.201873,1060.128,1873.344,2933.472,0
25,1.251758,240.656,1757.520,1998.176,0
26,1.302010,1028.672,2009.744,3038.416,0
27,1.351738,188.992,1738.256,1927.248,0
28,1.401750,234.016,1750.320,1984.336,0
29,1.451748,197.952,1748.032,1945.984,0
30,1.501716,156.560,1716.128,1872.688,0
31,1.551733,214.352,1732.528,1946.880,0
32,1.601722,202.496,1721.968,1924.464,0
33,1.651730,237.776,1730.352,1968.128,0
34,1.701744,254.080,1744.400,1998.480,0
35,1.751953,170.000,1952.912,2122.912,0
36,1.801735,252.672,1735.184,1987.856,0
37,1.851816,138.288,1815.680,1953.968,0
38,1.901739,156.000,1739.040,1895.040,0
39,1.951927,164.416,1927.472,2091.888,0
40,2.001793,173.216,1792.608,1965.824,0
41,2.051830,134.576,1829.664,1964.240,0
42,2.101805,163.472,1804.688,1968.160,0
43,2.151823,135.168,1822.944,1958.112,0
44,2.201748,203.760,1747.984,1951.744,0
45,2.251721,250.592,1720.528,1971.120,0
46,2.301746,176.864,1745.968,1922.832,0
47,2.351731,222.624,1731.216,1953.840,0
48,2.401742,218.896,1741.968,1960.864,0
49,2.451883,134.736,1883.344,2018.080,0
50,2.501825,158.256,1825.328,1983.584,0
51,2.551662,167.968,1662.272,1830.240,0
52,2.601674,168.464,1673.648,1842.112,0
53,2.651688,168.128,1688.144,1856.272,0
54,2.701811,843.344,1811.376,2654.720,0
55,2.751820,228.032,1819.696,2047.728,0
56,2.801733,229.680,1733.200,1962.880,0
57,2.851749,230.560,1749.408,1979.968,0
58,2.901930,1310.176,1930.208,3240.384,0
59,2.951754,163.856,1753.600,1917.456,0
60,3.001733,231.792,1733.184,1964.976,0
61,3.051751,215.840,1750.784,1966.624,0
