========================================
Signal Sender Workload (Synchronized)
========================================
Initializing shared memory...
Waiting for speedometer to register...
Found speedometer in shared memory!
Sending START command to speedometer: START: 15;5;20

Running workload signal period for 15 seconds...

Workload signal period completed.
Sending STOP command to speedometer...
Waiting for statistics from speedometer...

Stress workload terminated.
===VMSTAT_START===
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 151792   4208  28532    0    0    11     7   46   26  4  7 89  0  0
 0  0      0 151792   4208  28536    0    0     0     0   10   16  0  0 100  0  0
 0  0      0 151792   4208  28536    0    0     0     0   14   15  0  0 100  0  0
 0  0      0 151792   4208  28536    0    0     0    48   21   25  0  1 100  0  0
 0  0      0 151792   4216  28536    0    0     0   124   31   35  0  1 97  3  0
 1  0      0 151792   4216  28536    0    0     0     0   21   17  0  0 99  0  0
 0  0      0 151792   4216  28536    0    0     0     0   14   18  0  0 100  0  0
 0  0      0 151792   4216  28536    0    0     0     0   18   18  0  0 100  0  0
 0  0      0 151792   4216  28536    0    0     0     0   17   19  0  0 100  0  0
 0  0      0 151792   4216  28536    0    0     0     0   14   16  0  0 100  0  0
 0  0      0 151792   4216  28536    0    0     0     0   14   17  0  0 100  0  0
 0  0      0 151792   4216  28536    0    0     0     0   17   20  0  0 100  0  0
 0  0      0 151792   4216  28536    0    0     0     0   14   17  0  0 100  0  0
 0  0      0 151792   4216  28536    0    0     0     0   15   19  0  0 100  0  0
 3  0      0 151792   4216  28536    0    0     0     0   17   22  0  0 99  0  0
 1  0      0 151792   4216  28536    0    0     0     0   20   23  0  0 100  0  0
 0  0      0 151792   4216  28536    0    0     0     0   28   38  0  2 98  0  0
===VMSTAT_END===
========== SPEEDOMETER RT APPLICATION RESULTS ==========
Test Configuration:
Period: 50.000 ms
Deadline: 5.000 ms
RT Priority: 99 (SCHED_FIFO)
Execution Statistics:
Total cycles: 300
Deadline misses: 0 (0.000%)
Execution Time (μs):
Mean: 178.863
Min: 127.776
Max: 305.888
50th percentile: 168.656
95th percentile: 245.136
99th percentile: 293.008
99.9th percentile: 305.888
Jitter (μs):
Mean: 1476.525
Min: 1038.656
Max: 3163.712
Response Time (μs):
Mean: 1655.388
Min: 1269.136
Max: 3326.176
50th percentile: 1512.240
95th percentile: 2466.528
99th percentile: 2809.968
99.9th percentile: 3326.176
========================================================
===VMSTAT_START===
(no vmstat data captured)
===VMSTAT_END===
===CSV_START===
cycle,timestamp_s,execution_time_us,jitter_us,response_time_us,deadline_miss
1,0.051816,163.840,1815.920,1979.760,0
2,0.102592,143.072,2591.520,2734.592,0
3,0.151511,290.720,1511.408,1802.128,0
4,0.201471,169.552,1470.928,1640.480,0
5,0.251473,207.840,1473.136,1680.976,0
6,0.301473,161.856,1472.672,1634.528,0
7,0.351430,145.216,1429.856,1575.072,0
8,0.401458,161.008,1458.288,1619.296,0
9,0.451696,143.312,1696.080,1839.392,0
10,0.501187,145.648,1186.640,1332.288,0
11,0.552185,178.416,2184.656,2363.072,0
12,0.601212,167.600,1212.272,1379.872,0
13,0.651196,170.352,1196.000,1366.352,0
14,0.701255,138.640,1255.456,1394.096,0
15,0.752334,127.872,2333.808,2461.680,0
16,0.802307,143.120,2306.832,2449.952,0
17,0.851190,171.664,1190.096,1361.760,0
18,0.902327,161.248,2326.976,2488.224,0
19,0.951198,160.032,1197.696,1357.728,0
20,1.002333,143.664,2333.008,2476.672,0
21,1.051189,160.912,1189.232,1350.144,0
22,1.102337,130.208,2337.088,2467.296,0
23,1.151194,152.400,1194.016,1346.416,0
24,1.201206,171.952,1205.808,1377.760,0
25,1.252313,128.208,2313.424,2441.632,0
26,1.302161,161.632,2161.360,2322.992,0
27,1.351197,160.992,1196.848,1357.840,0
28,1.402277,154.688,2276.512,2431.200,0
29,1.451203,169.056,1202.640,1371.696,0
30,1.501213,170.528,1213.040,1383.568,0
31,1.552183,161.040,2183.056,2344.096,0
32,1.603164,162.464,3163.712,3326.176,0
33,1.652223,183.552,2223.424,2406.976,0
34,1.702196,144.800,2195.968,2340.768,0
35,1.752175,191.744,2175.280,2367.024,0
36,1.802166,151.392,2165.520,2316.912,0
37,1.851480,147.952,1479.920,1627.872,0
38,1.901211,164.192,1210.624,1374.816,0
39,1.952193,168.656,2192.656,2361.312,0
40,2.002224,197.824,2223.616,2421.440,0
41,2.051187,144.928,1186.848,1331.776,0
42,2.103075,154.160,3074.656,3228.816,0
43,2.152210,147.520,2210.384,2357.904,0
44,2.202163,174.480,2163.360,2337.840,0
45,2.251285,209.264,1284.656,1493.920,0
46,2.301224,169.504,1224.336,1393.840,0
47,2.351203,159.952,1203.152,1363.104,0
48,2.402189,177.888,2189.008,2366.896,0
49,2.452129,155.728,2128.992,2284.720,0
50,2.502221,222.576,2220.736,2443.312,0
51,2.551193,160.944,1192.544,1353.488,0
52,2.602187,173.520,2186.544,2360.064,0
53,2.652223,150.368,2223.072,2373.440,0
54,2.702322,128.160,2321.664,2449.824,0
55,2.751195,161.168,1195.072,1356.240,0
56,2.801210,160.400,1209.936,1370.336,0
