========================================
Signal Sender Workload (Synchronized)
========================================
Initializing shared memory...
Waiting for speedometer to register...
Found speedometer in shared memory!
Sending START command to speedometer: START: 15;5;20

Running workload signal period for 15 seconds...

Workload signal period completed.
Sending STOP command to speedometer...
Waiting for statistics from speedometer...

Stress workload terminated.
===VMSTAT_START===
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 144836   3588  35180    0    0    78     9  195  110 48 16 36  0  0
 2  0      0 144836   3588  35184    0    0     0     0  316  172 52  2 47  0  0
 2  0      0 144836   3588  35184    0    0     0     0  314  170 53  1 46  0  0
 2  0      0 144836   3596  35176    0    0     0   124  333  179 53  3 42  2  0
 2  0      0 144836   3596  35184    0    0     0     0  312  171 52  2 47  0  0
 2  0      0 144836   3596  35184    0    0     0     0  314  178 53  2 46  0  0
 2  0      0 144836   3596  35184    0    0     0     0  301  172 50  2 48  0  0
 2  0      0 144836   3596  35184    0    0     0     0  305  167 52  2 47  0  0
 2  0      0 144836   3596  35184    0    0     0     0  328  166 55  2 44  0  0
 2  0      0 144836   3596  35184    0    0     0     0  337  165 58  2 41  0  0
 2  0      0 144836   3596  35184    0    0     0     0  338  158 58  2 40  0  0
 2  0      0 144836   3596  35184    0    0     0     0  382  147 67  2 32  0  0
 2  0      0 144836   3596  35184    0    0     0     0  352  151 62  1 38  0  0
 2  0      0 144836   3596  35184    0    0     0     0  329  168 57  1 42  0  0
 2  0      0 144836   3596  35184    0    0     0     0  310  175 52  2 47  0  0
 3  0      0 144836   3596  35184    0    0     0     0  304  167 49  3 48  0  0
 2  0      0 144836   3596  35184    0    0     0     0  311  163 51  2 47  0  0
===VMSTAT_END===
========== SPEEDOMETER RT APPLICATION RESULTS ==========
Test Configuration:
Period: 50.000 ms
Deadline: 5.000 ms
RT Priority: 99 (SCHED_FIFO)
Execution Statistics:
Total cycles: 298
Deadline misses: 0 (0.000%)
Execution Time (μs):
Mean: 232.570
Min: 149.712
Max: 1545.504
50th percentile: 197.536
95th percentile: 319.104
99th percentile: 1328.464
99.9th percentile: 1545.504
Jitter (μs):
Mean: 1841.428
Min: 1622.784
Max: 3486.016
Response Time (μs):
Mean: 2073.998
Min: 1806.064
Max: 3789.168
50th percentile: 1957.136
95th percentile: 3209.648
99th percentile: 3734.464
99.9th percentile: 3789.168
========================================================
===VMSTAT_START===
(no vmstat data captured)
===VMSTAT_END===
===CSV_START===
cycle,timestamp_s,execution_time_us,jitter_us,response_time_us,deadline_miss
1,0.052051,348.736,2050.688,2399.424,0
2,0.103209,525.264,3209.200,3734.464,0
3,0.151748,255.952,1748.304,2004.256,0
4,0.201826,191.952,1826.400,2018.352,0
5,0.251821,177.536,1821.072,1998.608,0
6,0.301757,260.416,1757.152,2017.568,0
7,0.351786,163.744,1785.536,1949.280,0
8,0.401800,308.928,1800.224,2109.152,0
9,0.451765,153.136,1765.072,1918.208,0
10,0.501688,924.112,1688.336,2612.448,0
11,0.551665,222.688,1664.800,1887.488,0
12,0.601699,207.472,1698.928,1906.400,0
13,0.651810,164.432,1810.368,1974.800,0
14,0.701886,185.312,1886.304,2071.616,0
15,0.751681,187.776,1680.640,1868.416,0
16,0.801840,161.872,1840.160,2002.032,0
17,0.851674,229.392,1674.384,1903.776,0
18,0.901833,183.504,1832.736,2016.240,0
19,0.951690,157.504,1689.648,1847.152,0
20,1.001800,209.872,1799.776,2009.648,0
21,1.051679,172.432,1679.408,1851.840,0
22,1.101682,268.224,1682.480,1950.704,0
23,1.151788,152.688,1788.496,1941.184,0
24,1.201740,211.632,1740.288,1951.920,0
25,1.251746,185.792,1746.352,1932.144,0
26,1.301769,221.408,1769.184,1990.592,0
27,1.351766,187.136,1766.432,1953.568,0
28,1.401788,226.144,1788.304,2014.448,0
29,1.451806,169.056,1806.240,1975.296,0
30,1.501824,220.128,1824.224,2044.352,0
31,1.551692,187.200,1691.696,1878.896,0
32,1.601796,184.416,1795.536,1979.952,0
33,1.651685,209.040,1685.072,1894.112,0
34,1.703179,223.648,3178.640,3402.288,0
35,1.751822,172.256,1821.712,1993.968,0
36,1.801795,165.072,1794.832,1959.904,0
37,1.851652,182.816,1651.536,1834.352,0
38,1.901777,205.344,1776.704,1982.048,0
39,1.951774,189.744,1774.112,1963.856,0
40,2.001767,162.928,1766.912,1929.840,0
41,2.051680,170.880,1679.760,1850.640,0
42,2.103110,203.904,3109.552,3313.456,0
43,2.151997,193.648,1996.528,2190.176,0
44,2.203162,198.080,3162.272,3360.352,0
45,2.251793,175.936,1792.880,1968.816,0
46,2.301784,194.256,1784.336,1978.592,0
47,2.351749,175.792,1748.784,1924.576,0
48,2.401739,289.856,1739.184,2029.040,0
49,2.451742,188.016,1742.480,1930.496,0
50,2.501690,210.672,1690.080,1900.752,0
51,2.551811,167.680,1811.136,1978.816,0
52,2.602983,203.264,2983.120,3186.384,0
53,2.651652,153.696,1652.368,1806.064,0
54,2.701691,241.008,1691.200,1932.208,0
55,2.751671,185.600,1671.008,1856.608,0
56,2.801771,200.128,1770.928,1971.056,0
57,2.851723,182.944,1723.040,1905.984,0
58,2.901631,1328.464,1631.024,2959.488,0
59,2.951787,157.488,1787.456,1944.944,0
60,3.001755,200.768,1754.896,1955.664,0
61,3.051773,226.256,1773.328,1999.584,0
62,3.101733,288.544,1732.896,2021.440,0
63,3.151742,179.968,1742.384,1922.352,0
64,3.201782,167.872,1781.872,1949.744,0
65,3.251739,187.712,1738.656,1926.368,0
66,3.301801,197.760,1801.472,1999.232,0
67,3.351804,172.640,1804.096,1976.736,0
68,3.401812,216.800,1812.000,2028.800,0
69,3.451775,199.904,1775.472,1975.376,0
70,3.501830,217.344,1830.400,2047.744,0
71,3.551739,192.448,1738.912,1931.360,0
72,3.601683,365.584,1683.184,2048.768,0
73,3.651815,153.712,1815.392,1969.104,0
74,3.701841,183.280,1840.720,2024.000,0
75,3.751781,157.888,1780.864,1938.752,0
76,3.801740,176.496,1739.744,1916.240,0
77,3.851676,282.720,1676.352,1959.072,0
78,3.901840,155.184,1840.384,1995.568,0
79,3.951732,156.304,1732.272,1888.576,0
80,4.001688,307.728,1687.520,1995.248,0
81,4.051738,169.360,1738.448,1907.808,0
82,4.101657,926.304,1657.088,2583.392,0
83,4.151684,259.648,1684.224,1943.872,0
84,4.203467,284.560,3467.008,3751.568,0
85,4.251692,264.848,1692.272,1957.120,0
86,4.301828,173.296,1828.128,2001.424,0
87,4.351693,213.440,1693.440,1906.880,0
88,4.401763,178.608,1762.528,1941.136,0
89,4.451810,184.128,1810.208,1994.336,0
90,4.501773,167.456,1772.720,1940.176,0
91,4.551746,184.448,1745.648,1930.096,0
92,4.601759,175.296,1758.560,1933.856,0
93,4.651757,186.560,1757.440,1944.000,0
94,4.701684,253.840,1684.400,1938.240,0
95,4.751756,152.768,1756.208,1908.976,0
96,4.801828,155.760,1828.400,1984.160,0
97,4.851778,187.248,1777.600,1964.848,0
98,4.901839,205.584,1838.656,2044.240,0
99,4.951684,228.112,1684.272,1912.384,0
100,5.001773,162.304,1772.624,1934.928,0
101,5.051737,183.968,1736.672,1920.640,0
102,5.101734,191.248,1734.224,1925.472,0
103,5.151737,170.592,1736.688,1907.280,0
104,5.201777,205.776,1776.976,1982.752,0
105,5.251681,277.632,1680.960,1958.592,0
106,5.301794,205.632,1793.616,1999.248,0
107,5.351673,193.200,1672.704,1865.904,0
108,5.401758,184.768,1758.464,1943.232,0
109,5.451733,170.256,1733.024,1903.280,0
110,5.501832,153.632,1832.224,1985.856,0
111,5.551767,197.712,1767.296,1965.008,0
112,5.601758,173.824,1758.464,1932.288,0
113,5.651676,251.584,1675.664,1927.248,0
114,5.701689,249.680,1689.232,1938.912,0
115,5.752039,172.400,2039.472,2211.872,0
116,5.801823,272.544,1822.672,2095.216,0
