========================================
Signal Sender Workload (Synchronized)
========================================
Initializing shared memory...
Waiting for speedometer to register...
Found speedometer in shared memory!
Sending START command to speedometer: START: 15;5;20

Running workload signal period for 15 seconds...

Workload signal period completed.
Sending STOP command to speedometer...
Waiting for statistics from speedometer...

Stress workload terminated.
===VMSTAT_START===
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 144716   3684  35200    0    0    41     8  188  104 52 12 36  0  0
 2  0      0 144716   3684  35200    0    0     0     0  306  169 52  2 47  0  0
 2  0      0 144716   3684  35200    0    0     0     0  301  169 51  2 48  0  0
 2  0      0 144716   3684  35200    0    0     0    48  320  177 54  1 46  0  0
 2  0      0 144716   3692  35200    0    0     0   124  324  180 52  2 44  1  0
 2  0      0 144716   3692  35200    0    0     0     0  314  168 52  2 46  0  0
 2  0      0 144716   3692  35200    0    0     0     0  306  172 51  1 47  0  0
 2  0      0 144716   3692  35200    0    0     0     0  310  170 52  2 47  0  0
 2  0      0 144716   3692  35200    0    0     0     0  305  168 52  1 47  0  0
 2  0      0 144716   3692  35200    0    0     0     0  310  176 51  2 47  0  0
 2  0      0 144716   3692  35200    0    0     0     0  327  164 56  2 43  0  0
 2  0      0 144716   3692  35200    0    0     0     0  315  175 53  2 46  0  0
 2  0      0 144716   3692  35200    0    0     0     0  335  153 58  1 41  0  0
 2  0      0 144716   3692  35200    0    0     0     0  339  160 59  1 40  0  0
 2  0      0 144716   3692  35200    0    0     0   116  344  163 59  2 40  0  0
 2  0      0 144716   3692  35200    0    0     0     0  337  157 56  3 41  0  0
 2  0      0 144716   3692  35200    0    0     0     0  335  163 48  8 44  0  0
===VMSTAT_END===
========== SPEEDOMETER RT APPLICATION RESULTS ==========
Test Configuration:
Period: 50.000 ms
Deadline: 5.000 ms
RT Priority: 99 (SCHED_FIFO)
Execution Statistics:
Total cycles: 299
Deadline misses: 0 (0.000%)
Execution Time (μs):
Mean: 189.546
Min: 148.608
Max: 1674.000
50th percentile: 184.112
95th percentile: 218.176
99th percentile: 245.264
99.9th percentile: 1674.000
Jitter (μs):
Mean: 1862.486
Min: 1324.400
Max: 3780.480
Response Time (μs):
Mean: 2052.031
Min: 1507.664
Max: 3965.968
50th percentile: 1810.464
95th percentile: 2920.032
99th percentile: 3891.472
99.9th percentile: 3965.968
========================================================
===VMSTAT_START===
(no vmstat data captured)
===VMSTAT_END===
===CSV_START===
cycle,timestamp_s,execution_time_us,jitter_us,response_time_us,deadline_miss
1,0.052629,199.376,2629.216,2828.592,0
2,0.101663,164.064,1662.752,1826.816,0
3,0.151767,209.536,1766.944,1976.480,0
4,0.201495,188.880,1495.184,1684.064,0
5,0.253520,165.360,3519.936,3685.296,0
6,0.301566,191.840,1565.568,1757.408,0
7,0.351766,216.160,1765.664,1981.824,0
8,0.401631,172.608,1630.656,1803.264,0
9,0.451750,205.168,1750.160,1955.328,0
10,0.501651,203.888,1650.784,1854.672,0
11,0.551706,204.560,1706.176,1910.736,0
12,0.601659,172.672,1658.768,1831.440,0
13,0.651726,192.368,1725.696,1918.064,0
14,0.701636,167.440,1636.448,1803.888,0
15,0.751704,191.776,1703.744,1895.520,0
16,0.801606,162.944,1605.856,1768.800,0
17,0.853527,180.784,3526.960,3707.744,0
18,0.903738,178.176,3738.256,3916.432,0
19,0.951676,202.752,1675.680,1878.432,0
20,1.001578,163.776,1578.320,1742.096,0
21,1.051717,201.632,1716.896,1918.528,0
22,1.101658,164.384,1657.984,1822.368,0
23,1.151547,151.488,1547.184,1698.672,0
24,1.201521,201.664,1521.152,1722.816,0
25,1.251532,193.760,1531.568,1725.328,0
26,1.301669,188.368,1669.328,1857.696,0
27,1.352573,163.536,2573.120,2736.656,0
28,1.401540,178.160,1539.968,1718.128,0
29,1.451747,220.992,1746.944,1967.936,0
30,1.501662,162.912,1662.432,1825.344,0
31,1.551473,188.976,1472.720,1661.696,0
32,1.601534,153.568,1534.320,1687.888,0
33,1.652404,193.504,2404.400,2597.904,0
34,1.701541,208.144,1541.200,1749.344,0
35,1.751659,151.776,1658.736,1810.512,0
36,1.801445,183.232,1445.296,1628.528,0
37,1.852733,187.024,2733.008,2920.032,0
38,1.901525,217.168,1525.472,1742.640,0
39,1.952526,183.904,2526.176,2710.080,0
40,2.001548,151.168,1547.584,1698.752,0
41,2.052554,162.912,2554.192,2717.104,0
42,2.101513,185.888,1513.456,1699.344,0
43,2.151638,243.584,1637.632,1881.216,0
44,2.201560,198.240,1559.696,1757.936,0
45,2.252486,210.048,2485.808,2695.856,0
46,2.301576,162.576,1575.552,1738.128,0
47,2.352545,206.064,2545.248,2751.312,0
48,2.401568,170.832,1568.368,1739.200,0
49,2.451560,161.840,1560.016,1721.856,0
50,2.501578,148.608,1577.824,1726.432,0
51,2.552531,162.480,2530.864,2693.344,0
52,2.601562,172.672,1561.952,1734.624,0
53,2.651647,162.400,1647.120,1809.520,0
54,2.701659,162.720,1659.424,1822.144,0
55,2.751852,162.240,1852.176,2014.416,0
56,2.801479,170.320,1478.656,1648.976,0
57,2.852479,207.280,2479.072,2686.352,0
58,2.901655,205.728,1654.688,1860.416,0
59,2.951579,162.208,1579.056,1741.264,0
60,3.001522,201.152,1521.808,1722.960,0
61,3.051754,210.496,1754.432,1964.928,0
62,3.101548,158.624,1548.416,1707.040,0
63,3.153641,152.928,3640.944,3793.872,0
64,3.201661,152.928,1660.736,1813.664,0
65,3.251668,152.256,1668.112,1820.368,0
66,3.301655,163.376,1655.376,1818.752,0
67,3.351601,180.720,1600.816,1781.536,0
68,3.401642,211.968,1642.384,1854.352,0
69,3.451771,196.896,1770.816,1967.712,0
70,3.501541,209.232,1541.456,1750.688,0
71,3.551666,165.520,1665.648,1831.168,0
