========================================
Signal Sender Workload (Synchronized)
========================================
Initializing shared memory...
Waiting for speedometer to register...
Found speedometer in shared memory!
Sending START command to speedometer: START: 15;5;20

Running workload signal period for 15 seconds...

Workload signal period completed.
Sending STOP command to speedometer...
Waiting for statistics from speedometer...

Stress workload terminated.
===VMSTAT_START===
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 144568   4020  35208    0    0    15     8  183  100 54  9 37  0  0
 2  0      0 144568   4020  35208    0    0     0     0  314  177 51  2 47  0  0
 2  0      0 144568   4020  35208    0    0     0     0  312  174 53  1 46  0  0
 2  0      0 144568   4020  35208    0    0     0     0  302  172 50  2 48  0  0
 2  0      0 144568   4028  35208    0    0     0   124  317  181 53  2 45  1  0
 2  0      0 144568   4028  35208    0    0     0     0  325  171 55  2 44  0  0
 2  0      0 144568   4028  35208    0    0     0     0  308  171 51  2 48  0  0
 2  0      0 144568   4028  35208    0    0     0     0  305  169 52  1 47  0  0
 2  0      0 144568   4028  35208    0    0     0     0  320  180 53  2 45  0  0
 2  0      0 144568   4028  35208    0    0     0     0  304  171 51  1 48  0  0
 2  0      0 144568   4028  35208    0    0     0     0  300  172 51  1 48  0  0
 2  0      0 144568   4028  35208    0    0     0     0  310  172 53  1 46  0  0
 2  0      0 144568   4028  35208    0    0     0     0  310  179 52  1 48  0  0
 2  0      0 144568   4028  35208    0    0     0     0  305  171 51  2 48  0  0
 2  0      0 144568   4028  35208    0    0     0     0  303  174 52  1 48  0  0
 2  0      0 144568   4028  35208    0    0     0     0  301  170 52  1 48  0  0
 2  0      0 144568   4028  35208    0    0     0     0  317  163 53  2 45  0  0
===VMSTAT_END===
========== SPEEDOMETER RT APPLICATION RESULTS ==========
Test Configuration:
Period: 50.000 ms
Deadline: 5.000 ms
RT Priority: 99 (SCHED_FIFO)
Execution Statistics:
Total cycles: 300
Deadline misses: 1 (0.333%)
Execution Time (μs):
Mean: 166.171
Min: 132.480
Max: 382.032
50th percentile: 167.296
95th percentile: 212.912
99th percentile: 254.336
99.9th percentile: 382.032
Jitter (μs):
Mean: 2028.641
Min: 1048.464
Max: 6923.088
Response Time (μs):
Mean: 2194.812
Min: 1194.672
Max: 7177.424
50th percentile: 2092.064
95th percentile: 3132.256
99th percentile: 4109.504
99.9th percentile: 7177.424
========================================================
===VMSTAT_START===
(no vmstat data captured)
===VMSTAT_END===
===CSV_START===
cycle,timestamp_s,execution_time_us,jitter_us,response_time_us,deadline_miss
1,0.053928,181.344,3928.160,4109.504,0
2,0.102297,135.680,2296.656,2432.336,0
3,0.151978,173.600,1977.696,2151.296,0
4,0.202952,157.344,2951.632,3108.976,0
5,0.251093,152.464,1092.592,1245.056,0
6,0.301913,134.976,1912.912,2047.888,0
7,0.351897,165.568,1897.296,2062.864,0
8,0.401956,166.704,1956.336,2123.040,0
9,0.451941,189.792,1940.736,2130.528,0
10,0.502992,159.104,2991.536,3150.640,0
11,0.551921,165.360,1920.928,2086.288,0
12,0.601983,167.904,1982.704,2150.608,0
13,0.651950,169.504,1949.920,2119.424,0
14,0.703901,193.296,3901.232,4094.528,0
15,0.751785,171.776,1785.056,1956.832,0
16,0.801966,183.504,1965.584,2149.088,0
17,0.851892,136.816,1892.496,2029.312,0
18,0.901949,135.232,1949.456,2084.688,0
19,0.951824,152.768,1824.480,1977.248,0
20,1.001389,194.192,1389.200,1583.392,0
21,1.051838,135.120,1837.952,1973.072,0
22,1.101950,164.000,1949.520,2113.520,0
23,1.151960,197.488,1959.568,2157.056,0
24,1.202963,205.184,2963.312,3168.496,0
25,1.251782,185.488,1781.984,1967.472,0
26,1.302158,176.336,2158.016,2334.352,0
27,1.351794,169.552,1793.856,1963.408,0
28,1.401998,143.872,1998.160,2142.032,0
29,1.451753,174.000,1752.576,1926.576,0
30,1.501338,178.320,1337.568,1515.888,0
31,1.551060,134.352,1060.320,1194.672,0
32,1.601975,134.304,1974.896,2109.200,0
33,1.651777,174.912,1777.296,1952.208,0
34,1.701945,147.584,1945.440,2093.024,0
35,1.751959,170.592,1958.560,2129.152,0
36,1.802100,151.312,2100.224,2251.536,0
37,1.851803,174.384,1802.848,1977.232,0
38,1.901993,144.400,1993.264,2137.664,0
39,1.951863,150.080,1862.976,2013.056,0
40,2.001999,158.992,1998.832,2157.824,0
41,2.051779,173.152,1778.672,1951.824,0
42,2.101652,313.072,1651.568,1964.640,0
43,2.151969,171.408,1968.832,2140.240,0
44,2.201950,177.984,1950.240,2128.224,0
45,2.251777,173.168,1776.592,1949.760,0
46,2.301978,174.512,1977.584,2152.096,0
47,2.351996,171.472,1995.632,2167.104,0
48,2.403775,172.944,3775.248,3948.192,0
49,2.451786,167.296,1786.384,1953.680,0
50,2.502178,187.264,2177.616,2364.880,0
51,2.552003,219.072,2003.344,2222.416,0
52,2.601994,196.240,1993.648,2189.888,0
53,2.651782,196.752,1782.256,1979.008,0
54,2.701961,167.728,1960.736,2128.464,0
55,2.751951,133.456,1950.832,2084.288,0
56,2.801950,160.688,1949.552,2110.240,0
