========================================
Signal Sender Workload (Synchronized)
========================================
Initializing shared memory...
Waiting for speedometer to register...
Found speedometer in shared memory!
Sending START command to speedometer: START: 15;5;20

Running workload signal period for 15 seconds...

Workload signal period completed.
Sending STOP command to speedometer...
Waiting for statistics from speedometer...

Stress workload terminated.
===VMSTAT_START===
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 144800   4068  35204    0    0    14     8  183   99 54  9 37  0  0
 2  0      0 144800   4068  35208    0    0     0     0  321  166 54  2 44  0  0
 2  0      0 144800   4068  35208    0    0     0     0  336  162 57  2 42  0  0
 2  0      0 144800   4068  35208    0    0     0     0  305  173 52  1 48  0  0
 2  0      0 144800   4076  35200    0    0     0   124  349  171 58  2 41  0  0
 2  0      0 144800   4076  35208    0    0     0     0  329  169 56  2 42  0  0
 2  0      0 144800   4076  35208    0    0     0     0  319  167 53  2 46  0  0
 2  0      0 144800   4076  35208    0    0     0     0  305  175 51  2 48  0  0
 2  0      0 144800   4076  35208    0    0     0     0  311  173 52  1 47  0  0
 2  0      0 144800   4076  35208    0    0     0     0  308  171 52  2 47  0  0
 2  0      0 144800   4076  35208    0    0     0     0  314  171 51  2 47  0  0
 3  0      0 144800   4076  35208    0    0     0     0  308  172 52  1 47  0  0
 2  0      0 144800   4076  35208    0    0     0     0  310  169 51  2 47  0  0
 2  0      0 144800   4076  35208    0    0     0     0  320  169 52  3 46  0  0
 2  0      0 144800   4076  35208    0    0     0     0  326  171 55  1 45  0  0
 2  0      0 144800   4076  35208    0    0     0     0  317  165 54  2 45  0  0
 2  0      0 144800   4076  35208    0    0     0     0  308  162 52  1 47  0  0
===VMSTAT_END===
========== SPEEDOMETER RT APPLICATION RESULTS ==========
Test Configuration:
Period: 50.000 ms
Deadline: 5.000 ms
RT Priority: 99 (SCHED_FIFO)
Execution Statistics:
Total cycles: 299
Deadline misses: 0 (0.000%)
Execution Time (μs):
Mean: 272.435
Min: 127.744
Max: 2188.736
50th percentile: 183.296
95th percentile: 1122.672
99th percentile: 1777.568
99.9th percentile: 2188.736
Jitter (μs):
Mean: 1456.258
Min: 1177.152
Max: 3003.552
Response Time (μs):
Mean: 1728.693
Min: 1355.952
Max: 3459.728
50th percentile: 1537.856
95th percentile: 2815.600
99th percentile: 3299.904
99.9th percentile: 3459.728
========================================================
===VMSTAT_START===
(no vmstat data captured)
===VMSTAT_END===
===CSV_START===
cycle,timestamp_s,execution_time_us,jitter_us,response_time_us,deadline_miss
1,0.051375,139.968,1374.976,1514.944,0
2,0.101400,145.408,1400.144,1545.552,0
3,0.151563,164.656,1562.768,1727.424,0
4,0.201238,832.880,1238.032,2070.912,0
5,0.251299,159.392,1298.560,1457.952,0
6,0.301386,132.576,1385.728,1518.304,0
7,0.351507,130.400,1506.528,1636.928,0
8,0.402555,142.672,2555.392,2698.064,0
9,0.451336,164.176,1336.016,1500.192,0
10,0.501366,294.128,1365.936,1660.064,0
11,0.551250,208.624,1250.416,1459.040,0
12,0.601351,249.728,1350.752,1600.480,0
13,0.651376,172.608,1375.952,1548.560,0
14,0.701393,157.200,1392.688,1549.888,0
15,0.751264,186.816,1264.224,1451.040,0
16,0.801229,1281.920,1228.768,2510.688,0
17,0.851264,201.872,1264.224,1466.096,0
18,0.901213,153.936,1213.488,1367.424,0
19,0.951213,226.400,1213.104,1439.504,0
20,1.001246,1627.200,1245.840,2873.040,0
21,1.051463,183.392,1463.216,1646.608,0
22,1.101243,1912.928,1243.424,3156.352,0
23,1.151224,195.760,1224.464,1420.224,0
24,1.201214,145.008,1213.760,1358.768,0
25,1.251223,205.568,1222.992,1428.560,0
26,1.301240,2188.736,1240.064,3428.800,0
27,1.351208,231.056,1207.664,1438.720,0
28,1.401198,1777.568,1198.304,2975.872,0
29,1.451371,154.416,1370.784,1525.200,0
30,1.501325,134.928,1324.704,1459.632,0
31,1.551256,198.976,1256.176,1455.152,0
32,1.602684,775.616,2684.112,3459.728,0
33,1.651324,161.056,1324.320,1485.376,0
34,1.701316,210.400,1316.272,1526.672,0
35,1.751249,187.936,1248.976,1436.912,0
36,1.801254,363.088,1254.000,1617.088,0
37,1.851184,198.224,1184.080,1382.304,0
38,1.901256,1536.400,1256.448,2792.848,0
39,1.951250,192.432,1249.920,1442.352,0
40,2.001232,143.552,1231.680,1375.232,0
41,2.051332,166.576,1331.840,1498.416,0
42,2.101217,807.024,1217.440,2024.464,0
43,2.151211,209.056,1210.720,1419.776,0
44,2.201209,178.208,1209.008,1387.216,0
45,2.251237,230.800,1236.944,1467.744,0
46,2.301335,186.832,1335.072,1521.904,0
47,2.351195,192.784,1195.072,1387.856,0
48,2.401335,161.248,1335.408,1496.656,0
49,2.451209,190.576,1209.056,1399.632,0
50,2.501351,136.608,1351.296,1487.904,0
51,2.551230,202.608,1230.352,1432.960,0
52,2.601219,846.080,1219.024,2065.104,0
53,2.651230,187.408,1229.568,1416.976,0
54,2.701213,146.032,1213.216,1359.248,0
55,2.751218,211.552,1217.680,1429.232,0
56,2.801235,160.928,1235.216,1396.144,0
57,2.851387,154.656,1387.232,1541.888,0
58,2.901233,171.872,1232.928,1404.800,0
59,2.951216,177.936,1216.112,1394.048,0
60,3.001202,233.536,1201.520,1435.056,0
61,3.051234,210.320,1233.632,1443.952,0
62,3.101356,182.256,1356.080,1538.336,0
63,3.151354,194.048,1353.552,1547.600,0
64,3.201323,249.104,1322.912,1572.016,0
65,3.251259,181.456,1259.136,1440.592,0
66,3.301377,175.904,1377.040,1552.944,0
67,3.351334,177.488,1334.160,1511.648,0
68,3.401304,233.552,1304.304,1537.856,0
69,3.451280,129.280,1280.336,1409.616,0
70,3.502598,172.256,2597.920,2770.176,0
71,3.551312,169.984,1311.760,1481.744,0
72,3.601357,158.272,1356.608,1514.880,0
73,3.651510,134.256,1509.856,1644.112,0
74,3.702332,220.112,2331.632,2551.744,0
75,3.751348,176.992,1347.680,1524.672,0
76,3.801379,217.840,1379.360,1597.200,0
77,3.851329,172.064,1328.512,1500.576,0
78,3.901388,192.160,1387.920,1580.080,0
79,3.951310,161.824,1309.728,1471.552,0
80,4.002908,140.816,2907.984,3048.800,0
81,4.051410,150.720,1410.416,1561.136,0
82,4.101312,1333.632,1311.648,2645.280,0
83,4.151342,173.120,1341.760,1514.880,0
84,4.201209,183.072,1209.008,1392.080,0
85,4.251512,127.744,1511.760,1639.504,0
