========================================
Signal Sender Workload (Synchronized)
========================================
Initializing shared memory...
Waiting for speedometer to register...
Found speedometer in shared memory!
Sending START command to speedometer: START: 15;5;20

Running workload signal period for 15 seconds...

Workload signal period completed.
Sending STOP command to speedometer...
Waiting for statistics from speedometer...

Stress workload terminated.
===VMSTAT_START===
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0      0 144540   3556  35196    0    0   105    10  221  153 56 19 25  0  0
 5  0      0 144540   3556  35196    0    0     0     0  352  272 61  2 37  0  0
 4  0      0 144540   3556  35196    0    0     0     0  416  257 76  1 24  0  0
 4  0      0 144540   3556  35196    0    0     0     0  391  273 68  2 30  0  0
 4  0      0 144540   3564  35196    0    0     0   124  393  277 68  2 29  1  0
 4  0      0 144540   3564  35196    0    0     0     0  367  266 64  2 34  0  0
 4  0      0 144540   3564  35196    0    0     0     0  376  268 66  2 33  0  0
 4  0      0 144540   3564  35196    0    0     0     0  375  258 68  1 31  0  0
 4  0      0 144540   3564  35196    0    0     0     0  387  255 70  2 29  0  0
 4  0      0 144540   3564  35196    0    0     0     0  415  258 73  3 24  0  0
 4  0      0 144540   3564  35196    0    0     0     0  412  264 75  2 23  0  0
 4  0      0 144540   3564  35196    0    0     0     0  414  253 78  1 21  0  0
 4  0      0 144540   3564  35196    0    0     0     0  439  246 82  2 16  0  0
 4  0      0 144540   3564  35196    0    0     0     0  438  241 79  3 19  0  0
 4  0      0 144540   3564  35196    0    0     0     0  422  260 77  2 22  0  0
 4  0      0 144540   3564  35196    0    0     0     0  466  290 72  5 23  0  0
 4  0      0 144540   3564  35196    0    0     0     0  310  226 40 12 48  0  0
===VMSTAT_END===
========== SPEEDOMETER RT APPLICATION RESULTS ==========
Test Configuration:
Period: 50.000 ms
Deadline: 5.000 ms
RT Priority: 99 (SCHED_FIFO)
Execution Statistics:
Total cycles: 300
Deadline misses: 0 (0.000%)
Execution Time (μs):
Mean: 201.893
Min: 151.568
Max: 1620.768
50th percentile: 189.808
95th percentile: 286.608
99th percentile: 338.832
99.9th percentile: 1620.768
Jitter (μs):
Mean: 1520.128
Min: 960.432
Max: 3119.776
Response Time (μs):
Mean: 1722.021
Min: 1136.416
Max: 3990.144
50th percentile: 1500.448
95th percentile: 2564.176
99th percentile: 3217.728
99.9th percentile: 3990.144
========================================================
===VMSTAT_START===
(no vmstat data captured)
===VMSTAT_END===
===CSV_START===
cycle,timestamp_s,execution_time_us,jitter_us,response_time_us,deadline_miss
1,0.052369,1620.768,2369.376,3990.144,0
2,0.102439,157.568,2439.184,2596.752,0
3,0.151201,183.376,1201.408,1384.784,0
4,0.201383,225.184,1383.344,1608.528,0
5,0.251188,153.584,1188.272,1341.856,0
6,0.301360,258.928,1359.616,1618.544,0
7,0.352024,166.704,2024.064,2190.768,0
8,0.402042,161.808,2042.080,2203.888,0
9,0.451145,166.032,1144.832,1310.864,0
10,0.501089,184.000,1089.216,1273.216,0
11,0.551209,193.712,1208.928,1402.640,0
12,0.601482,338.832,1481.904,1820.736,0
13,0.652108,175.232,2108.464,2283.696,0
14,0.701420,319.200,1419.792,1738.992,0
15,0.752212,191.984,2212.480,2404.464,0
16,0.802274,177.072,2273.808,2450.880,0
17,0.851199,153.152,1199.040,1352.192,0
18,0.902054,198.768,2054.384,2253.152,0
19,0.951057,162.272,1056.720,1218.992,0
20,1.001128,225.792,1127.744,1353.536,0
21,1.051467,171.040,1467.200,1638.240,0
22,1.102561,169.376,2561.072,2730.448,0
23,1.151997,215.664,1997.184,2212.848,0
24,1.202278,180.576,2278.208,2458.784,0
25,1.251196,154.656,1195.536,1350.192,0
26,1.301202,213.744,1202.208,1415.952,0
27,1.351195,185.200,1194.848,1380.048,0
28,1.402225,153.584,2225.296,2378.880,0
29,1.451219,152.608,1219.392,1372.000,0
30,1.501057,211.536,1056.976,1268.512,0
31,1.551172,155.152,1171.520,1326.672,0
32,1.601277,206.624,1277.040,1483.664,0
33,1.651134,206.400,1133.536,1339.936,0
34,1.701268,198.384,1267.792,1466.176,0
35,1.751061,163.472,1061.280,1224.752,0
36,1.802330,180.848,2329.584,2510.432,0
37,1.851282,192.256,1281.952,1474.208,0
38,1.901406,212.992,1405.696,1618.688,0
39,1.952032,185.712,2032.016,2217.728,0
40,2.002328,194.240,2328.416,2522.656,0
41,2.051252,186.224,1251.536,1437.760,0
42,2.101217,262.496,1216.640,1479.136,0
43,2.151360,178.960,1359.936,1538.896,0
44,2.201152,233.952,1152.368,1386.320,0
45,2.251270,206.208,1270.208,1476.416,0
46,2.301261,243.824,1260.560,1504.384,0
47,2.351209,240.992,1208.720,1449.712,0
48,2.401203,253.296,1203.200,1456.496,0
49,2.451171,154.080,1170.752,1324.832,0
50,2.502237,207.296,2237.312,2444.608,0
51,2.551919,205.152,1918.640,2123.792,0
52,2.603042,160.016,3042.480,3202.496,0
53,2.651955,245.920,1955.216,2201.136,0
54,2.701133,165.888,1132.976,1298.864,0
55,2.751205,191.504,1204.592,1396.096,0
56,2.801412,228.224,1412.320,1640.544,0
