========================================
Signal Sender Workload (Synchronized)
========================================
Initializing shared memory...
Waiting for speedometer to register...
Found speedometer in shared memory!
Sending START command to speedometer: START: 15;5;20

Running workload signal period for 15 seconds...

Workload signal period completed.
Sending STOP command to speedometer...
Waiting for statistics from speedometer...

Stress workload terminated.
===VMSTAT_START===
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0      0 144868   3652  35200    0    0    47     8  211  149 61 13 26  0  0
 4  0      0 144868   3652  35200    0    0     0     0  315  284 53  1 45  0  0
 4  0      0 144868   3652  35200    0    0     0     0  374  263 67  2 32  0  0
 4  0      0 144868   3652  35200    0    0     0     0  394  263 68  3 29  0  0
 4  0      0 144812   3660  35192    0    0     0   124  367  291 62  2 35  2  0
 4  0      0 144812   3660  35208    0    0     0     0  361  264 62  2 35  0  0
 4  0      0 144812   3660  35208    0    0     0     0  419  264 76  1 23  0  0
 4  0      0 144812   3660  35208    0    0     0     0  414  266 76  1 24  0  0
 4  0      0 144812   3660  35208    0    0     0     0  404  276 71  2 27  0  0
 4  0      0 144812   3660  35208    0    0     0     0  416  266 75  2 23  0  0
 4  0      0 144812   3660  35208    0    0     0     0  427  264 78  2 21  0  0
 4  0      0 144812   3660  35208    0    0     0     0  393  260 68  2 29  0  0
 4  0      0 144812   3660  35208    0    0     0     0  371  266 65  2 34  0  0
 4  0      0 144812   3660  35208    0    0     0     0  363  267 63  2 35  0  0
 4  0      0 144812   3660  35208    0    0     0     0  399  269 70  2 28  0  0
 4  0      0 144812   3660  35208    0    0     0     0  436  253 77  4 19  0  0
 4  0      0 144812   3660  35208    0    0     0     0  307  218 37 15 48  0  0
===VMSTAT_END===
========== SPEEDOMETER RT APPLICATION RESULTS ==========
Test Configuration:
Period: 50.000 ms
Deadline: 5.000 ms
RT Priority: 99 (SCHED_FIFO)
Execution Statistics:
Total cycles: 300
Deadline misses: 0 (0.000%)
Execution Time (μs):
Mean: 215.666
Min: 152.320
Max: 415.376
50th percentile: 209.328
95th percentile: 307.584
99th percentile: 376.336
99.9th percentile: 415.376
Jitter (μs):
Mean: 1794.133
Min: 1291.808
Max: 3745.776
Response Time (μs):
Mean: 2009.800
Min: 1465.744
Max: 3923.088
50th percentile: 1846.624
95th percentile: 2904.976
99th percentile: 3437.792
99.9th percentile: 3923.088
========================================================
===VMSTAT_START===
(no vmstat data captured)
===VMSTAT_END===
===CSV_START===
cycle,timestamp_s,execution_time_us,jitter_us,response_time_us,deadline_miss
1,0.051686,167.776,1685.792,1853.568,0
2,0.102668,186.592,2667.824,2854.416,0
3,0.151690,184.976,1690.000,1874.976,0
4,0.202262,190.880,2261.600,2452.480,0
5,0.251550,177.936,1549.520,1727.456,0
6,0.301293,182.560,1293.408,1475.968,0
7,0.351472,249.216,1472.016,1721.232,0
8,0.402424,179.440,2423.920,2603.360,0
9,0.451472,235.712,1471.696,1707.408,0
10,0.502412,224.112,2412.176,2636.288,0
11,0.551754,167.264,1753.648,1920.912,0
12,0.602365,266.688,2365.024,2631.712,0
13,0.651371,223.584,1370.912,1594.496,0
14,0.702265,309.744,2264.688,2574.432,0
15,0.751438,210.400,1438.128,1648.528,0
16,0.802400,200.768,2400.016,2600.784,0
17,0.851404,188.432,1404.480,1592.912,0
18,0.902861,203.936,2860.592,3064.528,0
19,0.951452,180.704,1452.224,1632.928,0
20,1.002567,211.072,2566.560,2777.632,0
21,1.051350,222.384,1349.760,1572.144,0
22,1.102785,244.432,2784.512,3028.944,0
23,1.151609,211.344,1609.120,1820.464,0
24,1.202307,231.696,2306.864,2538.560,0
25,1.251393,188.160,1392.896,1581.056,0
26,1.302319,235.184,2318.528,2553.712,0
27,1.351409,187.424,1408.592,1596.016,0
28,1.402243,224.464,2242.816,2467.280,0
29,1.451447,328.896,1447.168,1776.064,0
30,1.502296,223.472,2296.224,2519.696,0
31,1.551369,220.416,1369.248,1589.664,0
32,1.602455,193.936,2455.264,2649.200,0
33,1.651387,248.864,1386.528,1635.392,0
34,1.701318,317.248,1318.256,1635.504,0
35,1.751358,201.392,1358.240,1559.632,0
36,1.801980,230.912,1980.128,2211.040,0
37,1.851356,217.424,1356.256,1573.680,0
38,1.902922,180.784,2921.824,3102.608,0
39,1.951389,222.224,1388.720,1610.944,0
40,2.002322,203.296,2322.064,2525.360,0
41,2.051374,216.992,1373.968,1590.960,0
42,2.101622,171.568,1621.936,1793.504,0
43,2.151461,220.464,1461.408,1681.872,0
44,2.202538,194.464,2537.872,2732.336,0
45,2.251315,198.240,1314.976,1513.216,0
46,2.302018,244.752,2018.112,2262.864,0
47,2.351441,192.592,1440.944,1633.536,0
48,2.402394,197.712,2394.448,2592.160,0
49,2.451368,152.320,1368.208,1520.528,0
50,2.502444,217.088,2444.336,2661.424,0
51,2.551470,176.288,1470.352,1646.640,0
52,2.602227,304.144,2226.576,2530.720,0
53,2.651298,201.600,1298.384,1499.984,0
54,2.701302,163.968,1301.776,1465.744,0
55,2.751379,220.176,1379.216,1599.392,0
56,2.802448,242.032,2447.536,2689.568,0
