========================================
Signal Sender Workload (Synchronized)
========================================
Initializing shared memory...
Waiting for speedometer to register...
Found speedometer in shared memory!
Sending START command to speedometer: START: 15;5;20

Running workload signal period for 15 seconds...

Workload signal period completed.
Sending STOP command to speedometer...
Waiting for statistics from speedometer...

Stress workload terminated.
===VMSTAT_START===
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0      0 144024   3916  35216    0    0    19     8  210  147 66 10 24  0  0
 5  0      0 144024   3916  35220    0    0     0     0  349  272 59  1 40  0  0
 4  0      0 144024   3916  35220    0    0     0     0  374  263 66  2 32  0  0
 5  0      0 144024   3916  35220    0    0     0     0  329  273 58  2 41  0  0
 5  0      0 144024   3916  35220    0    0     0     0  332  291 56  2 42  0  0
 4  0      0 144024   3924  35220    0    0     0   124  379  279 65  2 31  2  0
 4  0      0 144024   3924  35220    0    0     0     0  370  257 65  2 33  0  0
 4  0      0 144024   3924  35220    0    0     0     0  343  269 61  1 38  0  0
 4  0      0 144024   3924  35220    0    0     0     0  338  282 58  2 40  0  0
 4  0      0 144024   3924  35220    0    0     0     0  383  255 68  3 30  0  0
 4  0      0 144024   3924  35220    0    0     0     0  337  288 59  1 40  0  0
 4  0      0 144024   3924  35220    0    0     0     0  384  272 68  2 30  0  0
 4  0      0 144024   3924  35220    0    0     0     0  375  262 67  1 32  0  0
 4  0      0 144024   3924  35220    0    0     0     0  392  262 69  1 30  0  0
 4  0      0 144024   3924  35220    0    0     0     0  383  257 68  2 30  0  0
 5  0      0 144024   3924  35220    0    0     0     0  397  268 72  2 26  0  0
 5  0      0 144024   3924  35220    0    0     0     0  330  244 54  3 43  0  0
===VMSTAT_END===
========== SPEEDOMETER RT APPLICATION RESULTS ==========
Test Configuration:
Period: 50.000 ms
Deadline: 5.000 ms
RT Priority: 99 (SCHED_FIFO)
Execution Statistics:
Total cycles: 300
Deadline misses: 0 (0.000%)
Execution Time (μs):
Mean: 177.257
Min: 133.824
Max: 253.520
50th percentile: 181.056
95th percentile: 217.296
99th percentile: 241.568
99.9th percentile: 253.520
Jitter (μs):
Mean: 1554.504
Min: 1313.248
Max: 3361.440
Response Time (μs):
Mean: 1731.760
Min: 1488.336
Max: 3538.528
50th percentile: 1674.064
95th percentile: 2108.272
99th percentile: 2716.208
99.9th percentile: 3538.528
========================================================
===VMSTAT_START===
(no vmstat data captured)
===VMSTAT_END===
===CSV_START===
cycle,timestamp_s,execution_time_us,jitter_us,response_time_us,deadline_miss
1,0.051844,148.816,1843.856,1992.672,0
2,0.101649,139.552,1649.120,1788.672,0
3,0.151507,233.360,1507.312,1740.672,0
4,0.203361,177.088,3361.440,3538.528,0
5,0.251359,183.184,1358.992,1542.176,0
6,0.301472,191.056,1472.416,1663.472,0
7,0.351439,134.720,1438.752,1573.472,0
8,0.401868,193.120,1867.504,2060.624,0
9,0.451454,154.512,1453.792,1608.304,0
10,0.501585,145.952,1584.848,1730.800,0
11,0.551380,182.224,1379.952,1562.176,0
12,0.601422,154.192,1421.920,1576.112,0
13,0.651463,191.632,1463.072,1654.704,0
14,0.701653,150.288,1653.168,1803.456,0
15,0.751419,156.576,1419.120,1575.696,0
16,0.801533,137.296,1532.560,1669.856,0
17,0.851438,135.136,1438.384,1573.520,0
18,0.901518,182.256,1518.160,1700.416,0
19,0.951426,154.512,1426.192,1580.704,0
20,1.001498,187.536,1497.504,1685.040,0
21,1.051425,154.128,1424.528,1578.656,0
22,1.101803,153.712,1803.248,1956.960,0
23,1.151381,181.376,1381.120,1562.496,0
24,1.201715,195.488,1715.328,1910.816,0
25,1.251371,161.712,1370.848,1532.560,0
26,1.301510,253.520,1510.064,1763.584,0
27,1.351625,141.344,1625.200,1766.544,0
28,1.401448,222.288,1448.112,1670.400,0
29,1.451452,216.416,1451.696,1668.112,0
30,1.501734,152.976,1733.920,1886.896,0
31,1.551528,207.584,1527.680,1735.264,0
32,1.601535,201.600,1535.216,1736.816,0
33,1.651410,180.256,1409.632,1589.888,0
34,1.701721,207.120,1720.656,1927.776,0
35,1.751480,185.680,1479.872,1665.552,0
36,1.801515,188.928,1514.608,1703.536,0
37,1.851416,135.712,1415.920,1551.632,0
38,1.901445,135.344,1445.264,1580.608,0
39,1.951368,169.888,1367.616,1537.504,0
40,2.001378,187.856,1377.584,1565.440,0
41,2.051445,134.368,1445.200,1579.568,0
42,2.101525,160.480,1525.424,1685.904,0
43,2.151418,135.824,1418.000,1553.824,0
44,2.201482,143.648,1482.320,1625.968,0
45,2.251475,209.648,1474.672,1684.320,0
46,2.301473,185.952,1472.800,1658.752,0
47,2.351395,177.920,1394.992,1572.912,0
48,2.401515,155.216,1515.360,1670.576,0
49,2.451360,187.360,1360.320,1547.680,0
50,2.501520,190.656,1520.272,1710.928,0
51,2.551360,176.992,1360.096,1537.088,0
52,2.601649,184.720,1649.440,1834.160,0
53,2.651438,135.616,1437.648,1573.264,0
54,2.701515,210.912,1514.608,1725.520,0
55,2.751357,189.744,1356.816,1546.560,0
56,2.801856,136.608,1856.128,1992.736,0
