========================================
Signal Sender Workload (Synchronized)
========================================
Initializing shared memory...
Waiting for speedometer to register...
Found speedometer in shared memory!
Sending START command to speedometer: START: 15;5;20

Running workload signal period for 15 seconds...

Workload signal period completed.
Sending STOP command to speedometer...
Waiting for statistics from speedometer...

Stress workload terminated.
===VMSTAT_START===
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 8  0      0 143684   3780  35304    0    0    27     8  218  178 69 11 20  0  0
 8  0      0 143624   3780  35304    0    0     0     0  425  381 77  3 20  0  0
 8  0      0 143624   3780  35304    0    0     0    48  423  360 75  3 22  0  0
 8  0      0 143624   3780  35304    0    0     0     0  420  385 77  2 21  0  0
 8  0      0 143564   3788  35304    0    0     0   124  419  373 75  2 23  1  0
 8  0      0 143564   3788  35304    0    0     0     0  405  350 75  2 23  0  0
 8  0      0 143564   3788  35304    0    0     0     0  423  377 78  1 20  0  0
 8  0      0 143564   3788  35304    0    0     0     0  400  355 74  1 25  0  0
 8  0      0 143564   3788  35304    0    0     0     0  401  338 74  1 24  0  0
 8  0      0 143564   3788  35304    0    0     0     0  416  357 78  1 21  0  0
 8  0      0 143564   3788  35304    0    0     0     0  425  345 77  2 21  0  0
 8  0      0 143564   3788  35304    0    0     0     0  405  339 74  1 24  0  0
 8  0      0 143564   3788  35304    0    0     0     0  433  367 77  3 20  0  0
 8  0      0 143564   3788  35304    0    0     0     0  420  362 76  2 22  0  0
 8  0      0 143564   3788  35304    0    0     0     0  390  332 70  2 27  0  0
 8  0      0 143564   3788  35304    0    0     0     0  405  341 71  2 27  0  0
 8  0      0 143564   3788  35304    0    0     0     0  339  301 59  2 39  0  0
===VMSTAT_END===
========== SPEEDOMETER RT APPLICATION RESULTS ==========
Test Configuration:
Period: 50.000 ms
Deadline: 5.000 ms
RT Priority: 99 (SCHED_FIFO)
Execution Statistics:
Total cycles: 300
Deadline misses: 0 (0.000%)
Execution Time (μs):
Mean: 244.546
Min: 151.392
Max: 1444.848
50th percentile: 188.368
95th percentile: 722.352
99th percentile: 1335.328
99.9th percentile: 1444.848
Jitter (μs):
Mean: 1669.818
Min: 962.064
Max: 2572.384
Response Time (μs):
Mean: 1914.364
Min: 1136.912
Max: 2770.560
50th percentile: 2152.544
95th percentile: 2501.232
99th percentile: 2677.776
99.9th percentile: 2770.560
========================================================
===VMSTAT_START===
(no vmstat data captured)
===VMSTAT_END===
===CSV_START===
cycle,timestamp_s,execution_time_us,jitter_us,response_time_us,deadline_miss
1,0.052338,216.016,2337.664,2553.680,0
2,0.102038,283.248,2037.952,2321.200,0
3,0.151973,186.176,1972.672,2158.848,0
4,0.202039,160.672,2039.408,2200.080,0
5,0.251416,155.696,1415.536,1571.232,0
6,0.301987,153.344,1986.576,2139.920,0
7,0.351365,186.352,1364.928,1551.280,0
8,0.402171,274.928,2170.544,2445.472,0
9,0.452014,153.248,2013.952,2167.200,0
10,0.501173,197.136,1173.344,1370.480,0
11,0.551980,154.640,1980.256,2134.896,0
12,0.601042,191.824,1041.568,1233.392,0
13,0.651432,200.240,1432.368,1632.608,0
14,0.702073,216.496,2072.768,2289.264,0
15,0.751389,201.376,1388.752,1590.128,0
16,0.802005,186.400,2005.008,2191.408,0
17,0.851417,155.024,1416.896,1571.920,0
18,0.902010,221.440,2010.352,2231.792,0
19,0.951992,182.704,1991.776,2174.480,0
20,1.001067,162.512,1067.168,1229.680,0
21,1.052215,202.736,2214.720,2417.456,0
22,1.102046,343.312,2045.760,2389.072,0
23,1.152478,199.328,2478.448,2677.776,0
24,1.202010,195.248,2010.416,2205.664,0
25,1.251376,181.200,1376.480,1557.680,0
26,1.301103,153.360,1102.896,1256.256,0
27,1.352020,173.568,2019.792,2193.360,0
28,1.401307,1370.368,1307.248,2677.616,0
29,1.451196,209.952,1195.712,1405.664,0
30,1.502012,174.880,2012.336,2187.216,0
31,1.551221,196.224,1221.152,1417.376,0
32,1.601053,183.216,1053.408,1236.624,0
33,1.651261,260.832,1261.200,1522.032,0
34,1.701993,236.960,1993.408,2230.368,0
35,1.751302,151.424,1302.272,1453.696,0
36,1.801072,155.760,1071.952,1227.712,0
37,1.852054,171.616,2054.064,2225.680,0
38,1.901257,1444.848,1257.440,2702.288,0
39,1.952055,153.312,2055.104,2208.416,0
40,2.001014,186.304,1014.416,1200.720,0
41,2.052093,183.872,2092.816,2276.688,0
42,2.100999,154.624,998.976,1153.600,0
43,2.152022,196.208,2022.208,2218.416,0
44,2.201045,152.864,1045.440,1198.304,0
45,2.251447,204.656,1447.008,1651.664,0
46,2.302044,175.024,2043.504,2218.528,0
47,2.351349,169.664,1349.120,1518.784,0
48,2.402203,199.088,2202.800,2401.888,0
49,2.451986,176.608,1985.744,2162.352,0
50,2.501227,165.040,1226.960,1392.000,0
51,2.551967,190.096,1966.992,2157.088,0
52,2.601161,183.424,1160.688,1344.112,0
53,2.651969,170.256,1969.456,2139.712,0
54,2.701260,179.008,1260.032,1439.040,0
55,2.752030,162.848,2030.496,2193.344,0
56,2.801176,152.000,1175.584,1327.584,0
57,2.852033,191.024,2032.976,2224.000,0
58,2.901083,207.344,1083.072,1290.416,0
59,2.952018,169.440,2017.952,2187.392,0
60,3.000985,209.328,984.912,1194.240,0
61,3.052059,169.232,2059.136,2228.368,0
62,3.101243,164.576,1243.024,1407.600,0
63,3.151944,191.168,1944.304,2135.472,0
64,3.201275,1063.408,1275.408,2338.816,0
65,3.252019,190.272,2018.944,2209.216,0
66,3.301014,212.224,1013.552,1225.776,0
67,3.351423,225.536,1422.944,1648.480,0
68,3.401254,1303.712,1254.352,2558.064,0
69,3.452410,192.032,2409.872,2601.904,0
70,3.501348,322.400,1348.192,1670.592,0
71,3.552295,239.168,2294.880,2534.048,0
72,3.601318,175.488,1318.480,1493.968,0
73,3.652132,199.184,2131.648,2330.832,0
74,3.701202,214.912,1201.872,1416.784,0
75,3.751272,234.080,1272.320,1506.400,0
76,3.801292,1098.928,1291.712,2390.640,0
77,3.851737,163.344,1737.488,1900.832,0
78,3.902051,197.440,2051.008,2248.448,0
79,3.951492,192.848,1492.448,1685.296,0
80,4.002108,283.312,2107.840,2391.152,0
81,4.052284,183.968,2283.520,2467.488,0
82,4.102055,277.536,2055.264,2332.800,0
83,4.151982,190.944,1981.920,2172.864,0
84,4.201289,1252.432,1288.560,2540.992,0
85,4.251981,192.272,1980.992,2173.264,0
86,4.301036,152.208,1036.032,1188.240,0
87,4.351472,236.368,1472.000,1708.368,0
88,4.402002,152.768,2002.352,2155.120,0
89,4.451283,214.768,1283.168,1497.936,0
90,4.501286,1229.120,1286.416,2515.536,0
91,4.552050,194.768,2049.984,2244.752,0
92,4.601176,1079.984,1175.824,2255.808,0
93,4.652035,152.480,2034.864,2187.344,0
94,4.701009,158.016,1008.960,1166.976,0
95,4.751949,169.712,1949.200,2118.912,0
96,4.802077,202.592,2077.120,2279.712,0
97,4.851694,152.864,1694.288,1847.152,0
98,4.902021,183.792,2021.120,2204.912,0
99,4.951569,209.504,1568.560,1778.064,0
100,5.002017,311.168,2016.848,2328.016,0
101,5.051284,172.736,1284.256,1456.992,0
102,5.101200,189.920,1200.112,1390.032,0
103,5.152062,157.776,2061.568,2219.344,0
104,5.201007,214.144,1007.088,1221.232,0
105,5.252122,168.528,2121.536,2290.064,0
106,5.301228,170.032,1228.384,1398.416,0
107,5.351153,187.728,1152.528,1340.256,0
108,5.401174,722.352,1174.368,1896.720,0
109,5.451606,182.208,1606.176,1788.384,0
110,5.502221,280.480,2220.752,2501.232,0
111,5.552012,166.576,2011.920,2178.496,0
112,5.600966,171.008,965.904,1136.912,0
113,5.651994,161.808,1994.224,2156.032,0
114,5.700976,240.528,976.192,1216.720,0
115,5.752034,181.296,2034.496,2215.792,0
116,5.801048,175.696,1048.000,1223.696,0
117,5.852034,180.176,2034.032,2214.208,0
118,5.901014,153.312,1013.808,1167.120,0
119,5.952208,217.424,2208.064,2425.488,0
120,6.000988,154.400,988.464,1142.864,0
121,6.052038,169.360,2037.664,2207.024,0
122,6.101005,205.696,1005.024,1210.720,0
123,6.151688,152.448,1687.920,1840.368,0
124,6.201983,244.592,1983.376,2227.968,0
125,6.251982,206.288,1982.272,2188.560,0
126,6.301025,192.256,1024.992,1217.248,0
127,6.351348,211.328,1347.888,1559.216,0
128,6.401956,207.184,1956.064,2163.248,0
129,6.451364,229.216,1364.128,1593.344,0
130,6.501998,181.056,1998.368,2179.424,0
131,6.551311,151.392,1311.296,1462.688,0
132,6.601210,183.664,1210.112,1393.776,0
133,6.651446,180.896,1445.920,1626.816,0
134,6.702008,161.216,2007.840,2169.056,0
135,6.751256,159.856,1255.904,1415.760,0
136,6.802027,179.760,2026.848,2206.608,0
137,6.851062,170.208,1062.304,1232.512,0
138,6.901003,153.968,1002.784,1156.752,0
139,6.952002,152.960,2002.496,2155.456,0
140,7.000962,186.464,962.064,1148.528,0
141,7.051690,164.592,1689.648,1854.240,0
142,7.102181,233.680,2180.704,2414.384,0
143,7.151619,179.008,1618.656,1797.664,0
144,7.201997,272.368,1997.088,2269.456,0
145,7.251996,155.312,1996.288,2151.600,0
146,7.301011,171.504,1011.392,1182.896,0
147,7.351996,174.704,1995.712,2170.416,0
148,7.401106,153.376,1105.936,1259.312,0
149,7.451546,185.216,1545.552,1730.768,0
150,7.502253,218.032,2252.976,2471.008,0
151,7.552296,181.184,2295.504,2476.688,0
152,7.602023,154.640,2022.976,2177.616,0
153,7.651555,152.032,1555.136,1707.168,0
154,7.702007,168.096,2006.576,2174.672,0
155,7.751268,169.584,1268.336,1437.920,0
156,7.801115,189.904,1114.960,1304.864,0
157,7.851273,216.736,1272.832,1489.568,0
158,7.902121,210.272,2120.544,2330.816,0
159,7.952149,165.584,2149.264,2314.848,0
160,8.001250,191.696,1250.128,1441.824,0
161,8.051603,194.608,1603.248,1797.856,0
162,8.102186,219.008,2185.840,2404.848,0
163,8.151561,189.728,1560.576,1750.304,0
164,8.201994,281.824,1994.304,2276.128,0
165,8.251871,264.352,1870.944,2135.296,0
166,8.302005,203.952,2004.880,2208.832,0
167,8.351948,196.464,1948.368,2144.832,0
168,8.401013,202.928,1013.232,1216.160,0
169,8.452113,188.848,2112.832,2301.680,0
170,8.500997,208.784,996.672,1205.456,0
171,8.551463,166.608,1462.944,1629.552,0
172,8.601966,336.672,1966.400,2303.072,0
173,8.651514,167.728,1513.600,1681.328,0
174,8.702070,262.064,2070.256,2332.320,0
175,8.751438,219.120,1437.520,1656.640,0
176,8.802005,152.992,2004.768,2157.760,0
177,8.851298,220.368,1298.080,1518.448,0
178,8.901260,229.616,1259.712,1489.328,0
179,8.952041,229.184,2040.912,2270.096,0
180,9.001268,159.648,1267.888,1427.536,0
181,9.051553,192.352,1553.424,1745.776,0
182,9.102120,347.744,2120.336,2468.080,0
183,9.152021,168.064,2020.784,2188.848,0
184,9.201231,180.240,1230.896,1411.136,0
185,9.251516,165.344,1516.144,1681.488,0
186,9.302060,184.832,2060.464,2245.296,0
187,9.351682,163.344,1682.144,1845.488,0
188,9.402182,232.912,2182.048,2414.960,0
189,9.451366,185.328,1365.776,1551.104,0
190,9.501201,156.048,1201.376,1357.424,0
191,9.552259,169.952,2259.296,2429.248,0
192,9.602034,252.912,2033.856,2286.768,0
193,9.651453,197.184,1453.376,1650.560,0
194,9.702037,306.096,2036.752,2342.848,0
195,9.751596,154.800,1595.808,1750.608,0
196,9.802042,309.984,2041.824,2351.808,0
197,9.852022,152.272,2021.968,2174.240,0
198,9.901038,192.656,1038.416,1231.072,0
199,9.951457,184.608,1457.232,1641.840,0
200,10.002261,152.432,2260.736,2413.168,0
201,10.052236,154.256,2236.496,2390.752,0
202,10.101371,1227.600,1370.912,2598.512,0
203,10.152033,173.840,2032.960,2206.800,0
204,10.201305,1164.736,1304.688,2469.424,0
205,10.252148,164.160,2148.304,2312.464,0
206,10.300992,176.336,992.240,1168.576,0
207,10.351454,169.872,1454.032,1623.904,0
208,10.402028,173.952,2028.496,2202.448,0
209,10.451414,215.712,1414.224,1629.936,0
210,10.502002,154.176,2002.464,2156.640,0
211,10.551437,209.776,1437.008,1646.784,0
212,10.602052,172.560,2052.208,2224.768,0
213,10.651699,292.768,1698.544,1991.312,0
214,10.701992,278.864,1992.016,2270.880,0
215,10.752201,159.568,2201.360,2360.928,0
216,10.801000,197.712,999.920,1197.632,0
217,10.852043,162.640,2042.608,2205.248,0
218,10.901030,193.264,1029.632,1222.896,0
219,10.951224,172.160,1224.352,1396.512,0
220,11.002023,179.072,2022.992,2202.064,0
221,11.052058,266.320,2057.904,2324.224,0
222,11.101170,1232.944,1170.032,2402.976,0
223,11.151390,262.480,1389.808,1652.288,0
224,11.202045,282.096,2044.880,2326.976,0
225,11.251765,320.752,1764.576,2085.328,0
226,11.302064,319.200,2063.840,2383.040,0
227,11.352059,200.000,2058.688,2258.688,0
228,11.401309,963.824,1308.768,2272.592,0
229,11.451602,180.352,1602.272,1782.624,0
230,11.502166,178.576,2165.536,2344.112,0
231,11.552004,153.248,2003.680,2156.928,0
232,11.602375,180.016,2375.472,2555.488,0
233,11.652068,232.992,2068.480,2301.472,0
