========================================
Signal Sender Workload (Synchronized)
========================================
Initializing shared memory...
Waiting for speedometer to register...
Found speedometer in shared memory!
Sending START command to speedometer: START: 15;5;20

Running workload signal period for 15 seconds...

Workload signal period completed.
Sending STOP command to speedometer...
Waiting for statistics from speedometer...

Stress workload terminated.
===VMSTAT_START===
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 8  0      0 143572   3836  35296    0    0    23     8  218  178 70 10 20  0  0
 8  0      0 143572   3836  35304    0    0     0     0  399  351 70  2 28  0  0
 8  0      0 143572   3836  35304    0    0     0     0  383  328 70  3 28  0  0
 8  0      0 143572   3836  35304    0    0     0     0  418  375 78  2 20  0  0
 9  0      0 143572   3836  35304    0    0     0     0  417  366 75  2 24  0  0
 9  0      0 143572   3836  35304    0    0     0     0  397  334 72  2 27  0  0
 8  0      0 143572   3844  35304    0    0     0    64  427  361 76  3 20  1  0
 8  0      0 143572   3844  35304    0    0     0     0  412  338 75  2 23  0  0
 8  0      0 143572   3844  35304    0    0     0     0  416  330 76  2 23  0  0
 8  0      0 143572   3844  35304    0    0     0     0  427  350 78  1 20  0  0
 8  0      0 143572   3844  35304    0    0     0     0  426  377 79  2 19  0  0
 8  0      0 143572   3844  35304    0    0     0     0  398  315 72  2 26  0  0
 8  0      0 143572   3844  35304    0    0     0     0  407  318 71  3 26  0  0
 8  0      0 143572   3844  35304    0    0     0     0  397  322 71  2 26  0  0
 8  0      0 143572   3844  35304    0    0     0     0  431  375 80  2 18  0  0
 8  0      0 143572   3844  35304    0    0     0     0  471  377 78  6 16  0  0
 9  0      0 143572   3844  35304    0    0     0     0  395  321 53 19 28  0  0
===VMSTAT_END===
========== SPEEDOMETER RT APPLICATION RESULTS ==========
Test Configuration:
Period: 50.000 ms
Deadline: 5.000 ms
RT Priority: 99 (SCHED_FIFO)
Execution Statistics:
Total cycles: 300
Deadline misses: 3 (1.000%)
Execution Time (μs):
Mean: 186.592
Min: 137.040
Max: 333.616
50th percentile: 178.624
95th percentile: 269.104
99th percentile: 314.064
99.9th percentile: 333.616
Jitter (μs):
Mean: 1502.312
Min: 1054.864
Max: 11599.008
Response Time (μs):
Mean: 1688.904
Min: 1240.048
Max: 11907.872
50th percentile: 1492.272
95th percentile: 2587.600
99th percentile: 8315.904
99.9th percentile: 11907.872
========================================================
===VMSTAT_START===
(no vmstat data captured)
===VMSTAT_END===
===CSV_START===
cycle,timestamp_s,execution_time_us,jitter_us,response_time_us,deadline_miss
1,0.051371,172.768,1370.816,1543.584,0
2,0.102378,189.712,2378.368,2568.080,0
3,0.151319,221.168,1319.248,1540.416,0
4,0.201193,167.296,1193.136,1360.432,0
5,0.251201,174.352,1201.424,1375.776,0
6,0.301205,147.088,1204.624,1351.712,0
7,0.351209,232.224,1209.248,1441.472,0
8,0.401387,183.904,1387.056,1570.960,0
9,0.451364,297.392,1364.096,1661.488,0
10,0.501424,163.712,1423.536,1587.248,0
11,0.551238,250.928,1237.776,1488.704,0
12,0.601423,184.752,1422.768,1607.520,0
13,0.651404,186.080,1404.480,1590.560,0
14,0.701203,187.600,1202.880,1390.480,0
15,0.751230,149.488,1230.496,1379.984,0
16,0.801408,181.648,1407.616,1589.264,0
17,0.851468,248.144,1468.144,1716.288,0
18,0.902406,185.744,2405.968,2591.712,0
19,0.951468,148.032,1468.272,1616.304,0
20,1.008631,150.880,8631.280,8782.160,1
21,1.052449,156.784,2448.896,2605.680,0
22,1.101386,164.512,1386.112,1550.624,0
23,1.151214,172.672,1214.304,1386.976,0
24,1.201240,145.776,1240.128,1385.904,0
25,1.251243,165.440,1242.736,1408.176,0
26,1.301176,148.496,1175.888,1324.384,0
27,1.351207,154.352,1207.408,1361.760,0
28,1.401455,149.120,1454.704,1603.824,0
29,1.451214,182.144,1213.664,1395.808,0
30,1.501531,230.928,1530.720,1761.648,0
31,1.551175,190.240,1174.800,1365.040,0
32,1.601231,148.096,1230.736,1378.832,0
33,1.651216,183.504,1215.968,1399.472,0
34,1.701215,146.608,1214.736,1361.344,0
35,1.751207,214.320,1206.560,1420.880,0
36,1.801446,145.936,1445.648,1591.584,0
37,1.851234,246.240,1234.080,1480.320,0
38,1.901080,232.544,1080.128,1312.672,0
39,1.951216,149.008,1215.920,1364.928,0
40,2.001227,146.432,1227.136,1373.568,0
41,2.051215,243.760,1214.512,1458.272,0
42,2.101415,187.760,1414.832,1602.592,0
43,2.151288,178.624,1288.096,1466.720,0
44,2.201406,204.640,1406.176,1610.816,0
45,2.251201,172.512,1201.472,1373.984,0
46,2.301241,154.224,1240.528,1394.752,0
47,2.351196,196.288,1196.448,1392.736,0
48,2.401423,186.736,1422.736,1609.472,0
49,2.451202,290.304,1201.968,1492.272,0
50,2.501386,208.032,1385.616,1593.648,0
51,2.551385,203.168,1385.472,1588.640,0
52,2.602231,149.936,2230.848,2380.784,0
53,2.651174,197.648,1173.744,1371.392,0
54,2.701216,146.240,1215.984,1362.224,0
55,2.751379,148.064,1379.472,1527.536,0
56,2.801196,145.632,1195.808,1341.440,0
57,2.851184,197.760,1183.552,1381.312,0
58,2.901381,177.008,1381.392,1558.400,0
59,2.952068,208.000,2067.952,2275.952,0
60,3.001302,199.904,1302.144,1502.048,0
61,3.051301,189.712,1300.816,1490.528,0
62,3.101417,148.768,1417.104,1565.872,0
63,3.151383,233.264,1382.768,1616.032,0
