========================================
Signal Sender Workload (Synchronized)
========================================
Initializing shared memory...
Waiting for speedometer to register...
Found speedometer in shared memory!
Sending START command to speedometer: START: 15;5;20

Running workload signal period for 15 seconds...

Workload signal period completed.
Sending STOP command to speedometer...
Waiting for statistics from speedometer...

Stress workload terminated.
===VMSTAT_START===
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 8  0      0 143280   3884  35304    0    0    20     7  217  178 70 10 20  0  0
 8  0      0 143304   3884  35304    0    0     0     0  336  302 59  1 40  0  0
 8  0      0 143304   3884  35304    0    0     0     0  301  291 52  1 47  0  0
 8  0      0 143304   3884  35304    0    0     0     0  374  322 67  3 31  0  0
 8  0      0 143304   3892  35296    0    0     0   124  425  361 75  3 23  0  0
 8  0      0 143304   3892  35304    0    0     0     0  404  333 72  2 26  0  0
 8  0      0 143304   3892  35304    0    0     0     0  418  345 76  2 22  0  0
 9  0      0 143304   3892  35304    0    0     0     0  419  350 77  2 22  0  0
 8  0      0 143304   3892  35304    0    0     0   164  426  342 76  3 22  0  0
 8  0      0 143304   3892  35304    0    0     0     0  422  336 76  2 22  0  0
 8  0      0 143304   3892  35304    0    0     0     0  413  334 75  2 23  0  0
 8  0      0 143304   3892  35304    0    0     0     0  405  325 74  2 25  0  0
 8  0      0 143304   3892  35304    0    0     0     0  417  321 73  3 24  0  0
 8  0      0 143304   3892  35304    0    0     0     0  404  321 72  2 26  0  0
 8  0      0 143304   3892  35304    0    0     0     0  424  328 75  3 23  0  0
 8  0      0 143304   3892  35304    0    0     0     0  430  340 75  3 21  0  0
 8  0      0 143304   3892  35304    0    0     0     0  376  337 65  2 33  0  0
===VMSTAT_END===
========== SPEEDOMETER RT APPLICATION RESULTS ==========
Test Configuration:
Period: 50.000 ms
Deadline: 5.000 ms
RT Priority: 99 (SCHED_FIFO)
Execution Statistics:
Total cycles: 300
Deadline misses: 0 (0.000%)
Execution Time (μs):
Mean: 188.165
Min: 134.736
Max: 396.736
50th percentile: 185.984
95th percentile: 244.352
99th percentile: 287.024
99.9th percentile: 396.736
Jitter (μs):
Mean: 1634.273
Min: 1177.744
Max: 3629.008
Response Time (μs):
Mean: 1822.438
Min: 1339.552
Max: 3788.672
50th percentile: 1746.512
95th percentile: 2116.432
99th percentile: 3260.400
99.9th percentile: 3788.672
========================================================
===VMSTAT_START===
(no vmstat data captured)
===VMSTAT_END===
===CSV_START===
cycle,timestamp_s,execution_time_us,jitter_us,response_time_us,deadline_miss
1,0.051835,165.760,1834.800,2000.560,0
2,0.101578,156.992,1578.336,1735.328,0
3,0.151569,184.896,1569.072,1753.968,0
4,0.201517,238.160,1516.912,1755.072,0
5,0.251570,175.792,1570.304,1746.096,0
6,0.301531,201.056,1531.184,1732.240,0
7,0.351506,188.336,1505.984,1694.320,0
8,0.401501,219.504,1501.168,1720.672,0
9,0.451514,203.408,1513.536,1716.944,0
10,0.501495,253.968,1494.576,1748.544,0
11,0.551584,205.680,1583.872,1789.552,0
12,0.601522,187.472,1522.496,1709.968,0
13,0.651550,165.696,1550.096,1715.792,0
14,0.701649,139.504,1649.312,1788.816,0
15,0.751512,208.064,1511.552,1719.616,0
16,0.801500,187.744,1499.584,1687.328,0
17,0.851546,287.584,1545.552,1833.136,0
18,0.901538,184.272,1537.840,1722.112,0
19,0.951538,222.256,1537.600,1759.856,0
20,1.001491,234.832,1491.040,1725.872,0
21,1.051512,195.232,1512.192,1707.424,0
22,1.101499,225.552,1498.704,1724.256,0
23,1.151591,184.096,1590.672,1774.768,0
24,1.201568,138.976,1568.032,1707.008,0
25,1.251556,136.608,1556.256,1692.864,0
26,1.301860,175.728,1859.648,2035.376,0
27,1.351738,194.336,1737.936,1932.272,0
28,1.401891,159.312,1890.608,2049.920,0
29,1.451496,246.208,1495.776,1741.984,0
30,1.501570,185.152,1570.480,1755.632,0
31,1.551513,184.512,1513.152,1697.664,0
32,1.601556,167.424,1555.760,1723.184,0
33,1.651585,217.872,1585.008,1802.880,0
34,1.701617,138.672,1617.136,1755.808,0
35,1.751539,186.720,1539.488,1726.208,0
36,1.801617,195.168,1617.312,1812.480,0
37,1.851542,184.048,1542.064,1726.112,0
38,1.901570,170.096,1569.712,1739.808,0
39,1.951552,174.416,1552.128,1726.544,0
40,2.001475,244.752,1474.512,1719.264,0
41,2.051521,203.536,1521.392,1724.928,0
42,2.101972,144.016,1972.416,2116.432,0
43,2.151554,266.688,1553.808,1820.496,0
44,2.201619,167.648,1618.912,1786.560,0
45,2.251610,136.640,1609.872,1746.512,0
46,2.301466,244.352,1465.824,1710.176,0
47,2.351618,224.608,1617.504,1842.112,0
48,2.401536,204.256,1535.584,1739.840,0
49,2.451527,206.944,1527.440,1734.384,0
50,2.501627,158.512,1627.472,1785.984,0
51,2.551608,196.880,1608.304,1805.184,0
52,2.601517,202.080,1516.832,1718.912,0
53,2.651526,191.808,1525.616,1717.424,0
54,2.701581,174.528,1581.024,1755.552,0
55,2.751604,197.792,1604.400,1802.192,0
56,2.801566,168.192,1566.400,1734.592,0
57,2.851522,234.032,1522.304,1756.336,0
58,2.901612,155.744,1611.920,1767.664,0
59,2.951586,185.984,1586.208,1772.192,0
60,3.001671,181.712,1671.296,1853.008,0
61,3.052681,236.384,2681.136,2917.520,0
62,3.101577,161.008,1577.008,1738.016,0
63,3.151530,215.520,1529.888,1745.408,0
64,3.201562,173.136,1562.144,1735.280,0
65,3.251615,190.752,1614.912,1805.664,0
66,3.301502,211.136,1501.712,1712.848,0
67,3.352028,145.856,2028.112,2173.968,0
68,3.401836,187.200,1835.632,2022.832,0
69,3.451821,189.888,1821.152,2011.040,0
70,3.501751,207.184,1751.056,1958.240,0
71,3.551625,139.760,1625.232,1764.992,0
72,3.601561,168.832,1560.560,1729.392,0
73,3.651617,200.288,1616.736,1817.024,0
74,3.701527,218.000,1526.528,1744.528,0
75,3.751546,194.096,1545.792,1739.888,0
76,3.801565,200.464,1564.784,1765.248,0
77,3.851554,181.264,1554.208,1735.472,0
78,3.901605,157.392,1604.592,1761.984,0
79,3.951645,153.632,1644.544,1798.176,0
80,4.001654,160.224,1653.968,1814.192,0
81,4.051505,206.480,1504.864,1711.344,0
82,4.101597,167.440,1596.608,1764.048,0
83,4.151593,181.312,1593.264,1774.576,0
84,4.201582,139.360,1582.000,1721.360,0
85,4.251796,287.024,1795.760,2082.784,0
86,4.302507,222.848,2507.392,2730.240,0
87,4.352640,182.144,2640.288,2822.432,0
88,4.401556,161.152,1555.968,1717.120,0
89,4.451557,138.976,1557.408,1696.384,0
90,4.501649,168.512,1649.392,1817.904,0
91,4.552144,161.120,2144.384,2305.504,0
92,4.601722,152.528,1722.048,1874.576,0
93,4.651638,178.288,1638.304,1816.592,0
94,4.701539,195.536,1538.672,1734.208,0
95,4.751544,196.464,1543.856,1740.320,0
96,4.801629,146.432,1629.056,1775.488,0
97,4.851678,173.440,1678.240,1851.680,0
98,4.901618,170.656,1618.176,1788.832,0
99,4.951655,158.448,1655.168,1813.616,0
100,5.001567,190.272,1566.992,1757.264,0
101,5.051680,199.232,1679.584,1878.816,0
102,5.101895,190.080,1894.928,2085.008,0
103,5.151868,165.392,1867.984,2033.376,0
104,5.201640,176.128,1639.552,1815.680,0
105,5.251710,202.080,1709.536,1911.616,0
106,5.301613,147.632,1613.024,1760.656,0
107,5.351548,198.112,1548.400,1746.512,0
108,5.403629,159.664,3629.008,3788.672,0
109,5.451862,225.776,1862.064,2087.840,0
110,5.501576,166.832,1576.192,1743.024,0
111,5.551647,229.824,1647.136,1876.960,0
112,5.601611,184.720,1610.960,1795.680,0
113,5.651570,396.736,1570.080,1966.816,0
114,5.702520,232.160,2520.016,2752.176,0
115,5.752879,171.888,2879.472,3051.360,0
116,5.801544,250.656,1543.904,1794.560,0
117,5.851570,164.640,1570.304,1734.944,0
118,5.901621,147.632,1620.592,1768.224,0
119,5.951565,168.752,1565.360,1734.112,0
120,6.001507,161.440,1507.200,1668.640,0
121,6.051631,181.168,1631.328,1812.496,0
122,6.101558,164.352,1558.400,1722.752,0
123,6.151549,137.808,1548.720,1686.528,0
124,6.201724,146.416,1723.616,1870.032,0
125,6.251652,145.984,1651.904,1797.888,0
126,6.301559,166.768,1559.088,1725.856,0
127,6.351611,174.992,1610.576,1785.568,0
128,6.401634,138.464,1633.968,1772.432,0
129,6.451591,136.160,1590.960,1727.120,0
130,6.501509,216.480,1509.104,1725.584,0
131,6.551545,215.472,1545.008,1760.480,0
132,6.601628,182.720,1628.384,1811.104,0
133,6.651618,140.736,1618.080,1758.816,0
134,6.701593,136.320,1593.024,1729.344,0
135,6.751527,205.408,1526.656,1732.064,0
