========================================
Signal Sender Workload (Synchronized)
========================================
Initializing shared memory...
Waiting for speedometer to register...
Found speedometer in shared memory!
Sending START command to speedometer: START: 15;5;20

Running workload signal period for 15 seconds...

Workload signal period completed.
Sending STOP command to speedometer...
Waiting for statistics from speedometer...

Stress workload terminated.
===VMSTAT_START===
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 8  0      0 143712   3932  35308    0    0    18     7  217  178 70 10 20  0  0
 8  0      0 143712   3940  35308    0    0     0   124  355  320 60  2 37  1  0
 8  0      0 143712   3940  35308    0    0     0     0  391  338 71  2 27  0  0
 8  0      0 143712   3940  35308    0    0     0     0  392  327 71  2 28  0  0
 8  0      0 143712   3940  35308    0    0     0     0  378  329 70  2 29  0  0
 8  0      0 143712   3940  35308    0    0     0     0  393  324 72  2 26  0  0
 8  0      0 143712   3940  35308    0    0     0     0  428  349 77  2 21  0  0
 8  0      0 143712   3940  35308    0    0     0     0  405  355 74  2 25  0  0
 8  0      0 143712   3940  35308    0    0     0     0  430  376 81  1 18  0  0
 8  0      0 143712   3940  35308    0    0     0     0  438  363 81  2 17  0  0
 8  0      0 143712   3940  35308    0    0     0     0  404  329 74  2 25  0  0
 8  0      0 143712   3940  35308    0    0     0     0  399  346 73  1 26  0  0
 8  0      0 143712   3940  35308    0    0     0     0  415  342 75  2 24  0  0
 8  0      0 143712   3940  35308    0    0     0     0  416  339 73  4 24  0  0
 9  0      0 143712   3940  35308    0    0     0     0  414  338 74  3 23  0  0
 8  0      0 143712   3940  35308    0    0     0     0  436  363 73  4 23  0  0
 8  0      0 143712   3940  35308    0    0     0     0  396  325 55 16 30  0  0
===VMSTAT_END===
========== SPEEDOMETER RT APPLICATION RESULTS ==========
Test Configuration:
Period: 50.000 ms
Deadline: 5.000 ms
RT Priority: 99 (SCHED_FIFO)
Execution Statistics:
Total cycles: 300
Deadline misses: 0 (0.000%)
Execution Time (μs):
Mean: 193.485
Min: 136.464
Max: 338.432
50th percentile: 183.888
95th percentile: 265.456
99th percentile: 317.808
99.9th percentile: 338.432
Jitter (μs):
Mean: 1565.245
Min: 1372.096
Max: 2771.344
Response Time (μs):
Mean: 1758.730
Min: 1510.512
Max: 2926.704
50th percentile: 1686.800
95th percentile: 2002.784
99th percentile: 2826.384
99.9th percentile: 2926.704
========================================================
===VMSTAT_START===
(no vmstat data captured)
===VMSTAT_END===
===CSV_START===
cycle,timestamp_s,execution_time_us,jitter_us,response_time_us,deadline_miss
1,0.051762,212.496,1761.728,1974.224,0
2,0.101675,192.464,1674.912,1867.376,0
3,0.151693,172.096,1692.528,1864.624,0
4,0.201528,205.840,1527.696,1733.536,0
5,0.251461,188.432,1460.960,1649.392,0
6,0.301451,173.712,1450.752,1624.464,0
7,0.351419,192.160,1419.408,1611.568,0
8,0.401531,194.736,1531.072,1725.808,0
9,0.451411,165.344,1411.440,1576.784,0
10,0.501519,222.992,1519.360,1742.352,0
11,0.551728,196.400,1728.080,1924.480,0
12,0.601449,189.504,1448.592,1638.096,0
13,0.651446,180.320,1446.368,1626.688,0
14,0.701507,205.008,1507.088,1712.096,0
15,0.751577,187.232,1576.864,1764.096,0
16,0.801692,136.496,1692.160,1828.656,0
17,0.851732,167.104,1731.968,1899.072,0
18,0.901663,200.448,1662.816,1863.264,0
19,0.952520,173.376,2519.536,2692.912,0
20,1.001581,199.200,1581.040,1780.240,0
21,1.051488,184.656,1488.192,1672.848,0
22,1.101513,219.808,1513.104,1732.912,0
23,1.151445,185.696,1445.424,1631.120,0
24,1.201750,218.592,1749.584,1968.176,0
25,1.252476,173.424,2475.824,2649.248,0
26,1.301505,199.968,1504.816,1704.784,0
27,1.351535,160.672,1535.360,1696.032,0
28,1.401494,185.120,1493.872,1678.992,0
29,1.451496,172.288,1495.680,1667.968,0
30,1.501460,206.624,1460.448,1667.072,0
31,1.551471,171.536,1470.976,1642.512,0
32,1.601463,188.192,1462.528,1650.720,0
33,1.651694,186.032,1693.552,1879.584,0
34,1.701484,200.160,1483.984,1684.144,0
35,1.751477,172.048,1476.768,1648.816,0
36,1.801517,253.712,1517.456,1771.168,0
37,1.851682,167.952,1682.192,1850.144,0
38,1.901707,161.376,1707.120,1868.496,0
39,1.951428,175.600,1427.712,1603.312,0
40,2.001494,193.824,1493.808,1687.632,0
41,2.051602,177.936,1602.240,1780.176,0
42,2.101691,154.448,1690.720,1845.168,0
43,2.151454,169.824,1453.680,1623.504,0
44,2.201531,193.760,1531.440,1725.200,0
45,2.251427,167.344,1426.976,1594.320,0
46,2.301475,182.960,1474.672,1657.632,0
47,2.351516,170.848,1516.048,1686.896,0
48,2.401448,180.736,1448.400,1629.136,0
49,2.451472,171.168,1472.336,1643.504,0
50,2.501482,195.840,1482.192,1678.032,0
51,2.551405,158.960,1404.976,1563.936,0
52,2.601416,215.024,1415.776,1630.800,0
53,2.651445,164.976,1445.056,1610.032,0
54,2.701489,211.520,1489.392,1700.912,0
55,2.751623,148.032,1623.040,1771.072,0
56,2.801709,240.224,1708.896,1949.120,0
57,2.852470,171.104,2470.048,2641.152,0
58,2.901469,188.752,1468.544,1657.296,0
59,2.951540,170.784,1539.792,1710.576,0
60,3.001458,215.184,1458.496,1673.680,0
61,3.051462,180.960,1461.952,1642.912,0
62,3.101679,280.704,1679.248,1959.952,0
63,3.152481,183.696,2480.656,2664.352,0
64,3.201525,198.048,1524.928,1722.976,0
65,3.251671,148.768,1670.656,1819.424,0
66,3.301707,295.728,1707.056,2002.784,0
67,3.352487,171.104,2486.544,2657.648,0
68,3.401464,199.488,1464.000,1663.488,0
69,3.451455,163.984,1455.104,1619.088,0
70,3.501640,212.512,1640.240,1852.752,0
71,3.552467,159.488,2467.184,2626.672,0
72,3.601456,197.184,1456.016,1653.200,0
73,3.651433,172.032,1433.456,1605.488,0
74,3.701606,182.320,1605.600,1787.920,0
75,3.751468,158.048,1467.744,1625.792,0
76,3.801664,188.512,1663.920,1852.432,0
77,3.851491,171.888,1490.864,1662.752,0
78,3.901441,181.072,1440.816,1621.888,0
79,3.951508,159.728,1507.552,1667.280,0
80,4.001487,202.016,1487.072,1689.088,0
81,4.051434,198.336,1434.352,1632.688,0
82,4.101574,238.800,1574.448,1813.248,0
83,4.151623,185.024,1623.392,1808.416,0
84,4.201525,249.584,1525.344,1774.928,0
85,4.251526,171.328,1526.320,1697.648,0
86,4.301447,255.776,1446.928,1702.704,0
87,4.351512,171.072,1512.352,1683.424,0
88,4.401423,255.552,1423.296,1678.848,0
89,4.451718,235.136,1717.568,1952.704,0
90,4.501482,210.832,1482.288,1693.120,0
91,4.551525,170.960,1525.072,1696.032,0
92,4.601432,254.800,1432.000,1686.800,0
93,4.651524,171.440,1524.432,1695.872,0
94,4.701399,203.744,1398.848,1602.592,0
95,4.751412,229.792,1411.648,1641.440,0
96,4.801730,162.112,1730.048,1892.160,0
97,4.851475,170.688,1474.512,1645.200,0
98,4.901488,182.640,1488.304,1670.944,0
99,4.951479,183.600,1478.640,1662.240,0
100,5.001510,181.632,1510.400,1692.032,0
101,5.051506,158.192,1505.536,1663.728,0
102,5.101485,210.160,1485.328,1695.488,0
103,5.151471,171.920,1470.704,1642.624,0
104,5.201449,316.880,1449.152,1766.032,0
105,5.251730,232.256,1730.432,1962.688,0
106,5.301726,223.824,1726.272,1950.096,0
107,5.351466,176.368,1465.552,1641.920,0
