========================================
Signal Sender Workload (Synchronized)
========================================
Initializing shared memory...
Waiting for speedometer to register...
Found speedometer in shared memory!
Sending START command to speedometer: START: 15;5;20

Running workload signal period for 15 seconds...

Workload signal period completed.
Sending STOP command to speedometer...
Waiting for statistics from speedometer...

Stress workload terminated.
===VMSTAT_START===
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
10  0      0 143560   3956  35308    0    0    17     7  217  178 70 10 20  0  0
 8  0      0 143560   3956  35308    0    0     0     0  329  290 57  1 42  0  0
 8  0      0 143560   3956  35308    0    0     0     0  353  303 63  2 36  0  0
 8  0      0 143560   3956  35308    0    0     0     0  433  360 79  2 19  0  0
 8  0      0 143560   3964  35300    0    0     0   124  399  339 72  2 26  0  0
 8  0      0 143560   3964  35308    0    0     0     0  392  333 73  0 27  0  0
 8  0      0 143560   3964  35308    0    0     0     0  410  353 76  2 22  0  0
 8  0      0 143560   3964  35308    0    0     0     0  448  383 82  2 16  0  0
 8  0      0 143560   3964  35308    0    0     0     0  415  338 75  2 24  0  0
 8  0      0 143560   3964  35308    0    0     0     0  413  333 74  2 25  0  0
 8  0      0 143560   3964  35308    0    0     0     0  411  331 74  1 24  0  0
 8  0      0 143560   3964  35308    0    0     0     0  426  366 77  3 21  0  0
 8  0      0 143560   3964  35308    0    0     0     0  425  349 77  2 21  0  0
 8  0      0 143560   3964  35308    0    0     0     0  414  339 74  2 24  0  0
 8  0      0 143560   3964  35308    0    0     0     0  415  337 75  2 24  0  0
 8  0      0 143560   3964  35308    0    0     0     0  452  369 77  5 18  0  0
 8  0      0 143560   3964  35308    0    0     0     0  413  357 67  6 27  0  0
===VMSTAT_END===
========== SPEEDOMETER RT APPLICATION RESULTS ==========
Test Configuration:
Period: 50.000 ms
Deadline: 5.000 ms
RT Priority: 99 (SCHED_FIFO)
Execution Statistics:
Total cycles: 299
Deadline misses: 1 (0.334%)
Execution Time (μs):
Mean: 193.628
Min: 133.872
Max: 1820.064
50th percentile: 173.008
95th percentile: 265.600
99th percentile: 1315.616
99.9th percentile: 1820.064
Jitter (μs):
Mean: 1620.706
Min: 916.176
Max: 9354.608
Response Time (μs):
Mean: 1814.334
Min: 1100.704
Max: 9519.312
50th percentile: 1472.288
95th percentile: 2651.376
99th percentile: 4155.568
99.9th percentile: 9519.312
========================================================
===VMSTAT_START===
(no vmstat data captured)
===VMSTAT_END===
===CSV_START===
cycle,timestamp_s,execution_time_us,jitter_us,response_time_us,deadline_miss
1,0.052336,1820.064,2335.504,4155.568,0
2,0.101188,149.680,1188.368,1338.048,0
3,0.151340,188.544,1340.320,1528.864,0
4,0.202204,166.272,2203.824,2370.096,0
5,0.251440,201.712,1440.320,1642.032,0
6,0.301167,182.096,1166.864,1348.960,0
7,0.352309,1315.616,2308.848,3624.464,0
8,0.402365,140.432,2364.640,2505.072,0
9,0.451952,164.896,1952.048,2116.944,0
10,0.501244,141.616,1243.568,1385.184,0
11,0.551234,147.984,1234.240,1382.224,0
12,0.601215,170.384,1215.152,1385.536,0
13,0.651245,137.344,1245.328,1382.672,0
14,0.701331,156.240,1331.344,1487.584,0
15,0.754339,136.272,4339.072,4475.344,0
16,0.802501,150.464,2500.912,2651.376,0
17,0.851244,151.104,1243.920,1395.024,0
18,0.901179,233.424,1178.512,1411.936,0
19,0.951241,140.160,1241.392,1381.552,0
20,1.001197,155.792,1197.040,1352.832,0
21,1.051232,141.856,1232.432,1374.288,0
22,1.101012,186.288,1012.496,1198.784,0
23,1.151180,169.040,1179.696,1348.736,0
24,1.201156,263.552,1155.712,1419.264,0
25,1.251986,173.936,1986.240,2160.176,0
26,1.301966,174.672,1965.760,2140.432,0
27,1.351985,178.944,1985.280,2164.224,0
28,1.402172,174.832,2172.272,2347.104,0
29,1.451232,145.216,1232.496,1377.712,0
30,1.500916,195.984,916.176,1112.160,0
31,1.551978,174.464,1977.728,2152.192,0
32,1.602175,165.664,2175.040,2340.704,0
33,1.650992,173.008,991.584,1164.592,0
34,1.702308,177.344,2307.984,2485.328,0
35,1.751158,170.800,1158.000,1328.800,0
36,1.801171,291.856,1170.848,1462.704,0
37,1.851970,159.504,1970.448,2129.952,0
38,1.902110,136.784,2109.744,2246.528,0
39,1.951997,179.232,1997.344,2176.576,0
40,2.002264,135.568,2264.400,2399.968,0
41,2.051000,161.216,999.840,1161.056,0
42,2.102227,146.368,2226.560,2372.928,0
43,2.151183,138.752,1183.136,1321.888,0
44,2.200969,204.320,968.640,1172.960,0
45,2.251925,177.232,1924.512,2101.744,0
46,2.302016,161.392,2016.496,2177.888,0
47,2.351990,163.424,1990.288,2153.712,0
48,2.401382,136.880,1381.552,1518.432,0
49,2.451972,172.272,1972.416,2144.688,0
50,2.501174,222.272,1174.304,1396.576,0
51,2.551960,162.464,1959.632,2122.096,0
52,2.602258,187.600,2258.144,2445.744,0
53,2.651853,222.416,1852.656,2075.072,0
54,2.702992,181.360,2992.384,3173.744,0
55,2.751981,173.936,1980.624,2154.560,0
56,2.801161,167.568,1160.848,1328.416,0
57,2.851206,153.792,1206.096,1359.888,0
58,2.901130,235.536,1129.568,1365.104,0
59,2.951348,162.000,1348.032,1510.032,0
60,3.001442,200.480,1441.872,1642.352,0
61,3.051966,162.464,1965.984,2128.448,0
62,3.102200,157.520,2200.240,2357.760,0
63,3.151181,163.728,1180.672,1344.400,0
64,3.201123,166.384,1122.896,1289.280,0
65,3.251174,170.080,1173.760,1343.840,0
66,3.302332,191.296,2331.760,2523.056,0
67,3.351899,165.264,1899.392,2064.656,0
68,3.401177,149.040,1176.704,1325.744,0
69,3.451023,173.216,1023.472,1196.688,0
70,3.501105,251.568,1104.592,1356.160,0
71,3.552159,158.384,2159.456,2317.840,0
72,3.601999,161.904,1998.752,2160.656,0
73,3.652012,173.680,2011.856,2185.536,0
74,3.701014,294.768,1014.384,1309.152,0
75,3.751214,165.216,1214.480,1379.696,0
76,3.801186,244.592,1185.984,1430.576,0
77,3.852025,174.464,2025.424,2199.888,0
78,3.901215,176.160,1215.344,1391.504,0
79,3.951979,161.376,1978.720,2140.096,0
80,4.002213,173.024,2212.992,2386.016,0
81,4.051162,186.368,1161.936,1348.304,0
82,4.101120,265.600,1120.240,1385.840,0
83,4.151145,164.768,1145.024,1309.792,0
84,4.200971,214.032,970.720,1184.752,0
85,4.251161,177.408,1160.992,1338.400,0
86,4.301124,220.800,1124.160,1344.960,0
87,4.351914,184.912,1913.584,2098.496,0
88,4.401904,208.704,1903.792,2112.496,0
89,4.451885,200.384,1884.992,2085.376,0
90,4.502828,260.064,2827.792,3087.856,0
91,4.551931,181.520,1931.104,2112.624,0
92,4.602150,157.408,2150.352,2307.760,0
93,4.650935,165.456,935.248,1100.704,0
94,4.701861,182.160,1860.864,2043.024,0
95,4.751927,193.056,1927.328,2120.384,0
96,4.802082,146.368,2082.272,2228.640,0
97,4.851172,171.872,1171.584,1343.456,0
98,4.901103,174.832,1103.136,1277.968,0
99,4.951237,145.296,1236.624,1381.920,0
100,5.001372,191.920,1372.256,1564.176,0
101,5.052084,189.952,2083.920,2273.872,0
102,5.102306,177.360,2306.080,2483.440,0
103,5.151208,171.344,1207.552,1378.896,0
104,5.201080,230.912,1079.984,1310.896,0
105,5.251200,172.160,1199.984,1372.144,0
106,5.300996,291.232,995.904,1287.136,0
107,5.351184,191.568,1183.984,1375.552,0
108,5.409355,164.704,9354.608,9519.312,1
109,5.452266,1342.288,2265.984,3608.272,0
110,5.502298,149.184,2297.840,2447.024,0
111,5.551481,193.136,1481.408,1674.544,0
112,5.600979,200.288,979.216,1179.504,0
113,5.651935,174.960,1935.152,2110.112,0
114,5.702788,392.288,2788.224,3180.512,0
115,5.751713,144.928,1712.672,1857.600,0
116,5.802336,214.128,2336.096,2550.224,0
117,5.851328,177.424,1327.632,1505.056,0
118,5.902230,148.288,2229.632,2377.920,0
