========================================
Signal Sender Workload (Synchronized)
========================================
Initializing shared memory...
Waiting for speedometer to register...
Found speedometer in shared memory!
Sending START command to speedometer: START: 15;5;20

Running workload signal period for 15 seconds...

Workload signal period completed.
Sending STOP command to speedometer...
Waiting for statistics from speedometer...

Stress workload terminated.
===VMSTAT_START===
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 144220   2740  33128    0    0   263    15  245  128 41 36 23  0  0
 2  0      0 144160   2740  33132    0    0     0     0  508   15 100  0  0  0  0
 2  0      0 144160   2740  33132    0    0     0     0  505   18 100  0  0  0  0
 2  0      0 144160   2740  33132    0    0     0     0  509   19 100  0  0  0  0
 2  0      0 144160   2748  33132    0    0     0   124  513   31 99  1  0  0  0
 2  0      0 144160   2748  33132    0    0     0     0  507   16 100  0  0  0  0
 2  0      0 144160   2748  33132    0    0     0     0  506   20 100  0  0  0  0
 2  0      0 144160   2748  33132    0    0     0     0  505   18 100  0  0  0  0
 2  0      0 144160   2748  33132    0    0     0     0  506   14 100  0  0  0  0
 2  0      0 144160   2748  33132    0    0     0     0  505   18 100  0  0  0  0
 2  0      0 144160   2748  33132    0    0     0     0  506   18 100  0  0  0  0
 2  0      0 144160   2748  33132    0    0     0     0  507   18 100  0  0  0  0
 3  0      0 144160   2748  33132    0    0     0     0  503   14 100  0  0  0  0
 2  0      0 144160   2748  33132    0    0     0     0  508   16 100  0  0  0  0
 2  0      0 144160   2748  33132    0    0     0     0  508   22 100  0  0  0  0
 2  0      0 144160   2748  33132    0    0     0     0  532   32 98  2  0  0  0
 2  0      0 144160   2748  33132    0    0     0     0  537   39 97  3  0  0  0
===VMSTAT_END===
========== SPEEDOMETER RT APPLICATION RESULTS ==========
Test Configuration:
Period: 50.000 ms
Deadline: 5.000 ms
RT Priority: 99 (SCHED_FIFO)
Execution Statistics:
Total cycles: 300
Deadline misses: 2 (0.667%)
Execution Time (μs):
Mean: 220.075
Min: 152.032
Max: 1919.072
50th percentile: 201.392
95th percentile: 337.168
99th percentile: 461.040
99.9th percentile: 1919.072
Jitter (μs):
Mean: 1874.639
Min: 979.520
Max: 5186.256
Response Time (μs):
Mean: 2094.714
Min: 1196.784
Max: 6452.640
50th percentile: 2253.872
95th percentile: 2722.496
99th percentile: 4423.088
99.9th percentile: 6452.640
========================================================
===VMSTAT_START===
(no vmstat data captured)
===VMSTAT_END===
===CSV_START===
cycle,timestamp_s,execution_time_us,jitter_us,response_time_us,deadline_miss
1,0.052324,327.232,2323.872,2651.104,0
2,0.102214,186.704,2214.352,2401.056,0
3,0.152349,156.800,2349.008,2505.808,0
4,0.202051,314.560,2050.992,2365.552,0
5,0.252117,192.720,2117.376,2310.096,0
6,0.302201,238.672,2201.408,2440.080,0
7,0.352050,225.616,2050.368,2275.984,0
8,0.402145,261.376,2145.072,2406.448,0
9,0.452071,155.520,2071.456,2226.976,0
10,0.502352,168.848,2352.352,2521.200,0
11,0.552063,175.104,2062.560,2237.664,0
12,0.602207,174.384,2206.784,2381.168,0
13,0.652132,156.928,2131.696,2288.624,0
14,0.702160,173.312,2160.320,2333.632,0
15,0.751317,188.448,1316.688,1505.136,0
16,0.802205,219.152,2204.592,2423.744,0
17,0.851368,154.496,1367.632,1522.128,0
18,0.902032,166.976,2032.496,2199.472,0
19,0.951144,169.008,1143.536,1312.544,0
20,1.002606,259.744,2605.696,2865.440,0
21,1.052049,192.912,2049.488,2242.400,0
22,1.102306,205.040,2306.224,2511.264,0
23,1.152126,156.576,2125.616,2282.192,0
24,1.202229,171.120,2228.928,2400.048,0
25,1.252035,190.624,2035.040,2225.664,0
26,1.302374,196.432,2374.128,2570.560,0
27,1.352134,155.696,2133.952,2289.648,0
28,1.402055,248.720,2055.168,2303.888,0
29,1.451342,210.864,1342.144,1553.008,0
30,1.502204,218.384,2203.664,2422.048,0
31,1.551374,178.304,1373.808,1552.112,0
32,1.602175,216.224,2175.392,2391.616,0
33,1.651479,216.096,1479.008,1695.104,0
34,1.702070,259.504,2069.536,2329.040,0
35,1.751375,177.424,1374.640,1552.064,0
36,1.801324,156.944,1323.664,1480.608,0
37,1.852155,168.096,2155.024,2323.120,0
38,1.902362,199.984,2362.352,2562.336,0
39,1.952156,227.568,2156.336,2383.904,0
40,2.002344,155.840,2343.680,2499.520,0
41,2.051378,216.480,1378.128,1594.608,0
42,2.100980,220.656,979.520,1200.176,0
43,2.155186,292.720,5186.256,5478.976,1
44,2.204534,1919.072,4533.568,6452.640,1
45,2.252168,312.000,2167.792,2479.792,0
46,2.303287,347.184,3286.944,3634.128,0
47,2.352914,479.888,2913.936,3393.824,0
48,2.403745,350.800,3745.184,4095.984,0
49,2.454203,219.984,4203.104,4423.088,0
50,2.502345,228.880,2345.280,2574.160,0
51,2.552039,194.640,2039.440,2234.080,0
52,2.603337,167.200,3336.864,3504.064,0
53,2.651392,174.096,1392.064,1566.160,0
54,2.702137,270.368,2136.624,2406.992,0
55,2.751341,165.744,1341.120,1506.864,0
56,2.801039,157.728,1039.056,1196.784,0
57,2.852040,158.864,2040.320,2199.184,0
58,2.902168,242.160,2168.320,2410.480,0
59,2.952043,191.696,2043.184,2234.880,0
60,3.001035,212.576,1035.296,1247.872,0
61,3.051312,155.216,1311.776,1466.992,0
62,3.102331,192.112,2330.640,2522.752,0
63,3.152022,261.776,2021.632,2283.408,0
64,3.202166,316.528,2165.728,2482.256,0
65,3.251326,199.792,1326.480,1526.272,0
66,3.302141,201.840,2141.248,2343.088,0
67,3.351184,155.600,1184.176,1339.776,0
68,3.401051,310.128,1050.912,1361.040,0
69,3.452159,202.112,2158.816,2360.928,0
70,3.502178,227.776,2177.728,2405.504,0
71,3.552110,172.720,2110.288,2283.008,0
72,3.602066,232.560,2066.416,2298.976,0
73,3.651398,258.592,1397.984,1656.576,0
74,3.702135,211.216,2134.816,2346.032,0
75,3.751414,171.712,1413.696,1585.408,0
76,3.801326,154.992,1325.792,1480.784,0
77,3.851385,213.856,1384.944,1598.800,0
78,3.902062,220.368,2062.240,2282.608,0
79,3.951200,227.120,1199.888,1427.008,0
80,4.001887,300.912,1886.640,2187.552,0
81,4.051389,153.808,1389.072,1542.880,0
82,4.102116,215.888,2115.648,2331.536,0
83,4.151203,203.248,1202.880,1406.128,0
84,4.201365,154.032,1365.184,1519.216,0
85,4.251489,208.880,1489.344,1698.224,0
86,4.302145,238.848,2145.456,2384.304,0
87,4.352125,163.248,2124.848,2288.096,0
88,4.401045,159.568,1044.944,1204.512,0
89,4.452145,240.848,2144.704,2385.552,0
90,4.502024,305.504,2023.776,2329.280,0
91,4.551275,153.760,1275.360,1429.120,0
92,4.601866,293.680,1866.192,2159.872,0
93,4.652114,160.064,2114.464,2274.528,0
94,4.702073,213.024,2072.656,2285.680,0
95,4.751334,156.960,1333.680,1490.640,0
96,4.802114,197.824,2113.520,2311.344,0
97,4.851404,197.328,1403.568,1600.896,0
98,4.901958,246.080,1957.936,2204.016,0
99,4.951346,185.232,1346.192,1531.424,0
100,5.002227,252.752,2226.960,2479.712,0
101,5.052120,155.008,2120.384,2275.392,0
102,5.101040,354.544,1040.432,1394.976,0
103,5.152137,154.608,2136.672,2291.280,0
104,5.202028,181.008,2028.144,2209.152,0
105,5.251155,172.576,1155.040,1327.616,0
106,5.301046,360.576,1045.600,1406.176,0
107,5.351337,174.928,1337.472,1512.400,0
108,5.402483,239.520,2482.976,2722.496,0
109,5.452063,304.000,2063.296,2367.296,0
110,5.502030,239.920,2030.448,2270.368,0
111,5.551371,164.240,1370.816,1535.056,0
112,5.602305,173.232,2305.056,2478.288,0
113,5.652034,171.984,2034.256,2206.240,0
114,5.702163,215.408,2163.248,2378.656,0
115,5.751395,232.656,1394.992,1627.648,0
116,5.801976,287.648,1976.464,2264.112,0
117,5.851345,181.888,1345.136,1527.024,0
118,5.902195,202.208,2195.344,2397.552,0
119,5.951373,180.752,1373.056,1553.808,0
120,6.001993,245.728,1992.992,2238.720,0
121,6.051481,205.856,1480.800,1686.656,0
122,6.102319,197.936,2319.312,2517.248,0
123,6.151368,215.376,1368.080,1583.456,0
124,6.202076,243.456,2076.192,2319.648,0
125,6.251491,210.992,1491.056,1702.048,0
126,6.302164,193.568,2163.968,2357.536,0
127,6.351337,167.184,1336.976,1504.160,0
128,6.402363,169.152,2363.280,2532.432,0
129,6.452119,192.256,2119.280,2311.536,0
130,6.502137,208.112,2136.592,2344.704,0
131,6.551351,155.344,1350.752,1506.096,0
132,6.602124,242.896,2123.808,2366.704,0
133,6.652128,156.656,2128.096,2284.752,0
134,6.701069,333.328,1068.512,1401.840,0
135,6.751278,180.624,1277.632,1458.256,0
136,6.801348,165.168,1348.464,1513.632,0
137,6.851344,208.752,1343.712,1552.464,0
138,6.902182,184.848,2181.600,2366.448,0
139,6.951350,166.800,1350.448,1517.248,0
140,7.001023,261.056,1023.424,1284.480,0
141,7.051363,152.976,1362.528,1515.504,0
142,7.101860,382.192,1859.712,2241.904,0
143,7.151371,210.928,1371.376,1582.304,0
144,7.202123,232.592,2122.896,2355.488,0
145,7.251405,198.032,1404.640,1602.672,0
146,7.302526,226.656,2526.256,2752.912,0
147,7.351972,212.592,1971.552,2184.144,0
148,7.402189,197.840,2188.944,2386.784,0
149,7.452104,161.040,2104.240,2265.280,0
150,7.501992,201.392,1992.160,2193.552,0
151,7.552167,176.000,2166.576,2342.576,0
152,7.602157,234.928,2157.456,2392.384,0
153,7.651299,169.328,1299.280,1468.608,0
154,7.701327,154.208,1327.040,1481.248,0
155,7.752044,157.344,2043.584,2200.928,0
156,7.802202,183.232,2202.096,2385.328,0
157,7.851156,202.240,1155.696,1357.936,0
158,7.901020,339.136,1019.680,1358.816,0
159,7.951317,158.080,1317.440,1475.520,0
160,8.002166,197.552,2166.304,2363.856,0
161,8.052068,204.112,2068.256,2272.368,0
162,8.101040,328.976,1040.144,1369.120,0
163,8.151325,187.312,1325.232,1512.544,0
164,8.202049,170.176,2049.296,2219.472,0
165,8.252144,216.144,2144.192,2360.336,0
166,8.302159,235.072,2159.168,2394.240,0
167,8.351385,153.168,1384.560,1537.728,0
168,8.402073,279.360,2073.488,2352.848,0
169,8.451514,206.096,1513.808,1719.904,0
170,8.502059,246.544,2059.216,2305.760,0
171,8.552130,180.832,2130.128,2310.960,0
172,8.602051,187.120,2051.424,2238.544,0
173,8.651157,180.640,1156.864,1337.504,0
174,8.701920,275.360,1920.144,2195.504,0
175,8.751366,152.032,1366.416,1518.448,0
176,8.802191,220.768,2190.816,2411.584,0
177,8.852123,191.136,2123.488,2314.624,0
178,8.902055,309.696,2054.832,2364.528,0
179,8.951418,183.504,1418.208,1601.712,0
180,9.001963,294.160,1962.720,2256.880,0
181,9.051468,204.032,1468.448,1672.480,0
182,9.102073,255.184,2073.072,2328.256,0
183,9.151360,154.960,1360.464,1515.424,0
184,9.202198,185.344,2198.480,2383.824,0
185,9.252029,228.736,2028.944,2257.680,0
186,9.301031,332.960,1030.560,1363.520,0
187,9.352073,180.464,2073.408,2253.872,0
188,9.401054,275.296,1054.160,1329.456,0
189,9.451110,155.856,1109.712,1265.568,0
190,9.501868,336.800,1868.288,2205.088,0
191,9.551194,153.920,1193.520,1347.440,0
192,9.601022,461.040,1022.288,1483.328,0
193,9.651423,181.008,1422.896,1603.904,0
194,9.702336,222.672,2335.904,2558.576,0
195,9.752025,298.192,2024.736,2322.928,0
196,9.802100,236.128,2100.064,2336.192,0
197,9.851398,205.632,1397.904,1603.536,0
198,9.902206,182.560,2206.224,2388.784,0
199,9.951362,164.016,1361.648,1525.664,0
200,10.002060,262.720,2060.144,2322.864,0
201,10.051419,186.336,1419.296,1605.632,0
202,10.102184,210.816,2184.352,2395.168,0
203,10.152158,156.272,2157.952,2314.224,0
204,10.203409,170.720,3409.056,3579.776,0
205,10.252041,197.712,2040.592,2238.304,0
206,10.302081,236.336,2081.472,2317.808,0
207,10.352116,191.952,2115.824,2307.776,0
208,10.402067,286.240,2066.880,2353.120,0
209,10.451283,163.168,1283.040,1446.208,0
210,10.502196,180.096,2196.064,2376.160,0
211,10.552133,157.440,2132.816,2290.256,0
212,10.602161,241.792,2160.960,2402.752,0
213,10.652046,248.240,2045.840,2294.080,0
214,10.702061,233.424,2061.440,2294.864,0
215,10.752118,154.912,2117.744,2272.656,0
216,10.803214,170.272,3213.712,3383.984,0
217,10.851468,185.808,1467.888,1653.696,0
218,10.902178,246.528,2177.536,2424.064,0
219,10.952035,165.248,2035.104,2200.352,0
220,11.002067,205.472,2066.912,2272.384,0
221,11.051317,154.496,1317.040,1471.536,0
222,11.102351,281.504,2351.152,2632.656,0
223,11.152068,156.576,2068.144,2224.720,0
224,11.202060,185.392,2060.400,2245.792,0
225,11.251315,153.792,1315.040,1468.832,0
226,11.301936,303.936,1936.176,2240.112,0
227,11.351364,186.432,1364.128,1550.560,0
228,11.401032,220.016,1032.160,1252.176,0
229,11.452128,154.944,2128.384,2283.328,0
230,11.502164,218.544,2163.776,2382.320,0
231,11.551368,154.320,1367.872,1522.192,0
232,11.602036,304.432,2035.712,2340.144,0
233,11.651411,179.728,1411.280,1591.008,0
234,11.702169,158.272,2168.880,2327.152,0
235,11.752071,172.192,2070.992,2243.184,0
