========================================
Signal Sender Workload (Synchronized)
========================================
Initializing shared memory...
Waiting for speedometer to register...
Found speedometer in shared memory!
Sending START command to speedometer: START: 15;5;20

Running workload signal period for 15 seconds...

Workload signal period completed.
Sending STOP command to speedometer...
Waiting for statistics from speedometer...

Stress workload terminated.
===VMSTAT_START===
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 144336   2860  33200    0    0    53     9  252   52 84 12  5  0  0
 2  0      0 144336   2860  33204    0    0     0     0  508   24 100  0  0  0  0
 2  0      0 144336   2860  33204    0    0     0     0  506   12 100  0  0  0  0
 3  0      0 144336   2860  33204    0    0     0     0  504   18 100  0  0  0  0
 2  0      0 144336   2868  33196    0    0     0   124  510   27 100  0  0  0  0
 2  0      0 144336   2868  33204    0    0     0     0  507   25 100  0  0  0  0
 2  0      0 144336   2868  33204    0    0     0     0  505   16 100  0  0  0  0
 2  0      0 144336   2868  33204    0    0     0     0  504   18 100  0  0  0  0
 2  0      0 144336   2868  33204    0    0     0   164  508   22 100  0  0  0  0
 2  0      0 144336   2868  33204    0    0     0     0  507   22 100  0  0  0  0
 2  0      0 144336   2868  33204    0    0     0     0  507   14 100  0  0  0  0
 2  0      0 144336   2868  33204    0    0     0     0  507   18 100  0  0  0  0
 2  0      0 144336   2868  33204    0    0     0     0  508   16 100  0  0  0  0
 3  0      0 144336   2868  33204    0    0     0     0  504   19 100  0  0  0  0
 3  0      0 144336   2868  33204    0    0     0     0  506   16 100  0  0  0  0
 2  0      0 144336   2868  33204    0    0     0     0  517   28 99  1  0  0  0
 2  0      0 144336   2868  33204    0    0     0     0  510   36 97  3  0  0  0
===VMSTAT_END===
========== SPEEDOMETER RT APPLICATION RESULTS ==========
Test Configuration:
Period: 50.000 ms
Deadline: 5.000 ms
RT Priority: 99 (SCHED_FIFO)
Execution Statistics:
Total cycles: 300
Deadline misses: 1 (0.333%)
Execution Time (μs):
Mean: 223.661
Min: 150.656
Max: 1243.536
50th percentile: 201.744
95th percentile: 349.904
99th percentile: 453.648
99.9th percentile: 1243.536
Jitter (μs):
Mean: 2519.493
Min: 1307.088
Max: 4890.768
Response Time (μs):
Mean: 2743.154
Min: 1500.752
Max: 5152.656
50th percentile: 2816.832
95th percentile: 3863.696
99th percentile: 4329.536
99.9th percentile: 5152.656
========================================================
===VMSTAT_START===
(no vmstat data captured)
===VMSTAT_END===
===CSV_START===
cycle,timestamp_s,execution_time_us,jitter_us,response_time_us,deadline_miss
1,0.051667,156.384,1666.640,1823.024,0
2,0.101489,270.480,1489.024,1759.504,0
3,0.152308,237.088,2307.600,2544.688,0
4,0.201746,222.288,1745.920,1968.208,0
5,0.253974,169.504,3974.224,4143.728,0
6,0.302661,181.872,2661.456,2843.328,0
7,0.353232,296.048,3231.808,3527.856,0
8,0.402770,224.992,2769.520,2994.512,0
9,0.453268,337.936,3268.304,3606.240,0
10,0.502605,185.536,2605.200,2790.736,0
11,0.552583,152.432,2582.512,2734.944,0
12,0.602553,190.880,2552.976,2743.856,0
13,0.651452,164.800,1451.840,1616.640,0
14,0.703435,172.288,3435.264,3607.552,0
15,0.753666,188.208,3665.648,3853.856,0
16,0.802645,189.568,2644.656,2834.224,0
17,0.853434,396.448,3434.176,3830.624,0
18,0.902819,201.744,2818.864,3020.608,0
19,0.952308,171.664,2307.824,2479.488,0
20,1.001804,237.952,1804.416,2042.368,0
21,1.051436,165.344,1436.320,1601.664,0
22,1.102612,163.648,2611.520,2775.168,0
23,1.153235,386.672,3235.440,3622.112,0
24,1.202583,183.408,2582.928,2766.336,0
25,1.253279,222.368,3279.184,3501.552,0
26,1.302709,221.872,2709.472,2931.344,0
27,1.353894,512.368,3893.712,4406.080,0
28,1.402719,196.416,2718.864,2915.280,0
29,1.453298,349.904,3298.080,3647.984,0
30,1.502455,210.048,2455.200,2665.248,0
31,1.553272,202.656,3271.872,3474.528,0
32,1.601622,193.728,1622.032,1815.760,0
33,1.653149,271.872,3149.472,3421.344,0
34,1.701415,337.104,1415.200,1752.304,0
35,1.751403,156.592,1402.800,1559.392,0
36,1.802416,156.992,2416.192,2573.184,0
37,1.851441,153.856,1440.560,1594.416,0
38,1.902655,181.520,2654.656,2836.176,0
39,1.953846,219.136,3845.904,4065.040,0
40,2.001376,257.568,1375.504,1633.072,0
41,2.051421,175.392,1420.896,1596.288,0
42,2.102616,181.488,2615.840,2797.328,0
43,2.153200,271.760,3200.224,3471.984,0
44,2.201598,222.256,1597.744,1820.000,0
45,2.251351,154.192,1351.136,1505.328,0
46,2.302721,211.264,2721.472,2932.736,0
47,2.352299,448.528,2298.752,2747.280,0
48,2.401460,201.904,1460.400,1662.304,0
49,2.453102,355.680,3101.728,3457.408,0
50,2.502775,210.096,2774.768,2984.864,0
51,2.552579,164.032,2578.880,2742.912,0
52,2.602620,163.424,2619.552,2782.976,0
53,2.653222,389.008,3221.712,3610.720,0
54,2.702590,176.000,2589.792,2765.792,0
55,2.753314,210.816,3314.064,3524.880,0
56,2.802781,214.672,2780.768,2995.440,0
