========================================
Signal Sender Workload (Synchronized)
========================================
Initializing shared memory...
Waiting for speedometer to register...
Found speedometer in shared memory!
Sending START command to speedometer: START: 15;5;20

Running workload signal period for 15 seconds...

Workload signal period completed.
Sending STOP command to speedometer...
Waiting for statistics from speedometer...

Stress workload terminated.
===VMSTAT_START===
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 143948   2980  33204    0    0    29     8  253   44 88  9  3  0  0
 2  0      0 143948   2980  33204    0    0     0     0  507   14 100  0  0  0  0
 2  0      0 143948   2980  33204    0    0     0     0  508   18 100  0  0  0  0
 2  0      0 143948   2980  33204    0    0     0     0  506   24 100  0  0  0  0
 3  0      0 143948   2988  33196    0    0     0   124  509   26 100  0  0  0  0
 2  0      0 143948   2988  33204    0    0     0     0  504   16 100  0  0  0  0
 2  0      0 143948   2988  33204    0    0     0     0  508   15 100  0  0  0  0
 2  0      0 143948   2988  33204    0    0     0     0  503   22 100  0  0  0  0
 2  0      0 143948   2988  33204    0    0     0     0  504   17 99  1  0  0  0
 2  0      0 143948   2988  33204    0    0     0     0  507   18 100  0  0  0  0
 2  0      0 143948   2988  33204    0    0     0     0  508   16 100  0  0  0  0
 2  0      0 143948   2988  33204    0    0     0     0  507   24 100  0  0  0  0
 2  0      0 143948   2988  33204    0    0     0     0  507   14 100  0  0  0  0
 2  0      0 143948   2988  33204    0    0     0     0  502   18 100  0  0  0  0
 2  0      0 143948   2988  33204    0    0     0     0  508   16 100  0  0  0  0
 2  0      0 143948   2988  33204    0    0     0     0  531   38 98  2  0  0  0
 2  0      0 143948   2988  33204    0    0     0     0  542   40 97  3  0  0  0
===VMSTAT_END===
========== SPEEDOMETER RT APPLICATION RESULTS ==========
Test Configuration:
Period: 50.000 ms
Deadline: 5.000 ms
RT Priority: 99 (SCHED_FIFO)
Execution Statistics:
Total cycles: 300
Deadline misses: 4 (1.333%)
Execution Time (μs):
Mean: 216.136
Min: 151.536
Max: 1456.608
50th percentile: 194.960
95th percentile: 313.008
99th percentile: 761.376
99.9th percentile: 1456.608
Jitter (μs):
Mean: 2289.273
Min: 1028.496
Max: 10582.768
Response Time (μs):
Mean: 2505.409
Min: 1321.120
Max: 10992.224
50th percentile: 2346.928
95th percentile: 3704.112
99th percentile: 8635.440
99.9th percentile: 10992.224
========================================================
===VMSTAT_START===
(no vmstat data captured)
===VMSTAT_END===
===CSV_START===
cycle,timestamp_s,execution_time_us,jitter_us,response_time_us,deadline_miss
1,0.052643,220.080,2642.656,2862.736,0
2,0.102048,207.072,2047.984,2255.056,0
3,0.152363,170.704,2363.456,2534.160,0
4,0.202166,164.016,2166.416,2330.432,0
5,0.251189,187.600,1188.784,1376.384,0
6,0.302173,159.792,2172.768,2332.560,0
7,0.352331,189.504,2330.896,2520.400,0
8,0.402085,169.232,2084.672,2253.904,0
9,0.451327,191.376,1326.656,1518.032,0
10,0.502117,174.128,2117.376,2291.504,0
11,0.552270,269.408,2270.464,2539.872,0
12,0.602101,166.464,2101.056,2267.520,0
13,0.651397,176.960,1396.640,1573.600,0
14,0.702148,183.424,2148.128,2331.552,0
15,0.752342,164.928,2341.824,2506.752,0
16,0.802043,168.368,2043.008,2211.376,0
17,0.853465,217.760,3465.264,3683.024,0
18,0.902093,155.824,2093.440,2249.264,0
19,0.952317,221.456,2316.608,2538.064,0
20,1.002118,243.504,2117.856,2361.360,0
21,1.051844,331.856,1844.048,2175.904,0
22,1.101438,190.608,1437.984,1628.592,0
23,1.152155,202.160,2154.704,2356.864,0
24,1.202044,192.800,2044.368,2237.168,0
25,1.252236,217.440,2236.144,2453.584,0
26,1.302109,210.528,2109.088,2319.616,0
27,1.353352,151.536,3351.520,3503.056,0
28,1.402039,178.784,2038.800,2217.584,0
29,1.451984,393.792,1983.760,2377.552,0
30,1.502086,172.256,2085.712,2257.968,0
31,1.553501,240.416,3500.640,3741.056,0
32,1.602165,208.528,2164.928,2373.456,0
33,1.652136,168.272,2135.824,2304.096,0
34,1.701446,220.752,1445.600,1666.352,0
35,1.757881,912.432,7881.184,8793.616,1
36,1.804198,171.344,4197.984,4369.328,0
37,1.852375,248.464,2374.912,2623.376,0
38,1.902179,160.480,2179.472,2339.952,0
39,1.952196,164.928,2195.600,2360.528,0
40,2.001561,163.440,1560.528,1723.968,0
41,2.052049,212.320,2048.848,2261.168,0
42,2.102035,270.864,2034.624,2305.488,0
43,2.153474,194.960,3473.968,3668.928,0
44,2.202086,192.336,2086.400,2278.736,0
45,2.252122,244.384,2121.536,2365.920,0
46,2.302050,155.664,2050.128,2205.792,0
47,2.352076,239.088,2076.352,2315.440,0
48,2.401986,247.696,1986.176,2233.872,0
49,2.452229,307.856,2229.200,2537.056,0
50,2.502502,183.200,2502.208,2685.408,0
51,2.552146,300.368,2146.496,2446.864,0
52,2.602310,163.616,2309.872,2473.488,0
53,2.653232,155.248,3231.840,3387.088,0
54,2.702191,170.624,2190.656,2361.280,0
55,2.752135,275.920,2135.296,2411.216,0
56,2.802164,209.488,2164.144,2373.632,0
