========================================
Signal Sender Workload (Synchronized)
========================================
Initializing shared memory...
Waiting for speedometer to register...
Found speedometer in shared memory!
Sending START command to speedometer: START: 15;5;20

Running workload signal period for 15 seconds...

Workload signal period completed.
Sending STOP command to speedometer...
Waiting for statistics from speedometer...

Stress workload terminated.
===VMSTAT_START===
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 143400   3244  33216    0    0    15     8  254   39 91  8  1  0  0
 2  0      0 143280   3244  33220    0    0     0     0  506   20 100  0  0  0  0
 2  0      0 143280   3244  33220    0    0     0     0  505   16 100  0  0  0  0
 2  0      0 143280   3244  33220    0    0     0    48  508   24 100  0  0  0  0
 2  0      0 143280   3252  33220    0    0     0   124  508   28 100  0  0  0  0
 2  0      0 143280   3252  33220    0    0     0     0  507   22 100  0  0  0  0
 2  0      0 143280   3252  33220    0    0     0     0  506   14 100  0  0  0  0
 2  0      0 143280   3252  33220    0    0     0     0  509   20 100  0  0  0  0
 2  0      0 143280   3252  33220    0    0     0     0  503   14 100  0  0  0  0
 2  0      0 143280   3252  33220    0    0     0     0  508   24 100  0  0  0  0
 2  0      0 143280   3252  33220    0    0     0     0  507   18 100  0  0  0  0
 3  0      0 143280   3252  33220    0    0     0     0  504   16 100  0  0  0  0
 2  0      0 143280   3252  33220    0    0     0     0  507   16 100  0  0  0  0
 2  0      0 143280   3252  33220    0    0     0     0  508   22 100  0  0  0  0
 2  0      0 143280   3252  33220    0    0     0     0  507   18 100  0  0  0  0
 2  0      0 143280   3252  33220    0    0     0     0  571   47 96  4  0  0  0
 2  0      0 143280   3252  33220    0    0     0     0  523   46 96  4  0  0  0
===VMSTAT_END===
========== SPEEDOMETER RT APPLICATION RESULTS ==========
Test Configuration:
Period: 50.000 ms
Deadline: 5.000 ms
RT Priority: 99 (SCHED_FIFO)
Execution Statistics:
Total cycles: 300
Deadline misses: 0 (0.000%)
Execution Time (μs):
Mean: 176.309
Min: 132.688
Max: 409.888
50th percentile: 168.128
95th percentile: 253.488
99th percentile: 338.336
99.9th percentile: 409.888
Jitter (μs):
Mean: 1970.188
Min: 1031.104
Max: 4046.176
Response Time (μs):
Mean: 2146.497
Min: 1170.560
Max: 4252.944
50th percentile: 2219.360
95th percentile: 3416.944
99th percentile: 3960.576
99.9th percentile: 4252.944
========================================================
===VMSTAT_START===
(no vmstat data captured)
===VMSTAT_END===
===CSV_START===
cycle,timestamp_s,execution_time_us,jitter_us,response_time_us,deadline_miss
1,0.052190,149.728,2189.632,2339.360,0
2,0.103257,164.768,3256.976,3421.744,0
3,0.151261,173.808,1260.896,1434.704,0
4,0.202011,191.184,2011.184,2202.368,0
5,0.251119,171.696,1118.528,1290.224,0
6,0.301861,299.792,1860.928,2160.720,0
7,0.351276,178.528,1276.064,1454.592,0
8,0.401870,244.656,1870.496,2115.152,0
9,0.451893,224.944,1892.624,2117.568,0
10,0.501229,193.216,1228.976,1422.192,0
11,0.553736,262.496,3735.872,3998.368,0
12,0.602005,215.120,2005.472,2220.592,0
13,0.651187,186.256,1186.720,1372.976,0
14,0.702072,227.472,2072.064,2299.536,0
15,0.751206,145.232,1205.936,1351.168,0
16,0.801962,242.384,1962.416,2204.800,0
17,0.851326,211.744,1325.888,1537.632,0
18,0.901925,334.928,1924.688,2259.616,0
19,0.951896,200.272,1896.064,2096.336,0
20,1.002041,158.480,2040.640,2199.120,0
21,1.051362,190.720,1361.680,1552.400,0
22,1.101905,180.496,1904.704,2085.200,0
23,1.151905,206.464,1905.120,2111.584,0
24,1.201911,307.136,1910.592,2217.728,0
25,1.252038,143.168,2037.600,2180.768,0
26,1.302038,142.288,2038.336,2180.624,0
27,1.351312,164.096,1312.288,1476.384,0
28,1.402226,135.920,2225.616,2361.536,0
29,1.451267,133.072,1266.912,1399.984,0
30,1.501994,225.072,1994.288,2219.360,0
31,1.552080,146.640,2079.520,2226.160,0
32,1.602504,144.784,2503.536,2648.320,0
33,1.651912,200.544,1912.032,2112.576,0
34,1.702185,158.128,2184.832,2342.960,0
35,1.751547,173.744,1546.512,1720.256,0
36,1.802067,231.840,2066.912,2298.752,0
37,1.852063,144.848,2062.800,2207.648,0
38,1.903214,153.744,3214.288,3368.032,0
39,1.951229,146.224,1228.704,1374.928,0
40,2.002035,247.536,2035.088,2282.624,0
41,2.051315,210.992,1315.232,1526.224,0
42,2.102033,183.328,2033.312,2216.640,0
43,2.152026,159.568,2026.096,2185.664,0
44,2.201188,182.224,1188.432,1370.656,0
45,2.251858,196.128,1857.568,2053.696,0
46,2.301858,338.336,1858.352,2196.688,0
47,2.351274,142.992,1274.320,1417.312,0
48,2.401911,204.448,1910.672,2115.120,0
49,2.451384,215.984,1384.000,1599.984,0
50,2.502061,234.160,2060.768,2294.928,0
51,2.551247,161.664,1247.168,1408.832,0
52,2.601905,288.112,1904.576,2192.688,0
53,2.651339,212.352,1338.656,1551.008,0
54,2.702029,144.400,2029.328,2173.728,0
55,2.751906,201.216,1905.920,2107.136,0
56,2.802000,302.048,2000.064,2302.112,0
