========================================
Signal Sender Workload (Synchronized)
========================================
Initializing shared memory...
Waiting for speedometer to register...
Found speedometer in shared memory!
Sending START command to speedometer: START: 15;5;20

Running workload signal period for 15 seconds...

Workload signal period completed.
Sending STOP command to speedometer...
Waiting for statistics from speedometer...

Stress workload terminated.
===VMSTAT_START===
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 144192   3292  33224    0    0    14     8  254   38 91  7  1  0  0
 2  0      0 144072   3292  33220    0    0     0     0  506   14 100  0  0  0  0
 2  0      0 144072   3292  33220    0    0     0     0  507   20 100  0  0  0  0
 2  0      0 144072   3292  33220    0    0     0     0  507   20 100  0  0  0  0
 2  0      0 144072   3292  33220    0    0     0     0  508   20 100  0  0  0  0
 2  0      0 144072   3300  33212    0    0     0   124  507   26 100  1  0  0  0
 2  0      0 144072   3300  33220    0    0     0     0  507   18 100  0  0  0  0
 2  0      0 144072   3300  33220    0    0     0     0  507   20 100  0  0  0  0
 2  0      0 144072   3300  33220    0    0     0     0  504   18 100  0  0  0  0
 2  0      0 144072   3300  33220    0    0     0     0  507   14 100  0  0  0  0
 2  0      0 144072   3300  33220    0    0     0     0  508   20 100  0  0  0  0
 2  0      0 144072   3300  33220    0    0     0     0  506   20 100  0  0  0  0
 2  0      0 144072   3300  33220    0    0     0     0  505   18 100  0  0  0  0
 2  0      0 144072   3300  33220    0    0     0     0  506   14 100  0  0  0  0
 2  0      0 144072   3300  33220    0    0     0     0  507   20 100  0  0  0  0
 2  0      0 144072   3300  33220    0    0     0     0  510   30 99  1  0  0  0
 4  0      0 144072   3300  33220    0    0     0     0  512   43 95  5  0  0  0
===VMSTAT_END===
========== SPEEDOMETER RT APPLICATION RESULTS ==========
Test Configuration:
Period: 50.000 ms
Deadline: 5.000 ms
RT Priority: 99 (SCHED_FIFO)
Execution Statistics:
Total cycles: 300
Deadline misses: 0 (0.000%)
Execution Time (μs):
Mean: 165.823
Min: 132.240
Max: 302.016
50th percentile: 163.904
95th percentile: 216.176
99th percentile: 259.344
99.9th percentile: 302.016
Jitter (μs):
Mean: 2146.169
Min: 1017.312
Max: 4023.952
Response Time (μs):
Mean: 2311.992
Min: 1158.880
Max: 4192.160
50th percentile: 2166.544
95th percentile: 3278.544
99th percentile: 4158.656
99.9th percentile: 4192.160
========================================================
===VMSTAT_START===
(no vmstat data captured)
===VMSTAT_END===
===CSV_START===
cycle,timestamp_s,execution_time_us,jitter_us,response_time_us,deadline_miss
1,0.052425,148.256,2425.200,2573.456,0
2,0.101249,135.024,1249.312,1384.336,0
3,0.152155,145.824,2155.424,2301.248,0
4,0.201259,134.032,1259.328,1393.360,0
5,0.252002,166.144,2002.448,2168.592,0
6,0.301820,149.920,1820.064,1969.984,0
7,0.352035,219.856,2034.656,2254.512,0
8,0.401872,192.480,1871.760,2064.240,0
9,0.451852,302.016,1851.840,2153.856,0
10,0.502853,167.296,2852.784,3020.080,0
11,0.552030,196.944,2030.112,2227.056,0
12,0.601023,135.488,1023.392,1158.880,0
13,0.651113,132.240,1112.672,1244.912,0
14,0.701971,166.336,1971.376,2137.712,0
15,0.753014,137.616,3013.600,3151.216,0
16,0.801913,200.672,1912.736,2113.408,0
17,0.852046,167.056,2046.480,2213.536,0
18,0.901864,169.040,1863.744,2032.784,0
19,0.951885,294.304,1884.816,2179.120,0
20,1.001971,163.648,1971.328,2134.976,0
21,1.051932,205.760,1931.632,2137.392,0
22,1.101994,138.176,1993.632,2131.808,0
23,1.151834,259.344,1834.464,2093.808,0
24,1.202046,135.056,2045.568,2180.624,0
25,1.252108,148.944,2108.032,2256.976,0
26,1.301969,172.064,1969.392,2141.456,0
27,1.352035,173.104,2035.088,2208.192,0
28,1.401179,186.096,1179.008,1365.104,0
29,1.452009,191.296,2009.072,2200.368,0
30,1.501846,170.064,1845.632,2015.696,0
31,1.551894,218.000,1893.568,2111.568,0
32,1.601859,216.176,1858.704,2074.880,0
33,1.652004,159.216,2003.584,2162.800,0
34,1.702842,175.760,2841.920,3017.680,0
35,1.752002,179.936,2001.520,2181.456,0
36,1.801978,160.224,1978.480,2138.704,0
37,1.853944,152.544,3943.824,4096.368,0
38,1.901983,163.904,1982.640,2146.544,0
39,1.953015,144.208,3014.896,3159.104,0
40,2.002964,174.896,2964.160,3139.056,0
41,2.053014,154.784,3014.144,3168.928,0
42,2.101556,162.928,1556.240,1719.168,0
43,2.151994,173.184,1993.616,2166.800,0
44,2.201989,144.768,1988.512,2133.280,0
45,2.252525,171.728,2524.816,2696.544,0
46,2.301897,172.256,1897.152,2069.408,0
47,2.352065,170.784,2064.704,2235.488,0
48,2.401287,163.552,1287.200,1450.752,0
49,2.451973,203.936,1973.088,2177.024,0
50,2.501950,149.616,1949.904,2099.520,0
51,2.552005,191.520,2005.280,2196.800,0
52,2.601948,209.632,1948.400,2158.032,0
53,2.653234,134.464,3233.584,3368.048,0
54,2.701036,171.088,1036.384,1207.472,0
55,2.752055,177.632,2055.040,2232.672,0
56,2.802019,144.640,2019.488,2164.128,0
57,2.853058,208.720,3058.368,3267.088,0
58,2.901848,180.944,1848.160,2029.104,0
59,2.952065,160.496,2064.688,2225.184,0
60,3.002017,134.112,2016.720,2150.832,0
61,3.053016,168.240,3016.384,3184.624,0
62,3.102988,162.032,2987.904,3149.936,0
63,3.152075,168.736,2075.136,2243.872,0
64,3.202090,144.192,2090.112,2234.304,0
65,3.252274,139.760,2273.600,2413.360,0
66,3.302056,154.192,2055.632,2209.824,0
67,3.354024,134.704,4023.952,4158.656,0
68,3.402031,134.000,2030.880,2164.880,0
69,3.452623,202.960,2623.088,2826.048,0
70,3.501998,134.352,1998.432,2132.784,0
71,3.552033,153.488,2032.944,2186.432,0
72,3.601989,147.008,1988.544,2135.552,0
73,3.653002,139.856,3002.160,3142.016,0
74,3.701997,144.976,1996.752,2141.728,0
75,3.752996,134.288,2996.048,3130.336,0
76,3.801959,160.736,1958.624,2119.360,0
77,3.853043,174.336,3043.120,3217.456,0
78,3.902012,145.744,2011.680,2157.424,0
79,3.952503,163.248,2502.672,2665.920,0
80,4.001973,151.200,1973.216,2124.416,0
