========================================
Signal Sender Workload (Synchronized)
========================================
Initializing shared memory...
Waiting for speedometer to register...
Found speedometer in shared memory!
Sending START command to speedometer: START: 15;5;20

Running workload signal period for 15 seconds...

Workload signal period completed.
Sending STOP command to speedometer...
Waiting for statistics from speedometer...

Stress workload terminated.
===VMSTAT_START===
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0      0 139528   3508  33152    0    0   268    15  248  162 40 38 22  0  0
 4  0      0 139528   3508  33164    0    0     0     0  507  254 100  0  0  0  0
 4  0      0 139528   3508  33164    0    0     0     0  507  261 100  0  0  0  0
 4  0      0 139528   3508  33164    0    0     0     0  506  260 100  0  0  0  0
 5  0      0 139528   3516  33164    0    0     0   232  512  267 99  1  0  0  0
 5  0      0 139528   3516  33164    0    0     0    96  504  265 100  0  0  0  0
 4  0      0 139528   3516  33164    0    0     0     0  506  262 100  0  0  0  0
 4  0      0 139528   3516  33164    0    0     0     0  507  263 100  0  0  0  0
 4  0      0 139528   3516  33164    0    0     0     0  507  259 100  0  0  0  0
 4  0      0 139528   3516  33164    0    0     0     0  505  263 100  0  0  0  0
 4  0      0 139528   3516  33164    0    0     0     0  504  261 100  0  0  0  0
 4  0      0 139528   3516  33164    0    0     0     0  506  260 100  0  0  0  0
 4  0      0 139528   3516  33164    0    0     0     0  507  261 100  0  0  0  0
 4  0      0 139528   3516  33164    0    0     0     0  503  262 100  0  0  0  0
 4  0      0 139528   3516  33164    0    0     0     0  507  260 100  0  0  0  0
 5  0      0 139528   3516  33164    0    0     0     0  511  262 99  1  0  0  0
 4  0      0 139528   3516  33164    0    0     0     0  517  265 98  2  0  0  0
===VMSTAT_END===
========== SPEEDOMETER RT APPLICATION RESULTS ==========
Test Configuration:
Period: 50.000 ms
Deadline: 5.000 ms
RT Priority: 99 (SCHED_FIFO)
Execution Statistics:
Total cycles: 299
Deadline misses: 1 (0.334%)
Execution Time (μs):
Mean: 209.421
Min: 152.688
Max: 2853.408
50th percentile: 189.504
95th percentile: 289.216
99th percentile: 475.056
99.9th percentile: 2853.408
Jitter (μs):
Mean: 1893.401
Min: 1135.376
Max: 3919.936
Response Time (μs):
Mean: 2102.822
Min: 1351.504
Max: 6545.104
50th percentile: 1637.264
95th percentile: 3521.248
99th percentile: 4081.568
99.9th percentile: 6545.104
========================================================
===VMSTAT_START===
(no vmstat data captured)
===VMSTAT_END===
===CSV_START===
cycle,timestamp_s,execution_time_us,jitter_us,response_time_us,deadline_miss
1,0.053325,467.664,3324.752,3792.416,0
2,0.101464,361.008,1464.144,1825.152,0
3,0.151572,171.008,1571.824,1742.832,0
4,0.202529,223.360,2528.752,2752.112,0
5,0.251236,157.360,1236.480,1393.840,0
6,0.302538,157.808,2537.744,2695.552,0
7,0.351250,163.728,1250.400,1414.128,0
8,0.402682,230.464,2682.288,2912.752,0
9,0.453397,209.040,3396.976,3606.016,0
10,0.501292,345.440,1291.824,1637.264,0
11,0.551248,157.600,1248.288,1405.888,0
12,0.602654,171.744,2653.776,2825.520,0
13,0.651245,154.736,1244.624,1399.360,0
14,0.702497,238.400,2496.976,2735.376,0
15,0.751242,163.328,1241.648,1404.976,0
16,0.802633,168.048,2632.912,2800.960,0
17,0.853920,161.632,3919.936,4081.568,0
18,0.902304,153.680,2303.936,2457.616,0
19,0.951261,155.344,1261.360,1416.704,0
20,1.002653,157.296,2652.768,2810.064,0
21,1.051308,154.496,1308.352,1462.848,0
22,1.102552,182.256,2552.368,2734.624,0
23,1.151258,154.832,1258.368,1413.200,0
24,1.202557,250.752,2556.560,2807.312,0
25,1.251247,164.480,1246.656,1411.136,0
26,1.302519,192.512,2519.472,2711.984,0
27,1.351258,163.104,1258.032,1421.136,0
28,1.402532,196.848,2532.048,2728.896,0
29,1.451222,177.344,1222.000,1399.344,0
30,1.501244,275.472,1244.080,1519.552,0
31,1.551230,154.768,1229.568,1384.336,0
32,1.602610,175.632,2609.536,2785.168,0
33,1.651226,194.320,1225.504,1419.824,0
34,1.702681,177.744,2680.960,2858.704,0
35,1.751255,181.296,1255.168,1436.464,0
36,1.802715,191.184,2715.024,2906.208,0
37,1.851254,156.672,1254.448,1411.120,0
38,1.902608,200.784,2608.384,2809.168,0
39,1.953151,231.632,3150.544,3382.176,0
40,2.001271,226.512,1270.736,1497.248,0
41,2.051258,163.312,1258.096,1421.408,0
42,2.102637,202.224,2636.560,2838.784,0
43,2.153135,184.112,3135.376,3319.488,0
44,2.201269,188.384,1268.624,1457.008,0
45,2.251253,155.376,1252.896,1408.272,0
46,2.302647,154.832,2647.472,2802.304,0
47,2.351441,217.296,1440.576,1657.872,0
48,2.401280,220.768,1279.728,1500.496,0
49,2.451217,179.856,1217.136,1396.992,0
50,2.502582,163.824,2582.112,2745.936,0
51,2.551236,176.688,1236.096,1412.784,0
52,2.602602,205.056,2601.968,2807.024,0
53,2.651243,163.056,1242.864,1405.920,0
54,2.702597,156.464,2596.992,2753.456,0
55,2.751261,182.368,1260.976,1443.344,0
56,2.802662,238.144,2662.176,2900.320,0
