========================================
Signal Sender Workload (Synchronized)
========================================
Initializing shared memory...
Waiting for speedometer to register...
Found speedometer in shared memory!
Sending START command to speedometer: START: 15;5;20

Running workload signal period for 15 seconds...

Workload signal period completed.
Sending STOP command to speedometer...
Waiting for statistics from speedometer...

Stress workload terminated.
===VMSTAT_START===
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0      0 139100   3772  33248    0    0    28     8  253  142 88  9  2  0  0
 4  0      0 139100   3772  33244    0    0     0     0  505  267 100  0  0  0  0
 4  0      0 139100   3772  33244    0    0     0     0  506  262 100  0  0  0  0
 4  0      0 139100   3772  33244    0    0     0     0  505  263 100  0  0  0  0
 4  0      0 139100   3780  33236    0    0     0   124  507  265 100  0  0  0  0
 4  0      0 139100   3780  33244    0    0     0     0  507  266 100  0  0  0  0
 4  0      0 139100   3780  33244    0    0     0     0  508  263 100  0  0  0  0
 4  0      0 139100   3780  33244    0    0     0     0  502  259 100  0  0  0  0
 4  0      0 139100   3780  33244    0    0     0     0  507  261 100  0  0  0  0
 4  0      0 139100   3780  33244    0    0     0     0  506  264 100  0  0  0  0
 4  0      0 139100   3780  33244    0    0     0     0  505  256 100  0  0  0  0
 4  0      0 139100   3780  33244    0    0     0     0  506  260 100  0  0  0  0
 4  0      0 139100   3780  33244    0    0     0     0  507  262 100  0  0  0  0
 4  0      0 139100   3780  33244    0    0     0     0  502  263 100  0  0  0  0
 4  0      0 139100   3780  33244    0    0     0     0  508  263 100  0  0  0  0
 4  0      0 139100   3780  33244    0    0     0     0  534  278 97  3  0  0  0
 4  0      0 139100   3780  33244    0    0     0     0  543  275 88 12  0  0  0
===VMSTAT_END===
========== SPEEDOMETER RT APPLICATION RESULTS ==========
Test Configuration:
Period: 50.000 ms
Deadline: 5.000 ms
RT Priority: 99 (SCHED_FIFO)
Execution Statistics:
Total cycles: 300
Deadline misses: 0 (0.000%)
Execution Time (μs):
Mean: 200.533
Min: 149.248
Max: 755.424
50th percentile: 189.792
95th percentile: 278.464
99th percentile: 376.304
99.9th percentile: 755.424
Jitter (μs):
Mean: 2049.145
Min: 1066.512
Max: 3818.480
Response Time (μs):
Mean: 2249.679
Min: 1275.408
Max: 4005.568
50th percentile: 2033.360
95th percentile: 3372.288
99th percentile: 3985.168
99.9th percentile: 4005.568
========================================================
===VMSTAT_START===
(no vmstat data captured)
===VMSTAT_END===
===CSV_START===
cycle,timestamp_s,execution_time_us,jitter_us,response_time_us,deadline_miss
1,0.053715,284.640,3715.152,3999.792,0
2,0.102163,162.720,2163.328,2326.048,0
3,0.151823,156.800,1823.008,1979.808,0
4,0.203013,230.032,3013.200,3243.232,0
5,0.251821,157.024,1821.376,1978.400,0
6,0.303001,179.696,3000.784,3180.480,0
7,0.351751,238.768,1750.880,1989.648,0
8,0.401806,165.216,1806.448,1971.664,0
9,0.451750,225.440,1750.288,1975.728,0
10,0.501825,154.144,1825.312,1979.456,0
11,0.551770,206.544,1770.272,1976.816,0
12,0.603021,217.824,3020.624,3238.448,0
13,0.651787,184.608,1787.184,1971.792,0
14,0.702071,211.856,2070.608,2282.464,0
15,0.751752,193.632,1751.936,1945.568,0
16,0.801834,298.240,1833.984,2132.224,0
17,0.851801,204.832,1801.376,2006.208,0
18,0.902884,151.728,2883.680,3035.408,0
19,0.951802,239.936,1801.504,2041.440,0
20,1.003020,149.520,3020.288,3169.808,0
21,1.051762,156.208,1762.320,1918.528,0
22,1.101800,322.160,1799.568,2121.728,0
23,1.151817,153.088,1817.328,1970.416,0
24,1.201862,155.840,1861.840,2017.680,0
25,1.251761,227.392,1760.912,1988.304,0
26,1.303103,233.488,3102.912,3336.400,0
27,1.351730,259.168,1729.696,1988.864,0
28,1.402993,150.032,2993.280,3143.312,0
29,1.451811,168.752,1811.312,1980.064,0
30,1.503095,222.736,3094.752,3317.488,0
31,1.551800,193.408,1799.936,1993.344,0
32,1.603025,222.816,3025.088,3247.904,0
33,1.651848,155.008,1848.464,2003.472,0
34,1.703818,187.088,3818.480,4005.568,0
35,1.753758,226.960,3758.208,3985.168,0
36,1.801831,254.400,1830.528,2084.928,0
37,1.851811,193.808,1811.120,2004.928,0
38,1.903151,173.344,3151.312,3324.656,0
39,1.951190,191.872,1190.448,1382.320,0
40,2.001828,156.208,1827.600,1983.808,0
41,2.051694,233.056,1694.112,1927.168,0
42,2.101824,290.448,1824.384,2114.832,0
43,2.151739,239.088,1739.248,1978.336,0
44,2.201844,273.184,1844.032,2117.216,0
45,2.251818,171.392,1818.448,1989.840,0
46,2.303107,224.160,3106.912,3331.072,0
47,2.351773,200.624,1772.864,1973.488,0
48,2.403084,218.272,3083.744,3302.016,0
49,2.451717,236.256,1716.560,1952.816,0
50,2.501852,230.768,1852.448,2083.216,0
51,2.551784,172.800,1783.504,1956.304,0
52,2.601802,189.504,1801.856,1991.360,0
53,2.651822,156.656,1821.792,1978.448,0
54,2.703143,218.688,3143.152,3361.840,0
55,2.751761,194.960,1760.672,1955.632,0
56,2.803037,232.336,3036.512,3268.848,0
57,2.851749,173.888,1748.704,1922.592,0
58,2.902057,216.800,2057.296,2274.096,0
59,2.951749,230.080,1748.672,1978.752,0
60,3.001839,294.560,1839.328,2133.888,0
61,3.051829,169.376,1829.072,1998.448,0
62,3.103169,167.664,3169.024,3336.688,0
63,3.151769,170.112,1768.848,1938.960,0
