========================================
Signal Sender Workload (Synchronized)
========================================
Initializing shared memory...
Waiting for speedometer to register...
Found speedometer in shared memory!
Sending START command to speedometer: START: 15;5;20

Running workload signal period for 15 seconds...

Workload signal period completed.
Sending STOP command to speedometer...
Waiting for statistics from speedometer...

Stress workload terminated.
===VMSTAT_START===
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0      0 139040   3940  33256    0    0    18     8  254  141 90  8  1  0  0
 4  0      0 138920   3940  33256    0    0     0     0  507  263 100  0  0  0  0
 4  0      0 138920   3940  33256    0    0     0     0  507  262 100  0  0  0  0
 4  0      0 138920   3940  33256    0    0     0     0  507  260 100  0  0  0  0
 4  0      0 138920   3948  33248    0    0     0   124  513  265 100  0  0  0  0
 4  0      0 138920   3948  33256    0    0     0     0  503  263 100  0  0  0  0
 4  0      0 138920   3948  33256    0    0     0     0  507  261 100  0  0  0  0
 4  0      0 138920   3948  33256    0    0     0     0  507  261 100  0  0  0  0
 4  0      0 138920   3948  33256    0    0     0   164  506  259 100  0  0  0  0
 4  0      0 138920   3948  33256    0    0     0     0  506  263 100  0  0  0  0
 4  0      0 138920   3948  33256    0    0     0     0  508  264 100  0  0  0  0
 4  0      0 138920   3948  33256    0    0     0     0  503  258 100  0  0  0  0
 4  0      0 138920   3948  33256    0    0     0     0  506  261 100  0  0  0  0
 5  0      0 138920   3948  33256    0    0     0     0  503  263 100  0  0  0  0
 4  0      0 138920   3948  33256    0    0     0     0  506  260 100  0  0  0  0
 4  0      0 138920   3948  33256    0    0     0     0  536  278 95  5  0  0  0
 4  0      0 138920   3948  33256    0    0     0     0  553  274 88 12  0  0  0
===VMSTAT_END===
========== SPEEDOMETER RT APPLICATION RESULTS ==========
Test Configuration:
Period: 50.000 ms
Deadline: 5.000 ms
RT Priority: 99 (SCHED_FIFO)
Execution Statistics:
Total cycles: 300
Deadline misses: 0 (0.000%)
Execution Time (μs):
Mean: 188.732
Min: 131.616
Max: 484.256
50th percentile: 175.408
95th percentile: 303.152
99th percentile: 401.952
99.9th percentile: 484.256
Jitter (μs):
Mean: 2024.197
Min: 1471.664
Max: 3550.224
Response Time (μs):
Mean: 2212.929
Min: 1625.264
Max: 3684.112
50th percentile: 1995.600
95th percentile: 2998.592
99th percentile: 3648.224
99.9th percentile: 3684.112
========================================================
===VMSTAT_START===
(no vmstat data captured)
===VMSTAT_END===
===CSV_START===
cycle,timestamp_s,execution_time_us,jitter_us,response_time_us,deadline_miss
1,0.051765,200.480,1764.976,1965.456,0
2,0.101825,192.480,1824.576,2017.056,0
3,0.151776,176.992,1776.288,1953.280,0
4,0.201816,165.936,1815.984,1981.920,0
5,0.251843,192.800,1842.512,2035.312,0
6,0.302308,284.208,2307.840,2592.048,0
7,0.351791,193.408,1790.864,1984.272,0
8,0.402566,317.248,2565.664,2882.912,0
9,0.451768,166.112,1768.272,1934.384,0
10,0.502557,217.584,2557.344,2774.928,0
11,0.551729,133.456,1728.608,1862.064,0
12,0.602445,187.456,2444.560,2632.016,0
13,0.651874,160.400,1873.616,2034.016,0
14,0.701731,133.392,1730.912,1864.304,0
15,0.751686,132.400,1686.080,1818.480,0
16,0.801739,134.320,1738.864,1873.184,0
17,0.851924,172.576,1923.584,2096.160,0
18,0.901729,133.840,1729.472,1863.312,0
19,0.951771,204.704,1771.360,1976.064,0
20,1.003467,181.120,3467.104,3648.224,0
21,1.051781,189.792,1781.456,1971.248,0
22,1.101893,153.632,1892.528,2046.160,0
23,1.151771,209.168,1771.120,1980.288,0
24,1.201796,215.472,1796.448,2011.920,0
25,1.251903,136.480,1903.392,2039.872,0
26,1.301900,147.776,1899.680,2047.456,0
27,1.352202,148.832,2202.304,2351.136,0
28,1.402515,372.448,2515.296,2887.744,0
29,1.451800,193.776,1800.112,1993.888,0
30,1.502402,372.560,2401.680,2774.240,0
31,1.551766,173.616,1766.112,1939.728,0
32,1.602529,151.440,2529.008,2680.448,0
33,1.651807,190.848,1806.672,1997.520,0
34,1.701763,132.432,1763.200,1895.632,0
35,1.751784,171.856,1784.064,1955.920,0
36,1.801768,132.912,1767.792,1900.704,0
37,1.851807,195.936,1807.264,2003.200,0
38,1.902399,184.880,2399.248,2584.128,0
39,1.951850,164.816,1850.112,2014.928,0
40,2.002470,209.936,2469.904,2679.840,0
41,2.052043,146.992,2042.688,2189.680,0
42,2.101845,169.168,1844.816,2013.984,0
43,2.151781,203.296,1780.672,1983.968,0
44,2.202417,316.192,2416.608,2732.800,0
45,2.251765,186.416,1765.232,1951.648,0
46,2.302639,259.520,2639.328,2898.848,0
47,2.351757,132.816,1757.024,1889.840,0
48,2.402472,330.640,2471.760,2802.400,0
49,2.451760,209.264,1760.336,1969.600,0
50,2.502444,230.384,2443.792,2674.176,0
51,2.551802,161.920,1801.632,1963.552,0
52,2.602467,258.192,2467.104,2725.296,0
53,2.651766,210.048,1765.728,1975.776,0
54,2.701734,133.168,1734.112,1867.280,0
55,2.751769,199.952,1768.912,1968.864,0
56,2.802460,317.344,2459.712,2777.056,0
