========================================
Signal Sender Workload (Synchronized)
========================================
Initializing shared memory...
Waiting for speedometer to register...
Found speedometer in shared memory!
Sending START command to speedometer: START: 15;5;20

Running workload signal period for 15 seconds...

Workload signal period completed.
Sending STOP command to speedometer...
Waiting for statistics from speedometer...

Stress workload terminated.
===VMSTAT_START===
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0      0 138952   4036  33260    0    0    15     7  254  141 91  8  1  0  0
 4  0      0 138952   4036  33260    0    0     0     0  506  255 100  0  0  0  0
 4  0      0 138952   4036  33260    0    0     0     0  504  263 100  0  0  0  0
 4  0      0 138952   4036  33260    0    0     0     0  507  262 100  0  0  0  0
 4  0      0 138952   4044  33252    0    0     0   124  512  269 99  1  0  0  0
 4  0      0 138952   4044  33260    0    0     0     0  503  260 100  0  0  0  0
 4  0      0 138952   4044  33260    0    0     0     0  506  263 100  0  0  0  0
 4  0      0 138952   4044  33260    0    0     0     0  507  260 100  0  0  0  0
 4  0      0 138952   4044  33260    0    0     0     0  503  262 100  0  0  0  0
 4  0      0 138952   4044  33260    0    0     0     0  507  262 100  0  0  0  0
 4  0      0 138952   4044  33260    0    0     0     0  506  262 100  0  0  0  0
 4  0      0 138952   4044  33260    0    0     0     0  507  260 100  0  0  0  0
 4  0      0 138952   4044  33260    0    0     0     0  502  261 100  0  0  0  0
 4  0      0 138952   4044  33260    0    0     0     0  507  263 100  0  0  0  0
 4  0      0 138952   4044  33260    0    0     0     0  506  265 100  0  0  0  0
 5  0      0 138952   4044  33260    0    0     0     0  506  263 99  1  0  0  0
 5  0      0 138952   4044  33260    0    0     0     0  511  258 92  8  0  0  0
===VMSTAT_END===
========== SPEEDOMETER RT APPLICATION RESULTS ==========
Test Configuration:
Period: 50.000 ms
Deadline: 5.000 ms
RT Priority: 99 (SCHED_FIFO)
Execution Statistics:
Total cycles: 300
Deadline misses: 1 (0.333%)
Execution Time (μs):
Mean: 205.231
Min: 133.248
Max: 344.320
50th percentile: 196.032
95th percentile: 289.680
99th percentile: 336.960
99.9th percentile: 344.320
Jitter (μs):
Mean: 1893.903
Min: 1175.008
Max: 6281.536
Response Time (μs):
Mean: 2099.134
Min: 1341.936
Max: 6414.784
50th percentile: 1804.256
95th percentile: 3813.840
99th percentile: 4480.704
99.9th percentile: 6414.784
========================================================
===VMSTAT_START===
(no vmstat data captured)
===VMSTAT_END===
===CSV_START===
cycle,timestamp_s,execution_time_us,jitter_us,response_time_us,deadline_miss
1,0.051941,177.552,1940.512,2118.064,0
2,0.101593,237.280,1592.880,1830.160,0
3,0.151565,166.464,1564.624,1731.088,0
4,0.201639,305.216,1638.512,1943.728,0
5,0.251546,237.168,1545.584,1782.752,0
6,0.301785,188.752,1784.736,1973.488,0
7,0.351593,173.008,1593.008,1766.016,0
8,0.403560,164.512,3559.936,3724.448,0
9,0.451584,177.088,1583.888,1760.976,0
10,0.502902,172.432,2902.160,3074.592,0
11,0.551673,144.624,1673.136,1817.760,0
12,0.603562,199.440,3562.352,3761.792,0
13,0.651681,183.792,1680.752,1864.544,0
14,0.701601,279.168,1601.008,1880.176,0
15,0.751597,177.040,1597.216,1774.256,0
16,0.803508,254.800,3507.984,3762.784,0
17,0.851530,246.272,1530.016,1776.288,0
18,0.901818,143.728,1817.584,1961.312,0
19,0.951498,263.344,1497.744,1761.088,0
20,1.001521,250.704,1521.072,1771.776,0
21,1.051502,246.384,1501.904,1748.288,0
22,1.101608,196.448,1608.304,1804.752,0
23,1.151606,176.208,1606.080,1782.288,0
24,1.203556,218.016,3555.840,3773.856,0
25,1.251563,174.528,1562.848,1737.376,0
26,1.301624,245.184,1623.968,1869.152,0
27,1.351567,198.000,1566.576,1764.576,0
28,1.401633,229.232,1633.296,1862.528,0
29,1.451564,172.912,1563.520,1736.432,0
30,1.501601,244.560,1600.528,1845.088,0
31,1.551517,251.472,1516.672,1768.144,0
32,1.601606,200.416,1606.112,1806.528,0
33,1.651522,245.392,1522.432,1767.824,0
34,1.701985,155.600,1985.440,2141.040,0
35,1.751579,178.080,1578.704,1756.784,0
36,1.801521,302.752,1521.296,1824.048,0
37,1.851523,256.656,1523.168,1779.824,0
38,1.901553,233.456,1553.072,1786.528,0
39,1.951535,254.656,1534.624,1789.280,0
40,2.001556,274.256,1555.600,1829.856,0
41,2.051506,262.064,1506.288,1768.352,0
42,2.102786,134.160,2786.016,2920.176,0
43,2.151512,251.168,1512.208,1763.376,0
44,2.201608,168.224,1608.432,1776.656,0
45,2.251613,146.752,1612.880,1759.632,0
46,2.303504,237.680,3504.208,3741.888,0
47,2.351569,199.312,1568.784,1768.096,0
48,2.401579,198.640,1578.560,1777.200,0
49,2.451617,178.576,1617.392,1795.968,0
50,2.502711,134.528,2711.296,2845.824,0
51,2.551577,178.304,1576.784,1755.088,0
52,2.601545,232.864,1545.056,1777.920,0
53,2.651567,222.320,1567.312,1789.632,0
54,2.701517,194.992,1517.296,1712.288,0
55,2.751661,146.784,1661.488,1808.272,0
56,2.802655,135.424,2654.800,2790.224,0
