========================================
Signal Sender Workload (Synchronized)
========================================
Initializing shared memory...
Waiting for speedometer to register...
Found speedometer in shared memory!
Sending START command to speedometer: START: 15;5;20

Running workload signal period for 15 seconds...

Workload signal period completed.
Sending STOP command to speedometer...
Waiting for statistics from speedometer...

Stress workload terminated.
===VMSTAT_START===
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0      0 138724   4060  33260    0    0    14     7  254  141 91  8  1  0  0
 4  0      0 138724   4060  33260    0    0     0     0  509  264 100  0  0  0  0
 4  0      0 138724   4060  33260    0    0     0     0  506  261 100  0  0  0  0
 4  0      0 138724   4060  33260    0    0     0    48  504  264 100  0  0  0  0
 4  0      0 138724   4068  33252    0    0     0   124  511  265 100  0  0  0  0
 4  0      0 138724   4068  33260    0    0     0     0  508  264 100  0  0  0  0
 4  0      0 138724   4068  33260    0    0     0     0  504  260 100  0  0  0  0
 4  0      0 138724   4068  33260    0    0     0     0  508  263 100  0  0  0  0
 4  0      0 138724   4068  33260    0    0     0     0  507  264 100  0  0  0  0
 5  0      0 138724   4068  33260    0    0     0     0  504  261 100  0  0  0  0
 4  0      0 138724   4068  33260    0    0     0     0  506  263 100  0  0  0  0
 4  0      0 138724   4068  33260    0    0     0     0  507  262 100  0  0  0  0
 4  0      0 138724   4068  33260    0    0     0     0  502  261 100  0  0  0  0
 4  0      0 138724   4068  33260    0    0     0     0  507  260 100  0  0  0  0
 4  0      0 138724   4068  33260    0    0     0     0  506  262 100  0  0  0  0
 4  0      0 138724   4068  33260    0    0     0     0  527  275 98  2  0  0  0
 4  0      0 138724   4068  33260    0    0     0     0  522  264 98  2  0  0  0
===VMSTAT_END===
========== SPEEDOMETER RT APPLICATION RESULTS ==========
Test Configuration:
Period: 50.000 ms
Deadline: 5.000 ms
RT Priority: 99 (SCHED_FIFO)
Execution Statistics:
Total cycles: 300
Deadline misses: 1 (0.333%)
Execution Time (μs):
Mean: 173.006
Min: 131.520
Max: 395.648
50th percentile: 155.216
95th percentile: 260.144
99th percentile: 329.888
99.9th percentile: 395.648
Jitter (μs):
Mean: 1495.085
Min: 971.936
Max: 4936.384
Response Time (μs):
Mean: 1668.092
Min: 1153.200
Max: 5263.088
50th percentile: 1262.960
95th percentile: 3156.688
99th percentile: 3325.952
99.9th percentile: 5263.088
========================================================
===VMSTAT_START===
(no vmstat data captured)
===VMSTAT_END===
===CSV_START===
cycle,timestamp_s,execution_time_us,jitter_us,response_time_us,deadline_miss
1,0.052497,159.104,2496.896,2656.000,0
2,0.102852,304.288,2852.400,3156.688,0
3,0.151383,149.552,1383.456,1533.008,0
4,0.201049,149.008,1048.656,1197.664,0
5,0.251270,329.888,1269.984,1599.872,0
6,0.301044,137.024,1043.648,1180.672,0
7,0.352233,133.328,2233.024,2366.352,0
8,0.401089,134.752,1088.512,1223.264,0
9,0.453059,135.296,3059.216,3194.512,0
10,0.501269,142.656,1268.800,1411.456,0
11,0.552399,177.872,2399.104,2576.976,0
12,0.601108,137.728,1108.320,1246.048,0
13,0.652271,132.096,2270.608,2402.704,0
14,0.701136,133.616,1136.000,1269.616,0
15,0.752224,133.792,2224.448,2358.240,0
16,0.800999,223.936,999.008,1222.944,0
17,0.851072,138.304,1071.984,1210.288,0
18,0.901922,320.128,1921.712,2241.840,0
19,0.951071,186.048,1070.992,1257.040,0
20,1.001106,134.208,1106.000,1240.208,0
21,1.052280,131.920,2279.664,2411.584,0
22,1.101008,195.680,1008.448,1204.128,0
23,1.152245,182.016,2245.440,2427.456,0
24,1.201078,142.448,1078.032,1220.480,0
25,1.252417,142.000,2417.360,2559.360,0
26,1.301082,143.616,1081.520,1225.136,0
27,1.352344,169.840,2344.400,2514.240,0
28,1.401084,134.016,1084.208,1218.224,0
29,1.451069,138.288,1068.736,1207.024,0
30,1.501175,134.064,1174.816,1308.880,0
31,1.552266,186.224,2265.648,2451.872,0
32,1.601022,195.744,1022.352,1218.096,0
33,1.651291,256.224,1291.104,1547.328,0
34,1.701025,170.464,1024.544,1195.008,0
35,1.751142,186.656,1141.904,1328.560,0
36,1.801037,167.552,1036.656,1204.208,0
37,1.851067,137.936,1066.928,1204.864,0
38,1.901099,148.448,1098.880,1247.328,0
39,1.952368,198.688,2367.504,2566.192,0
40,2.001123,132.576,1123.184,1255.760,0
41,2.052069,135.120,2068.672,2203.792,0
42,2.103644,161.648,3643.984,3805.632,0
43,2.152357,193.056,2357.312,2550.368,0
44,2.201064,137.504,1064.144,1201.648,0
45,2.252315,177.840,2315.232,2493.072,0
46,2.301013,171.520,1013.072,1184.592,0
47,2.351074,155.216,1073.504,1228.720,0
48,2.401085,138.768,1085.488,1224.256,0
49,2.452374,209.616,2374.480,2584.096,0
50,2.501015,194.544,1014.784,1209.328,0
51,2.552337,200.592,2336.720,2537.312,0
52,2.601033,170.208,1032.736,1202.944,0
53,2.651095,253.616,1095.232,1348.848,0
54,2.701023,173.984,1022.640,1196.624,0
55,2.751246,395.648,1246.096,1641.744,0
56,2.801090,143.648,1089.632,1233.280,0
57,2.852361,180.832,2361.040,2541.872,0
58,2.901001,223.600,1001.216,1224.816,0
59,2.951383,171.808,1382.736,1554.544,0
60,3.001001,208.816,1000.864,1209.680,0
61,3.051106,253.872,1106.400,1360.272,0
