========================================
Signal Sender Workload (Synchronized)
========================================
Initializing shared memory...
Waiting for speedometer to register...
Found speedometer in shared memory!
Sending START command to speedometer: START: 15;5;20

Running workload signal period for 15 seconds...

Workload signal period completed.
Sending STOP command to speedometer...
Waiting for statistics from speedometer...

Stress workload terminated.
===VMSTAT_START===
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 8  0      0 131664   3532  33280    0    0   151    11  252  206 64 24 11  0  0
 9  0      0 131664   3532  33280    0    0     0     0  509  483 100  0  0  0  0
 9  0      0 131664   3532  33280    0    0     0     0  504  491 100  0  0  0  0
 8  0      0 131664   3532  33280    0    0     0     0  506  490 100  0  0  0  0
 8  0      0 131664   3540  33272    0    0     0   124  511  487 99  1  0  0  0
 8  0      0 131664   3540  33280    0    0     0     0  507  491 100  0  0  0  0
 8  0      0 131664   3540  33280    0    0     0     0  504  482 99  1  0  0  0
 8  0      0 131664   3540  33280    0    0     0     0  507  490 100  0  0  0  0
 8  0      0 131664   3540  33280    0    0     0     0  507  495 100  0  0  0  0
 8  0      0 131664   3540  33280    0    0     0     0  506  490 100  0  0  0  0
 9  0      0 131664   3540  33280    0    0     0     0  507  486 100  0  0  0  0
 9  0      0 131664   3540  33280    0    0     0     0  506  488 100  0  0  0  0
 8  0      0 131664   3540  33280    0    0     0     0  504  489 100  0  0  0  0
 8  0      0 131664   3540  33280    0    0     0     0  506  492 100  0  0  0  0
 8  0      0 131664   3540  33280    0    0     0     0  508  490 100  0  0  0  0
 9  0      0 131664   3540  33280    0    0     0     0  508  480 100  0  0  0  0
 8  0      0 131664   3540  33280    0    0     0     0  511  415 97  4  0  0  0
===VMSTAT_END===
========== SPEEDOMETER RT APPLICATION RESULTS ==========
Test Configuration:
Period: 50.000 ms
Deadline: 5.000 ms
RT Priority: 99 (SCHED_FIFO)
Execution Statistics:
Total cycles: 300
Deadline misses: 0 (0.000%)
Execution Time (μs):
Mean: 159.062
Min: 150.512
Max: 259.632
50th percentile: 162.656
95th percentile: 169.712
99th percentile: 201.472
99.9th percentile: 259.632
Jitter (μs):
Mean: 1252.179
Min: 861.632
Max: 3111.552
Response Time (μs):
Mean: 1411.241
Min: 1012.592
Max: 3263.936
50th percentile: 1186.272
95th percentile: 2047.184
99th percentile: 2521.520
99.9th percentile: 3263.936
========================================================
===VMSTAT_START===
(no vmstat data captured)
===VMSTAT_END===
===CSV_START===
cycle,timestamp_s,execution_time_us,jitter_us,response_time_us,deadline_miss
1,0.052365,156.992,2364.528,2521.520,0
2,0.100946,154.224,945.792,1100.016,0
3,0.151908,171.520,1908.032,2079.552,0
4,0.200909,151.600,909.072,1060.672,0
5,0.250929,163.680,928.624,1092.304,0
6,0.301841,152.688,1841.296,1993.984,0
7,0.351128,163.920,1127.616,1291.536,0
8,0.401759,150.976,1759.248,1910.224,0
9,0.451869,163.456,1868.544,2032.000,0
10,0.500862,150.960,861.632,1012.592,0
11,0.551873,171.968,1873.408,2045.376,0
12,0.600882,151.344,881.856,1033.200,0
13,0.651877,162.656,1876.576,2039.232,0
14,0.700922,151.296,922.176,1073.472,0
15,0.751785,151.808,1785.008,1936.816,0
16,0.800900,151.008,899.632,1050.640,0
17,0.851043,151.296,1042.704,1194.000,0
18,0.900867,150.928,867.168,1018.096,0
19,0.950980,151.072,979.536,1130.608,0
20,1.001050,166.656,1049.600,1216.256,0
21,1.051049,164.736,1048.896,1213.632,0
22,1.100975,164.080,974.592,1138.672,0
23,1.150971,151.952,970.816,1122.768,0
24,1.201755,151.056,1755.168,1906.224,0
25,1.251848,151.600,1848.320,1999.920,0
26,1.300866,151.488,866.144,1017.632,0
27,1.351872,163.232,1872.064,2035.296,0
28,1.400918,150.944,917.680,1068.624,0
29,1.451884,163.040,1884.208,2047.248,0
30,1.500948,162.896,947.840,1110.736,0
31,1.551879,163.200,1879.344,2042.544,0
32,1.600938,151.136,937.920,1089.056,0
33,1.651082,163.056,1082.048,1245.104,0
34,1.700892,151.568,892.176,1043.744,0
35,1.751128,163.248,1127.664,1290.912,0
36,1.801753,163.280,1753.136,1916.416,0
37,1.851872,163.504,1872.144,2035.648,0
38,1.901750,150.992,1750.000,1900.992,0
39,1.951123,163.632,1123.328,1286.960,0
40,2.000899,151.392,899.296,1050.688,0
41,2.051116,162.640,1115.552,1278.192,0
42,2.100906,151.760,906.080,1057.840,0
43,2.151875,163.008,1875.424,2038.432,0
44,2.200881,151.024,881.184,1032.208,0
45,2.251865,164.432,1865.056,2029.488,0
46,2.300899,151.280,898.768,1050.048,0
47,2.351859,151.264,1858.960,2010.224,0
48,2.400952,170.048,951.984,1122.032,0
49,2.451090,151.744,1089.872,1241.616,0
50,2.500935,163.296,935.344,1098.640,0
51,2.551850,151.616,1850.240,2001.856,0
52,2.600957,163.264,956.640,1119.904,0
53,2.651875,163.952,1875.264,2039.216,0
54,2.700956,163.200,956.432,1119.632,0
55,2.751908,164.096,1908.448,2072.544,0
56,2.800965,163.024,964.704,1127.728,0
57,2.851100,150.848,1099.728,1250.576,0
58,2.900865,151.072,865.424,1016.496,0
59,2.951051,163.280,1051.216,1214.496,0
60,3.000942,162.864,941.632,1104.496,0
61,3.051317,201.472,1317.248,1518.720,0
62,3.101152,152.304,1152.448,1304.752,0
63,3.151897,163.856,1896.704,2060.560,0
64,3.200944,163.312,944.000,1107.312,0
65,3.251034,162.976,1033.888,1196.864,0
66,3.300966,169.712,965.904,1135.616,0
67,3.351140,163.216,1139.712,1302.928,0
68,3.400940,162.800,940.080,1102.880,0
69,3.451073,162.992,1073.344,1236.336,0
70,3.500944,163.056,944.320,1107.376,0
71,3.551859,165.456,1859.376,2024.832,0
72,3.600959,163.200,959.152,1122.352,0
73,3.651097,163.008,1096.832,1259.840,0
74,3.700870,151.312,869.792,1021.104,0
75,3.751059,162.912,1058.688,1221.600,0
76,3.800977,163.552,977.392,1140.944,0
77,3.850986,163.760,986.288,1150.048,0
78,3.900962,168.240,962.256,1130.496,0
79,3.951881,162.960,1880.656,2043.616,0
80,4.000960,163.072,959.728,1122.800,0
81,4.051873,163.360,1873.216,2036.576,0
82,4.100923,163.120,923.424,1086.544,0
83,4.151872,163.104,1871.584,2034.688,0
84,4.200888,150.800,888.032,1038.832,0
85,4.251823,151.280,1823.152,1974.432,0
86,4.300940,163.776,940.416,1104.192,0
87,4.351795,151.280,1795.408,1946.688,0
88,4.400870,151.520,869.760,1021.280,0
89,4.451024,151.360,1023.552,1174.912,0
90,4.500872,150.672,872.112,1022.784,0
91,4.550975,151.184,975.344,1126.528,0
92,4.600958,150.848,957.904,1108.752,0
93,4.650900,151.072,900.288,1051.360,0
94,4.700942,151.136,941.904,1093.040,0
95,4.751855,163.088,1854.928,2018.016,0
96,4.800905,151.456,904.816,1056.272,0
97,4.851007,150.928,1006.848,1157.776,0
98,4.900939,163.440,938.944,1102.384,0
99,4.950984,163.136,983.728,1146.864,0
100,5.000933,163.376,932.672,1096.048,0
101,5.051217,162.640,1216.624,1379.264,0
102,5.101298,165.824,1297.872,1463.696,0
103,5.151173,165.312,1173.024,1338.336,0
104,5.201786,152.016,1785.728,1937.744,0
105,5.251108,163.008,1108.352,1271.360,0
106,5.300945,163.008,944.656,1107.664,0
107,5.351054,163.520,1054.288,1217.808,0
108,5.400935,163.024,934.944,1097.968,0
109,5.451096,162.688,1095.680,1258.368,0
110,5.500893,151.408,892.848,1044.256,0
111,5.551153,151.280,1153.392,1304.672,0
112,5.600870,151.072,870.048,1021.120,0
113,5.651133,163.360,1133.136,1296.496,0
114,5.700902,151.040,901.632,1052.672,0
115,5.751078,151.376,1077.776,1229.152,0
116,5.801621,188.480,1620.848,1809.328,0
117,5.852421,257.408,2421.104,2678.512,0
118,5.901602,259.632,1601.728,1861.360,0
119,5.951911,171.840,1910.656,2082.496,0
120,6.000932,151.456,932.032,1083.488,0
121,6.050988,163.456,988.144,1151.600,0
122,6.101752,150.960,1751.584,1902.544,0
123,6.151881,163.376,1881.136,2044.512,0
124,6.201788,151.312,1788.272,1939.584,0
125,6.251168,163.296,1168.432,1331.728,0
126,6.301757,151.056,1756.608,1907.664,0
127,6.351052,163.312,1052.144,1215.456,0
128,6.400909,151.776,908.992,1060.768,0
129,6.450995,151.520,994.672,1146.192,0
130,6.500894,151.552,893.952,1045.504,0
131,6.550922,151.008,922.272,1073.280,0
132,6.601771,151.664,1770.672,1922.336,0
133,6.651070,162.912,1069.824,1232.736,0
134,6.700881,151.136,880.768,1031.904,0
135,6.751864,174.624,1863.680,2038.304,0
136,6.800875,151.872,875.312,1027.184,0
137,6.851850,164.160,1849.584,2013.744,0
138,6.900936,163.872,935.872,1099.744,0
139,6.951794,151.200,1793.760,1944.960,0
140,7.000890,151.008,889.888,1040.896,0
141,7.051826,151.168,1825.552,1976.720,0
142,7.101013,151.168,1013.280,1164.448,0
143,7.151200,165.776,1200.480,1366.256,0
144,7.201855,152.672,1854.720,2007.392,0
145,7.251139,164.320,1138.768,1303.088,0
146,7.301762,151.568,1762.320,1913.888,0
147,7.350990,151.360,989.888,1141.248,0
148,7.400869,151.808,869.408,1021.216,0
149,7.451098,151.792,1097.664,1249.456,0
150,7.500873,151.296,872.528,1023.824,0
151,7.551115,163.808,1115.472,1279.280,0
152,7.600873,151.312,873.344,1024.656,0
153,7.650921,151.392,920.768,1072.160,0
154,7.700902,151.120,902.160,1053.280,0
155,7.751018,151.296,1018.096,1169.392,0
156,7.800927,151.536,926.768,1078.304,0
157,7.851169,163.760,1168.656,1332.416,0
158,7.900941,151.904,941.216,1093.120,0
159,7.951848,163.024,1848.496,2011.520,0
160,8.000918,151.648,918.464,1070.112,0
161,8.051021,151.280,1020.544,1171.824,0
162,8.101753,151.728,1753.072,1904.800,0
163,8.151025,163.072,1025.264,1188.336,0
164,8.200870,151.264,869.760,1021.024,0
165,8.251011,151.360,1010.800,1162.160,0
166,8.301753,151.184,1753.360,1904.544,0
167,8.351132,150.976,1132.400,1283.376,0
168,8.401760,151.936,1759.648,1911.584,0
169,8.451004,151.504,1003.552,1155.056,0
170,8.500935,163.600,934.944,1098.544,0
171,8.550948,152.080,948.160,1100.240,0
172,8.601827,169.312,1826.640,1995.952,0
173,8.651102,164.128,1102.496,1266.624,0
174,8.700884,151.344,883.600,1034.944,0
175,8.750903,151.232,903.392,1054.624,0
176,8.801819,151.488,1818.784,1970.272,0
177,8.851842,150.912,1841.856,1992.768,0
178,8.900870,151.616,870.336,1021.952,0
179,8.951011,163.360,1010.896,1174.256,0
180,9.000874,151.680,873.792,1025.472,0
181,9.051799,151.264,1799.248,1950.512,0
182,9.100944,163.136,944.288,1107.424,0
183,9.151256,195.472,1255.856,1451.328,0
184,9.201061,153.872,1060.608,1214.480,0
185,9.251914,151.952,1913.552,2065.504,0
186,9.300887,151.392,887.392,1038.784,0
187,9.351858,163.008,1857.952,2020.960,0
188,9.400900,150.928,900.288,1051.216,0
189,9.450991,151.184,991.072,1142.256,0
190,9.501814,163.376,1814.128,1977.504,0
191,9.550988,163.120,987.824,1150.944,0
192,9.601761,151.440,1761.072,1912.512,0
193,9.650928,150.992,927.616,1078.608,0
194,9.701813,162.928,1812.976,1975.904,0
195,9.751868,163.008,1868.224,2031.232,0
196,9.800864,151.264,864.000,1015.264,0
197,9.851822,151.488,1821.760,1973.248,0
198,9.900900,151.312,900.160,1051.472,0
199,9.951166,163.808,1166.224,1330.032,0
200,10.000941,151.440,940.784,1092.224,0
201,10.051115,163.824,1115.136,1278.960,0
202,10.100899,151.200,898.720,1049.920,0
203,10.151025,163.264,1025.216,1188.480,0
204,10.200962,171.808,962.144,1133.952,0
205,10.251788,151.152,1788.416,1939.568,0
206,10.300957,167.632,957.360,1124.992,0
207,10.351796,151.968,1795.520,1947.488,0
208,10.400939,163.008,939.360,1102.368,0
209,10.451063,163.184,1062.864,1226.048,0
210,10.501835,168.416,1835.216,2003.632,0
211,10.551147,150.512,1146.592,1297.104,0
212,10.600928,151.760,928.448,1080.208,0
213,10.650948,150.992,947.840,1098.832,0
214,10.701763,151.568,1763.168,1914.736,0
215,10.751898,163.424,1898.144,2061.568,0
216,10.801763,163.536,1762.688,1926.224,0
217,10.851111,162.960,1110.880,1273.840,0
218,10.900934,162.656,934.304,1096.960,0
219,10.951004,163.424,1003.744,1167.168,0
220,11.001755,151.552,1755.392,1906.944,0
221,11.051884,163.264,1883.920,2047.184,0
222,11.101112,152.144,1111.824,1263.968,0
223,11.151054,150.688,1053.504,1204.192,0
224,11.201023,164.352,1023.456,1187.808,0
225,11.251314,182.432,1314.144,1496.576,0
226,11.300904,151.680,903.840,1055.520,0
227,11.351869,163.344,1868.688,2032.032,0
228,11.401802,151.376,1801.920,1953.296,0
229,11.453112,152.384,3111.552,3263.936,0
230,11.500912,151.232,912.000,1063.232,0
231,11.551875,163.072,1874.880,2037.952,0
232,11.600938,163.360,938.496,1101.856,0
233,11.651090,151.472,1090.432,1241.904,0
234,11.700955,163.168,954.736,1117.904,0
235,11.751859,163.264,1858.688,2021.952,0
236,11.800935,163.360,935.376,1098.736,0
237,11.851011,151.264,1011.200,1162.464,0
238,11.900952,172.384,952.160,1124.544,0
239,11.951883,163.472,1883.136,2046.608,0
240,12.000970,164.048,969.568,1133.616,0
241,12.051868,164.160,1867.808,2031.968,0
242,12.100900,152.016,899.824,1051.840,0
243,12.151370,192.256,1369.760,1562.016,0
244,12.200951,163.872,951.024,1114.896,0
245,12.251807,151.088,1806.768,1957.856,0
246,12.300867,151.952,867.120,1019.072,0
247,12.351872,163.552,1872.288,2035.840,0
248,12.400960,163.712,960.128,1123.840,0
249,12.450997,151.424,996.656,1148.080,0
250,12.500877,151.312,877.040,1028.352,0
251,12.550995,166.000,995.456,1161.456,0
252,12.600961,169.664,961.088,1130.752,0
253,12.650932,151.472,931.968,1083.440,0
254,12.700953,169.248,953.328,1122.576,0
255,12.751872,163.424,1872.224,2035.648,0
256,12.800949,163.360,949.216,1112.576,0
257,12.851034,152.160,1033.520,1185.680,0
258,12.900925,150.848,925.200,1076.048,0
259,12.951825,152.208,1824.928,1977.136,0
260,13.000883,151.952,883.408,1035.360,0
261,13.051026,164.992,1026.288,1191.280,0
262,13.100935,163.968,935.408,1099.376,0
263,13.151012,165.824,1011.840,1177.664,0
264,13.200872,151.808,872.224,1024.032,0
265,13.251124,165.152,1123.952,1289.104,0
266,13.301011,164.992,1011.344,1176.336,0
267,13.351165,163.984,1165.312,1329.296,0
268,13.400941,164.272,940.544,1104.816,0
269,13.450972,163.552,972.032,1135.584,0
270,13.501958,152.224,1957.568,2109.792,0
271,13.551103,163.584,1103.488,1267.072,0
272,13.600864,151.824,863.584,1015.408,0
273,13.651796,151.600,1795.952,1947.552,0
274,13.700932,163.776,931.536,1095.312,0
275,13.751914,163.760,1913.856,2077.616,0
276,13.800896,151.792,896.272,1048.064,0
277,13.851001,151.952,1001.488,1153.440,0
278,13.901737,152.144,1737.056,1889.200,0
279,13.951797,150.944,1797.120,1948.064,0
280,14.000931,163.328,930.544,1093.872,0
281,14.050970,151.248,970.032,1121.280,0
282,14.100940,163.968,939.984,1103.952,0
283,14.151884,163.424,1884.032,2047.456,0
284,14.200956,164.096,956.416,1120.512,0
