========================================
Signal Sender Workload (Synchronized)
========================================
Initializing shared memory...
Waiting for speedometer to register...
Found speedometer in shared memory!
Sending START command to speedometer: START: 15;5;20

Running workload signal period for 15 seconds...

Workload signal period completed.
Sending STOP command to speedometer...
Waiting for statistics from speedometer...

Stress workload terminated.
===VMSTAT_START===
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 8  0      0 131184   3772  33300    0    0    28     8  254  232 88 10  2  0  0
 8  0      0 131004   3772  33300    0    0     0     0  505  493 100  0  0  0  0
 8  0      0 131004   3772  33300    0    0     0     0  508  511 100  0  0  0  0
 8  0      0 131004   3772  33300    0    0     0    48  508  511 100  0  0  0  0
 8  0      0 131004   3780  33292    0    0     0   124  511  503 99  1  0  0  0
 9  0      0 131004   3780  33300    0    0     0     0  504  508 100  0  0  0  0
 8  0      0 131004   3780  33300    0    0     0     0  505  508 100  0  0  0  0
 8  0      0 131004   3780  33300    0    0     0     0  506  510 100  0  0  0  0
 8  0      0 131004   3780  33300    0    0     0     0  508  512 100  0  0  0  0
 8  0      0 131004   3780  33300    0    0     0     0  497  500 99  1  0  0  0
 8  0      0 131004   3780  33300    0    0     0     0  504  510 100  0  0  0  0
 8  0      0 131004   3780  33300    0    0     0     0  496  484 99  1  0  0  0
 8  0      0 131004   3780  33300    0    0     0     0  505  512 100  0  0  0  0
 8  0      0 131004   3780  33300    0    0     0     0  498  498 99  1  0  0  0
 8  0      0 131004   3780  33300    0    0     0     0  507  511 100  0  0  0  0
 8  0      0 131004   3780  33300    0    0     0     0  505  496 100  0  0  0  0
 9  0      0 131004   3780  33300    0    0     0     0  519  447 98  2  0  0  0
===VMSTAT_END===
========== SPEEDOMETER RT APPLICATION RESULTS ==========
Test Configuration:
Period: 50.000 ms
Deadline: 5.000 ms
RT Priority: 99 (SCHED_FIFO)
Execution Statistics:
Total cycles: 300
Deadline misses: 1 (0.333%)
Execution Time (μs):
Mean: 277.653
Min: 149.472
Max: 1995.152
50th percentile: 192.608
95th percentile: 1176.096
99th percentile: 1679.920
99.9th percentile: 1995.152
Jitter (μs):
Mean: 2353.204
Min: 1406.704
Max: 5853.440
Response Time (μs):
Mean: 2630.857
Min: 1597.568
Max: 6030.656
50th percentile: 2795.616
95th percentile: 3263.632
99th percentile: 4170.160
99.9th percentile: 6030.656
========================================================
===VMSTAT_START===
(no vmstat data captured)
===VMSTAT_END===
===CSV_START===
cycle,timestamp_s,execution_time_us,jitter_us,response_time_us,deadline_miss
1,0.052130,246.944,2130.192,2377.136,0
2,0.101690,183.408,1689.664,1873.072,0
3,0.151873,1197.024,1873.392,3070.416,0
4,0.201568,248.896,1567.680,1816.576,0
5,0.252864,185.696,2863.584,3049.280,0
6,0.302662,218.736,2661.872,2880.608,0
7,0.351875,1238.992,1875.296,3114.288,0
8,0.401644,167.632,1643.872,1811.504,0
9,0.451918,1071.408,1918.240,2989.648,0
10,0.502577,211.776,2576.720,2788.496,0
11,0.551887,1245.552,1886.688,3132.240,0
12,0.601613,166.112,1613.232,1779.344,0
13,0.652745,154.576,2744.912,2899.488,0
14,0.702817,256.960,2816.688,3073.648,0
15,0.752742,153.712,2742.000,2895.712,0
16,0.802624,180.752,2623.744,2804.496,0
17,0.851855,152.944,1855.488,2008.432,0
18,0.902622,156.368,2622.192,2778.560,0
19,0.952036,274.576,2035.600,2310.176,0
20,1.001671,211.136,1671.280,1882.416,0
21,1.051866,1176.096,1866.224,3042.320,0
22,1.101729,164.272,1729.488,1893.760,0
23,1.152674,157.296,2674.464,2831.760,0
24,1.202722,201.712,2721.632,2923.344,0
25,1.252864,220.288,2863.648,3083.936,0
26,1.302670,194.432,2669.648,2864.080,0
27,1.352773,155.472,2772.752,2928.224,0
28,1.401683,150.768,1683.328,1834.096,0
29,1.452711,212.720,2711.248,2923.968,0
30,1.501821,163.088,1820.640,1983.728,0
31,1.551758,835.344,1757.856,2593.200,0
32,1.602761,198.336,2761.360,2959.696,0
33,1.651870,1233.168,1870.240,3103.408,0
34,1.702628,167.984,2627.632,2795.616,0
35,1.752638,153.680,2638.320,2792.000,0
36,1.801625,175.328,1624.592,1799.920,0
37,1.851981,1195.968,1981.312,3177.280,0
38,1.901656,225.680,1655.824,1881.504,0
39,1.952888,239.712,2887.760,3127.472,0
40,2.001765,164.256,1765.392,1929.648,0
41,2.051816,154.592,1816.224,1970.816,0
42,2.101640,226.592,1640.144,1866.736,0
43,2.152871,176.928,2870.608,3047.536,0
44,2.201657,209.456,1656.912,1866.368,0
45,2.252765,154.592,2765.248,2919.840,0
46,2.301860,185.232,1859.568,2044.800,0
47,2.352698,187.984,2698.144,2886.128,0
48,2.401625,195.552,1624.784,1820.336,0
49,2.452877,210.704,2877.168,3087.872,0
50,2.502678,152.128,2678.032,2830.160,0
51,2.553044,170.880,3043.824,3214.704,0
52,2.601765,206.800,1764.576,1971.376,0
53,2.652821,219.328,2821.328,3040.656,0
54,2.702716,223.424,2716.048,2939.472,0
55,2.752888,178.288,2887.824,3066.112,0
