========================================
Signal Sender Workload (Synchronized)
========================================
Initializing shared memory...
Waiting for speedometer to register...
Found speedometer in shared memory!
Sending START command to speedometer: START: 15;5;20

Running workload signal period for 15 seconds...

Workload signal period completed.
Sending STOP command to speedometer...
Waiting for statistics from speedometer...

Stress workload terminated.
===VMSTAT_START===
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 8  0      0 131092   3844  33300    0    0    22     8  254  233 89  9  2  0  0
 8  0      0 131092   3844  33300    0    0     0     0  510  494 100  0  0  0  0
 8  0      0 131092   3844  33300    0    0     0     0  507  509 100  0  0  0  0
 8  0      0 131092   3844  33300    0    0     0    48  509  504 100  0  0  0  0
 9  0      0 131092   3852  33292    0    0     0   124  510  498 99  1  0  0  0
 8  0      0 131092   3852  33300    0    0     0     0  508  511 100  0  0  0  0
 8  0      0 131092   3852  33300    0    0     0     0  506  510 100  0  0  0  0
 8  0      0 131092   3852  33300    0    0     0     0  507  510 100  0  0  0  0
 8  0      0 131092   3852  33300    0    0     0     0  503  510 100  0  0  0  0
 8  0      0 131092   3852  33300    0    0     0   116  509  512 100  0  0  0  0
 8  0      0 131092   3852  33300    0    0     0     0  506  509 100  0  0  0  0
 8  0      0 131092   3852  33300    0    0     0     0  504  510 100  0  0  0  0
 8  0      0 131092   3852  33300    0    0     0     0  507  515 99  1  0  0  0
 8  0      0 131092   3852  33300    0    0     0     0  505  510 100  0  0  0  0
 8  0      0 131092   3852  33300    0    0     0     0  508  509 100  0  0  0  0
 8  0      0 131092   3852  33300    0    0     0     0  502  488 97  3  0  0  0
10  0      0 131092   3852  33300    0    0     0     0  507  412 81 20  0  0  0
===VMSTAT_END===
========== SPEEDOMETER RT APPLICATION RESULTS ==========
Test Configuration:
Period: 50.000 ms
Deadline: 5.000 ms
RT Priority: 99 (SCHED_FIFO)
Execution Statistics:
Total cycles: 299
Deadline misses: 0 (0.000%)
Execution Time (μs):
Mean: 228.605
Min: 132.160
Max: 1803.264
50th percentile: 172.432
95th percentile: 847.104
99th percentile: 1204.128
99.9th percentile: 1803.264
Jitter (μs):
Mean: 2168.297
Min: 1309.296
Max: 3050.816
Response Time (μs):
Mean: 2396.901
Min: 1513.488
Max: 4514.848
50th percentile: 2632.944
95th percentile: 3602.672
99th percentile: 4107.632
99.9th percentile: 4514.848
========================================================
===VMSTAT_START===
(no vmstat data captured)
===VMSTAT_END===
===CSV_START===
cycle,timestamp_s,execution_time_us,jitter_us,response_time_us,deadline_miss
1,0.051427,487.504,1427.120,1914.624,0
2,0.102360,178.688,2360.416,2539.104,0
3,0.151490,211.568,1490.144,1701.712,0
4,0.202867,192.512,2866.768,3059.280,0
5,0.251664,190.704,1664.496,1855.200,0
6,0.302472,215.552,2471.648,2687.200,0
7,0.351442,174.128,1442.160,1616.288,0
8,0.402463,177.984,2463.296,2641.280,0
9,0.452692,178.880,2691.552,2870.432,0
10,0.502458,190.160,2458.240,2648.400,0
11,0.552756,181.984,2756.336,2938.320,0
12,0.602454,169.152,2454.032,2623.184,0
13,0.651615,165.504,1615.376,1780.880,0
14,0.702585,163.888,2585.440,2749.328,0
15,0.751457,153.552,1457.328,1610.880,0
16,0.802664,132.848,2663.760,2796.608,0
17,0.851470,186.480,1470.304,1656.784,0
18,0.902468,169.856,2467.888,2637.744,0
19,0.951456,177.392,1456.448,1633.840,0
20,1.002449,157.568,2448.528,2606.096,0
21,1.051418,133.312,1417.600,1550.912,0
22,1.102619,134.128,2618.688,2752.816,0
23,1.151440,182.992,1439.904,1622.896,0
24,1.202449,167.552,2448.544,2616.096,0
25,1.251459,166.672,1459.216,1625.888,0
26,1.301381,196.672,1381.120,1577.792,0
27,1.351464,167.808,1463.936,1631.744,0
28,1.401647,133.312,1647.168,1780.480,0
29,1.452724,158.480,2724.480,2882.960,0
30,1.502460,171.104,2460.416,2631.520,0
31,1.551472,183.696,1472.336,1656.032,0
32,1.602424,190.752,2423.920,2614.672,0
33,1.652751,188.736,2751.472,2940.208,0
34,1.702631,187.888,2630.992,2818.880,0
35,1.752607,145.520,2607.216,2752.736,0
36,1.802627,148.112,2627.088,2775.200,0
37,1.851582,169.120,1581.520,1750.640,0
38,1.902474,190.368,2474.256,2664.624,0
39,1.951719,213.376,1718.752,1932.128,0
40,2.002484,168.000,2483.648,2651.648,0
41,2.051472,190.384,1471.552,1661.936,0
42,2.101428,207.904,1428.288,1636.192,0
43,2.151426,182.800,1425.888,1608.688,0
44,2.202675,176.928,2674.720,2851.648,0
45,2.253051,236.912,3050.816,3287.728,0
46,2.301913,173.872,1913.392,2087.264,0
47,2.351480,133.008,1479.568,1612.576,0
48,2.401794,132.160,1794.368,1926.528,0
49,2.452740,214.752,2739.824,2954.576,0
50,2.502613,192.464,2613.024,2805.488,0
51,2.552674,1140.944,2673.568,3814.512,0
52,2.602386,207.152,2386.432,2593.584,0
53,2.651402,194.912,1402.144,1597.056,0
54,2.702473,231.232,2472.848,2704.080,0
55,2.751607,138.304,1606.960,1745.264,0
56,2.802626,135.440,2625.936,2761.376,0
