========================================
Signal Sender Workload (Synchronized)
========================================
Initializing shared memory...
Waiting for speedometer to register...
Found speedometer in shared memory!
Sending START command to speedometer: START: 15;5;20

Running workload signal period for 15 seconds...

Workload signal period completed.
Sending STOP command to speedometer...
Waiting for statistics from speedometer...

Stress workload terminated.
===VMSTAT_START===
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 8  0      0 130804   4060  33316    0    0    14     7  254  235 91  8  1  0  0
 8  0      0 130828   4060  33316    0    0     0     0  507  498 100  0  0  0  0
 8  0      0 130828   4060  33316    0    0     0     0  508  517 100  0  0  0  0
 8  0      0 130828   4060  33316    0    0     0    48  509  518 100  0  0  0  0
 8  0      0 130828   4068  33308    0    0     0   124  508  501 99  1  0  0  0
 8  0      0 130828   4068  33316    0    0     0     0  505  511 100  0  0  0  0
 8  0      0 130828   4068  33316    0    0     0     0  506  512 100  0  0  0  0
 8  0      0 130828   4068  33316    0    0     0     0  503  509 100  0  0  0  0
 8  0      0 130828   4068  33316    0    0     0     0  507  509 100  0  0  0  0
 8  0      0 130828   4068  33316    0    0     0     0  506  496 100  0  0  0  0
 8  0      0 130828   4068  33316    0    0     0     0  507  511 100  0  0  0  0
 8  0      0 130828   4068  33316    0    0     0     0  506  511 100  0  0  0  0
 8  0      0 130828   4068  33316    0    0     0     0  508  511 100  0  0  0  0
 8  0      0 130828   4068  33316    0    0     0     0  506  512 100  0  0  0  0
 8  0      0 130828   4068  33316    0    0     0   116  507  512 100  0  0  0  0
 8  0      0 130828   4068  33316    0    0     0     0  527  517 95  5  0  0  0
 8  0      0 130828   4068  33316    0    0     0     0  579  461 73 27  0  0  0
===VMSTAT_END===
========== SPEEDOMETER RT APPLICATION RESULTS ==========
Test Configuration:
Period: 50.000 ms
Deadline: 5.000 ms
RT Priority: 99 (SCHED_FIFO)
Execution Statistics:
Total cycles: 300
Deadline misses: 1 (0.333%)
Execution Time (μs):
Mean: 229.284
Min: 132.112
Max: 2400.592
50th percentile: 175.728
95th percentile: 1000.688
99th percentile: 1234.592
99.9th percentile: 2400.592
Jitter (μs):
Mean: 2332.561
Min: 1012.960
Max: 4434.352
Response Time (μs):
Mean: 2561.845
Min: 1146.032
Max: 5505.888
50th percentile: 2186.512
95th percentile: 4212.576
99th percentile: 4593.088
99.9th percentile: 5505.888
========================================================
===VMSTAT_START===
(no vmstat data captured)
===VMSTAT_END===
===CSV_START===
cycle,timestamp_s,execution_time_us,jitter_us,response_time_us,deadline_miss
1,0.052017,136.976,2016.944,2153.920,0
2,0.102201,133.888,2200.688,2334.576,0
3,0.151882,193.696,1882.432,2076.128,0
4,0.203050,144.032,3050.416,3194.448,0
5,0.252895,137.888,2895.296,3033.184,0
6,0.302083,167.664,2082.512,2250.176,0
7,0.352130,212.816,2129.648,2342.464,0
8,0.402009,172.064,2009.200,2181.264,0
9,0.452327,176.288,2326.816,2503.104,0
10,0.502031,133.952,2030.512,2164.464,0
11,0.552989,183.024,2988.992,3172.016,0
12,0.602010,133.312,2010.384,2143.696,0
13,0.652977,181.312,2977.440,3158.752,0
14,0.702943,163.920,2942.528,3106.448,0
15,0.752990,172.032,2990.304,3162.336,0
16,0.802040,133.376,2040.480,2173.856,0
17,0.852971,185.616,2970.512,3156.128,0
18,0.902837,222.128,2836.752,3058.880,0
19,0.953067,159.136,3066.704,3225.840,0
20,1.002040,173.920,2039.632,2213.552,0
21,1.051853,191.696,1853.456,2045.152,0
22,1.102018,175.248,2017.856,2193.104,0
23,1.151996,143.488,1995.968,2139.456,0
24,1.201979,138.656,1979.296,2117.952,0
25,1.252984,167.984,2984.304,3152.288,0
26,1.301980,157.488,1980.240,2137.728,0
27,1.353143,148.368,3142.528,3290.896,0
28,1.402015,170.864,2014.704,2185.568,0
29,1.451765,195.264,1764.640,1959.904,0
30,1.502944,170.416,2944.128,3114.544,0
31,1.552874,211.184,2873.584,3084.768,0
32,1.602019,172.352,2018.896,2191.248,0
33,1.651844,193.904,1843.952,2037.856,0
34,1.701968,172.880,1968.272,2141.152,0
35,1.751878,197.456,1877.856,2075.312,0
36,1.801935,168.160,1934.928,2103.088,0
37,1.853027,190.464,3026.880,3217.344,0
38,1.902081,192.560,2081.392,2273.952,0
39,1.951034,133.376,1033.968,1167.344,0
40,2.002902,187.008,2902.160,3089.168,0
41,2.051809,182.976,1808.560,1991.536,0
42,2.101922,170.240,1922.112,2092.352,0
43,2.153215,1151.328,3215.184,4366.512,0
44,2.202223,142.720,2223.168,2365.888,0
45,2.253009,141.088,3009.104,3150.192,0
46,2.301922,151.056,1922.144,2073.200,0
47,2.353359,1234.240,3358.848,4593.088,0
48,2.402025,133.200,2024.784,2157.984,0
49,2.453284,1139.456,3284.368,4423.824,0
50,2.501952,133.968,1951.680,2085.648,0
51,2.553299,1000.688,3298.608,4299.296,0
52,2.602066,133.264,2066.272,2199.536,0
53,2.653095,174.576,3094.544,3269.120,0
54,2.701981,170.368,1981.104,2151.472,0
55,2.753240,1092.400,3239.616,4332.016,0
56,2.801985,149.888,1984.784,2134.672,0
57,2.853289,1191.952,3289.040,4480.992,0
58,2.902023,132.112,2023.488,2155.600,0
59,2.953139,157.616,3139.104,3296.720,0
60,3.001874,198.720,1874.160,2072.880,0
61,3.051859,197.744,1858.560,2056.304,0
62,3.101886,177.056,1886.320,2063.376,0
63,3.151981,172.224,1981.424,2153.648,0
64,3.201984,154.032,1983.504,2137.536,0
65,3.253032,141.120,3031.696,3172.816,0
66,3.302996,144.688,2996.448,3141.136,0
67,3.353039,170.256,3039.264,3209.520,0
68,3.401871,178.656,1871.056,2049.712,0
69,3.451872,192.432,1872.144,2064.576,0
70,3.502232,132.304,2231.616,2363.920,0
71,3.551883,191.504,1882.800,2074.304,0
72,3.602934,167.424,2934.496,3101.920,0
73,3.651803,186.880,1802.752,1989.632,0
74,3.701959,149.056,1958.672,2107.728,0
75,3.753220,181.184,3220.080,3401.264,0
76,3.802013,157.024,2012.784,2169.808,0
77,3.852875,245.328,2874.736,3120.064,0
78,3.902032,191.568,2031.536,2223.104,0
79,3.951876,196.944,1876.448,2073.392,0
80,4.002009,133.008,2009.488,2142.496,0
81,4.053292,211.776,3291.968,3503.744,0
82,4.102227,132.752,2226.752,2359.504,0
83,4.151863,198.000,1863.472,2061.472,0
84,4.202051,153.392,2050.992,2204.384,0
85,4.251791,200.496,1790.640,1991.136,0
86,4.302807,193.168,2806.576,2999.744,0
87,4.351784,218.368,1784.432,2002.800,0
88,4.403118,180.704,3118.464,3299.168,0
89,4.451846,191.968,1845.616,2037.584,0
90,4.502954,134.528,2953.856,3088.384,0
91,4.551842,196.768,1841.808,2038.576,0
92,4.602849,192.208,2848.560,3040.768,0
93,4.651814,194.000,1813.856,2007.856,0
94,4.702895,252.832,2895.440,3148.272,0
95,4.752990,184.464,2989.664,3174.128,0
96,4.802144,185.472,2143.504,2328.976,0
97,4.851021,133.056,1021.424,1154.480,0
98,4.902883,196.880,2882.752,3079.632,0
99,4.951780,211.920,1780.128,1992.048,0
100,5.002012,172.784,2011.728,2184.512,0
101,5.051793,202.064,1793.344,1995.408,0
102,5.102838,212.896,2838.176,3051.072,0
103,5.151819,195.216,1818.752,2013.968,0
104,5.202004,218.144,2003.680,2221.824,0
105,5.251803,178.016,1802.688,1980.704,0
106,5.301978,151.792,1978.240,2130.032,0
107,5.353158,145.648,3157.904,3303.552,0
108,5.402797,195.360,2797.424,2992.784,0
109,5.451805,168.848,1804.816,1973.664,0
110,5.501878,214.352,1877.696,2092.048,0
111,5.551866,202.992,1866.096,2069.088,0
112,5.602887,191.792,2887.024,3078.816,0
113,5.651802,194.992,1801.840,1996.832,0
114,5.701957,179.744,1956.800,2136.544,0
115,5.752891,168.768,2891.120,3059.888,0
116,5.802870,190.000,2869.824,3059.824,0
117,5.851982,134.256,1982.160,2116.416,0
118,5.902954,172.720,2954.048,3126.768,0
119,5.952944,145.584,2943.776,3089.360,0
120,6.002022,133.424,2021.888,2155.312,0
121,6.053005,1155.312,3005.248,4160.560,0
122,6.101994,162.288,1993.696,2155.984,0
123,6.153145,141.104,3145.488,3286.592,0
124,6.202176,197.456,2176.176,2373.632,0
125,6.251971,173.520,1971.440,2144.960,0
126,6.302050,247.552,2049.680,2297.232,0
127,6.353135,172.928,3134.624,3307.552,0
128,6.402007,144.992,2006.784,2151.776,0
129,6.453460,163.488,3459.536,3623.024,0
130,6.502019,133.216,2018.784,2152.000,0
131,6.553018,144.144,3017.728,3161.872,0
132,6.602069,164.000,2068.768,2232.768,0
133,6.651815,198.192,1814.832,2013.024,0
134,6.703079,145.408,3079.312,3224.720,0
135,6.751855,197.504,1855.472,2052.976,0
136,6.801989,133.760,1988.608,2122.368,0
137,6.851866,205.744,1866.416,2072.160,0
138,6.902196,132.224,2195.712,2327.936,0
139,6.951881,158.032,1880.560,2038.592,0
140,7.001999,136.080,1998.864,2134.944,0
141,7.053122,154.304,3122.368,3276.672,0
142,7.102017,133.056,2017.248,2150.304,0
143,7.151846,194.720,1846.496,2041.216,0
144,7.202160,175.552,2160.144,2335.696,0
145,7.251819,157.200,1819.344,1976.544,0
146,7.301886,201.776,1885.952,2087.728,0
147,7.351884,158.288,1883.680,2041.968,0
148,7.401878,253.984,1877.520,2131.504,0
149,7.451801,197.360,1800.672,1998.032,0
150,7.502040,175.792,2040.352,2216.144,0
151,7.551865,194.000,1865.424,2059.424,0
152,7.602885,190.784,2884.704,3075.488,0
153,7.651824,216.256,1823.696,2039.952,0
154,7.702167,143.584,2167.376,2310.960,0
155,7.751785,188.096,1784.528,1972.624,0
156,7.802033,166.160,2032.624,2198.784,0
157,7.851859,151.824,1859.232,2011.056,0
158,7.901992,162.896,1991.744,2154.640,0
159,7.952873,344.544,2872.992,3217.536,0
160,8.002862,179.600,2861.664,3041.264,0
161,8.052000,145.712,2000.384,2146.096,0
162,8.102420,233.056,2419.536,2652.592,0
163,8.152063,218.704,2062.816,2281.520,0
164,8.202022,151.360,2021.840,2173.200,0
165,8.251787,164.432,1787.392,1951.824,0
166,8.302020,196.832,2020.304,2217.136,0
167,8.351856,188.832,1855.968,2044.800,0
168,8.402006,136.464,2006.336,2142.800,0
169,8.453041,147.040,3041.312,3188.352,0
170,8.502279,163.568,2278.848,2442.416,0
171,8.551899,176.736,1898.864,2075.600,0
172,8.602870,193.008,2870.112,3063.120,0
173,8.653105,2400.592,3105.296,5505.888,1
174,8.703094,277.280,3093.504,3370.784,0
175,8.754434,323.888,4434.352,4758.240,0
176,8.803729,325.632,3728.592,4054.224,0
177,8.854111,185.040,4111.184,4296.224,0
178,8.901986,138.224,1985.568,2123.792,0
179,8.953024,1188.208,3024.368,4212.576,0
180,9.001896,249.968,1896.144,2146.112,0
181,9.052844,231.136,2844.464,3075.600,0
182,9.102824,170.384,2824.208,2994.592,0
183,9.151855,201.200,1854.624,2055.824,0
184,9.202041,147.760,2040.560,2188.320,0
185,9.253199,141.568,3199.424,3340.992,0
186,9.301955,177.584,1955.344,2132.928,0
187,9.352888,180.800,2888.160,3068.960,0
188,9.401847,205.376,1847.136,2052.512,0
189,9.451733,142.144,1733.168,1875.312,0
190,9.501984,145.520,1984.384,2129.904,0
191,9.553043,163.360,3042.544,3205.904,0
192,9.601982,147.504,1982.320,2129.824,0
193,9.651812,193.824,1812.112,2005.936,0
194,9.702038,175.744,2037.728,2213.472,0
195,9.751869,191.312,1869.440,2060.752,0
196,9.802044,173.520,2044.016,2217.536,0
197,9.853149,207.760,3149.248,3357.008,0
198,9.902006,161.744,2005.648,2167.392,0
199,9.953167,164.800,3166.768,3331.568,0
200,10.002151,159.056,2151.376,2310.432,0
201,10.051730,140.416,1729.888,1870.304,0
202,10.101972,152.992,1971.648,2124.640,0
203,10.153007,166.576,3006.992,3173.568,0
204,10.201993,178.880,1992.720,2171.600,0
205,10.253012,165.744,3011.808,3177.552,0
206,10.302859,152.224,2859.488,3011.712,0
207,10.351867,192.592,1867.472,2060.064,0
208,10.401996,141.840,1995.808,2137.648,0
209,10.451812,182.512,1812.448,1994.960,0
210,10.503085,149.840,3084.608,3234.448,0
211,10.552026,160.640,2025.872,2186.512,0
212,10.601897,155.440,1896.576,2052.016,0
213,10.651856,197.360,1856.048,2053.408,0
214,10.701962,176.448,1962.320,2138.768,0
215,10.753045,209.712,3045.184,3254.896,0
216,10.801927,158.976,1926.784,2085.760,0[  812.517379] r
andom: crng init done
217,10.852849,304.864,2849.168,3154.032,0
218,10.901973,175.728,1972.528,2148.256,0
219,10.953000,166.816,3000.240,3167.056,0
220,11.002087,151.472,2087.216,2238.688,0
221,11.052911,325.808,2911.456,3237.264,0
222,11.101304,1125.008,1304.336,2429.344,0
223,11.151780,190.528,1780.400,1970.928,0
224,11.201996,140.848,1995.536,2136.384,0
225,11.251880,191.056,1880.416,2071.472,0
226,11.302881,187.840,2881.472,3069.312,0
227,11.351868,188.512,1868.336,2056.848,0
228,11.402018,132.640,2017.504,2150.144,0
229,11.451837,187.424,1837.024,2024.448,0
230,11.502866,192.480,2865.872,3058.352,0
231,11.551890,178.704,1889.872,2068.576,0
232,11.601966,173.296,1966.016,2139.312,0
233,11.651800,201.632,1800.000,2001.632,0
234,11.701933,136.672,1932.896,2069.568,0
235,11.751808,190.032,1807.888,1997.920,0
236,11.802804,197.168,2803.936,3001.104,0
