========================================
Signal Sender Workload (Synchronized)
========================================
Initializing shared memory...
Waiting for speedometer to register...
Found speedometer in shared memory!
Sending START command to speedometer: START: 15;5;20

Running workload signal period for 15 seconds...

Workload signal period completed.
Sending STOP command to speedometer...
Waiting for statistics from speedometer...

Stress workload terminated.
===VMSTAT_START===
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 8  0      0 130732   4108  33320    0    0    13     7  254  236 91  8  1  0  0
 8  0      0 130732   4108  33320    0    0     0     0  506  500 100  0  0  0  0
 8  0      0 130732   4108  33320    0    0     0     0  507  510 100  0  0  0  0
 8  0      0 130732   4108  33320    0    0     0     0  506  513 100  0  0  0  0
 8  0      0 130732   4116  33312    0    0     0   124  511  491 100  0  0  0  0
 8  0      0 130732   4116  33320    0    0     0     0  502  509 100  0  0  0  0
 8  0      0 130732   4116  33320    0    0     0     0  508  508 100  0  0  0  0
 8  0      0 130732   4116  33320    0    0     0     0  506  514 100  0  0  0  0
 8  0      0 130732   4116  33320    0    0     0     0  506  511 100  0  0  0  0
 8  0      0 130732   4116  33320    0    0     0     0  503  509 100  0  0  0  0
 8  0      0 130732   4116  33320    0    0     0     0  507  508 100  0  0  0  0
 8  0      0 130732   4116  33320    0    0     0     0  506  515 100  0  0  0  0
 8  0      0 130732   4116  33320    0    0     0     0  503  507 100  0  0  0  0
 8  0      0 130732   4116  33320    0    0     0     0  505  513 100  0  0  0  0
 8  0      0 130732   4116  33320    0    0     0     0  508  511 100  0  0  0  0
10  0      0 130732   4116  33320    0    0     0     0  506  497 100  0  0  0  0
 9  0      0 130732   4116  33320    0    0     0     0  514  424 88 12  0  0  0
===VMSTAT_END===
========== SPEEDOMETER RT APPLICATION RESULTS ==========
Test Configuration:
Period: 50.000 ms
Deadline: 5.000 ms
RT Priority: 99 (SCHED_FIFO)
Execution Statistics:
Total cycles: 300
Deadline misses: 0 (0.000%)
Execution Time (μs):
Mean: 204.768
Min: 127.040
Max: 1962.096
50th percentile: 167.232
95th percentile: 240.256
99th percentile: 1259.168
99.9th percentile: 1962.096
Jitter (μs):
Mean: 2082.444
Min: 1349.936
Max: 3102.576
Response Time (μs):
Mean: 2287.212
Min: 1517.760
Max: 4798.128
50th percentile: 1912.448
95th percentile: 3005.392
99th percentile: 4209.456
99.9th percentile: 4798.128
========================================================
===VMSTAT_START===
(no vmstat data captured)
===VMSTAT_END===
===CSV_START===
cycle,timestamp_s,execution_time_us,jitter_us,response_time_us,deadline_miss
1,0.051811,158.272,1810.896,1969.168,0
2,0.102879,1249.120,2879.088,4128.208,0
3,0.152643,134.992,2642.736,2777.728,0
4,0.202873,1119.392,2872.688,3992.080,0
5,0.251679,129.712,1679.056,1808.768,0
6,0.301677,217.040,1676.896,1893.936,0
7,0.351710,181.520,1710.048,1891.568,0
8,0.402810,132.144,2809.552,2941.696,0
9,0.452531,129.040,2530.656,2659.696,0
10,0.501740,302.384,1739.632,2042.016,0
11,0.551952,159.248,1952.496,2111.744,0
12,0.602950,1259.168,2950.288,4209.456,0
13,0.651669,171.056,1668.848,1839.904,0
14,0.702951,164.752,2951.136,3115.888,0
15,0.752516,157.968,2515.952,2673.920,0
16,0.802875,1022.800,2875.056,3897.856,0
17,0.852652,163.040,2651.696,2814.736,0
18,0.902675,152.224,2675.280,2827.504,0
19,0.953103,129.920,3102.576,3232.496,0
20,1.001691,221.840,1690.608,1912.448,0
21,1.052521,167.296,2521.232,2688.528,0
22,1.102690,134.960,2690.128,2825.088,0
23,1.151640,146.912,1639.680,1786.592,0
24,1.202719,161.808,2718.656,2880.464,0
25,1.252521,183.472,2520.528,2704.000,0
26,1.301617,177.024,1617.024,1794.048,0
27,1.351665,145.088,1664.800,1809.888,0
28,1.402776,166.528,2775.728,2942.256,0
29,1.452564,168.688,2564.368,2733.056,0
30,1.501495,213.456,1495.168,1708.624,0
31,1.552522,163.632,2522.224,2685.856,0
32,1.601524,181.104,1524.112,1705.216,0
33,1.651719,167.424,1718.752,1886.176,0
34,1.702690,162.864,2689.936,2852.800,0
35,1.752531,161.696,2530.928,2692.624,0
36,1.801534,133.328,1533.888,1667.216,0
37,1.852510,182.736,2510.464,2693.200,0
38,1.901507,185.920,1507.168,1693.088,0
39,1.952613,153.584,2612.608,2766.192,0
40,2.001614,165.536,1614.128,1779.664,0
41,2.052533,167.856,2532.816,2700.672,0
42,2.101516,145.696,1515.600,1661.296,0
43,2.151779,163.632,1778.768,1942.400,0
44,2.202833,133.184,2833.424,2966.608,0
45,2.251672,138.512,1671.568,1810.080,0
46,2.302706,146.704,2705.888,2852.592,0
47,2.352638,150.432,2638.048,2788.480,0
48,2.402828,146.240,2827.648,2973.888,0
49,2.451651,166.304,1650.960,1817.264,0
50,2.502792,166.064,2792.368,2958.432,0
51,2.551638,177.168,1637.792,1814.960,0
52,2.602884,1087.488,2884.048,3971.536,0
53,2.652554,187.792,2554.336,2742.128,0
54,2.702770,170.352,2770.384,2940.736,0
55,2.752506,177.488,2506.480,2683.968,0
56,2.802866,157.568,2866.336,3023.904,0
57,2.851523,190.912,1523.376,1714.288,0
58,2.901518,181.008,1518.080,1699.088,0
59,2.952619,159.024,2618.800,2777.824,0
60,3.002836,1962.096,2836.032,4798.128,0
61,3.052646,144.864,2646.480,2791.344,0
62,3.101528,228.848,1527.888,1756.736,0
63,3.152492,149.440,2491.744,2641.184,0
64,3.201523,223.936,1522.528,1746.464,0
65,3.251691,127.792,1690.640,1818.432,0
66,3.302693,177.696,2692.912,2870.608,0
67,3.351737,167.888,1737.200,1905.088,0
68,3.402950,1212.928,2950.080,4163.008,0
69,3.452518,216.528,2517.696,2734.224,0
70,3.502841,131.856,2841.104,2972.960,0
71,3.552516,165.232,2516.224,2681.456,0
72,3.601500,191.216,1499.648,1690.864,0
73,3.652703,151.344,2703.296,2854.640,0
74,3.702857,150.672,2857.280,3007.952,0
75,3.752512,180.032,2511.504,2691.536,0
76,3.801532,155.088,1531.504,1686.592,0
77,3.852499,186.144,2498.624,2684.768,0
78,3.902831,1139.296,2831.232,3970.528,0
79,3.952643,130.208,2642.768,2772.976,0
80,4.002864,141.808,2863.584,3005.392,0
81,4.052667,127.824,2667.472,2795.296,0
82,4.101763,170.928,1763.392,1934.320,0
83,4.151497,190.592,1497.488,1688.080,0
84,4.201522,147.728,1521.504,1669.232,0
85,4.252480,179.696,2479.680,2659.376,0
86,4.301533,165.296,1533.200,1698.496,0
87,4.352460,186.832,2459.808,2646.640,0
88,4.401403,136.816,1402.896,1539.712,0
89,4.451521,181.824,1521.120,1702.944,0
90,4.501526,156.096,1526.160,1682.256,0
91,4.552518,211.728,2518.048,2729.776,0
92,4.601501,183.840,1501.408,1685.248,0
93,4.651522,193.104,1521.712,1714.816,0
94,4.701470,184.720,1470.240,1654.960,0
95,4.752453,194.448,2452.592,2647.040,0
96,4.801614,137.776,1613.584,1751.360,0
97,4.852456,181.360,2455.632,2636.992,0
98,4.901514,184.736,1514.480,1699.216,0
99,4.952511,161.072,2510.544,2671.616,0
100,5.001539,224.544,1538.704,1763.248,0
101,5.052791,171.408,2790.656,2962.064,0
102,5.101654,131.344,1654.080,1785.424,0
103,5.151503,173.200,1502.592,1675.792,0
104,5.201513,146.224,1512.832,1659.056,0
105,5.251720,149.248,1720.096,1869.344,0
106,5.302826,128.304,2826.464,2954.768,0
107,5.351655,127.728,1655.184,1782.912,0
108,5.402764,172.432,2764.496,2936.928,0
109,5.451533,161.568,1533.280,1694.848,0
110,5.501396,155.008,1396.048,1551.056,0
111,5.551740,167.248,1740.464,1907.712,0
112,5.602725,166.816,2725.264,2892.080,0
113,5.652511,195.168,2510.736,2705.904,0
114,5.701501,185.648,1500.752,1686.400,0
115,5.751678,129.472,1678.448,1807.920,0
116,5.802813,156.864,2812.672,2969.536,0
117,5.851526,149.136,1526.000,1675.136,0
118,5.901458,184.464,1457.904,1642.368,0
119,5.951591,147.728,1590.704,1738.432,0
120,6.001676,164.416,1676.000,1840.416,0
121,6.051653,127.568,1653.152,1780.720,0
122,6.102820,146.464,2820.000,2966.464,0
123,6.151671,128.816,1670.896,1799.712,0
124,6.201395,154.976,1395.168,1550.144,0
125,6.251498,199.888,1498.400,1698.288,0
126,6.301497,181.472,1496.688,1678.160,0
127,6.351594,165.872,1594.224,1760.096,0
128,6.401516,154.416,1516.176,1670.592,0
129,6.451475,184.992,1475.280,1660.272,0
130,6.501469,171.504,1468.848,1640.352,0
131,6.552594,175.040,2594.336,2769.376,0
132,6.602687,167.488,2686.848,2854.336,0
133,6.652528,167.008,2528.320,2695.328,0
134,6.701390,127.312,1390.448,1517.760,0
135,6.751465,191.152,1465.280,1656.432,0
136,6.801511,148.384,1511.136,1659.520,0
137,6.851655,130.960,1654.976,1785.936,0
138,6.902646,153.040,2645.936,2798.976,0
139,6.951652,127.456,1651.776,1779.232,0
140,7.001593,174.224,1592.528,1766.752,0
141,7.052525,184.000,2524.720,2708.720,0
142,7.102836,1588.688,2835.824,4424.512,0
143,7.151786,158.976,1786.160,1945.136,0
144,7.202825,138.528,2824.704,2963.232,0
145,7.252633,135.520,2632.656,2768.176,0
146,7.302781,179.536,2780.640,2960.176,0
147,7.352520,186.576,2519.936,2706.512,0
148,7.401666,160.784,1665.696,1826.480,0
149,7.452544,194.768,2544.336,2739.104,0
