========================================
Signal Sender Workload (Synchronized)
========================================
Initializing shared memory...
Waiting for speedometer to register...
Found speedometer in shared memory!
Sending START command to speedometer: START: 15;5;20

Running workload signal period for 15 seconds...

Workload signal period completed.
Sending STOP command to speedometer...
Waiting for statistics from speedometer...

Stress workload terminated.
===VMSTAT_START===
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 144924   5840  33220    0    0   135    51  473  557 15 65 13  8  0
 2  0      0 144804   5840  33232    0    0     0     0 1192 1677  5 75  8 11  0
 2  0      0 144804   5840  33232    0    0     0     0 1159 1559  4 74  9 13  0
 3  0      0 144804   5840  33232    0    0     0     0 1181 1604  6 74  9 12  0
 2  0      0 144804   5840  33232    0    0     0     0 1178 1610  5 73 10 13  0
 4  0      0 144804   5840  33232    0    0     0     0 1183 1586  6 73 10 11  0
 3  0      0 144804   5840  33232    0    0     0     0 1174 1600  5 74  8 12  0
 2  0      0 144804   5840  33232    0    0     0     0 1188 1605  7 73  7 13  0
 3  0      0 144804   5840  33232    0    0     0     0 1193 1629  6 74  8 13  0
 3  0      0 144804   5840  33232    0    0     0     0 1188 1663  7 71  9 13  0
 2  0      0 144804   5840  33232    0    0     0     0 1175 1629  7 72  8 13  0
 3  0      0 144804   5840  33232    0    0     0     0 1165 1651  6 71  9 14  0
 4  0      0 144804   5840  33232    0    0     0     0 1174 1631  6 73  8 13  0
 4  0      0 144804   5840  33232    0    0     0     0 1181 1640  5 74  9 12  0
 2  0      0 144804   5840  33232    0    0     0     0 1160 1565  4 73  9 14  0
 3  1      0 144804   5840  33232    0    0     0     0  974 1207  5 72  4 19  0
 2  1      0 144804   5840  33232    0    0     0     0  477  326  1 60  0 39  0
===VMSTAT_END===
========== SPEEDOMETER RT APPLICATION RESULTS ==========
Test Configuration:
Period: 50.000 ms
Deadline: 5.000 ms
RT Priority: 99 (SCHED_FIFO)
Execution Statistics:
Total cycles: 300
Deadline misses: 1 (0.333%)
Execution Time (μs):
Mean: 312.857
Min: 152.976
Max: 2073.648
50th percentile: 246.480
95th percentile: 500.368
99th percentile: 1514.976
99.9th percentile: 2073.648
Jitter (μs):
Mean: 2526.926
Min: 1245.808
Max: 4760.288
Response Time (μs):
Mean: 2839.783
Min: 1399.904
Max: 5047.680
50th percentile: 2531.280
95th percentile: 4012.720
99th percentile: 4778.848
99.9th percentile: 5047.680
========================================================
===VMSTAT_START===
(no vmstat data captured)
===VMSTAT_END===
===CSV_START===
cycle,timestamp_s,execution_time_us,jitter_us,response_time_us,deadline_miss
1,0.053600,410.656,3599.696,4010.352,0
2,0.102214,234.256,2213.920,2448.176,0
3,0.152090,350.528,2090.368,2440.896,0
4,0.202307,196.160,2307.472,2503.632,0
5,0.253562,412.656,3561.888,3974.544,0
6,0.302473,351.280,2472.784,2824.064,0
7,0.353332,226.688,3332.224,3558.912,0
8,0.402308,248.336,2308.384,2556.720,0
9,0.453586,361.648,3585.808,3947.456,0
10,0.501840,170.688,1840.368,2011.056,0
11,0.553447,323.520,3446.832,3770.352,0
12,0.602244,261.184,2243.968,2505.152,0
13,0.652002,246.752,2001.680,2248.432,0
14,0.702300,178.176,2299.920,2478.096,0
15,0.753406,265.504,3405.536,3671.040,0
16,0.802155,177.904,2154.592,2332.496,0
17,0.852096,408.160,2096.304,2504.464,0
18,0.902439,212.560,2439.488,2652.048,0
19,0.952121,221.552,2120.704,2342.256,0
20,1.002173,179.264,2172.592,2351.856,0
21,1.052912,183.328,2912.464,3095.792,0
22,1.102171,165.616,2170.992,2336.608,0
23,1.154158,256.896,4158.464,4415.360,0
24,1.202218,271.184,2218.336,2489.520,0
25,1.253443,341.856,3442.656,3784.512,0
26,1.302200,314.048,2200.144,2514.192,0
27,1.353598,280.496,3598.496,3878.992,0
28,1.402367,251.696,2367.280,2618.976,0
29,1.452989,162.608,2989.264,3151.872,0
30,1.502164,348.624,2163.984,2512.608,0
31,1.553326,213.200,3325.952,3539.152,0
32,1.602266,219.664,2266.000,2485.664,0
33,1.653460,492.480,3459.776,3952.256,0
34,1.702204,292.000,2204.304,2496.304,0
35,1.753334,162.256,3334.032,3496.288,0
36,1.802086,328.928,2085.664,2414.592,0
37,1.853590,414.800,3589.536,4004.336,0
38,1.902461,371.760,2461.392,2833.152,0
39,1.951668,1406.976,1668.144,3075.120,0
40,2.002284,285.440,2284.112,2569.552,0
41,2.053423,500.368,3423.424,3923.792,0
42,2.102481,274.656,2480.768,2755.424,0
43,2.153635,324.000,3634.656,3958.656,0
44,2.202225,297.824,2225.040,2522.864,0
45,2.253437,239.216,3436.560,3675.776,0
46,2.302154,264.624,2154.496,2419.120,0
47,2.352007,300.736,2007.296,2308.032,0
48,2.402175,221.648,2174.512,2396.160,0
49,2.453507,443.200,3507.392,3950.592,0
50,2.502190,193.520,2190.160,2383.680,0
51,2.553393,221.168,3392.800,3613.968,0
52,2.602362,254.544,2361.664,2616.208,0
53,2.652006,239.648,2005.680,2245.328,0
54,2.702227,191.552,2227.264,2418.816,0
55,2.753385,296.176,3384.592,3680.768,0
56,2.802272,172.224,2272.368,2444.592,0
57,2.851953,199.984,1953.216,2153.200,0
