========================================
Signal Sender Workload (Synchronized)
========================================
Initializing shared memory...
Waiting for speedometer to register...
Found speedometer in shared memory!
Sending START command to speedometer: START: 15;5;20

Running workload signal period for 15 seconds...

Workload signal period completed.
Sending STOP command to speedometer...
Waiting for statistics from speedometer...

Stress workload terminated.
===VMSTAT_START===
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  2      0 144288   6560  33248    0    0    96    47  508  620 13 67 11 10  0
 1  2      0 144168   6560  33252    0    0     0     0 1167 1556  5 73  4 17  0
 2  0      0 144168   6560  33252    0    0     0     0 1193 1582  6 71  6 18  0
 3  0      0 144168   6560  33252    0    0     0     0 1182 1563  6 70  7 17  0
 2  0      0 144168   6560  33252    0    0     0     0 1192 1590  4 72  7 17  0
 2  2      0 144168   6560  33252    0    0     0     0 1165 1582  7 70  8 15  0
 2  1      0 144168   6560  33252    0    0     0     0 1170 1628  7 70  8 15  0
 2  1      0 144168   6560  33252    0    0     0     0 1171 1527  6 71  7 17  0
 1  2      0 144168   6560  33252    0    0     0     0 1169 1494  7 69  7 17  0
 3  0      0 144168   6560  33252    0    0     0     0 1199 1557  4 73  5 17  0
 2  1      0 144168   6560  33252    0    0     0     0 1138 1542  5 69  8 17  0
 2  0      0 144168   6560  33252    0    0     0     0 1175 1593  4 71  6 18  0
 3  0      0 144168   6560  33252    0    0     0     0 1184 1571  6 70  6 19  0
 3  0      0 144168   6560  33252    0    0     0     0 1161 1599  6 69  8 17  0
 2  0      0 144168   6560  33252    0    0     0     0 1172 1589  5 71  8 16  0
 2  2      0 144168   6560  33252    0    0     0     0 1004 1270  5 67  5 24  0
 3  1      0 144168   6560  33252    0    0     0     0  491  388  1 61  0 38  0
===VMSTAT_END===
========== SPEEDOMETER RT APPLICATION RESULTS ==========
Test Configuration:
Period: 50.000 ms
Deadline: 5.000 ms
RT Priority: 99 (SCHED_FIFO)
Execution Statistics:
Total cycles: 300
Deadline misses: 2 (0.667%)
Execution Time (μs):
Mean: 273.329
Min: 151.760
Max: 2577.360
50th percentile: 233.616
95th percentile: 388.016
99th percentile: 1772.688
99.9th percentile: 2577.360
Jitter (μs):
Mean: 2306.445
Min: 1171.568
Max: 4302.064
Response Time (μs):
Mean: 2579.775
Min: 1365.632
Max: 5426.192
50th percentile: 2651.104
95th percentile: 3773.616
99th percentile: 4560.432
99.9th percentile: 5426.192
========================================================
===VMSTAT_START===
(no vmstat data captured)
===VMSTAT_END===
===CSV_START===
cycle,timestamp_s,execution_time_us,jitter_us,response_time_us,deadline_miss
1,0.052834,1399.008,2834.480,4233.488,0
2,0.101693,202.736,1692.880,1895.616,0
3,0.152041,256.384,2041.008,2297.392,0
4,0.203343,194.496,3342.912,3537.408,0
5,0.251593,250.752,1593.184,1843.936,0
6,0.302429,365.568,2428.896,2794.464,0
7,0.352626,317.120,2626.224,2943.344,0
8,0.402367,184.720,2367.040,2551.760,0
9,0.452723,223.632,2722.560,2946.192,0
10,0.502666,290.336,2665.552,2955.888,0
11,0.551422,215.104,1422.144,1637.248,0
12,0.602748,263.168,2747.696,3010.864,0
13,0.651434,248.608,1433.728,1682.336,0
14,0.702307,221.520,2306.960,2528.480,0
15,0.752510,188.208,2509.536,2697.744,0
16,0.802506,170.752,2506.016,2676.768,0
17,0.852478,184.816,2477.936,2662.752,0
18,0.902675,260.480,2674.720,2935.200,0
19,0.951718,227.712,1718.496,1946.208,0
20,1.002408,190.208,2408.336,2598.544,0
21,1.052179,208.736,2179.280,2388.016,0
22,1.102271,404.640,2271.168,2675.808,0
23,1.152704,212.272,2704.304,2916.576,0
24,1.202398,241.072,2397.728,2638.800,0
25,1.252481,237.232,2480.576,2717.808,0
26,1.302611,345.760,2610.544,2956.304,0
27,1.352850,1447.600,2850.400,4298.000,0
28,1.401556,277.872,1556.032,1833.904,0
29,1.452367,260.928,2367.200,2628.128,0
30,1.503343,308.208,3342.608,3650.816,0
31,1.552362,219.488,2361.936,2581.424,0
32,1.602450,163.696,2450.352,2614.048,0
33,1.651528,309.424,1527.760,1837.184,0
34,1.702399,312.512,2399.216,2711.728,0
35,1.752687,176.768,2687.216,2863.984,0
36,1.801625,232.976,1625.200,1858.176,0
37,1.851172,194.064,1171.568,1365.632,0
38,1.901579,274.880,1578.736,1853.616,0
39,1.952605,333.216,2604.928,2938.144,0
40,2.002537,286.096,2537.136,2823.232,0
41,2.052535,245.584,2534.688,2780.272,0
42,2.102474,185.216,2474.080,2659.296,0
43,2.152465,158.544,2464.992,2623.536,0
44,2.202499,226.368,2498.528,2724.896,0
45,2.252536,263.536,2535.696,2799.232,0
46,2.302112,208.176,2112.384,2320.560,0
47,2.351463,208.832,1463.072,1671.904,0
48,2.402220,203.824,2220.336,2424.160,0
49,2.451453,186.416,1452.704,1639.120,0
50,2.501291,284.832,1291.280,1576.112,0
51,2.552674,233.728,2673.824,2907.552,0
52,2.602634,251.792,2633.504,2885.296,0
53,2.651720,203.456,1719.824,1923.280,0
54,2.702298,220.864,2298.352,2519.216,0
55,2.752439,269.712,2438.672,2708.384,0
56,2.802340,298.880,2339.600,2638.480,0
57,2.852577,233.296,2577.376,2810.672,0
