========================================
Signal Sender Workload (Synchronized)
========================================
Initializing shared memory...
Waiting for speedometer to register...
Found speedometer in shared memory!
Sending START command to speedometer: START: 15;5;20

Running workload signal period for 15 seconds...

Workload signal period completed.
Sending STOP command to speedometer...
Waiting for statistics from speedometer...

Stress workload terminated.
===VMSTAT_START===
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  1      0 142996   7780  33296    0    0    52    40  544  683 11 68  8 12  0
 2  0      0 142876   7780  33300    0    0     0     4 1141 1539  6 72  5 17  0
 3  0      0 142876   7780  33300    0    0     0     0 1160 1520  7 72  7 15  0
 2  0      0 142876   7780  33300    0    0     0     0 1169 1531  7 73  5 15  0
 2  0      0 142876   7780  33300    0    0     0     0 1175 1565  6 74  4 16  0
 2  0      0 142876   7780  33300    0    0     0     0 1150 1516  6 74  5 15  0
 2  0      0 142876   7780  33300    0    0     0     0 1173 1553  7 74  5 14  0
 2  0      0 142876   7780  33300    0    0     0     0 1173 1506  5 75  4 15  0
 2  0      0 142876   7780  33300    0    0     0     0 1182 1581  6 74  6 14  0
 2  0      0 142876   7780  33300    0    0     0     0 1182 1540  9 73  4 14  0
 3  0      0 142876   7780  33300    0    0     0     0 1155 1568  5 74  6 16  0
 3  0      0 142876   7780  33300    0    0     0     0 1168 1555  6 74  6 14  0
 2  0      0 142876   7780  33300    0    0     0     0 1199 1576  6 76  4 14  0
 2  0      0 142876   7780  33300    0    0     0     0 1165 1565  7 74  5 14  0
 2  0      0 142876   7780  33300    0    0     0     0 1190 1600 11 69  6 15  0
 3  0      0 142876   7780  33300    0    0     0     0 1088 1414  7 74  3 16  0
 2  0      0 142876   7780  33300    0    0     0     0  713  628  3 73  0 24  0
===VMSTAT_END===
========== SPEEDOMETER RT APPLICATION RESULTS ==========
Test Configuration:
Period: 50.000 ms
Deadline: 5.000 ms
RT Priority: 99 (SCHED_FIFO)
Execution Statistics:
Total cycles: 300
Deadline misses: 10 (3.333%)
Execution Time (μs):
Mean: 369.886
Min: 152.336
Max: 4418.368
50th percentile: 263.600
95th percentile: 1314.832
99th percentile: 2857.088
99.9th percentile: 4418.368
Jitter (μs):
Mean: 2583.395
Min: 1244.032
Max: 7403.840
Response Time (μs):
Mean: 2953.280
Min: 1443.520
Max: 7605.536
50th percentile: 2595.616
95th percentile: 4754.832
99th percentile: 5896.688
99.9th percentile: 7605.536
========================================================
===VMSTAT_START===
(no vmstat data captured)
===VMSTAT_END===
===CSV_START===
cycle,timestamp_s,execution_time_us,jitter_us,response_time_us,deadline_miss
1,0.052478,225.504,2478.016,2703.520,0
2,0.103158,169.472,3158.096,3327.568,0
3,0.152333,227.536,2332.992,2560.528,0
4,0.202641,311.168,2641.216,2952.384,0
5,0.251490,414.288,1489.568,1903.856,0
6,0.302460,248.352,2459.792,2708.144,0
7,0.352206,230.864,2205.504,2436.368,0
8,0.402686,312.736,2686.224,2998.960,0
9,0.452083,230.928,2083.440,2314.368,0
10,0.501847,2857.088,1847.232,4704.320,0
11,0.552542,315.200,2542.352,2857.552,0
12,0.604184,260.944,4184.432,4445.376,0
13,0.652002,277.280,2002.144,2279.424,0
14,0.702045,382.112,2045.104,2427.216,0
15,0.752288,280.528,2287.632,2568.160,0
16,0.803380,253.344,3379.504,3632.848,0
17,0.852279,287.920,2279.088,2567.008,0
18,0.903639,349.296,3639.232,3988.528,0
19,0.951992,273.360,1992.480,2265.840,0
20,1.003472,471.872,3471.840,3943.712,0
21,1.052142,212.480,2141.744,2354.224,0
22,1.101997,381.552,1996.672,2378.224,0
23,1.151468,399.136,1468.016,1867.152,0
24,1.202157,239.376,2157.280,2396.656,0
25,1.252091,215.904,2090.720,2306.624,0
26,1.301764,1705.232,1763.776,3469.008,0
27,1.352048,286.848,2048.160,2335.008,0
28,1.403463,164.288,3462.800,3627.088,0
29,1.452328,278.672,2328.016,2606.688,0
30,1.502200,206.144,2199.776,2405.920,0
31,1.556344,198.368,6343.712,6542.080,1
32,1.604476,421.328,4476.448,4897.776,0
33,1.652615,272.208,2615.104,2887.312,0
34,1.702113,220.640,2113.008,2333.648,0
35,1.752301,196.960,2301.008,2497.968,0
36,1.803215,356.208,3215.136,3571.344,0
37,1.852391,281.344,2391.440,2672.784,0
38,1.903695,389.136,3695.408,4084.544,0
39,1.952138,211.376,2138.496,2349.872,0
40,2.001502,317.760,1502.496,1820.256,0
41,2.052424,217.296,2423.536,2640.832,0
42,2.102237,317.888,2237.264,2555.152,0
43,2.152384,211.520,2384.096,2595.616,0
44,2.203664,270.208,3664.176,3934.384,0
45,2.252141,226.528,2140.944,2367.472,0
46,2.301854,1480.320,1853.600,3333.920,0
47,2.352404,266.864,2404.096,2670.960,0
48,2.402487,306.432,2486.624,2793.056,0
49,2.451548,357.952,1547.920,1905.872,0
50,2.503703,311.328,3702.560,4013.888,0
51,2.552526,237.536,2526.112,2763.648,0
52,2.603540,321.248,3540.368,3861.616,0
53,2.652105,188.720,2105.456,2294.176,0
54,2.702157,333.424,2157.200,2490.624,0
55,2.754217,254.992,4217.248,4472.240,0
56,2.801463,297.280,1462.768,1760.048,0
57,2.852348,232.144,2347.648,2579.792,0
