========================================
Signal Sender Workload (Synchronized)
========================================
Initializing shared memory...
Waiting for speedometer to register...
Found speedometer in shared memory!
Sending START command to speedometer: START: 15;5;20

Running workload signal period for 15 seconds...

Workload signal period completed.
Sending STOP command to speedometer...
Waiting for statistics from speedometer...

Stress workload terminated.
===VMSTAT_START===
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  1      0 141392   9252  33332    0    0    35    37  559  706 11 69  6 14  0
 2  0      0 141392   9252  33336    0    0     0     0 1208 1565  8 72  1 19  0
 2  0      0 141392   9252  33336    0    0     0     0 1222 1595  7 73  2 18  0
 3  0      0 141392   9252  33336    0    0     0     0 1202 1537  6 75  2 17  0
 2  0      0 141392   9252  33336    0    0     0     0 1176 1537  4 74  2 20  0
 3  0      0 141392   9252  33336    0    0     0     0 1198 1490  7 74  1 18  0
 4  0      0 141392   9252  33336    0    0     0     0 1170 1511  7 71  2 20  0
 2  0      0 141392   9252  33336    0    0     0     0 1185 1486  4 75  0 20  0
 2  0      0 141392   9252  33336    0    0     0     0 1192 1542  7 73  2 18  0
 2  0      0 141392   9252  33336    0    0     0     0 1222 1589  9 72  0 19  0
 3  0      0 141392   9252  33336    0    0     0     0 1210 1610  6 73  2 19  0
 2  0      0 141392   9252  33336    0    0     0     0 1222 1556  6 74  1 19  0
 2  0      0 141392   9252  33336    0    0     0     0 1218 1600  8 71  1 20  0
 3  0      0 141392   9252  33336    0    0     0     0 1208 1575  6 73  2 19  0
 3  0      0 141392   9252  33336    0    0     0     0 1215 1580  5 74  2 18  0
 3  0      0 141392   9252  33336    0    0     0     0 1053 1338  3 73  3 20  0
 2  0      0 141392   9252  33336    0    0     0     0  825  852  1 76  0 22  0
===VMSTAT_END===
========== SPEEDOMETER RT APPLICATION RESULTS ==========
Test Configuration:
Period: 50.000 ms
Deadline: 5.000 ms
RT Priority: 99 (SCHED_FIFO)
Execution Statistics:
Total cycles: 299
Deadline misses: 6 (2.007%)
Execution Time (μs):
Mean: 284.139
Min: 151.904
Max: 2513.840
50th percentile: 236.272
95th percentile: 372.816
99th percentile: 2173.536
99.9th percentile: 2513.840
Jitter (μs):
Mean: 2256.352
Min: 1192.624
Max: 13508.816
Response Time (μs):
Mean: 2540.491
Min: 1380.896
Max: 13736.384
50th percentile: 2373.584
95th percentile: 4535.808
99th percentile: 5446.592
99.9th percentile: 13736.384
========================================================
===VMSTAT_START===
(no vmstat data captured)
===VMSTAT_END===
===CSV_START===
cycle,timestamp_s,execution_time_us,jitter_us,response_time_us,deadline_miss
1,0.051838,205.856,1838.336,2044.192,0
2,0.101393,193.632,1393.472,1587.104,0
3,0.152218,492.944,2217.712,2710.656,0
4,0.202243,242.384,2243.344,2485.728,0
5,0.251736,311.520,1736.272,2047.792,0
6,0.301525,222.560,1525.360,1747.920,0
7,0.354953,274.208,4952.592,5226.800,1
8,0.402245,223.328,2245.168,2468.496,0
9,0.451753,233.024,1752.736,1985.760,0
10,0.502322,190.464,2321.824,2512.288,0
11,0.551599,271.952,1599.280,1871.232,0
12,0.601426,224.560,1425.664,1650.224,0
13,0.651565,166.992,1565.232,1732.224,0
14,0.702321,283.872,2321.472,2605.344,0
15,0.751474,208.336,1473.600,1681.936,0
16,0.802125,208.144,2124.656,2332.800,0
17,0.851606,161.424,1605.728,1767.152,0
18,0.901193,188.272,1192.624,1380.896,0
19,0.954180,218.672,4180.416,4399.088,0
20,1.002409,233.904,2408.832,2642.736,0
21,1.055108,201.904,5107.856,5309.760,1
22,1.102523,225.184,2522.736,2747.920,0
23,1.153844,316.528,3843.968,4160.496,0
24,1.201696,303.312,1696.000,1999.312,0
25,1.251588,278.480,1588.416,1866.896,0
26,1.301692,365.920,1691.808,2057.728,0
27,1.351408,225.984,1408.112,1634.096,0
28,1.402141,266.528,2141.472,2408.000,0
29,1.453403,399.808,3402.912,3802.720,0
30,1.503558,197.360,3558.080,3755.440,0
31,1.552211,222.416,2211.408,2433.824,0
32,1.602593,250.240,2593.328,2843.568,0
33,1.651541,205.840,1541.264,1747.104,0
34,1.701584,349.856,1584.448,1934.304,0
35,1.752110,355.552,2109.648,2465.200,0
36,1.801554,177.792,1553.888,1731.680,0
37,1.851477,174.912,1477.168,1652.080,0
38,1.903256,258.448,3256.128,3514.576,0
39,1.953372,256.528,3371.744,3628.272,0
40,2.002389,242.992,2389.296,2632.288,0
41,2.052327,293.744,2326.960,2620.704,0
42,2.101520,198.128,1520.432,1718.560,0
43,2.154277,258.592,4277.216,4535.808,0
44,2.202569,169.760,2568.704,2738.464,0
45,2.252359,208.640,2359.184,2567.824,0
46,2.301624,284.272,1623.824,1908.096,0
47,2.354132,203.888,4132.368,4336.256,0
48,2.402574,410.896,2573.536,2984.432,0
49,2.451776,288.320,1776.384,2064.704,0
50,2.501552,178.416,1552.272,1730.688,0
51,2.554529,254.896,4529.040,4783.936,0
52,2.602239,229.664,2239.152,2468.816,0
53,2.651615,280.336,1615.040,1895.376,0
54,2.701421,157.776,1420.816,1578.592,0
55,2.751612,295.808,1612.272,1908.080,0
56,2.802752,229.472,2752.032,2981.504,0
57,2.851696,262.864,1696.448,1959.312,0
