========================================
Signal Sender Workload (Synchronized)
========================================
Initializing shared memory...
Waiting for speedometer to register...
Found speedometer in shared memory!
Sending START command to speedometer: START: 15;5;20

Running workload signal period for 15 seconds...

Workload signal period completed.
Sending STOP command to speedometer...
Waiting for statistics from speedometer...

Stress workload terminated.
===VMSTAT_START===
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0      0 138952  11432  33396    0    0    23    37  574  728 10 70  5 14  0
 2  0      0 138832  11432  33400    0    0     0     0 1216 1610  7 74  2 17  0
 3  0      0 138832  11432  33400    0    0     0     0 1204 1648  5 74  5 16  0
 3  0      0 138832  11432  33400    0    0     0     0 1199 1644  6 72  4 17  0
 2  0      0 138832  11432  33400    0    0     0     0 1207 1638  4 74  6 16  0
 3  0      0 138832  11432  33400    0    0     0     0 1216 1631  6 73  5 17  0
 2  0      0 138832  11432  33400    0    0     0     0 1219 1682  5 75  3 18  0
 2  0      0 138832  11432  33400    0    0     0     0 1224 1676  6 73  5 16  0
 2  0      0 138832  11432  33400    0    0     0     0 1228 1626  9 71  4 16  0
 2  0      0 138832  11432  33400    0    0     0     0 1220 1659  7 72  4 17  0
 3  0      0 138832  11432  33400    0    0     0     0 1231 1696  7 74  3 16  0
 2  0      0 138832  11432  33400    0    0     0     0 1241 1695  7 74  3 16  0
 2  0      0 138832  11432  33400    0    0     0     0 1230 1696  7 74  3 16  0
 3  0      0 138832  11432  33400    0    0     0     0 1220 1650  7 74  3 17  0
 3  0      0 138832  11432  33400    0    0     0     0 1234 1675  6 75  3 16  0
 3  0      0 138832  11432  33400    0    0     0     0 1121 1402  5 76  2 17  0
 2  0      0 138832  11432  33400    0    0     0     0  811  743  3 73  0 24  0
===VMSTAT_END===
========== SPEEDOMETER RT APPLICATION RESULTS ==========
Test Configuration:
Period: 50.000 ms
Deadline: 5.000 ms
RT Priority: 99 (SCHED_FIFO)
Execution Statistics:
Total cycles: 300
Deadline misses: 0 (0.000%)
Execution Time (μs):
Mean: 203.265
Min: 134.800
Max: 1962.144
50th percentile: 192.448
95th percentile: 278.512
99th percentile: 403.232
99.9th percentile: 1962.144
Jitter (μs):
Mean: 2298.762
Min: 1162.880
Max: 3711.808
Response Time (μs):
Mean: 2502.027
Min: 1323.792
Max: 4230.208
50th percentile: 2445.216
95th percentile: 3484.656
99th percentile: 3832.912
99.9th percentile: 4230.208
========================================================
===VMSTAT_START===
(no vmstat data captured)
===VMSTAT_END===
===CSV_START===
cycle,timestamp_s,execution_time_us,jitter_us,response_time_us,deadline_miss
1,0.052235,193.904,2234.560,2428.464,0
2,0.102249,138.144,2249.472,2387.616,0
3,0.152631,158.704,2630.848,2789.552,0
4,0.202149,219.152,2148.544,2367.696,0
5,0.251796,223.664,1795.712,2019.376,0
6,0.302408,240.336,2408.176,2648.512,0
7,0.352086,221.568,2086.176,2307.744,0
8,0.402288,156.816,2288.400,2445.216,0
9,0.453080,174.864,3080.208,3255.072,0
10,0.502288,134.800,2288.496,2423.296,0
11,0.551961,151.712,1960.560,2112.272,0
12,0.602244,210.736,2244.224,2454.960,0
13,0.652671,333.680,2671.360,3005.040,0
14,0.702140,255.152,2140.256,2395.408,0
15,0.753170,200.640,3170.448,3371.088,0
16,0.802265,185.296,2264.928,2450.224,0
17,0.853205,171.904,3205.040,3376.944,0
18,0.902163,207.744,2163.296,2371.040,0
19,0.953268,214.608,3267.584,3482.192,0
20,1.002030,175.712,2029.632,2205.344,0
21,1.052612,257.312,2612.224,2869.536,0
22,1.102117,190.688,2116.512,2307.200,0
23,1.153110,159.424,3110.336,3269.760,0
24,1.202268,1962.144,2268.064,4230.208,0
25,1.252176,144.912,2176.048,2320.960,0
26,1.301628,136.496,1627.648,1764.144,0
27,1.352110,232.240,2109.808,2342.048,0
28,1.401244,192.944,1244.192,1437.136,0
29,1.452227,195.984,2226.672,2422.656,0
30,1.501582,175.936,1582.432,1758.368,0
31,1.552143,164.256,2142.912,2307.168,0
32,1.602323,141.136,2322.528,2463.664,0
33,1.653109,166.256,3109.216,3275.472,0
34,1.702189,214.240,2189.088,2403.328,0
35,1.753066,280.688,3065.936,3346.624,0
36,1.801616,270.640,1615.808,1886.448,0
37,1.852288,238.352,2287.568,2525.920,0
38,1.901605,151.408,1604.528,1755.936,0
39,1.952293,179.184,2293.072,2472.256,0
40,2.002368,202.960,2368.496,2571.456,0
41,2.052160,162.176,2160.016,2322.192,0
42,2.102082,146.416,2081.792,2228.208,0
43,2.152150,146.784,2149.952,2296.736,0
44,2.201355,223.872,1355.472,1579.344,0
45,2.252170,175.488,2170.192,2345.680,0
46,2.302277,169.792,2276.544,2446.336,0
47,2.353039,216.592,3038.848,3255.440,0
48,2.401946,253.120,1946.480,2199.600,0
49,2.452219,175.328,2218.864,2394.192,0
50,2.502487,167.120,2486.624,2653.744,0
51,2.552437,160.512,2437.040,2597.552,0
52,2.602261,167.584,2261.296,2428.880,0
53,2.653446,214.128,3446.432,3660.560,0
54,2.702244,220.624,2244.400,2465.024,0
55,2.753712,292.560,3711.808,4004.368,0
56,2.802354,229.632,2354.096,2583.728,0
57,2.853588,244.784,3588.128,3832.912,0
58,2.902379,163.472,2378.848,2542.320,0
59,2.952389,158.288,2388.928,2547.216,0
60,3.002314,224.448,2313.856,2538.304,0
