========================================
Signal Sender Workload (Synchronized)
========================================
Initializing shared memory...
Waiting for speedometer to register...
Found speedometer in shared memory!
Sending START command to speedometer: START: 15;5;20

Running workload signal period for 15 seconds...

Workload signal period completed.
Sending STOP command to speedometer...
Waiting for statistics from speedometer...

Stress workload terminated.
===VMSTAT_START===
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0      0 143424   7028  33248    0    0    91    45  504  616 13 75  8  4  0
 5  0      0 143304   7028  33252    0    0     0     0 1270 1610  7 88  0  5  0
 5  0      0 143304   7028  33252    0    0     0     0 1238 1561  9 84  0  8  0
 5  0      0 143304   7028  33252    0    0     0     0 1257 1598  7 86  0  7  0
 5  0      0 143304   7028  33252    0    0     0     0 1254 1621  6 86  0  8  0
 5  0      0 143304   7028  33252    0    0     0     0 1270 1581  8 85  0  6  0
 5  0      0 143304   7028  33252    0    0     0     0 1255 1619  7 86  0  8  0
 4  0      0 143304   7028  33252    0    0     0     0 1270 1591  8 86  0  6  0
 5  0      0 143304   7028  33252    0    0     0     0 1275 1599  5 88  0  7  0
 4  0      0 143304   7028  33252    0    0     0     0 1278 1548  6 88  0  5  0
 4  0      0 143304   7028  33252    0    0     0     0 1249 1589  5 88  0  8  0
 4  0      0 143304   7028  33252    0    0     0     0 1259 1598  8 85  0  6  0
 4  0      0 143304   7028  33252    0    0     0     0 1272 1640  4 88  0  7  0
 4  0      0 143304   7028  33252    0    0     0     0 1262 1631  8 85  0  8  0
 5  0      0 143304   7028  33252    0    0     0     0 1276 1602  8 86  0  6  0
 4  0      0 143304   7028  33252    0    0     0     0 1129 1377  6 85  0  9  0
 4  0      0 143304   7028  33252    0    0     0     0  779  804  4 81  0 15  0
===VMSTAT_END===
========== SPEEDOMETER RT APPLICATION RESULTS ==========
Test Configuration:
Period: 50.000 ms
Deadline: 5.000 ms
RT Priority: 99 (SCHED_FIFO)
Execution Statistics:
Total cycles: 300
Deadline misses: 1 (0.333%)
Execution Time (μs):
Mean: 292.992
Min: 156.160
Max: 1734.656
50th percentile: 249.904
95th percentile: 384.592
99th percentile: 1665.136
99.9th percentile: 1734.656
Jitter (μs):
Mean: 2406.971
Min: 1308.480
Max: 4831.056
Response Time (μs):
Mean: 2699.963
Min: 1557.680
Max: 5093.984
50th percentile: 2628.864
95th percentile: 3657.664
99th percentile: 4594.736
99.9th percentile: 5093.984
========================================================
===VMSTAT_START===
(no vmstat data captured)
===VMSTAT_END===
===CSV_START===
cycle,timestamp_s,execution_time_us,jitter_us,response_time_us,deadline_miss
1,0.051413,269.712,1412.640,1682.352,0
2,0.102669,346.128,2669.376,3015.504,0
3,0.152361,176.624,2361.184,2537.808,0
4,0.202404,221.232,2404.368,2625.600,0
5,0.252385,240.320,2385.200,2625.520,0
6,0.302373,352.416,2373.136,2725.552,0
7,0.352720,327.360,2720.224,3047.584,0
8,0.402289,287.488,2288.704,2576.192,0
9,0.452359,262.368,2358.640,2621.008,0
10,0.502706,430.256,2705.584,3135.840,0
11,0.552506,256.016,2506.320,2762.336,0
12,0.603435,167.296,3434.992,3602.288,0
13,0.651697,181.216,1696.640,1877.856,0
14,0.701502,1296.848,1502.032,2798.880,0
15,0.752398,238.704,2397.888,2636.592,0
16,0.802416,284.752,2416.256,2701.008,0
17,0.852490,214.736,2489.792,2704.528,0
18,0.903522,224.640,3522.480,3747.120,0
19,0.952373,205.584,2373.216,2578.800,0
20,1.001492,1630.352,1492.112,3122.464,0
21,1.052384,255.712,2384.352,2640.064,0
22,1.102586,314.256,2586.064,2900.320,0
23,1.151869,201.392,1868.832,2070.224,0
24,1.202386,269.616,2386.448,2656.064,0
25,1.252262,182.080,2261.504,2443.584,0
26,1.304831,262.928,4831.056,5093.984,1
27,1.352357,402.688,2357.088,2759.776,0
28,1.403450,384.592,3450.016,3834.608,0
29,1.451752,300.592,1752.480,2053.072,0
30,1.502397,236.112,2397.232,2633.344,0
31,1.552355,167.776,2354.992,2522.768,0
32,1.602388,245.536,2388.032,2633.568,0
33,1.652371,203.168,2370.944,2574.112,0
34,1.702317,191.232,2317.152,2508.384,0
35,1.752453,302.656,2452.528,2755.184,0
36,1.803705,269.008,3705.088,3974.096,0
37,1.852359,299.520,2359.280,2658.800,0
38,1.902407,283.360,2406.944,2690.304,0
39,1.952291,261.008,2290.784,2551.792,0
40,2.002146,198.016,2146.416,2344.432,0
41,2.052065,223.488,2065.408,2288.896,0
42,2.101587,292.784,1586.816,1879.600,0
43,2.151633,184.096,1632.752,1816.848,0
44,2.202412,221.312,2411.888,2633.200,0
45,2.251643,251.024,1642.960,1893.984,0
46,2.302215,284.128,2215.232,2499.360,0
47,2.352409,223.920,2408.688,2632.608,0
48,2.402370,364.784,2369.584,2734.368,0
49,2.452249,205.920,2249.344,2455.264,0
50,2.501556,1529.680,1555.616,3085.296,0
51,2.552132,345.824,2132.208,2478.032,0
52,2.602521,541.680,2521.136,3062.816,0
53,2.651622,216.272,1622.432,1838.704,0
54,2.702413,221.344,2412.688,2634.032,0
55,2.752313,188.816,2312.912,2501.728,0
56,2.802384,323.040,2383.680,2706.720,0
57,2.851397,225.424,1396.736,1622.160,0
