========================================
Signal Sender Workload (Synchronized)
========================================
Initializing shared memory...
Waiting for speedometer to register...
Found speedometer in shared memory!
Sending START command to speedometer: START: 15;5;20

Running workload signal period for 15 seconds...

Workload signal period completed.
Sending STOP command to speedometer...
Waiting for statistics from speedometer...

Stress workload terminated.
===VMSTAT_START===
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0      0 138988  10856  33356    0    0    33    39  565  713 11 81  3  5  0
 4  0      0 138868  10856  33372    0    0     0     0 1216 1485  4 92  0  4  0
 5  0      0 138868  10856  33372    0    0     0     0 1201 1471  7 87  0  7  0
 5  0      0 138868  10856  33372    0    0     0     0 1216 1488  6 88  0  6  0
 5  0      0 138868  10856  33372    0    0     0     0 1205 1465  7 86  0  8  0
 5  0      0 138868  10856  33372    0    0     0     0 1212 1487  9 85  0  7  0
 4  0      0 138868  10856  33372    0    0     0     0 1224 1450  6 89  0  5  0
 4  0      0 138868  10856  33372    0    0     0     0 1205 1525  5 89  0  6  0
 4  0      0 138868  10856  33372    0    0     0     0 1209 1521  6 89  0  5  0
 5  0      0 138868  10856  33372    0    0     0     0 1209 1481  8 86  0  6  0
 5  0      0 138868  10856  33372    0    0     0     0 1214 1448  7 88  0  6  0
 5  0      0 138868  10856  33372    0    0     0     0 1205 1546  9 86  0  5  0
 4  0      0 138868  10856  33372    0    0     0     0 1192 1486  6 89  0  5  0
 4  0      0 138868  10856  33372    0    0     0     0 1204 1491  6 89  0  5  0
 5  0      0 138868  10856  33372    0    0     0     0 1192 1476  7 89  0  4  0
 4  0      0 138868  10856  33372    0    0     0     0 1089 1301  8 85  0  7  0
 5  0      0 138868  10856  33372    0    0     0     0  757  732  4 81  0 14  0
===VMSTAT_END===
========== SPEEDOMETER RT APPLICATION RESULTS ==========
Test Configuration:
Period: 50.000 ms
Deadline: 5.000 ms
RT Priority: 99 (SCHED_FIFO)
Execution Statistics:
Total cycles: 300
Deadline misses: 1 (0.333%)
Execution Time (μs):
Mean: 460.397
Min: 165.408
Max: 2167.824
50th percentile: 263.344
95th percentile: 1701.472
99th percentile: 2158.416
99.9th percentile: 2167.824
Jitter (μs):
Mean: 2122.037
Min: 1348.960
Max: 5019.200
Response Time (μs):
Mean: 2582.434
Min: 1537.136
Max: 5413.728
50th percentile: 2713.216
95th percentile: 3810.352
99th percentile: 4192.944
99.9th percentile: 5413.728
========================================================
===VMSTAT_START===
(no vmstat data captured)
===VMSTAT_END===
===CSV_START===
cycle,timestamp_s,execution_time_us,jitter_us,response_time_us,deadline_miss
1,0.052492,256.976,2491.520,2748.496,0
2,0.101491,212.992,1491.168,1704.160,0
3,0.152636,195.904,2635.664,2831.568,0
4,0.202756,309.456,2756.464,3065.920,0
5,0.251838,283.456,1838.448,2121.904,0
6,0.301503,1530.768,1502.640,3033.408,0
7,0.351849,386.656,1848.944,2235.600,0
8,0.401544,245.568,1544.336,1789.904,0
9,0.452630,297.728,2629.984,2927.712,0
10,0.503650,225.776,3649.968,3875.744,0
11,0.551599,265.744,1599.424,1865.168,0
12,0.602674,225.312,2673.856,2899.168,0
13,0.651349,260.192,1348.960,1609.152,0
14,0.701632,170.224,1631.744,1801.968,0
15,0.751623,251.568,1622.656,1874.224,0
16,0.801615,1522.624,1615.312,3137.936,0
17,0.851551,224.656,1551.264,1775.920,0
18,0.902531,207.008,2530.512,2737.520,0
19,0.952632,213.856,2631.984,2845.840,0
20,1.002603,241.168,2603.216,2844.384,0
21,1.053054,299.632,3054.320,3353.952,0
22,1.103785,279.648,3785.088,4064.736,0
23,1.151531,226.944,1530.832,1757.776,0
24,1.202670,298.896,2669.776,2968.672,0
25,1.251799,311.184,1798.624,2109.808,0
26,1.303063,273.392,3063.360,3336.752,0
27,1.351886,431.920,1886.080,2318.000,0
28,1.402723,333.648,2722.992,3056.640,0
29,1.452023,336.400,2023.184,2359.584,0
30,1.502561,208.384,2561.360,2769.744,0
31,1.552633,191.824,2632.560,2824.384,0
32,1.601506,262.064,1506.464,1768.528,0
33,1.652668,202.912,2667.968,2870.880,0
34,1.702587,310.192,2586.704,2896.896,0
35,1.752662,212.768,2661.808,2874.576,0
36,1.801557,202.320,1556.928,1759.248,0
37,1.851606,255.712,1605.536,1861.248,0
38,1.902736,314.704,2735.552,3050.256,0
39,1.951608,359.824,1608.464,1968.288,0
40,2.002989,461.840,2988.640,3450.480,0
41,2.051771,285.328,1770.736,2056.064,0
42,2.101690,1504.080,1689.520,3193.600,0
43,2.151676,234.688,1676.048,1910.736,0
44,2.204152,281.936,4152.368,4434.304,0
45,2.252091,244.400,2091.152,2335.552,0
46,2.301533,219.648,1533.264,1752.912,0
47,2.351807,177.280,1806.992,1984.272,0
48,2.402407,262.320,2407.472,2669.792,0
49,2.452819,215.744,2818.528,3034.272,0
50,2.502905,257.376,2904.896,3162.272,0
51,2.551575,196.672,1575.232,1771.904,0
52,2.602749,310.592,2748.512,3059.104,0
53,2.651818,254.928,1817.648,2072.576,0
54,2.701419,239.216,1419.344,1658.560,0
55,2.752575,290.512,2575.344,2865.856,0
56,2.802599,251.232,2598.672,2849.904,0
57,2.852722,246.464,2722.384,2968.848,0
