========================================
Signal Sender Workload (Synchronized)
========================================
Initializing shared memory...
Waiting for speedometer to register...
Found speedometer in shared memory!
Sending START command to speedometer: START: 15;5;20

Running workload signal period for 15 seconds...

Workload signal period completed.
Sending STOP command to speedometer...
Waiting for statistics from speedometer...

Stress workload terminated.
===VMSTAT_START===
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5  1      0 133936  15872  33504    0    0    12    37  585  745 10 83  1  6  0
 5  0      0 133936  15872  33504    0    0     0     0 1276 1647  6 87  0  7  0
 4  0      0 133936  15872  33504    0    0     0     0 1268 1630  7 86  0  6  0
 4  0      0 133936  15872  33504    0    0     0     0 1250 1609  5 90  0  5  0
 5  0      0 133936  15872  33504    0    0     0     0 1215 1544  5 88  0  7  0
 4  0      0 133936  15872  33504    0    0     0     0 1236 1605  8 84  0  8  0
 5  0      0 133936  15872  33504    0    0     0     0 1234 1600  6 88  0  6  0
 5  0      0 133936  15872  33504    0    0     0     0 1245 1578  4 87  0  9  0
 4  0      0 133936  15872  33504    0    0     0     0 1258 1597  5 89  0  6  0
 4  0      0 133936  15872  33504    0    0     0     0 1245 1613  7 86  0  7  0
 5  0      0 133936  15872  33504    0    0     0     0 1253 1584  6 88  0  5  0
 5  0      0 133936  15872  33504    0    0     0     0 1248 1601  4 89  0  7  0
 5  0      0 133936  15872  33504    0    0     0     0 1244 1589  6 88  0  7  0
 5  0      0 133936  15872  33504    0    0     0     0 1259 1594  6 87  0  7  0
 5  0      0 133936  15872  33504    0    0     0     0 1243 1632  6 86  0  8  0
 1  4      0 133936  15872  33504    0    0     0     0 1041 1270  4 83  0 13  0
 5  2      0 133936  15872  33504    0    0     0     0  568  489  2 72  0 26  0
===VMSTAT_END===
========== SPEEDOMETER RT APPLICATION RESULTS ==========
Test Configuration:
Period: 50.000 ms
Deadline: 5.000 ms
RT Priority: 99 (SCHED_FIFO)
Execution Statistics:
Total cycles: 299
Deadline misses: 2 (0.669%)
Execution Time (μs):
Mean: 302.426
Min: 128.544
Max: 2447.840
50th percentile: 195.920
95th percentile: 1380.496
99th percentile: 2272.880
99.9th percentile: 2447.840
Jitter (μs):
Mean: 2126.102
Min: 1219.552
Max: 15941.680
Response Time (μs):
Mean: 2428.528
Min: 1397.168
Max: 16154.672
50th percentile: 2095.968
95th percentile: 4180.288
99th percentile: 4914.240
99.9th percentile: 16154.672
========================================================
===VMSTAT_START===
(no vmstat data captured)
===VMSTAT_END===
===CSV_START===
cycle,timestamp_s,execution_time_us,jitter_us,response_time_us,deadline_miss
1,0.051781,472.928,1781.104,2254.032,0
2,0.103149,227.280,3148.512,3375.792,0
3,0.151843,145.568,1843.296,1988.864,0
4,0.202768,220.784,2768.336,2989.120,0
5,0.253892,287.920,3892.368,4180.288,0
6,0.302000,317.696,2000.144,2317.840,0
7,0.351439,132.016,1439.248,1571.264,0
8,0.401777,263.424,1776.640,2040.064,0
9,0.452240,249.280,2239.824,2489.104,0
10,0.502871,212.944,2870.768,3083.712,0
11,0.552689,198.960,2689.104,2888.064,0
12,0.602369,159.344,2368.624,2527.968,0
13,0.651521,183.360,1520.640,1704.000,0
14,0.701396,148.896,1395.792,1544.688,0
15,0.752596,1559.632,2595.856,4155.488,0
16,0.803097,171.488,3096.672,3268.160,0
17,0.851655,147.536,1655.088,1802.624,0
18,0.902700,201.648,2700.064,2901.712,0
19,0.951614,172.032,1614.112,1786.144,0
20,1.002482,222.128,2481.904,2704.032,0
21,1.051583,149.792,1583.488,1733.280,0
22,1.102394,250.320,2394.032,2644.352,0
23,1.151653,198.352,1653.296,1851.648,0
24,1.202534,166.320,2534.208,2700.528,0
25,1.251283,145.168,1283.360,1428.528,0
26,1.301470,237.648,1469.600,1707.248,0
27,1.351366,197.360,1366.144,1563.504,0
28,1.401438,201.168,1438.384,1639.552,0
29,1.451377,271.376,1377.264,1648.640,0
30,1.502542,296.528,2542.256,2838.784,0
31,1.552296,179.760,2296.224,2475.984,0
32,1.602690,266.416,2690.448,2956.864,0
33,1.652587,176.384,2586.720,2763.104,0
34,1.701606,179.952,1606.208,1786.160,0
35,1.752696,1380.496,2696.176,4076.672,0
36,1.802512,172.176,2512.240,2684.416,0
37,1.851560,177.696,1559.984,1737.680,0
38,1.901567,338.080,1566.640,1904.720,0
39,1.952368,229.408,2368.000,2597.408,0
40,2.001397,233.136,1396.768,1629.904,0
41,2.051408,253.664,1407.840,1661.504,0
42,2.101477,154.352,1477.488,1631.840,0
43,2.152328,195.344,2328.096,2523.440,0
44,2.202607,213.600,2606.896,2820.496,0
45,2.252982,297.904,2981.584,3279.488,0
46,2.301732,165.824,1732.080,1897.904,0
47,2.352847,167.936,2847.408,3015.344,0
48,2.401645,232.592,1644.672,1877.264,0
49,2.451685,192.752,1685.408,1878.160,0
50,2.503081,220.336,3081.072,3301.408,0
51,2.551667,231.600,1667.152,1898.752,0
52,2.601467,221.136,1466.560,1687.696,0
53,2.651675,155.744,1674.912,1830.656,0
54,2.701416,136.064,1415.952,1552.016,0
55,2.751541,128.544,1541.280,1669.824,0
56,2.801783,195.312,1782.608,1977.920,0
57,2.851615,245.408,1615.248,1860.656,0
