========================================
Signal Sender Workload (Synchronized)
========================================
Initializing shared memory...
Waiting for speedometer to register...
Found speedometer in shared memory!
Sending START command to speedometer: START: 15;5;20

Running workload signal period for 15 seconds...

Workload signal period completed.
Sending STOP command to speedometer...
Waiting for statistics from speedometer...

Stress workload terminated.
===VMSTAT_START===
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5  0      0 133132  16396  33512    0    0    10    37  587  748 10 83  1  6  0
 5  0      0 133132  16396  33516    0    0     0     0 1228 1607  8 88  0  4  0
 4  0      0 133132  16396  33516    0    0     0     0 1202 1621  6 89  0  5  0
 5  0      0 133132  16396  33516    0    0     0     0 1205 1564  7 88  0  4  0
 4  0      0 133132  16396  33516    0    0     0     0 1213 1554  7 89  0  4  0
 6  0      0 133132  16396  33516    0    0     0     0 1201 1545  7 87  0  5  0
 4  0      0 133132  16396  33516    0    0     0     0 1199 1579  6 90  0  4  0
 5  0      0 133132  16396  33516    0    0     0     0 1230 1591  7 88  0  5  0
 4  0      0 133132  16396  33516    0    0     0     0 1238 1688  7 89  0  4  0
 4  0      0 133132  16396  33516    0    0     0     0 1224 1607  8 88  0  4  0
 5  0      0 133132  16396  33516    0    0     0     0 1211 1663  7 90  0  3  0
 5  0      0 133132  16396  33516    0    0     0     0 1208 1658  6 89  0  5  0
 4  0      0 133132  16396  33516    0    0     0     0 1216 1612  5 91  0  4  0
 4  0      0 133132  16396  33516    0    0     0     0 1229 1676  9 88  0  3  0
 4  0      0 133132  16396  33516    0    0     0     0 1237 1677  7 90  0  3  0
 4  3      0 133132  16396  33516    0    0     0     0  981 1249  5 83  0 12  0
 4  2      0 133132  16396  33516    0    0     0     0  536  434  2 69  0 30  0
===VMSTAT_END===
========== SPEEDOMETER RT APPLICATION RESULTS ==========
Test Configuration:
Period: 50.000 ms
Deadline: 5.000 ms
RT Priority: 99 (SCHED_FIFO)
Execution Statistics:
Total cycles: 300
Deadline misses: 1 (0.333%)
Execution Time (μs):
Mean: 547.316
Min: 129.328
Max: 2328.800
50th percentile: 222.384
95th percentile: 1802.224
99th percentile: 1990.336
99.9th percentile: 2328.800
Jitter (μs):
Mean: 2263.814
Min: 1218.416
Max: 4328.992
Response Time (μs):
Mean: 2811.130
Min: 1433.376
Max: 5267.360
50th percentile: 2581.920
95th percentile: 4110.064
99th percentile: 4472.832
99.9th percentile: 5267.360
========================================================
===VMSTAT_START===
(no vmstat data captured)
===VMSTAT_END===
===CSV_START===
cycle,timestamp_s,execution_time_us,jitter_us,response_time_us,deadline_miss
1,0.054329,143.840,4328.992,4472.832,0
2,0.102265,149.200,2264.656,2413.856,0
3,0.152308,1504.272,2308.224,3812.496,0
4,0.202275,277.760,2275.168,2552.928,0
5,0.252229,1417.008,2229.056,3646.064,0
6,0.302282,287.008,2282.304,2569.312,0
7,0.352451,194.080,2451.440,2645.520,0
8,0.402375,181.328,2374.656,2555.984,0
9,0.452225,1931.520,2225.408,4156.928,0
10,0.502419,254.864,2418.960,2673.824,0
11,0.552338,1336.832,2337.872,3674.704,0
12,0.602495,187.200,2494.736,2681.936,0
13,0.652360,1714.080,2359.904,4073.984,0
14,0.702443,186.384,2442.928,2629.312,0
15,0.752193,1842.080,2192.608,4034.688,0
16,0.802308,192.400,2307.568,2499.968,0
17,0.852218,1428.224,2217.728,3645.952,0
18,0.902303,229.056,2302.864,2531.920,0
19,0.952359,1524.944,2358.832,3883.776,0
20,1.002688,308.848,2688.048,2996.896,0
21,1.052161,2328.800,2161.120,4489.920,0
22,1.102350,248.144,2349.696,2597.840,0
23,1.152291,1496.448,2291.440,3787.888,0
24,1.201801,371.392,1801.312,2172.704,0
25,1.252134,1456.448,2133.824,3590.272,0
26,1.302212,146.656,2212.112,2358.768,0
27,1.351946,1471.040,1945.984,3417.024,0
28,1.402405,144.560,2405.008,2549.568,0
29,1.452025,163.904,2025.280,2189.184,0
30,1.502352,203.552,2351.520,2555.072,0
31,1.552336,205.280,2335.904,2541.184,0
32,1.602186,130.256,2185.536,2315.792,0
33,1.652081,1318.928,2081.344,3400.272,0
34,1.702190,305.264,2190.448,2495.712,0
35,1.752170,1653.616,2169.552,3823.168,0
36,1.802173,130.672,2173.392,2304.064,0
37,1.852075,1420.800,2074.816,3495.616,0
38,1.902291,224.160,2291.040,2515.200,0
39,1.952269,1538.832,2268.928,3807.760,0
40,2.002028,173.008,2027.616,2200.624,0
41,2.052064,950.784,2063.696,3014.480,0
42,2.102347,254.288,2346.800,2601.088,0
43,2.152393,294.160,2393.424,2687.584,0
44,2.202744,277.488,2744.064,3021.552,0
45,2.252354,1415.712,2354.080,3769.792,0
46,2.302463,166.688,2463.424,2630.112,0
47,2.352396,186.016,2395.904,2581.920,0
48,2.402460,155.200,2459.984,2615.184,0
49,2.452210,1353.344,2209.968,3563.312,0
50,2.502497,206.576,2497.376,2703.952,0
51,2.552194,1802.224,2193.584,3995.808,0
52,2.601489,209.104,1488.656,1697.760,0
53,2.652473,285.072,2473.008,2758.080,0
54,2.702051,211.840,2051.088,2262.928,0
55,2.752228,1677.984,2227.760,3905.744,0
56,2.802289,216.336,2289.104,2505.440,0
