========================================
Signal Sender Workload (Synchronized)
========================================
Initializing shared memory...
Waiting for speedometer to register...
Found speedometer in shared memory!
Sending START command to speedometer: START: 15;5;20

Running workload signal period for 15 seconds...

Workload signal period completed.
Sending STOP command to speedometer...
Waiting for statistics from speedometer...

Stress workload terminated.
===VMSTAT_START===
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0      0 133192  16540  33516    0    0    10    37  587  748 10 83  1  6  0
 4  0      0 133192  16540  33520    0    0     0     0 1228 1586 10 87  1  3  0
 6  0      0 133192  16540  33520    0    0     0     0 1203 1601  5 89  1  4  0
 5  0      0 133192  16540  33520    0    0     0     0 1217 1590  6 90  1  4  0
 5  0      0 133192  16540  33520    0    0     0     0 1218 1622  5 91  1  3  0
 7  0      0 133192  16540  33520    0    0     0     0 1218 1588 10 85  1  4  0
 4  0      0 133192  16540  33520    0    0     0     0 1220 1642  9 87  1  4  0
 5  0      0 133192  16540  33520    0    0     0     0 1216 1597  7 89  1  4  0
 6  0      0 133192  16540  33520    0    0     0     0 1217 1579  6 88  1  5  0
 5  0      0 133192  16540  33520    0    0     0     0 1215 1543  6 86  0  8  0
 5  0      0 133192  16540  33520    0    0     0     0 1236 1586  7 87  0  6  0
 4  0      0 133192  16540  33520    0    0     0     0 1233 1627  7 87  1  5  0
 5  0      0 133192  16540  33520    0    0     0     0 1265 1680  7 89  1  3  0
 5  0      0 133192  16540  33520    0    0     0     0 1264 1629  5 91  1  3  0
 4  0      0 133192  16540  33520    0    0     0     0 1243 1687  6 89  1  4  0
 4  2      0 133192  16540  33520    0    0     0     0  972 1179  5 83  1 11  0
 2  3      0 133192  16540  33520    0    0     0     0  535  408  2 70  0 28  0
===VMSTAT_END===
========== SPEEDOMETER RT APPLICATION RESULTS ==========
Test Configuration:
Period: 50.000 ms
Deadline: 5.000 ms
RT Priority: 99 (SCHED_FIFO)
Execution Statistics:
Total cycles: 300
Deadline misses: 0 (0.000%)
Execution Time (μs):
Mean: 368.478
Min: 127.952
Max: 2312.128
50th percentile: 210.864
95th percentile: 1494.448
99th percentile: 1895.696
99.9th percentile: 2312.128
Jitter (μs):
Mean: 2209.091
Min: 1297.808
Max: 4213.520
Response Time (μs):
Mean: 2577.569
Min: 1556.080
Max: 4445.056
50th percentile: 2714.592
95th percentile: 3495.376
99th percentile: 3931.456
99.9th percentile: 4445.056
========================================================
===VMSTAT_START===
(no vmstat data captured)
===VMSTAT_END===
===CSV_START===
cycle,timestamp_s,execution_time_us,jitter_us,response_time_us,deadline_miss
1,0.052354,210.864,2354.096,2564.960,0
2,0.101698,150.640,1698.224,1848.864,0
3,0.151814,179.168,1814.144,1993.312,0
4,0.202714,158.096,2714.192,2872.288,0
5,0.252526,336.848,2526.016,2862.864,0
6,0.301614,222.112,1614.304,1836.416,0
7,0.352940,204.752,2939.840,3144.592,0
8,0.402677,172.352,2676.560,2848.912,0
9,0.452699,209.600,2699.168,2908.768,0
10,0.501853,161.504,1852.576,2014.080,0
11,0.551894,213.056,1894.256,2107.312,0
12,0.601453,176.192,1453.408,1629.600,0
13,0.651845,275.600,1844.992,2120.592,0
14,0.702916,153.088,2915.552,3068.640,0
15,0.751855,162.352,1854.896,2017.248,0
16,0.802688,175.408,2687.600,2863.008,0
17,0.852872,198.336,2872.352,3070.688,0
18,0.903793,138.832,3792.624,3931.456,0
19,0.952622,182.208,2621.680,2803.888,0
20,1.002725,226.240,2725.168,2951.408,0
21,1.052775,187.376,2774.688,2962.064,0
22,1.102534,287.920,2533.856,2821.776,0
23,1.152488,250.880,2487.616,2738.496,0
24,1.201646,1251.696,1646.128,2897.824,0
25,1.252284,281.968,2283.664,2565.632,0
26,1.301625,1380.880,1624.528,3005.408,0
27,1.351906,243.872,1905.536,2149.408,0
28,1.401775,216.880,1774.576,1991.456,0
29,1.451864,153.632,1863.984,2017.616,0
30,1.501850,1217.888,1849.536,3067.424,0
31,1.552730,306.752,2729.856,3036.608,0
32,1.603522,185.936,3522.272,3708.208,0
33,1.652735,328.000,2735.072,3063.072,0
34,1.702975,167.680,2974.992,3142.672,0
35,1.751942,251.936,1942.224,2194.160,0
36,1.801716,1780.288,1716.432,3496.720,0
37,1.851646,284.288,1646.032,1930.320,0
38,1.902766,214.528,2765.856,2980.384,0
39,1.952893,174.368,2892.960,3067.328,0
40,2.001900,204.880,1900.256,2105.136,0
41,2.051847,225.792,1846.704,2072.496,0
42,2.104214,231.536,4213.520,4445.056,0
43,2.153102,574.752,3102.240,3676.992,0
44,2.201897,180.432,1896.720,2077.152,0
45,2.251806,256.784,1806.176,2062.960,0
46,2.302488,319.840,2487.808,2807.648,0
47,2.352946,286.528,2945.664,3232.192,0
48,2.401701,166.976,1701.280,1868.256,0
49,2.452856,268.544,2856.352,3124.896,0
50,2.503155,189.552,3154.896,3344.448,0
51,2.551689,150.080,1689.408,1839.488,0
52,2.602711,312.688,2711.168,3023.856,0
53,2.652508,299.200,2508.128,2807.328,0
54,2.703662,183.936,3661.984,3845.920,0
55,2.752658,142.016,2657.616,2799.632,0
56,2.802728,221.344,2727.760,2949.104,0
57,2.852850,150.720,2850.480,3001.200,0
58,2.902596,342.544,2596.304,2938.848,0
59,2.952793,308.032,2793.376,3101.408,0
60,3.001841,1494.448,1840.736,3335.184,0
61,3.051702,212.864,1702.368,1915.232,0
62,3.102764,273.312,2764.128,3037.440,0
63,3.151713,147.344,1712.816,1860.160,0
64,3.202551,231.968,2551.472,2783.440,0
65,3.251940,205.328,1940.080,2145.408,0
66,3.301914,184.192,1913.504,2097.696,0
67,3.351730,186.096,1730.480,1916.576,0
68,3.403116,218.832,3115.824,3334.656,0
69,3.451867,242.688,1866.560,2109.248,0
70,3.501607,1509.504,1607.248,3116.752,0
71,3.552699,272.144,2699.328,2971.472,0
72,3.601813,1477.376,1813.424,3290.800,0
73,3.651791,332.208,1790.576,2122.784,0
74,3.702585,153.200,2584.768,2737.968,0
75,3.751858,142.864,1857.872,2000.736,0
76,3.802471,206.240,2470.976,2677.216,0
77,3.851959,190.864,1958.528,2149.392,0
78,3.902002,369.248,2001.536,2370.784,0
79,3.951911,346.736,1911.328,2258.064,0
80,4.001796,296.400,1796.192,2092.592,0
81,4.051857,520.032,1857.200,2377.232,0
82,4.101792,1750.352,1792.416,3542.768,0
83,4.151849,268.672,1849.392,2118.064,0
84,4.201509,190.160,1508.688,1698.848,0
85,4.252182,418.368,2182.240,2600.608,0
86,4.301766,2138.304,1766.272,3904.576,0
87,4.352881,273.552,2881.488,3155.040,0
88,4.402916,187.584,2915.936,3103.520,0
89,4.451880,332.192,1879.808,2212.000,0
90,4.501727,206.688,1726.928,1933.616,0
91,4.551710,179.568,1709.648,1889.216,0
92,4.602748,294.544,2748.304,3042.848,0
93,4.651480,286.832,1480.384,1767.216,0
94,4.702742,235.408,2742.080,2977.488,0
95,4.751832,225.952,1832.416,2058.368,0
96,4.803100,355.808,3100.192,3456.000,0
97,4.851849,162.336,1848.928,2011.264,0
98,4.902766,289.632,2765.984,3055.616,0
99,4.951796,136.752,1796.384,1933.136,0
100,5.001674,162.896,1673.856,1836.752,0
101,5.052036,189.696,2036.496,2226.192,0
102,5.101763,1586.512,1763.088,3349.600,0
103,5.151743,174.576,1742.544,1917.120,0
104,5.201894,1635.280,1894.320,3529.600,0
105,5.252397,230.544,2396.672,2627.216,0
106,5.301756,355.008,1756.064,2111.072,0
107,5.352718,144.144,2717.536,2861.680,0
108,5.402731,434.816,2730.912,3165.728,0
109,5.451727,138.832,1726.800,1865.632,0
110,5.501851,2312.128,1851.296,4163.424,0
111,5.551736,169.488,1735.584,1905.072,0
112,5.602471,131.728,2470.896,2602.624,0
113,5.652018,175.168,2017.744,2192.912,0
114,5.701701,1229.248,1701.072,2930.320,0
115,5.751843,238.960,1842.960,2081.920,0
116,5.801726,378.752,1725.824,2104.576,0
117,5.851793,186.384,1793.280,1979.664,0
118,5.902573,144.000,2573.088,2717.088,0
119,5.951684,141.536,1683.632,1825.168,0
120,6.001850,341.888,1849.888,2191.776,0
121,6.052854,186.800,2853.664,3040.464,0
