========================================
Signal Sender Workload (Synchronized)
========================================
Initializing shared memory...
Waiting for speedometer to register...
Found speedometer in shared memory!
Sending START command to speedometer: START: 15;5;20

Running workload signal period for 15 seconds...

Workload signal period completed.
Sending STOP command to speedometer...
Waiting for statistics from speedometer...

Stress workload terminated.
===VMSTAT_START===
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 8  0      0 141724   7640  33388    0    0   128    51  464  566 14 75 10  1  0
 9  0      0 141724   7640  33392    0    0     0     0 1212 1594  7 93  1  0  0
 8  0      0 141724   7640  33392    0    0     0     0 1215 1622  6 93  1  1  0
 6  0      0 141724   7640  33392    0    0     0     0 1187 1615  7 92  1  0  0
 8  0      0 141724   7640  33392    0    0     0     0 1182 1615  7 91  2  1  0
 9  0      0 141724   7640  33392    0    0     0     0 1195 1585  8 91  1  1  0
 6  1      0 141724   7640  33392    0    0     0     0 1197 1624  8 90  2  1  0
 4  0      0 141724   7640  33392    0    0     0     0 1209 1619  6 93  1  1  0
 8  0      0 141724   7640  33392    0    0     0     0 1237 1585  7 91  2  0  0
 9  0      0 141724   7640  33392    0    0     0     0 1214 1621  7 92  1  1  0
 8  0      0 141724   7640  33392    0    0     0     0 1235 1549  9 90  1  0  0
 8  0      0 141724   7640  33392    0    0     0     0 1228 1603  7 92  2  0  0
 8  0      0 141724   7640  33392    0    0     0     0 1221 1639  7 92  1  1  0
 8  0      0 141724   7640  33392    0    0     0     0 1212 1575  7 92  1  0  0
 9  0      0 141724   7640  33392    0    0     0     0 1230 1694  6 93  2  0  0
 5  5      0 141724   7640  33392    0    0     0     0 1004 1268  6 89  1  4  0
 8  0      0 141724   7640  33392    0    0     0     0  692  710  5 91  1  4  0
===VMSTAT_END===
========== SPEEDOMETER RT APPLICATION RESULTS ==========
Test Configuration:
Period: 50.000 ms
Deadline: 5.000 ms
RT Priority: 99 (SCHED_FIFO)
Execution Statistics:
Total cycles: 300
Deadline misses: 0 (0.000%)
Execution Time (μs):
Mean: 338.726
Min: 150.800
Max: 1919.248
50th percentile: 227.040
95th percentile: 1444.272
99th percentile: 1591.664
99.9th percentile: 1919.248
Jitter (μs):
Mean: 2177.086
Min: 1129.200
Max: 4194.160
Response Time (μs):
Mean: 2515.811
Min: 1466.160
Max: 4465.088
50th percentile: 2405.264
95th percentile: 3860.944
99th percentile: 4304.768
99.9th percentile: 4465.088
========================================================
===VMSTAT_START===
(no vmstat data captured)
===VMSTAT_END===
===CSV_START===
cycle,timestamp_s,execution_time_us,jitter_us,response_time_us,deadline_miss
1,0.052550,1409.024,2550.464,3959.488,0
2,0.103093,210.496,3093.344,3303.840,0
3,0.151877,344.928,1877.024,2221.952,0
4,0.202109,246.880,2108.640,2355.520,0
5,0.252240,236.224,2240.000,2476.224,0
6,0.301854,255.104,1853.984,2109.088,0
7,0.353343,194.624,3343.088,3537.712,0
8,0.402330,174.848,2329.600,2504.448,0
9,0.452494,1876.672,2494.064,4370.736,0
10,0.502499,228.368,2499.424,2727.792,0
11,0.552292,164.768,2291.744,2456.512,0
12,0.602085,191.712,2084.528,2276.240,0
13,0.653164,195.904,3164.432,3360.336,0
14,0.702022,183.792,2022.192,2205.984,0
15,0.752477,1529.232,2476.976,4006.208,0
16,0.802248,183.072,2248.448,2431.520,0
17,0.852310,1479.184,2309.840,3789.024,0
18,0.902204,281.984,2204.112,2486.096,0
19,0.952227,213.344,2226.880,2440.224,0
20,1.003174,190.480,3174.240,3364.720,0
21,1.052327,1548.672,2327.088,3875.760,0
22,1.103236,207.632,3236.432,3444.064,0
23,1.152314,247.088,2313.984,2561.072,0
24,1.202371,202.432,2371.008,2573.440,0
25,1.252040,203.488,2040.128,2243.616,0
26,1.302277,193.680,2277.184,2470.864,0
27,1.352189,273.200,2189.040,2462.240,0
28,1.402126,284.512,2126.416,2410.928,0
29,1.452282,239.120,2281.792,2520.912,0
30,1.503236,153.120,3235.808,3388.928,0
31,1.552148,191.008,2148.416,2339.424,0
32,1.603246,185.120,3245.744,3430.864,0
33,1.651428,238.112,1428.240,1666.352,0
34,1.702196,315.088,2195.712,2510.800,0
35,1.753450,213.968,3450.080,3664.048,0
36,1.801833,160.368,1833.104,1993.472,0
37,1.852360,221.408,2360.400,2581.808,0
38,1.902251,156.752,2250.608,2407.360,0
39,1.952398,173.696,2398.432,2572.128,0
40,2.002235,228.752,2235.440,2464.192,0
41,2.052391,1489.232,2390.832,3880.064,0
42,2.102217,253.584,2217.200,2470.784,0
43,2.151842,397.584,1842.128,2239.712,0
44,2.202054,160.064,2054.224,2214.288,0
45,2.252087,319.200,2086.544,2405.744,0
46,2.302246,185.264,2246.432,2431.696,0
47,2.352481,1409.808,2481.120,3890.928,0
48,2.402049,169.120,2048.832,2217.952,0
49,2.452303,244.864,2302.688,2547.552,0
50,2.502313,200.112,2312.704,2512.816,0
51,2.552286,216.048,2286.144,2502.192,0
52,2.602272,187.712,2272.048,2459.760,0
53,2.652117,265.104,2116.736,2381.840,0
54,2.702169,311.904,2168.816,2480.720,0
55,2.752950,962.304,2949.968,3912.272,0
56,2.802054,166.592,2053.760,2220.352,0
57,2.852207,182.464,2206.960,2389.424,0
58,2.901869,152.096,1868.816,2020.912,0
59,2.951318,484.256,1317.824,1802.080,0
60,3.001532,169.984,1532.320,1702.304,0
61,3.051908,280.160,1907.888,2188.048,0
62,3.102091,454.048,2090.640,2544.688,0
63,3.151349,303.488,1349.008,1652.496,0
64,3.201918,371.296,1917.792,2289.088,0
65,3.251917,514.192,1916.656,2430.848,0
66,3.301919,164.624,1919.088,2083.712,0
67,3.352216,166.896,2216.240,2383.136,0
68,3.402185,163.696,2185.456,2349.152,0
69,3.451763,179.504,1762.800,1942.304,0
70,3.501450,304.272,1449.776,1754.048,0
71,3.552175,165.664,2175.328,2340.992,0
72,3.601935,298.640,1935.088,2233.728,0
73,3.651909,163.104,1908.624,2071.728,0
74,3.702922,154.656,2922.352,3077.008,0
75,3.751774,178.784,1774.160,1952.944,0
76,3.801464,241.552,1463.760,1705.312,0
77,3.851961,550.752,1961.328,2512.080,0
78,3.902977,152.576,2976.816,3129.392,0
79,3.952170,177.872,2169.968,2347.840,0
80,4.001956,153.280,1955.680,2108.960,0
81,4.051808,180.288,1807.504,1987.792,0
82,4.102254,152.976,2253.568,2406.544,0
83,4.152209,176.432,2208.688,2385.120,0
84,4.202132,369.600,2132.496,2502.096,0
85,4.251938,311.072,1937.840,2248.912,0
86,4.302863,152.000,2863.056,3015.056,0
87,4.352013,361.840,2013.072,2374.912,0
88,4.402537,308.400,2537.376,2845.776,0
89,4.452283,297.120,2283.008,2580.128,0
90,4.501901,377.696,1900.528,2278.224,0
91,4.551305,161.264,1304.896,1466.160,0
92,4.602000,227.200,1999.888,2227.088,0
93,4.651823,176.400,1822.768,1999.168,0
94,4.704194,270.928,4194.160,4465.088,0
95,4.751779,180.112,1778.944,1959.056,0
96,4.801516,166.064,1515.680,1681.744,0
97,4.852117,172.560,2117.104,2289.664,0
98,4.901573,154.304,1573.216,1727.520,0
99,4.951998,292.208,1997.600,2289.808,0
100,5.001794,363.424,1793.568,2156.992,0
101,5.051795,188.416,1795.376,1983.792,0
102,5.102412,223.312,2412.432,2635.744,0
103,5.151560,153.904,1559.600,1713.504,0
104,5.201750,160.208,1749.552,1909.760,0
105,5.251946,166.544,1946.400,2112.944,0
106,5.302191,260.416,2191.152,2451.568,0
107,5.352309,161.648,2308.576,2470.224,0
108,5.401936,164.400,1935.744,2100.144,0
109,5.452201,166.256,2201.488,2367.744,0
110,5.501511,161.248,1510.592,1671.840,0
111,5.552021,152.160,2020.576,2172.736,0
112,5.601478,152.928,1478.256,1631.184,0
113,5.652126,288.256,2126.448,2414.704,0
114,5.703185,198.128,3184.544,3382.672,0
115,5.752523,173.872,2523.040,2696.912,0
116,5.801460,150.800,1460.192,1610.992,0
117,5.851953,156.416,1953.472,2109.888,0
