========================================
Signal Sender Workload (Synchronized)
========================================
Initializing shared memory...
Waiting for speedometer to register...
Found speedometer in shared memory!
Sending START command to speedometer: START: 15;5;20

Running workload signal period for 15 seconds...

Workload signal period completed.
Sending STOP command to speedometer...
Waiting for statistics from speedometer...

Stress workload terminated.
===VMSTAT_START===
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 7  2      0 139760   9632  33448    0    0    70    45  512  648 12 81  6  1  0
 4  6      0 139760   9632  33452    0    0     0     0 1253 1645  8 92  0  0  0
10  0      0 139760   9632  33452    0    0     0     0 1241 1678  6 94  0  0  0
10  0      0 139760   9632  33452    0    0     0     0 1253 1683  6 94  0  0  0
 8  0      0 139760   9632  33452    0    0     0     0 1256 1637  5 95  0  0  0
 9  0      0 139760   9632  33452    0    0     0     0 1264 1632  7 93  0  0  0
 9  0      0 139760   9632  33452    0    0     0     0 1245 1593  6 94  0  0  0
 8  0      0 139760   9632  33452    0    0     0     0 1248 1587  7 93  0  0  0
 9  0      0 139760   9632  33452    0    0     0     0 1239 1645  6 94  0  0  0
 9  0      0 139760   9632  33452    0    0     0     0 1249 1608  5 94  0  1  0
 9  0      0 139760   9632  33452    0    0     0     0 1254 1615  6 94  0  0  0
 8  0      0 139760   9632  33452    0    0     0     0 1203 1512  6 94  0  1  0
 8  0      0 139760   9632  33452    0    0     0     0 1248 1605  8 92  0  0  0
 8  0      0 139760   9632  33452    0    0     0     0 1257 1658  6 94  0  0  0
 6  3      0 139760   9632  33452    0    0     0     0 1247 1695  5 95  0  0  0
 8  2      0 139760   9632  33452    0    0     0     0  942 1164  5 87  0  8  0
 8  2      0 139760   9632  33452    0    0     0     0  636  589  5 85  0  9  0
===VMSTAT_END===
========== SPEEDOMETER RT APPLICATION RESULTS ==========
Test Configuration:
Period: 50.000 ms
Deadline: 5.000 ms
RT Priority: 99 (SCHED_FIFO)
Execution Statistics:
Total cycles: 299
Deadline misses: 3 (1.003%)
Execution Time (μs):
Mean: 265.464
Min: 154.864
Max: 3249.968
50th percentile: 238.208
95th percentile: 349.312
99th percentile: 1446.656
99.9th percentile: 3249.968
Jitter (μs):
Mean: 2327.584
Min: 1618.368
Max: 7850.848
Response Time (μs):
Mean: 2593.048
Min: 1825.168
Max: 8260.208
50th percentile: 2355.184
95th percentile: 3859.296
99th percentile: 5046.432
99.9th percentile: 8260.208
========================================================
===VMSTAT_START===
(no vmstat data captured)
===VMSTAT_END===
===CSV_START===
cycle,timestamp_s,execution_time_us,jitter_us,response_time_us,deadline_miss
1,0.053348,3249.968,3347.712,6597.680,1
2,0.103202,273.696,3202.256,3475.952,0
3,0.151681,246.752,1680.960,1927.712,0
4,0.203028,247.072,3028.208,3275.280,0
5,0.251989,287.056,1988.544,2275.600,0
6,0.302059,229.728,2058.848,2288.576,0
7,0.351910,274.352,1909.904,2184.256,0
8,0.402305,264.928,2304.560,2569.488,0
9,0.451935,286.128,1934.576,2220.704,0
10,0.502351,310.128,2351.392,2661.520,0
11,0.551746,353.088,1746.096,2099.184,0
12,0.602186,254.752,2186.336,2441.088,0
13,0.652103,206.176,2103.344,2309.520,0
14,0.702453,231.904,2453.312,2685.216,0
15,0.751618,273.680,1618.368,1892.048,0
16,0.803037,243.344,3036.880,3280.224,0
17,0.852891,176.864,2890.992,3067.856,0
18,0.901991,233.968,1991.328,2225.296,0
19,0.951969,204.576,1969.056,2173.632,0
20,1.002409,494.880,2408.976,2903.856,0
21,1.052049,308.768,2048.544,2357.312,0
22,1.102056,191.888,2056.208,2248.096,0
23,1.151978,202.160,1978.464,2180.624,0
24,1.202197,266.000,2196.608,2462.608,0
25,1.252015,203.712,2014.720,2218.432,0
26,1.304659,207.360,4659.376,4866.736,0
27,1.352953,255.328,2953.152,3208.480,0
28,1.402112,185.584,2111.568,2297.152,0
29,1.452015,255.568,2014.768,2270.336,0
30,1.502581,198.736,2581.184,2779.920,0
31,1.552900,235.504,2899.888,3135.392,0
32,1.602003,245.760,2002.736,2248.496,0
33,1.651679,320.480,1678.752,1999.232,0
34,1.702205,175.712,2205.280,2380.992,0
35,1.751812,199.984,1812.464,2012.448,0
36,1.802141,173.504,2141.264,2314.768,0
37,1.851681,247.328,1680.736,1928.064,0
38,1.902145,160.288,2144.640,2304.928,0
39,1.952172,155.392,2172.320,2327.712,0
40,2.003888,220.848,3888.208,4109.056,0
41,2.051897,232.656,1897.344,2130.000,0
42,2.102269,208.384,2269.200,2477.584,0
43,2.151909,229.984,1909.232,2139.216,0
44,2.202568,220.528,2568.384,2788.912,0
45,2.252045,292.928,2045.088,2338.016,0
46,2.302207,156.320,2207.376,2363.696,0
47,2.351914,344.144,1913.952,2258.096,0
48,2.403187,163.872,3186.992,3350.864,0
49,2.451862,164.592,1861.632,2026.224,0
50,2.502185,220.720,2185.168,2405.888,0
51,2.551654,171.168,1654.000,1825.168,0
52,2.602869,262.784,2868.848,3131.632,0
53,2.651799,282.496,1798.624,2081.120,0
54,2.702141,242.960,2140.720,2383.680,0
55,2.751932,318.816,1932.160,2250.976,0
56,2.802527,268.192,2527.104,2795.296,0
57,2.853128,1446.656,3127.776,4574.432,0
58,2.902191,164.112,2191.072,2355.184,0
59,2.951804,174.720,1804.352,1979.072,0
60,3.003020,211.296,3019.584,3230.880,0
61,3.051992,279.104,1992.272,2271.376,0
62,3.102079,222.272,2079.184,2301.456,0
63,3.151890,221.088,1889.824,2110.912,0
64,3.202973,193.792,2973.072,3166.864,0
65,3.251957,277.280,1956.656,2233.936,0
66,3.302687,293.184,2686.720,2979.904,0
67,3.351805,201.072,1805.376,2006.448,0
68,3.402154,222.656,2154.368,2377.024,0
69,3.451920,241.760,1919.536,2161.296,0
70,3.502179,209.152,2179.328,2388.480,0
71,3.552071,199.408,2071.392,2270.800,0
72,3.602181,154.864,2181.088,2335.952,0
73,3.651879,220.704,1879.248,2099.952,0
74,3.702140,162.864,2139.760,2302.624,0
75,3.751695,163.136,1695.456,1858.592,0
76,3.803086,184.240,3085.872,3270.112,0
77,3.851901,270.464,1900.832,2171.296,0
78,3.902249,178.928,2249.280,2428.208,0
79,3.951820,295.568,1819.648,2115.216,0
80,4.002062,234.048,2062.224,2296.272,0
81,4.052954,223.120,2953.504,3176.624,0
82,4.102193,175.168,2193.440,2368.608,0
83,4.152030,280.176,2030.096,2310.272,0
84,4.203288,157.616,3287.840,3445.456,0
85,4.251935,203.664,1935.232,2138.896,0
86,4.302308,188.432,2308.096,2496.528,0
87,4.351912,272.432,1912.464,2184.896,0
88,4.402089,210.432,2089.456,2299.888,0
89,4.451944,225.584,1943.824,2169.408,0
90,4.502055,216.816,2054.880,2271.696,0
91,4.551905,332.912,1904.864,2237.776,0
92,4.602375,248.048,2374.624,2622.672,0
93,4.652011,207.008,2011.296,2218.304,0
94,4.702189,168.368,2189.408,2357.776,0
95,4.752063,158.912,2063.168,2222.080,0
96,4.802224,246.176,2224.000,2470.176,0
97,4.853136,162.112,3136.336,3298.448,0
98,4.903043,316.432,3043.376,3359.808,0
99,4.952061,236.928,2060.608,2297.536,0
100,5.003348,315.504,3347.584,3663.088,0
101,5.051689,267.760,1688.768,1956.528,0
102,5.102995,256.912,2994.640,3251.552,0
103,5.151919,221.488,1918.704,2140.192,0
104,5.202059,271.152,2059.456,2330.608,0
105,5.251871,264.448,1871.168,2135.616,0
106,5.302053,279.712,2052.672,2332.384,0
107,5.352066,157.616,2065.680,2223.296,0
108,5.403459,318.704,3458.944,3777.648,0
109,5.452201,349.312,2200.688,2550.000,0
110,5.504115,191.712,4115.232,4306.944,0
111,5.554515,531.152,4515.280,5046.432,1
112,5.602759,246.464,2758.704,3005.168,0
113,5.652063,198.928,2063.040,2261.968,0
114,5.702215,294.192,2214.816,2509.008,0
115,5.751998,355.520,1997.696,2353.216,0
116,5.802959,264.640,2958.896,3223.536,0
117,5.851897,285.056,1897.472,2182.528,0
118,5.902107,230.192,2106.992,2337.184,0
119,5.951778,234.272,1777.632,2011.904,0
120,6.002226,189.088,2226.368,2415.456,0
121,6.051994,233.136,1994.112,2227.248,0
122,6.102300,297.664,2299.520,2597.184,0
123,6.152099,189.088,2099.008,2288.096,0
124,6.202359,239.664,2358.688,2598.352,0
125,6.251918,218.576,1918.256,2136.832,0
126,6.302006,212.144,2005.616,2217.760,0
127,6.351848,196.832,1848.432,2045.264,0
128,6.402147,293.936,2147.312,2441.248,0
129,6.452162,246.112,2161.648,2407.760,0
130,6.502965,324.688,2964.848,3289.536,0
131,6.551736,214.000,1736.064,1950.064,0
132,6.603053,253.248,3053.360,3306.608,0
133,6.651642,212.960,1641.984,1854.944,0
134,6.703292,174.032,3291.952,3465.984,0
135,6.751956,272.752,1956.416,2229.168,0
136,6.802120,220.416,2119.680,2340.096,0
137,6.851903,271.632,1902.912,2174.544,0
138,6.902382,325.408,2381.776,2707.184,0
139,6.952057,250.448,2057.104,2307.552,0
140,7.002048,287.168,2048.032,2335.200,0
141,7.052044,216.768,2043.600,2260.368,0
142,7.102056,210.912,2055.808,2266.720,0
143,7.152126,227.136,2125.904,2353.040,0
144,7.202862,182.480,2861.648,3044.128,0
145,7.251645,222.640,1644.928,1867.568,0
146,7.302156,224.656,2156.240,2380.896,0
147,7.352144,169.952,2143.664,2313.616,0
148,7.402144,229.184,2144.000,2373.184,0
149,7.452140,346.224,2140.272,2486.496,0
150,7.502527,204.112,2527.248,2731.360,0
151,7.553067,235.568,3066.896,3302.464,0
152,7.603016,310.464,3016.464,3326.928,0
153,7.652007,444.272,2007.008,2451.280,0
154,7.702063,216.048,2063.296,2279.344,0
155,7.751866,307.936,1865.664,2173.600,0
156,7.802261,218.800,2260.848,2479.648,0
157,7.851860,330.896,1859.776,2190.672,0
158,7.902334,295.904,2333.520,2629.424,0
159,7.952070,232.576,2070.384,2302.960,0
160,8.002182,186.816,2182.096,2368.912,0
161,8.051998,291.088,1997.696,2288.784,0
162,8.102572,299.216,2572.448,2871.664,0
163,8.151974,285.712,1974.288,2260.000,0
164,8.202948,210.736,2948.336,3159.072,0
165,8.252057,172.112,2057.152,2229.264,0
166,8.302384,329.184,2384.432,2713.616,0
167,8.352090,212.512,2090.224,2302.736,0
168,8.402123,204.464,2122.992,2327.456,0
169,8.451874,242.160,1873.776,2115.936,0
170,8.502101,193.648,2100.720,2294.368,0
171,8.551932,296.592,1931.520,2228.112,0
172,8.602149,179.904,2149.440,2329.344,0
173,8.652001,329.952,2000.608,2330.560,0
174,8.702332,281.152,2332.224,2613.376,0
175,8.753039,271.488,3039.056,3310.544,0
176,8.802999,226.160,2998.528,3224.688,0
177,8.851864,253.936,1864.224,2118.160,0
178,8.902045,318.208,2044.688,2362.896,0
179,8.952011,248.240,2011.200,2259.440,0
180,9.002168,174.528,2167.536,2342.064,0
181,9.052257,321.424,2256.912,2578.336,0
182,9.102191,190.192,2191.376,2381.568,0
183,9.152015,237.632,2014.512,2252.144,0
184,9.202167,181.328,2167.200,2348.528,0
185,9.252171,224.032,2171.104,2395.136,0
186,9.302617,189.296,2617.344,2806.640,0
187,9.352049,220.000,2048.672,2268.672,0
188,9.403153,205.312,3153.040,3358.352,0
189,9.452041,207.216,2040.800,2248.016,0
190,9.502282,252.784,2281.952,2534.736,0
191,9.552191,176.320,2190.816,2367.136,0
192,9.602322,273.504,2322.176,2595.680,0
193,9.651959,211.632,1958.800,2170.432,0
194,9.702245,157.024,2245.200,2402.224,0
195,9.751883,231.072,1883.328,2114.400,0
196,9.802212,182.288,2211.680,2393.968,0
197,9.851993,210.160,1993.424,2203.584,0
198,9.902190,197.712,2190.368,2388.080,0
199,9.951836,280.992,1836.000,2116.992,0
200,10.002181,215.568,2181.264,2396.832,0
201,10.051871,268.336,1870.944,2139.280,0
202,10.102924,197.680,2924.128,3121.808,0
203,10.152068,304.336,2067.760,2372.096,0
204,10.203064,156.672,3064.224,3220.896,0
205,10.251845,299.776,1844.624,2144.400,0
206,10.302293,288.688,2293.024,2581.712,0
207,10.351852,254.112,1852.160,2106.272,0
208,10.402445,243.648,2445.488,2689.136,0
209,10.452107,248.416,2106.928,2355.344,0
210,10.502435,396.592,2434.656,2831.248,0
211,10.551904,269.888,1903.744,2173.632,0
212,10.602161,177.552,2160.960,2338.512,0
213,10.652688,420.592,2688.208,3108.800,0
214,10.707851,409.360,7850.848,8260.208,1
215,10.752115,290.000,2115.024,2405.024,0
216,10.802049,282.128,2048.992,2331.120,0
217,10.852140,221.008,2140.128,2361.136,0
218,10.903873,285.760,3873.280,4159.040,0
219,10.952186,210.736,2185.888,2396.624,0
220,11.003971,208.320,3970.704,4179.024,0
221,11.052150,318.560,2150.448,2469.008,0
222,11.102305,266.432,2305.488,2571.920,0
223,11.151963,226.976,1962.656,2189.632,0
224,11.202215,341.280,2214.576,2555.856,0
225,11.252052,232.192,2051.936,2284.128,0
226,11.303090,211.280,3089.792,3301.072,0
227,11.352212,162.864,2212.128,2374.992,0
228,11.402086,285.824,2086.160,2371.984,0
229,11.452147,338.560,2147.104,2485.664,0
230,11.504023,281.456,4023.488,4304.944,0
231,11.552093,222.992,2092.576,2315.568,0
232,11.602607,171.648,2606.832,2778.480,0
233,11.653166,1659.744,3166.256,4826.000,0
234,11.702178,253.648,2177.568,2431.216,0
235,11.752112,227.904,2112.128,2340.032,0
236,11.802310,283.888,2309.520,2593.408,0
237,11.852982,445.792,2981.872,3427.664,0
238,11.903179,177.536,3178.704,3356.240,0
239,11.951845,300.128,1845.056,2145.184,0
240,12.002182,466.576,2181.696,2648.272,0
241,12.052083,244.944,2083.168,2328.112,0
242,12.102150,289.616,2149.840,2439.456,0
243,12.151902,273.264,1901.696,2174.960,0
244,12.202206,375.920,2205.552,2581.472,0
245,12.251769,295.280,1768.912,2064.192,0
246,12.302051,187.808,2051.248,2239.056,0
247,12.351994,205.568,1993.952,2199.520,0
248,12.402207,156.832,2206.832,2363.664,0
249,12.451825,230.784,1824.528,2055.312,0
250,12.502078,217.904,2077.840,2295.744,0
251,12.552092,233.360,2092.064,2325.424,0
252,12.602160,316.144,2159.600,2475.744,0
253,12.651912,244.448,1912.496,2156.944,0
254,12.702899,239.328,2899.488,3138.816,0
255,12.752727,249.024,2726.864,2975.888,0
256,12.804059,222.944,4058.672,4281.616,0
257,12.851931,288.352,1931.200,2219.552,0
258,12.903887,312.528,3886.928,4199.456,0
259,12.952179,190.640,2179.472,2370.112,0
260,13.002242,191.568,2241.552,2433.120,0
261,13.051895,260.752,1894.656,2155.408,0
262,13.102031,262.448,2030.800,2293.248,0
263,13.152025,310.704,2025.120,2335.824,0
264,13.202415,293.104,2415.312,2708.416,0
265,13.251643,209.328,1643.088,1852.416,0
266,13.303055,234.768,3055.072,3289.840,0
267,13.351833,190.992,1832.624,2023.616,0
268,13.402250,286.160,2249.840,2536.000,0
269,13.451675,160.112,1675.408,1835.520,0
270,13.503008,246.432,3008.192,3254.624,0
271,13.551914,245.824,1914.320,2160.144,0
272,13.602191,177.088,2190.768,2367.856,0
273,13.652164,238.208,2163.584,2401.792,0
274,13.703214,290.672,3213.856,3504.528,0
275,13.751982,239.440,1981.776,2221.216,0
276,13.802330,285.872,2330.416,2616.288,0
277,13.852166,206.544,2165.504,2372.048,0
278,13.902345,289.760,2344.928,2634.688,0
279,13.952212,308.960,2212.416,2521.376,0
280,14.004007,253.344,4007.376,4260.720,0
281,14.052039,307.664,2039.472,2347.136,0
282,14.102024,213.072,2023.904,2236.976,0
283,14.151968,324.112,1968.496,2292.608,0
284,14.203381,340.064,3380.624,3720.688,0
285,14.252971,205.888,2970.512,3176.400,0
286,14.302043,300.256,2043.040,2343.296,0
287,14.351867,247.664,1866.624,2114.288,0
288,14.403362,274.128,3361.584,3635.712,0
289,14.451693,258.816,1692.864,1951.680,0
290,14.502139,199.680,2139.216,2338.896,0
291,14.551818,169.808,1818.160,1987.968,0
292,14.602902,231.184,2901.600,3132.784,0
293,14.651906,209.328,1905.840,2115.168,0
294,14.703135,229.648,3134.816,3364.464,0
295,14.752064,249.472,2063.520,2312.992,0
296,14.802065,260.064,2064.640,2324.704,0
297,14.851986,322.816,1986.288,2309.104,0
298,14.903677,182.400,3676.896,3859.296,0
299,14.953003,338.416,3002.512,3340.928,0
===CSV_END===
Run #4 completed. Waiting for next START command...
Waiting for START command from li VM...
