========================================
Signal Sender Workload (Synchronized)
========================================
Initializing shared memory...
Waiting for speedometer to register...
Found speedometer in shared memory!
Sending START command to speedometer: START: 15;5;20

Running workload signal period for 15 seconds...

Workload signal period completed.
Sending STOP command to speedometer...
Waiting for statistics from speedometer...

Stress workload terminated.
===VMSTAT_START===
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 9  0      0 139108  10280  33460    0    0    57    43  523  666 11 82  5  1  0
 8  0      0 139108  10280  33464    0    0     0     0 1248 1591  6 94  0  0  0
 8  0      0 139108  10280  33464    0    0     0     0 1234 1577  7 93  0  0  0
10  0      0 139108  10280  33464    0    0     0     0 1219 1566  7 93  0  0  0
 8  0      0 139108  10280  33464    0    0     0     0 1223 1606  6 94  0  0  0
 8  0      0 139108  10280  33464    0    0     0     0 1240 1538  6 93  0  0  0
 8  0      0 139108  10280  33464    0    0     0     0 1254 1602  7 93  0  0  0
 9  0      0 139108  10280  33464    0    0     0     0 1255 1617  6 93  0  0  0
 9  0      0 139108  10280  33464    0    0     0     0 1205 1656  8 92  0  1  0
 9  0      0 139108  10280  33464    0    0     0     0 1213 1737  6 94  0  1  0
 9  0      0 139108  10280  33464    0    0     0     0 1224 1704  7 93  0  0  0
 8  0      0 139108  10280  33464    0    0     0     0 1245 1734  7 92  0  1  0
 8  0      0 139108  10280  33464    0    0     0     0 1241 1696  7 92  0  1  0
 9  0      0 139108  10280  33464    0    0     0     0 1235 1719  5 95  0  1  0
 9  0      0 139108  10280  33464    0    0     0     0 1236 1699  6 94  0  0  0
 3  6      0 139108  10280  33464    0    0     0     0 1122 1607  7 92  0  2  0
 1  8      0 139108  10280  33464    0    0     0     0  624  581  5 87  0  8  0
===VMSTAT_END===
========== SPEEDOMETER RT APPLICATION RESULTS ==========
Test Configuration:
Period: 50.000 ms
Deadline: 5.000 ms
RT Priority: 99 (SCHED_FIFO)
Execution Statistics:
Total cycles: 300
Deadline misses: 0 (0.000%)
Execution Time (μs):
Mean: 282.469
Min: 153.824
Max: 2022.880
50th percentile: 228.384
95th percentile: 390.800
99th percentile: 1929.376
99.9th percentile: 2022.880
Jitter (μs):
Mean: 2322.484
Min: 1087.280
Max: 3790.144
Response Time (μs):
Mean: 2604.953
Min: 1246.592
Max: 4674.240
50th percentile: 2651.312
95th percentile: 3621.184
99th percentile: 4564.592
99.9th percentile: 4674.240
========================================================
===VMSTAT_START===
(no vmstat data captured)
===VMSTAT_END===
===CSV_START===
cycle,timestamp_s,execution_time_us,jitter_us,response_time_us,deadline_miss
1,0.052405,229.856,2405.136,2634.992,0
2,0.102261,238.416,2260.752,2499.168,0
3,0.152577,255.248,2576.864,2832.112,0
4,0.202561,218.768,2561.088,2779.856,0
5,0.251845,275.168,1845.104,2120.272,0
6,0.301106,207.936,1105.952,1313.888,0
7,0.352546,211.856,2546.224,2758.080,0
8,0.402465,234.064,2464.560,2698.624,0
9,0.451762,243.824,1761.776,2005.600,0
10,0.501310,248.480,1309.632,1558.112,0
11,0.552552,239.248,2552.352,2791.600,0
12,0.602605,228.736,2604.976,2833.712,0
13,0.652356,316.416,2356.496,2672.912,0
14,0.702670,1859.120,2670.336,4529.456,0
15,0.752495,273.152,2494.784,2767.936,0
16,0.802610,234.288,2609.872,2844.160,0
17,0.852458,264.592,2457.552,2722.144,0
18,0.902462,212.192,2462.080,2674.272,0
19,0.952681,234.368,2681.136,2915.504,0
20,1.002614,232.752,2613.568,2846.320,0
21,1.052307,262.912,2307.008,2569.920,0
22,1.102457,302.704,2456.752,2759.456,0
23,1.151693,224.000,1692.848,1916.848,0
24,1.202644,292.992,2644.416,2937.408,0
25,1.251549,268.240,1549.328,1817.568,0
26,1.301717,173.616,1716.832,1890.448,0
27,1.353790,191.696,3790.144,3981.840,0
28,1.402152,208.608,2151.888,2360.496,0
29,1.453415,288.304,3414.640,3702.944,0
30,1.502595,236.256,2594.992,2831.248,0
31,1.552380,241.232,2380.400,2621.632,0
32,1.602566,156.816,2565.984,2722.800,0
33,1.652506,177.904,2506.064,2683.968,0
34,1.702431,241.376,2431.264,2672.640,0
35,1.751603,281.264,1602.864,1884.128,0
36,1.802370,310.672,2369.552,2680.224,0
37,1.852413,302.016,2413.392,2715.408,0
38,1.902627,242.480,2626.784,2869.264,0
39,1.952321,414.272,2320.800,2735.072,0
40,2.002114,290.992,2114.144,2405.136,0
41,2.052464,210.496,2464.240,2674.736,0
42,2.102451,244.576,2450.528,2695.104,0
43,2.151628,248.576,1628.320,1876.896,0
44,2.202320,262.464,2320.128,2582.592,0
45,2.252333,213.728,2333.312,2547.040,0
46,2.302112,221.712,2112.080,2333.792,0
47,2.352475,254.864,2475.248,2730.112,0
48,2.402303,266.544,2302.560,2569.104,0
49,2.452169,175.232,2169.056,2344.288,0
50,2.502311,264.192,2310.928,2575.120,0
51,2.552284,266.064,2284.128,2550.192,0
52,2.602607,223.200,2607.184,2830.384,0
53,2.652495,233.344,2495.264,2728.608,0
54,2.702498,270.080,2498.432,2768.512,0
55,2.752512,181.440,2512.192,2693.632,0
56,2.802549,212.208,2548.688,2760.896,0
57,2.852609,239.424,2608.768,2848.192,0
58,2.902174,225.760,2174.192,2399.952,0
59,2.953373,276.048,3372.896,3648.944,0
60,3.002627,177.920,2626.592,2804.512,0
61,3.052298,197.184,2298.224,2495.408,0
62,3.102423,358.576,2423.024,2781.600,0
63,3.152466,181.792,2465.888,2647.680,0
64,3.202651,1586.880,2650.624,4237.504,0
65,3.251633,209.376,1632.528,1841.904,0
66,3.302579,249.984,2578.832,2828.816,0
67,3.351591,215.184,1590.896,1806.080,0
68,3.402594,1285.680,2594.144,3879.824,0
69,3.452392,269.984,2391.712,2661.696,0
70,3.502090,242.736,2090.048,2332.784,0
71,3.553384,237.504,3383.680,3621.184,0
72,3.602421,189.376,2421.392,2610.768,0
73,3.652502,228.128,2501.952,2730.080,0
74,3.702476,211.696,2476.096,2687.792,0
75,3.751692,238.368,1692.112,1930.480,0
76,3.801510,214.416,1510.240,1724.656,0
77,3.852316,216.736,2316.096,2532.832,0
78,3.901278,334.128,1277.744,1611.872,0
79,3.952151,253.184,2150.560,2403.744,0
80,4.002438,189.200,2437.792,2626.992,0
