========================================
Signal Sender Workload (Synchronized)
========================================
Initializing shared memory...
Waiting for speedometer to register...
Found speedometer in shared memory!
Sending START command to speedometer: START: 15;5;20

Running workload signal period for 15 seconds...

Workload signal period completed.
Sending STOP command to speedometer...
Waiting for statistics from speedometer...

Stress workload terminated.
===VMSTAT_START===
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 8  0      0 137228  12184  33496    0    0    33    41  545  705 11 85  3  2  0
 3  6      0 137228  12184  33524    0    0     0     0 1302 1735  8 90  1  0  0
 9  0      0 137228  12184  33524    0    0     0     0 1260 1609  6 93  1  0  0
10  0      0 137228  12184  33524    0    0     0     0 1246 1636  4 94  1  1  0
 8  0      0 137228  12184  33524    0    0     0     0 1250 1683  7 92  1  0  0
 9  0      0 137228  12184  33524    0    0     0     0 1256 1701  8 91  1  1  0
 8  0      0 137228  12184  33524    0    0     0     0 1264 1709  7 93  1  0  0
 9  0      0 137228  12184  33524    0    0     0     0 1270 1643  6 94  1  0  0
 8  0      0 137228  12184  33524    0    0     0     0 1249 1664  5 92  2  1  0
 9  0      0 137228  12184  33524    0    0     0     0 1269 1594  9 90  1  0  0
10  0      0 137228  12184  33524    0    0     0     0 1246 1658  6 93  1  0  0
 9  0      0 137228  12184  33524    0    0     0     0 1234 1571  7 91  2  0  0
 8  0      0 137228  12184  33524    0    0     0     0 1237 1639  7 91  1  1  0
 8  0      0 137228  12184  33524    0    0     0     0 1218 1591  9 90  2  0  0
 8  0      0 137228  12184  33524    0    0     0     0 1248 1620  8 90  1  1  0
 8  0      0 137228  12184  33524    0    0     0     0 1189 1447  5 93  2  0  0
 7  2      0 137228  12184  33524    0    0     0     0  788  857  5 94  1  0  0
===VMSTAT_END===
========== SPEEDOMETER RT APPLICATION RESULTS ==========
Test Configuration:
Period: 50.000 ms
Deadline: 5.000 ms
RT Priority: 99 (SCHED_FIFO)
Execution Statistics:
Total cycles: 300
Deadline misses: 1 (0.333%)
Execution Time (μs):
Mean: 257.969
Min: 151.776
Max: 2039.984
50th percentile: 222.080
95th percentile: 363.600
99th percentile: 1491.328
99.9th percentile: 2039.984
Jitter (μs):
Mean: 2455.526
Min: 1234.672
Max: 4836.224
Response Time (μs):
Mean: 2713.495
Min: 1467.376
Max: 5562.032
50th percentile: 2671.504
95th percentile: 3808.096
99th percentile: 4642.992
99.9th percentile: 5562.032
========================================================
===VMSTAT_START===
(no vmstat data captured)
===VMSTAT_END===
===CSV_START===
cycle,timestamp_s,execution_time_us,jitter_us,response_time_us,deadline_miss
1,0.052587,216.144,2586.880,2803.024,0
2,0.102256,259.040,2255.664,2514.704,0
3,0.152729,254.320,2729.312,2983.632,0
4,0.202462,153.872,2462.480,2616.352,0
5,0.252741,162.256,2740.896,2903.152,0
6,0.302252,344.032,2252.048,2596.080,0
7,0.354073,191.408,4072.832,4264.240,0
8,0.402250,162.464,2249.824,2412.288,0
9,0.453369,342.368,3368.928,3711.296,0
10,0.502225,181.504,2225.360,2406.864,0
11,0.552525,191.808,2524.880,2716.688,0
12,0.602268,236.656,2268.048,2504.704,0
13,0.653332,220.048,3331.952,3552.000,0
14,0.702299,213.376,2298.896,2512.272,0
15,0.752679,259.488,2678.848,2938.336,0
16,0.801325,225.344,1324.672,1550.016,0
17,0.852546,214.960,2545.504,2760.464,0
18,0.902247,253.456,2246.672,2500.128,0
19,0.952453,193.664,2453.040,2646.704,0
20,1.002383,186.256,2383.360,2569.616,0
21,1.052452,180.528,2452.016,2632.544,0
22,1.102375,230.544,2374.752,2605.296,0
23,1.152445,154.880,2444.784,2599.664,0
24,1.202078,243.760,2078.240,2322.000,0
25,1.253407,197.328,3407.104,3604.432,0
26,1.302321,263.408,2320.976,2584.384,0
27,1.353227,216.096,3226.688,3442.784,0
28,1.402393,184.592,2393.104,2577.696,0
29,1.453342,420.688,3342.000,3762.688,0
30,1.502235,160.352,2234.752,2395.104,0
31,1.552434,157.216,2434.240,2591.456,0
32,1.602336,222.080,2336.256,2558.336,0
33,1.652719,263.584,2718.768,2982.352,0
34,1.702602,187.760,2601.856,2789.616,0
35,1.752824,342.464,2823.520,3165.984,0
36,1.801413,181.872,1412.864,1594.736,0
37,1.852478,253.440,2477.712,2731.152,0
38,1.902239,171.280,2238.640,2409.920,0
39,1.952599,252.464,2598.688,2851.152,0
40,2.002466,154.016,2466.160,2620.176,0
41,2.053108,220.544,3107.552,3328.096,0
42,2.101563,220.192,1563.216,1783.408,0
43,2.152540,195.392,2539.520,2734.912,0
44,2.202251,306.864,2250.560,2557.424,0
45,2.252469,223.136,2468.656,2691.792,0
46,2.302245,202.784,2244.736,2447.520,0
47,2.352542,191.584,2542.480,2734.064,0
48,2.402271,231.488,2271.472,2502.960,0
49,2.453586,212.144,3585.888,3798.032,0
50,2.503482,198.816,3481.712,3680.528,0
51,2.553337,222.960,3337.488,3560.448,0
52,2.602301,207.616,2300.528,2508.144,0
53,2.653610,197.840,3610.256,3808.096,0
54,2.702413,215.360,2413.264,2628.624,0
55,2.753325,255.104,3325.200,3580.304,0
56,2.802446,240.016,2446.208,2686.224,0
57,2.852461,224.592,2460.928,2685.520,0
