========================================
Signal Sender Workload (Synchronized)
========================================
Initializing shared memory...
Waiting for speedometer to register...
Found speedometer in shared memory!
Sending START command to speedometer: START: 15;5;20

Running workload signal period for 15 seconds...

Workload signal period completed.
Sending STOP command to speedometer...
Waiting for statistics from speedometer...

Stress workload terminated.
===VMSTAT_START===
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 9  0      0 134084  15068  33592    0    0    18    39  558  736 10 86  2  1  0
 8  0      0 134084  15068  33596    0    0     0     0 1185 1635  7 93  0  0  0
 9  0      0 134084  15068  33596    0    0     0     0 1224 1751  7 93  0  0  0
 9  0      0 134084  15068  33596    0    0     0     0 1227 1675  8 91  0  0  0
 9  0      0 134084  15068  33596    0    0     0     0 1222 1712  7 93  0  1  0
 8  0      0 134084  15068  33596    0    0     0     0 1221 1727  7 92  0  0  0
 8  0      0 134084  15068  33596    0    0     0     0 1236 1730  6 93  0  0  0
 8  0      0 134084  15068  33596    0    0     0     0 1213 1691  5 95  0  0  0
 8  0      0 134084  15068  33596    0    0     0     0 1208 1707  7 93  0  1  0
 8  0      0 134084  15068  33596    0    0     0     0 1216 1683  4 95  0  1  0
 8  0      0 134084  15068  33596    0    0     0     0 1225 1705  5 95  0  1  0
 9  0      0 134084  15068  33596    0    0     0     0 1209 1706  7 94  0  0  0
 8  0      0 134084  15068  33596    0    0     0     0 1209 1695  7 93  0  1  0
 9  0      0 134084  15068  33596    0    0     0     0 1217 1673  8 92  0  1  0
 8  0      0 134084  15068  33596    0    0     0     0 1216 1669  7 93  0  1  0
 6  3      0 134084  15068  33596    0    0     0     0 1021 1350  6 90  0  4  0
 9  0      0 134084  15068  33596    0    0     0     0  781  973  7 92  0  1  0
===VMSTAT_END===
========== SPEEDOMETER RT APPLICATION RESULTS ==========
Test Configuration:
Period: 50.000 ms
Deadline: 5.000 ms
RT Priority: 99 (SCHED_FIFO)
Execution Statistics:
Total cycles: 300
Deadline misses: 1 (0.333%)
Execution Time (μs):
Mean: 220.623
Min: 135.728
Max: 1601.632
50th percentile: 196.640
95th percentile: 293.104
99th percentile: 1425.632
99.9th percentile: 1601.632
Jitter (μs):
Mean: 2223.705
Min: 1289.952
Max: 4931.088
Response Time (μs):
Mean: 2444.329
Min: 1496.704
Max: 5185.616
50th percentile: 2441.792
95th percentile: 3522.512
99th percentile: 4492.240
99.9th percentile: 5185.616
========================================================
===VMSTAT_START===
(no vmstat data captured)
===VMSTAT_END===
===CSV_START===
cycle,timestamp_s,execution_time_us,jitter_us,response_time_us,deadline_miss
1,0.052302,216.896,2302.176,2519.072,0
2,0.102170,196.768,2170.448,2367.216,0
3,0.152314,165.392,2314.144,2479.536,0
4,0.202473,192.832,2473.456,2666.288,0
5,0.252502,202.640,2502.480,2705.120,0
6,0.302156,162.256,2156.048,2318.304,0
7,0.352220,224.752,2219.744,2444.496,0
8,0.401867,379.984,1866.512,2246.496,0
9,0.452609,1372.928,2609.280,3982.208,0
10,0.501559,296.832,1559.232,1856.064,0
11,0.552459,230.080,2459.328,2689.408,0
12,0.601704,297.776,1703.536,2001.312,0
13,0.651698,323.952,1697.792,2021.744,0
14,0.702997,221.824,2996.736,3218.560,0
15,0.754931,254.528,4931.088,5185.616,1
16,0.802443,201.264,2443.280,2644.544,0
17,0.852211,212.800,2211.264,2424.064,0
18,0.902190,160.176,2189.856,2350.032,0
19,0.952438,1455.184,2438.224,3893.408,0
20,1.003214,165.328,3213.952,3379.280,0
21,1.052415,179.312,2415.408,2594.720,0
22,1.102138,221.024,2137.856,2358.880,0
23,1.152192,239.600,2192.368,2431.968,0
24,1.202241,250.112,2240.960,2491.072,0
25,1.252291,219.920,2291.168,2511.088,0
26,1.301630,139.440,1629.792,1769.232,0
27,1.352306,189.520,2306.000,2495.520,0
28,1.402123,213.760,2123.200,2336.960,0
29,1.452222,266.224,2221.552,2487.776,0
30,1.502471,217.104,2471.136,2688.240,0
31,1.552264,236.288,2263.984,2500.272,0
32,1.602374,135.760,2373.504,2509.264,0
33,1.652567,182.448,2566.704,2749.152,0
34,1.702345,221.504,2345.056,2566.560,0
35,1.752387,155.712,2387.264,2542.976,0
36,1.802355,267.472,2355.280,2622.752,0
37,1.852165,284.240,2164.656,2448.896,0
38,1.901898,249.728,1897.840,2147.568,0
39,1.951412,185.600,1412.256,1597.856,0
40,2.002245,138.128,2245.280,2383.408,0
41,2.052563,1425.632,2563.200,3988.832,0
42,2.101667,281.520,1667.312,1948.832,0
43,2.152138,163.632,2138.208,2301.840,0
44,2.203372,236.960,3372.432,3609.392,0
45,2.252374,200.528,2373.520,2574.048,0
46,2.301528,232.688,1528.224,1760.912,0
47,2.351290,206.752,1289.952,1496.704,0
48,2.402090,191.312,2090.176,2281.488,0
49,2.452359,193.376,2358.912,2552.288,0
50,2.502605,197.312,2604.528,2801.840,0
51,2.552373,217.104,2372.896,2590.000,0
52,2.601397,211.248,1396.800,1608.048,0
53,2.652371,225.808,2370.912,2596.720,0
54,2.702210,209.904,2209.888,2419.792,0
55,2.752378,233.520,2377.520,2611.040,0
56,2.801516,177.008,1516.304,1693.312,0
57,2.852470,1601.632,2469.984,4071.616,0
