========================================
Signal Sender Workload (Synchronized)
========================================
Initializing shared memory...
Waiting for speedometer to register...
Found speedometer in shared memory!
Sending START command to speedometer: START: 15;5;20

Running workload signal period for 15 seconds...

Workload signal period completed.
Sending STOP command to speedometer...
Waiting for statistics from speedometer...

Stress workload terminated.
===VMSTAT_START===
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 8  0      0 133572  15536  33600    0    0    16    39  559  740 10 87  2  1  0
 9  0      0 133572  15536  33608    0    0     0     0 1225 1647  7 93  0  0  0
 8  0      0 133572  15536  33608    0    0     0     0 1218 1752  7 93  0  0  0
 8  0      0 133572  15536  33608    0    0     0     0 1213 1697  6 94  0  0  0
 9  0      0 133572  15536  33608    0    0     0     0 1207 1697  7 94  0  0  0
 8  0      0 133572  15536  33608    0    0     0     0 1217 1697  5 95  0  0  0
 6  3      0 133572  15536  33608    0    0     0     0 1222 1646  9 91  0  0  0
 8  0      0 133572  15536  33608    0    0     0     0 1227 1700  6 93  0  1  0
 9  0      0 133572  15536  33608    0    0     0     0 1241 1674  8 92  0  1  0
 9  0      0 133572  15536  33608    0    0     0     0 1232 1667  5 95  0  0  0
 9  0      0 133572  15536  33608    0    0     0     0 1229 1664  5 95  0  1  0
 8  0      0 133572  15536  33608    0    0     0     0 1221 1683  7 93  0  0  0
 8  0      0 133572  15536  33608    0    0     0     0 1231 1677  7 93  0  0  0
10  0      0 133572  15536  33608    0    0     0     0 1225 1708  8 91  0  1  0
 9  0      0 133572  15536  33608    0    0     0     0 1221 1717  6 93  0  0  0
 9  0      0 133572  15536  33608    0    0     0     0 1074 1411  7 92  0  1  0
10  0      0 133572  15536  33608    0    0     0     0  775  890  4 95  0  1  0
===VMSTAT_END===
========== SPEEDOMETER RT APPLICATION RESULTS ==========
Test Configuration:
Period: 50.000 ms
Deadline: 5.000 ms
RT Priority: 99 (SCHED_FIFO)
Execution Statistics:
Total cycles: 300
Deadline misses: 0 (0.000%)
Execution Time (μs):
Mean: 208.261
Min: 135.408
Max: 1476.736
50th percentile: 187.552
95th percentile: 296.112
99th percentile: 1294.960
99.9th percentile: 1476.736
Jitter (μs):
Mean: 2378.157
Min: 1140.032
Max: 4286.816
Response Time (μs):
Mean: 2586.418
Min: 1380.768
Max: 4484.784
50th percentile: 2550.752
95th percentile: 3668.848
99th percentile: 4201.536
99.9th percentile: 4484.784
========================================================
===VMSTAT_START===
(no vmstat data captured)
===VMSTAT_END===
===CSV_START===
cycle,timestamp_s,execution_time_us,jitter_us,response_time_us,deadline_miss
1,0.052022,213.904,2021.632,2235.536,0
2,0.101398,254.864,1397.616,1652.480,0
3,0.151250,140.384,1250.448,1390.832,0
4,0.201468,1476.736,1468.096,2944.832,0
5,0.252671,264.288,2670.768,2935.056,0
6,0.302429,140.912,2428.720,2569.632,0
7,0.352171,191.568,2171.344,2362.912,0
8,0.402408,178.096,2407.744,2585.840,0
9,0.452282,187.200,2282.304,2469.504,0
10,0.502544,174.208,2544.464,2718.672,0
11,0.552257,229.552,2257.104,2486.656,0
12,0.602339,248.816,2338.592,2587.408,0
13,0.652031,165.152,2031.136,2196.288,0
14,0.702253,136.096,2253.056,2389.152,0
15,0.752342,198.240,2342.176,2540.416,0
16,0.802716,228.848,2716.368,2945.216,0
17,0.852271,228.288,2271.360,2499.648,0
18,0.902242,183.152,2241.600,2424.752,0
19,0.952235,135.664,2234.960,2370.624,0
20,1.002429,234.576,2429.040,2663.616,0
21,1.052005,258.864,2004.640,2263.504,0
22,1.101345,194.480,1345.200,1539.680,0
23,1.152123,166.032,2123.328,2289.360,0
24,1.202539,169.696,2539.472,2709.168,0
25,1.252175,185.168,2175.424,2360.592,0
26,1.302471,199.536,2471.232,2670.768,0
27,1.351970,222.976,1969.744,2192.720,0
28,1.403709,234.592,3708.736,3943.328,0
29,1.452381,147.088,2381.120,2528.208,0
30,1.502262,235.504,2262.064,2497.568,0
31,1.552233,160.720,2233.072,2393.792,0
32,1.601292,177.152,1292.112,1469.264,0
33,1.652240,167.104,2240.288,2407.392,0
34,1.702280,142.960,2279.984,2422.944,0
35,1.751638,165.600,1637.840,1803.440,0
36,1.803215,224.656,3214.592,3439.248,0
37,1.852180,148.000,2180.336,2328.336,0
38,1.901676,1304.768,1676.064,2980.832,0
39,1.952411,376.528,2410.592,2787.120,0
40,2.002667,167.872,2667.184,2835.056,0
41,2.051949,184.976,1949.120,2134.096,0
42,2.102576,159.008,2575.744,2734.752,0
43,2.152473,203.808,2472.752,2676.560,0
44,2.202505,228.816,2504.752,2733.568,0
45,2.252229,162.624,2228.912,2391.536,0
46,2.302416,145.776,2415.808,2561.584,0
47,2.352365,238.656,2365.040,2603.696,0
48,2.403872,226.416,3872.288,4098.704,0
49,2.452246,226.560,2246.320,2472.880,0
50,2.502699,136.560,2698.864,2835.424,0
51,2.552461,210.960,2460.608,2671.568,0
52,2.602690,205.552,2689.664,2895.216,0
53,2.652390,224.144,2389.776,2613.920,0
54,2.702439,148.176,2438.640,2586.816,0
55,2.752354,172.320,2354.144,2526.464,0
56,2.803733,565.120,3732.656,4297.776,0
57,2.852422,138.912,2421.776,2560.688,0
58,2.902417,151.056,2416.848,2567.904,0
59,2.952378,195.376,2378.144,2573.520,0
60,3.002550,236.368,2550.032,2786.400,0
61,3.052256,160.048,2255.696,2415.744,0
62,3.102561,232.704,2561.296,2794.000,0
63,3.152073,145.744,2072.656,2218.400,0
64,3.202386,152.784,2386.208,2538.992,0
65,3.252438,140.304,2437.760,2578.064,0
66,3.302421,204.912,2421.424,2626.336,0
67,3.352267,282.416,2266.736,2549.152,0
68,3.402745,264.624,2744.992,3009.616,0
69,3.452549,140.784,2548.528,2689.312,0
70,3.502483,200.608,2483.088,2683.696,0
71,3.552168,136.368,2167.984,2304.352,0
72,3.602338,198.064,2337.952,2536.016,0
73,3.652438,183.088,2438.368,2621.456,0
74,3.702418,159.072,2418.176,2577.248,0
75,3.752237,200.544,2237.024,2437.568,0
76,3.802463,145.360,2462.640,2608.000,0
77,3.852364,214.592,2363.968,2578.560,0
78,3.902495,149.936,2495.440,2645.376,0
79,3.952327,217.456,2327.152,2544.608,0
80,4.003333,201.104,3333.376,3534.480,0
81,4.052246,238.464,2245.808,2484.272,0
82,4.102799,317.552,2799.488,3117.040,0
83,4.152236,155.888,2236.368,2392.256,0
84,4.202485,193.392,2484.864,2678.256,0
85,4.252074,143.264,2074.352,2217.616,0
86,4.303421,149.136,3421.232,3570.368,0
87,4.352301,198.368,2301.168,2499.536,0
88,4.402654,179.344,2654.096,2833.440,0
89,4.452118,290.240,2117.520,2407.760,0
90,4.503451,162.064,3450.784,3612.848,0
91,4.552147,169.504,2147.072,2316.576,0
92,4.601433,194.272,1432.752,1627.024,0
93,4.651140,240.736,1140.032,1380.768,0
94,4.701330,196.512,1329.824,1526.336,0
95,4.752257,194.976,2257.136,2452.112,0
96,4.802278,142.688,2277.776,2420.464,0
97,4.851869,240.672,1869.104,2109.776,0
98,4.901601,217.840,1601.456,1819.296,0
99,4.951486,179.696,1485.968,1665.664,0
100,5.002633,187.552,2633.280,2820.832,0
101,5.052414,246.112,2413.904,2660.016,0
102,5.102404,153.616,2403.552,2557.168,0
103,5.151941,140.752,1940.560,2081.312,0
104,5.202346,169.200,2345.680,2514.880,0
105,5.252295,222.176,2294.960,2517.136,0
106,5.303390,183.184,3389.648,3572.832,0
107,5.351938,241.360,1937.808,2179.168,0
108,5.401435,188.960,1435.424,1624.384,0
109,5.452147,151.152,2146.752,2297.904,0
110,5.502397,210.720,2397.296,2608.016,0
