========================================
Signal Sender Workload (Synchronized)
========================================
Initializing shared memory...
Waiting for speedometer to register...
Found speedometer in shared memory!
Sending START command to speedometer: START: 15;5;20

Running workload signal period for 15 seconds...

Workload signal period completed.
Sending STOP command to speedometer...
Waiting for statistics from speedometer...

Stress workload terminated.
===VMSTAT_START===
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 8  0      0 133048  16000  33620    0    0    14    38  561  743 10 87  2  1  0
 9  0      0 132988  16000  33624    0    0     0     0 1252 1623  8 92  0  0  0
 9  0      0 132988  16000  33624    0    0     0     0 1254 1592  7 93  0  0  0
 8  0      0 132988  16000  33624    0    0     0     0 1234 1646  5 95  0  0  0
 9  0      0 132988  16000  33624    0    0     0     0 1239 1681  7 93  0  0  0
 9  0      0 132988  16000  33624    0    0     0     0 1243 1642  7 93  0  0  0
 9  0      0 132988  16000  33624    0    0     0     0 1241 1656  6 94  0  1  0
 9  0      0 132988  16000  33624    0    0     0     0 1253 1642  7 93  0  0  0
 8  0      0 132988  16000  33624    0    0     0     0 1254 1635  6 94  0  1  0
 9  0      0 132988  16000  33624    0    0     0     0 1269 1646  6 94  0  0  0
 9  0      0 132988  16000  33624    0    0     0     0 1262 1630  8 92  0  0  0
 9  0      0 132988  16000  33624    0    0     0     0 1264 1609  9 91  0  0  0
 8  0      0 132988  16000  33624    0    0     0     0 1258 1585 10 90  0  0  0
 9  0      0 132988  16000  33624    0    0     0     0 1245 1636  6 94  0  1  0
 9  0      0 132988  16000  33624    0    0     0     0 1269 1620  9 91  0  1  0
 8  3      0 132988  16000  33624    0    0     0     0 1065 1320  7 90  0  3  0
 3  8      0 132988  16000  33624    0    0     0     0  593  522  4 83  0 13  0
===VMSTAT_END===
========== SPEEDOMETER RT APPLICATION RESULTS ==========
Test Configuration:
Period: 50.000 ms
Deadline: 5.000 ms
RT Priority: 99 (SCHED_FIFO)
Execution Statistics:
Total cycles: 300
Deadline misses: 1 (0.333%)
Execution Time (μs):
Mean: 203.268
Min: 134.464
Max: 1434.704
50th percentile: 191.120
95th percentile: 302.896
99th percentile: 400.704
99.9th percentile: 1434.704
Jitter (μs):
Mean: 2495.359
Min: 1234.416
Max: 5187.664
Response Time (μs):
Mean: 2698.627
Min: 1416.576
Max: 5441.936
50th percentile: 2819.584
95th percentile: 3868.448
99th percentile: 4714.896
99.9th percentile: 5441.936
========================================================
===VMSTAT_START===
(no vmstat data captured)
===VMSTAT_END===
===CSV_START===
cycle,timestamp_s,execution_time_us,jitter_us,response_time_us,deadline_miss
1,0.052953,215.712,2953.120,3168.832,0
2,0.101617,198.752,1617.264,1816.016,0
3,0.152684,340.416,2683.968,3024.384,0
4,0.201473,145.856,1473.248,1619.104,0
5,0.252756,161.312,2755.520,2916.832,0
6,0.302555,190.256,2555.296,2745.552,0
7,0.353157,305.952,3156.704,3462.656,0
8,0.402887,185.696,2886.896,3072.592,0
9,0.452720,198.176,2719.872,2918.048,0
10,0.502670,225.712,2669.808,2895.520,0
11,0.552947,151.760,2946.720,3098.480,0
12,0.601454,175.904,1454.208,1630.112,0
13,0.653777,170.048,3777.120,3947.168,0
14,0.702644,183.488,2644.496,2827.984,0
15,0.752789,223.088,2788.816,3011.904,0
16,0.802692,195.392,2692.352,2887.744,0
17,0.854225,140.608,4225.424,4366.032,0
18,0.901604,198.960,1604.144,1803.104,0
19,0.952743,206.736,2742.592,2949.328,0
20,1.002491,136.032,2490.992,2627.024,0
21,1.052767,206.512,2767.408,2973.920,0
22,1.102262,147.200,2262.384,2409.584,0
23,1.151560,206.976,1559.632,1766.608,0
24,1.202497,136.064,2497.376,2633.440,0
25,1.253046,222.192,3045.600,3267.792,0
26,1.302720,156.368,2720.112,2876.480,0
27,1.353757,208.064,3757.376,3965.440,0
28,1.402470,155.264,2470.352,2625.616,0
29,1.452823,269.200,2823.296,3092.496,0
30,1.502704,216.464,2703.552,2920.016,0
31,1.554396,153.376,4396.048,4549.424,0
32,1.602558,209.040,2557.936,2766.976,0
33,1.652788,158.800,2787.952,2946.752,0
34,1.702554,274.368,2554.048,2828.416,0
35,1.752763,136.272,2762.592,2898.864,0
36,1.802489,148.384,2488.704,2637.088,0
37,1.852834,227.776,2833.712,3061.488,0
38,1.901528,137.104,1527.664,1664.768,0
39,1.952680,192.576,2680.304,2872.880,0
40,2.002671,204.544,2671.312,2875.856,0
41,2.052968,191.120,2968.112,3159.232,0
42,2.101303,136.288,1303.232,1439.520,0
43,2.151766,167.312,1765.872,1933.184,0
44,2.202484,285.840,2483.824,2769.664,0
45,2.252774,206.688,2773.520,2980.208,0
46,2.302489,169.328,2489.472,2658.800,0
47,2.352768,138.736,2768.112,2906.848,0
48,2.402853,152.592,2852.656,3005.248,0
49,2.451691,212.384,1690.592,1902.976,0
50,2.501617,211.040,1617.456,1828.496,0
51,2.552682,219.632,2682.224,2901.856,0
52,2.601468,159.744,1468.448,1628.192,0
53,2.652961,137.616,2961.056,3098.672,0
54,2.702608,211.152,2608.496,2819.648,0
55,2.752880,141.088,2879.728,3020.816,0
56,2.803008,302.896,3007.680,3310.576,0
57,2.852764,153.072,2764.320,2917.392,0
58,2.902472,205.040,2472.128,2677.168,0
59,2.952630,383.168,2629.744,3012.912,0
60,3.002637,316.656,2637.488,2954.144,0
61,3.052836,156.288,2835.520,2991.808,0
62,3.102631,219.856,2630.896,2850.752,0
63,3.152684,324.416,2683.648,3008.064,0
64,3.201234,182.160,1234.416,1416.576,0
65,3.253080,147.184,3080.112,3227.296,0
66,3.301563,222.128,1563.248,1785.376,0
67,3.352966,134.624,2966.496,3101.120,0
68,3.401709,177.168,1709.216,1886.384,0
69,3.452814,161.072,2814.368,2975.440,0
70,3.502677,147.200,2676.688,2823.888,0
71,3.552961,212.144,2961.392,3173.536,0
72,3.601778,174.080,1777.536,1951.616,0
73,3.652669,241.008,2669.424,2910.432,0
74,3.702432,234.640,2432.064,2666.704,0
75,3.753999,144.288,3999.088,4143.376,0
76,3.802615,215.984,2615.072,2831.056,0
77,3.852680,170.336,2679.744,2850.080,0
78,3.902627,464.064,2626.784,3090.848,0
79,3.951781,1434.704,1781.296,3216.000,0
80,4.001688,219.568,1687.936,1907.504,0
81,4.052737,206.688,2736.832,2943.520,0
82,4.102460,271.552,2459.856,2731.408,0
83,4.152841,183.376,2841.264,3024.640,0
84,4.202851,155.056,2851.040,3006.096,0
85,4.252704,249.216,2704.352,2953.568,0
86,4.302651,190.272,2651.184,2841.456,0
87,4.352684,204.032,2684.496,2888.528,0
88,4.402672,196.960,2672.288,2869.248,0
89,4.452993,257.664,2993.056,3250.720,0
90,4.501628,166.720,1628.064,1794.784,0
91,4.551738,217.456,1738.144,1955.600,0
92,4.602338,234.384,2337.600,2571.984,0
93,4.651514,137.904,1514.256,1652.160,0
94,4.703511,210.288,3510.560,3720.848,0
95,4.753644,203.168,3644.400,3847.568,0
96,4.802460,168.304,2459.552,2627.856,0
97,4.852703,333.680,2702.656,3036.336,0
98,4.902266,190.768,2265.920,2456.688,0
99,4.951614,216.304,1613.872,1830.176,0
100,5.001733,187.824,1733.424,1921.248,0
101,5.052632,192.416,2632.336,2824.752,0
102,5.102295,224.720,2294.736,2519.456,0
103,5.151631,227.536,1630.816,1858.352,0
104,5.201492,145.920,1491.552,1637.472,0
105,5.252785,208.928,2784.512,2993.440,0
106,5.302272,162.048,2272.016,2434.064,0
107,5.353066,279.504,3065.984,3345.488,0
108,5.401613,245.216,1613.264,1858.480,0
109,5.453309,189.408,3309.488,3498.896,0
110,5.501437,255.360,1436.560,1691.920,0
111,5.553555,163.440,3554.640,3718.080,0
112,5.602306,216.720,2306.352,2523.072,0
113,5.652789,152.320,2789.408,2941.728,0
114,5.702483,135.808,2483.120,2618.928,0
115,5.753426,165.616,3426.016,3591.632,0
116,5.801327,135.488,1326.960,1462.448,0
117,5.851661,306.128,1661.088,1967.216,0
118,5.901555,272.752,1554.864,1827.616,0
119,5.952710,169.424,2710.176,2879.600,0
120,6.002700,154.784,2700.352,2855.136,0
121,6.052715,181.328,2715.216,2896.544,0
122,6.102536,135.904,2535.968,2671.872,0
123,6.151428,174.720,1428.368,1603.088,0
124,6.203455,231.072,3455.264,3686.336,0
125,6.252835,178.480,2834.640,3013.120,0
126,6.302492,227.504,2491.600,2719.104,0
127,6.353036,375.376,3036.400,3411.776,0
128,6.402569,143.072,2568.944,2712.016,0
129,6.452732,170.064,2731.920,2901.984,0
130,6.502735,191.152,2734.928,2926.080,0
131,6.551479,156.080,1479.472,1635.552,0
132,6.601277,228.720,1277.344,1506.064,0
133,6.651574,229.456,1574.128,1803.584,0
134,6.702607,263.008,2606.928,2869.936,0
135,6.752718,205.808,2718.080,2923.888,0
136,6.802514,154.336,2514.144,2668.480,0
137,6.852692,216.816,2692.112,2908.928,0
138,6.901752,231.056,1751.632,1982.688,0
139,6.953963,142.800,3963.424,4106.224,0
140,7.001286,194.864,1285.536,1480.400,0
141,7.052697,203.728,2697.440,2901.168,0
142,7.102556,310.704,2555.952,2866.656,0
143,7.152678,199.776,2677.760,2877.536,0
144,7.202473,182.672,2472.640,2655.312,0
145,7.253207,182.800,3206.688,3389.488,0
146,7.301495,152.896,1495.456,1648.352,0
147,7.351519,292.704,1518.816,1811.520,0
148,7.402460,145.440,2459.792,2605.232,0
149,7.451567,176.640,1567.472,1744.112,0
150,7.501370,159.392,1369.632,1529.024,0
151,7.552769,137.616,2768.928,2906.544,0
152,7.602524,218.064,2523.648,2741.712,0
153,7.652699,146.304,2698.576,2844.880,0
154,7.702429,138.464,2429.472,2567.936,0
155,7.752637,158.816,2637.232,2796.048,0
156,7.802470,246.416,2469.728,2716.144,0
157,7.852754,218.176,2754.240,2972.416,0
158,7.902363,158.000,2363.312,2521.312,0
159,7.951698,273.840,1697.520,1971.360,0
160,8.001438,144.640,1437.680,1582.320,0
161,8.052666,157.952,2665.984,2823.936,0
162,8.102479,136.720,2479.280,2616.000,0
163,8.152619,289.680,2618.768,2908.448,0
164,8.202492,149.312,2491.552,2640.864,0
165,8.251574,289.856,1573.984,1863.840,0
166,8.302525,254.208,2524.848,2779.056,0
167,8.353728,146.800,3728.096,3874.896,0
168,8.402307,163.744,2307.072,2470.816,0
169,8.451613,180.928,1612.976,1793.904,0
170,8.501629,204.112,1629.152,1833.264,0
171,8.552956,264.944,2956.432,3221.376,0
172,8.601813,225.440,1813.312,2038.752,0
173,8.653729,139.552,3728.896,3868.448,0
174,8.702514,148.928,2513.984,2662.912,0
175,8.753495,203.536,3494.784,3698.320,0
176,8.802836,134.464,2836.480,2970.944,0
177,8.853653,147.248,3653.408,3800.656,0
178,8.902659,156.976,2659.072,2816.048,0
179,8.952668,252.672,2667.664,2920.336,0
180,9.002454,167.008,2453.664,2620.672,0
181,9.052843,208.496,2842.752,3051.248,0
182,9.101529,238.800,1528.544,1767.344,0
183,9.153529,208.000,3528.928,3736.928,0
184,9.202685,139.904,2684.592,2824.496,0
185,9.253121,227.504,3121.488,3348.992,0
186,9.302388,176.512,2388.192,2564.704,0
187,9.352558,172.016,2557.664,2729.680,0
188,9.402527,139.904,2526.672,2666.576,0
189,9.452760,176.912,2760.016,2936.928,0
190,9.502492,146.000,2492.464,2638.464,0
191,9.551315,141.072,1314.784,1455.856,0
192,9.603482,187.968,3481.904,3669.872,0
193,9.653793,195.440,3793.456,3988.896,0
194,9.702623,236.560,2623.280,2859.840,0
195,9.752386,266.944,2386.384,2653.328,0
196,9.801548,311.056,1547.712,1858.768,0
197,9.852678,195.120,2678.080,2873.200,0
198,9.902521,136.768,2520.768,2657.536,0
199,9.952614,170.256,2613.888,2784.144,0
200,10.002536,185.040,2536.144,2721.184,0
201,10.052599,289.904,2598.912,2888.816,0
202,10.102374,192.016,2374.352,2566.368,0
203,10.152771,165.392,2770.592,2935.984,0
204,10.202475,159.808,2474.848,2634.656,0
205,10.252652,175.760,2652.400,2828.160,0
206,10.302306,293.488,2305.952,2599.440,0
207,10.353616,400.704,3616.288,4016.992,0
208,10.402483,189.040,2482.624,2671.664,0
209,10.452775,180.272,2775.008,2955.280,0
210,10.501281,239.552,1280.688,1520.240,0
211,10.551551,252.720,1550.608,1803.328,0
212,10.602725,213.728,2724.608,2938.336,0
213,10.651539,228.816,1539.104,1767.920,0
214,10.702497,138.624,2497.072,2635.696,0
215,10.752606,238.864,2606.400,2845.264,0
216,10.802769,180.224,2769.360,2949.584,0
217,10.852792,174.352,2791.616,2965.968,0
218,10.902446,138.064,2446.048,2584.112,0
219,10.952621,184.192,2621.296,2805.488,0
220,11.001361,197.344,1361.232,1558.576,0
221,11.052767,222.352,2766.896,2989.248,0
222,11.102536,141.280,2536.096,2677.376,0
223,11.152655,234.576,2655.408,2889.984,0
