========================================
Signal Sender Workload (Synchronized)
========================================
Initializing shared memory...
Waiting for speedometer to register...
Found speedometer in shared memory!
Sending START command to speedometer: START: 15;5;20

Running workload signal period for 15 seconds...

Workload signal period completed.
Sending STOP command to speedometer...
Waiting for statistics from speedometer...

Stress workload terminated.
===VMSTAT_START===
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 9  0      0 132656  16508  33632    0    0    12    38  562  746 10 87  1  1  0
 7  0      0 132656  16508  33636    0    0     0     0 1266 1611  8 92  0  0  0
 8  0      0 132656  16508  33636    0    0     0     0 1238 1604  8 92  0  0  0
 9  0      0 132656  16508  33636    0    0     0     0 1233 1611  5 95  0  0  0
 9  0      0 132656  16508  33636    0    0     0     0 1237 1601  8 93  0  0  0
10  0      0 132656  16508  33636    0    0     0     0 1244 1570  7 93  0  1  0
 8  0      0 132656  16508  33636    0    0     0     0 1248 1611  6 94  0  0  0
 3  6      0 132656  16508  33636    0    0     0     0 1246 1646  6 95  0  0  0
 9  0      0 132656  16508  33636    0    0     0     0 1268 1645  7 93  0  1  0
 8  0      0 132656  16508  33636    0    0     0     0 1251 1643  7 93  0  1  0
10  0      0 132656  16508  33636    0    0     0     0 1248 1549  8 91  0  1  0
 9  0      0 132656  16508  33636    0    0     0     0 1254 1597  6 94  0  0  0
 9  0      0 132656  16508  33636    0    0     0     0 1265 1647  8 92  0  1  0
 9  0      0 132656  16508  33636    0    0     0     0 1263 1629  9 91  0  0  0
 8  0      0 132656  16508  33636    0    0     0     0 1257 1656  8 92  0  0  0
 2  8      0 132656  16508  33636    0    0     0     0  989 1183  7 89  0  4  0
 9  0      0 132656  16508  33636    0    0     0     0  652  646  5 85  0 10  0
===VMSTAT_END===
========== SPEEDOMETER RT APPLICATION RESULTS ==========
Test Configuration:
Period: 50.000 ms
Deadline: 5.000 ms
RT Priority: 99 (SCHED_FIFO)
Execution Statistics:
Total cycles: 300
Deadline misses: 0 (0.000%)
Execution Time (μs):
Mean: 198.271
Min: 129.376
Max: 1657.824
50th percentile: 185.216
95th percentile: 284.624
99th percentile: 404.016
99.9th percentile: 1657.824
Jitter (μs):
Mean: 2388.313
Min: 1200.688
Max: 4522.608
Response Time (μs):
Mean: 2586.584
Min: 1404.320
Max: 4706.992
50th percentile: 2571.536
95th percentile: 3732.928
99th percentile: 4612.960
99.9th percentile: 4706.992
========================================================
===VMSTAT_START===
(no vmstat data captured)
===VMSTAT_END===
===CSV_START===
cycle,timestamp_s,execution_time_us,jitter_us,response_time_us,deadline_miss
1,0.052509,218.192,2509.264,2727.456,0
2,0.102674,145.440,2674.080,2819.520,0
3,0.152286,134.224,2286.144,2420.368,0
4,0.202572,353.952,2571.552,2925.504,0
5,0.252353,190.624,2353.312,2543.936,0
6,0.302435,177.696,2434.944,2612.640,0
7,0.352070,282.080,2070.416,2352.496,0
8,0.402774,187.840,2774.256,2962.096,0
9,0.452428,167.744,2427.856,2595.600,0
10,0.502422,180.384,2421.568,2601.952,0
11,0.551943,289.568,1943.152,2232.720,0
12,0.601500,243.120,1499.920,1743.040,0
13,0.652284,158.496,2284.368,2442.864,0
14,0.702354,194.256,2353.600,2547.856,0
15,0.752203,143.520,2202.944,2346.464,0
16,0.803802,259.008,3802.464,4061.472,0
17,0.851719,187.136,1718.880,1906.016,0
18,0.902454,183.056,2454.032,2637.088,0
19,0.952131,183.040,2131.104,2314.144,0
20,1.003681,250.912,3681.104,3932.016,0
21,1.052245,159.216,2244.944,2404.160,0
22,1.103507,191.792,3507.280,3699.072,0
23,1.152248,284.624,2247.872,2532.496,0
24,1.202435,133.216,2434.784,2568.000,0
25,1.252063,172.512,2063.040,2235.552,0
26,1.302350,150.320,2350.000,2500.320,0
27,1.352166,140.816,2166.336,2307.152,0
28,1.401355,183.536,1355.408,1538.944,0
29,1.451589,179.040,1589.072,1768.112,0
30,1.502348,160.384,2348.192,2508.576,0
31,1.552571,147.008,2570.736,2717.744,0
32,1.602599,149.888,2599.200,2749.088,0
33,1.652401,217.808,2400.944,2618.752,0
34,1.702508,130.624,2507.712,2638.336,0
35,1.752361,170.320,2361.072,2531.392,0
36,1.802478,129.504,2477.936,2607.440,0
37,1.852261,136.000,2260.768,2396.768,0
38,1.902410,178.688,2409.760,2588.448,0
39,1.952575,230.128,2574.560,2804.688,0
40,2.002745,181.216,2744.896,2926.112,0
41,2.052217,176.784,2216.832,2393.616,0
42,2.102875,233.312,2875.312,3108.624,0
43,2.151555,175.456,1555.072,1730.528,0
44,2.203486,253.856,3486.240,3740.096,0
45,2.252317,131.008,2317.296,2448.304,0
46,2.302720,199.456,2719.776,2919.232,0
47,2.352234,170.480,2233.968,2404.448,0
48,2.401487,241.072,1486.592,1727.664,0
49,2.452347,196.672,2347.088,2543.760,0
50,2.503504,229.168,3503.760,3732.928,0
51,2.552241,146.480,2241.424,2387.904,0
52,2.602425,204.896,2425.440,2630.336,0
53,2.652189,205.008,2188.864,2393.872,0
54,2.701470,256.000,1470.080,1726.080,0
55,2.751445,181.216,1445.168,1626.384,0
56,2.802404,196.944,2403.648,2600.592,0
57,2.851446,238.576,1445.936,1684.512,0
58,2.901551,206.720,1550.960,1757.680,0
59,2.952388,196.352,2388.128,2584.480,0
60,3.003397,335.152,3396.928,3732.080,0
61,3.052226,133.600,2226.400,2360.000,0
62,3.103064,141.968,3064.480,3206.448,0
63,3.152297,130.048,2297.312,2427.360,0
64,3.202345,181.408,2344.640,2526.048,0
65,3.252521,203.552,2520.704,2724.256,0
66,3.302385,188.512,2384.672,2573.184,0
67,3.352194,173.472,2193.968,2367.440,0
68,3.402580,282.240,2580.320,2862.560,0
69,3.451496,132.928,1496.400,1629.328,0
70,3.502360,339.312,2359.552,2698.864,0
71,3.552232,130.688,2231.904,2362.592,0
72,3.602489,171.488,2489.392,2660.880,0
73,3.652116,174.320,2116.208,2290.528,0
74,3.701419,187.744,1418.896,1606.640,0
75,3.752136,130.208,2136.272,2266.480,0
76,3.801462,174.208,1461.872,1636.080,0
77,3.852439,175.328,2439.328,2614.656,0
78,3.902539,152.176,2538.704,2690.880,0
79,3.952301,153.792,2301.056,2454.848,0
80,4.003927,310.400,3926.896,4237.296,0
81,4.054438,175.056,4437.904,4612.960,0
82,4.102480,168.976,2480.160,2649.136,0
83,4.152044,170.736,2044.464,2215.200,0
84,4.201425,167.264,1424.576,1591.840,0
85,4.253270,200.448,3270.064,3470.512,0
86,4.303419,202.208,3418.688,3620.896,0
87,4.352281,179.296,2281.424,2460.720,0
88,4.401537,242.176,1537.248,1779.424,0
89,4.451634,197.808,1634.160,1831.968,0
90,4.503763,204.368,3763.200,3967.568,0
91,4.552467,218.416,2466.928,2685.344,0
92,4.602575,221.856,2574.848,2796.704,0
93,4.652272,165.376,2272.048,2437.424,0
94,4.702486,166.208,2486.112,2652.320,0
95,4.752071,149.696,2070.656,2220.352,0
96,4.801201,203.632,1200.688,1404.320,0
97,4.852053,174.144,2053.344,2227.488,0
98,4.902571,193.392,2570.928,2764.320,0
99,4.952114,149.104,2114.224,2263.328,0
100,5.001731,1657.824,1730.944,3388.768,0
101,5.052497,189.776,2496.528,2686.304,0
102,5.103520,194.080,3520.192,3714.272,0
103,5.152267,147.200,2266.624,2413.824,0
104,5.202411,239.840,2410.912,2650.752,0
105,5.252188,178.688,2188.480,2367.168,0
106,5.303786,404.016,3786.400,4190.416,0
107,5.351636,134.944,1635.936,1770.880,0
108,5.402377,220.736,2376.592,2597.328,0
109,5.451504,131.856,1504.384,1636.240,0
110,5.501355,238.720,1355.280,1594.000,0
111,5.552207,209.072,2206.656,2415.728,0
112,5.602357,205.664,2356.544,2562.208,0
113,5.652260,142.400,2259.872,2402.272,0
114,5.703715,130.736,3715.104,3845.840,0
115,5.752158,160.352,2157.760,2318.112,0
116,5.802490,176.240,2490.352,2666.592,0
117,5.851967,158.656,1966.976,2125.632,0
118,5.901487,221.632,1487.232,1708.864,0
119,5.952236,204.480,2235.568,2440.048,0
120,6.002515,193.008,2514.864,2707.872,0
121,6.052869,370.240,2868.704,3238.944,0
122,6.104394,186.336,4394.032,4580.368,0
123,6.152097,129.920,2096.656,2226.576,0
124,6.202435,183.488,2435.008,2618.496,0
125,6.252257,141.424,2257.040,2398.464,0
126,6.302297,152.112,2296.784,2448.896,0
127,6.352271,179.232,2270.768,2450.000,0
128,6.404523,132.752,4522.608,4655.360,0
129,6.452239,174.592,2239.440,2414.032,0
130,6.502475,172.336,2474.928,2647.264,0
131,6.552539,192.688,2538.768,2731.456,0
132,6.602509,130.288,2509.200,2639.488,0
133,6.652251,138.000,2251.168,2389.168,0
134,6.702420,185.216,2419.552,2604.768,0
135,6.752254,230.880,2254.208,2485.088,0
136,6.802372,205.200,2372.288,2577.488,0
137,6.852045,203.840,2045.152,2248.992,0
138,6.902309,197.792,2309.104,2506.896,0
139,6.952228,214.080,2228.240,2442.320,0
140,7.002427,183.984,2426.672,2610.656,0
141,7.052237,169.424,2237.488,2406.912,0
142,7.102570,209.840,2569.536,2779.376,0
143,7.152382,212.720,2382.112,2594.832,0
144,7.202438,205.664,2437.504,2643.168,0
145,7.252307,199.136,2306.608,2505.744,0
146,7.302548,161.504,2547.776,2709.280,0
147,7.352373,224.336,2373.168,2597.504,0
148,7.404505,202.016,4504.976,4706.992,0
149,7.452281,129.376,2280.720,2410.096,0
150,7.502524,194.848,2524.080,2718.928,0
151,7.551382,209.920,1381.840,1591.760,0
152,7.602531,131.632,2531.472,2663.104,0
153,7.652184,144.896,2184.448,2329.344,0
154,7.702506,167.088,2505.632,2672.720,0
155,7.752457,176.384,2456.944,2633.328,0
156,7.802425,273.760,2424.832,2698.592,0
157,7.852221,149.456,2221.168,2370.624,0
158,7.901531,174.864,1530.848,1705.712,0
159,7.951380,189.376,1379.568,1568.944,0
160,8.002578,229.552,2577.936,2807.488,0
161,8.051431,218.896,1431.232,1650.128,0
162,8.103154,181.040,3154.080,3335.120,0
163,8.152356,136.080,2355.664,2491.744,0
164,8.203452,136.880,3451.616,3588.496,0
165,8.252308,211.344,2308.096,2519.440,0
166,8.302505,202.528,2505.008,2707.536,0
167,8.352239,208.144,2238.816,2446.960,0
168,8.402399,185.808,2398.880,2584.688,0
169,8.452259,360.256,2259.488,2619.744,0
170,8.502514,233.456,2514.192,2747.648,0
171,8.552185,168.320,2185.392,2353.712,0
172,8.602762,244.352,2762.160,3006.512,0
173,8.652173,132.512,2173.424,2305.936,0
174,8.702357,192.672,2356.624,2549.296,0
175,8.752108,149.264,2108.224,2257.488,0
176,8.801531,198.992,1530.528,1729.520,0
177,8.851373,266.048,1372.752,1638.800,0
178,8.902530,178.576,2530.032,2708.608,0
179,8.952073,156.832,2073.472,2230.304,0
180,9.001321,208.880,1320.656,1529.536,0
181,9.052132,212.736,2131.872,2344.608,0
182,9.101312,195.888,1312.048,1507.936,0
183,9.152224,154.448,2223.776,2378.224,0
184,9.203295,132.352,3295.488,3427.840,0
185,9.252022,228.256,2021.728,2249.984,0
186,9.301412,199.312,1412.000,1611.312,0
187,9.352188,131.440,2187.840,2319.280,0
188,9.402381,211.408,2381.424,2592.832,0
189,9.452258,155.232,2257.936,2413.168,0
190,9.503387,167.808,3386.800,3554.608,0
191,9.552200,152.832,2200.160,2352.992,0
192,9.601575,156.896,1575.280,1732.176,0
193,9.652150,229.712,2149.728,2379.440,0
194,9.702394,185.488,2394.368,2579.856,0
195,9.752222,180.464,2222.432,2402.896,0
196,9.803394,281.616,3394.224,3675.840,0
197,9.852235,200.064,2234.608,2434.672,0
198,9.903378,197.680,3378.352,3576.032,0
199,9.951967,141.152,1967.312,2108.464,0
200,10.001387,260.064,1386.592,1646.656,0
201,10.052009,254.144,2008.704,2262.848,0
202,10.101518,185.856,1517.504,1703.360,0
203,10.152594,232.288,2593.888,2826.176,0
204,10.203547,152.608,3546.816,3699.424,0
205,10.252360,234.784,2359.888,2594.672,0
206,10.302485,267.728,2484.832,2752.560,0
207,10.352229,208.928,2228.768,2437.696,0
208,10.403554,141.680,3553.680,3695.360,0
209,10.452319,231.472,2319.392,2550.864,0
210,10.502430,185.808,2430.112,2615.920,0
211,10.552067,198.896,2066.576,2265.472,0
212,10.602508,205.104,2507.952,2713.056,0
213,10.652177,212.784,2176.832,2389.616,0
214,10.703583,143.024,3582.688,3725.712,0
215,10.752438,170.256,2438.144,2608.400,0
216,10.802384,220.752,2384.128,2604.880,0
217,10.852195,171.504,2194.576,2366.080,0
218,10.903122,137.744,3121.536,3259.280,0
219,10.952287,163.328,2287.472,2450.800,0
220,11.002475,225.872,2475.312,2701.184,0
221,11.052191,165.392,2191.472,2356.864,0
222,11.102280,190.720,2279.920,2470.640,0
223,11.151436,214.288,1435.872,1650.160,0
224,11.202684,142.208,2683.616,2825.824,0
225,11.252437,223.520,2436.960,2660.480,0
226,11.303124,177.680,3123.808,3301.488,0
227,11.351463,194.320,1462.880,1657.200,0
228,11.402430,177.376,2430.368,2607.744,0
229,11.452362,209.440,2362.096,2571.536,0
230,11.502411,240.752,2411.360,2652.112,0
231,11.552274,148.816,2273.616,2422.432,0
232,11.604024,162.848,4024.208,4187.056,0
233,11.651362,260.096,1361.664,1621.760,0
234,11.702705,212.624,2705.088,2917.712,0
235,11.752295,151.424,2295.024,2446.448,0
236,11.803924,326.400,3923.936,4250.336,0
237,11.851432,191.824,1432.064,1623.888,0
238,11.902345,264.992,2345.344,2610.336,0
239,11.952282,137.760,2282.112,2419.872,0
240,12.002553,168.992,2552.944,2721.936,0
241,12.052394,173.056,2393.680,2566.736,0
242,12.102490,175.200,2489.856,2665.056,0
243,12.152386,208.032,2385.872,2593.904,0
244,12.202632,163.296,2631.536,2794.832,0
245,12.252294,223.936,2293.936,2517.872,0
246,12.303524,177.056,3523.808,3700.864,0
247,12.352397,202.368,2396.848,2599.216,0
248,12.402691,129.440,2691.232,2820.672,0
249,12.452194,141.792,2193.504,2335.296,0
250,12.502785,332.304,2784.688,3116.992,0
251,12.552417,213.968,2416.528,2630.496,0
252,12.602361,280.256,2360.800,2641.056,0
253,12.652279,132.080,2279.328,2411.408,0
254,12.701293,234.784,1292.960,1527.744,0
255,12.752277,160.704,2277.328,2438.032,0
256,12.802418,184.352,2418.352,2602.704,0
257,12.852682,240.336,2682.368,2922.704,0
258,12.902305,238.240,2304.656,2542.896,0
259,12.952419,159.600,2419.120,2578.720,0
260,13.002348,217.920,2347.632,2565.552,0
261,13.052273,148.608,2272.944,2421.552,0
262,13.101497,191.744,1496.752,1688.496,0
263,13.152356,178.848,2356.288,2535.136,0
264,13.202562,203.440,2561.888,2765.328,0
265,13.252320,274.544,2319.920,2594.464,0
266,13.303411,181.088,3410.704,3591.792,0
267,13.352352,195.152,2351.696,2546.848,0
268,13.402432,253.264,2432.352,2685.616,0
269,13.452310,304.576,2309.712,2614.288,0
270,13.502364,239.456,2363.504,2602.960,0
271,13.552443,189.856,2442.608,2632.464,0
272,13.602447,135.664,2447.328,2582.992,0
273,13.652620,163.600,2619.568,2783.168,0
274,13.702449,283.152,2449.456,2732.608,0
275,13.752484,133.168,2484.208,2617.376,0
276,13.802687,153.152,2687.472,2840.624,0
277,13.852319,225.584,2318.576,2544.160,0
278,13.902403,181.280,2402.768,2584.048,0
279,13.952178,131.520,2177.952,2309.472,0
280,14.002476,184.720,2475.936,2660.656,0
281,14.052231,186.320,2231.136,2417.456,0
282,14.102429,183.440,2428.976,2612.416,0
283,14.152213,130.000,2213.200,2343.200,0
284,14.202659,161.568,2658.624,2820.192,0
285,14.252607,411.376,2607.408,3018.784,0
286,14.301516,166.624,1516.000,1682.624,0
287,14.352178,244.608,2177.648,2422.256,0
288,14.402419,180.496,2419.168,2599.664,0
289,14.452232,171.136,2232.144,2403.280,0
290,14.503513,153.232,3513.360,3666.592,0
291,14.552205,182.160,2205.424,2387.584,0
292,14.602537,196.896,2537.472,2734.368,0
