========================================
Signal Sender Workload (Synchronized)
========================================
Initializing shared memory...
Waiting for speedometer to register...
Found speedometer in shared memory!
Sending START command to speedometer: START: 15;5;20

Running workload signal period for 15 seconds...

Workload signal period completed.
Sending STOP command to speedometer...
Waiting for statistics from speedometer...

Stress workload terminated.
===VMSTAT_START===
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 122228   3640  33080    0    0   245    15  229  123 38 33 29  0  0
 2  0      0 122252   3640  33100    0    0     0     0  508   26 100  0  0  0  0
 2  0      0 122252   3640  33100    0    0     0     0  507   18 100  0  0  0  0
 2  0      0 122252   3640  33100    0    0     0     0  506   16 100  0  0  0  0
 2  0      0 122252   3648  33092    0    0     0   124  512   28 100  0  0  0  0
 2  0      0 122252   3648  33100    0    0     0     0  507   20 100  0  0  0  0
 2  0      0 122252   3648  33100    0    0     0     0  508   20 100  0  0  0  0
 3  0      0 122252   3648  33100    0    0     0     0  506   17 100  0  0  0  0
 3  0      0 122252   3648  33100    0    0     0     0  505   15 100  0  0  0  0
 2  0      0 122252   3648  33100    0    0     0     0  507   20 100  0  0  0  0
 2  0      0 122252   3648  33100    0    0     0     0  507   16 100  0  0  0  0
 2  0      0 122192   3648  33100    0    0     0   116  509   18 100  0  0  0  0
 2  0      0 122192   3648  33100    0    0     0     0  509   18 100  0  0  0  0
 2  0      0 122192   3648  33100    0    0     0     0  506   20 100  0  0  0  0
 2  0      0 122192   3648  33100    0    0     0     0  508   16 100  0  0  0  0
 2  0      0 122192   3648  33100    0    0     0     0  574   54 94  6  0  0  0
 2  0      0 122192   3648  33100    0    0     0     0  527   45 92  8  0  0  0
===VMSTAT_END===
========== SPEEDOMETER RT APPLICATION RESULTS ==========
Test Configuration:
Period: 50.000 ms
Deadline: 5.000 ms
RT Priority: 99 (SCHED_FIFO)
Execution Statistics:
Total cycles: 300
Deadline misses: 2 (0.667%)
Execution Time (μs):
Mean: 255.354
Min: 153.616
Max: 1758.992
50th percentile: 176.848
95th percentile: 1091.856
99th percentile: 1506.704
99.9th percentile: 1758.992
Jitter (μs):
Mean: 2338.008
Min: 1339.024
Max: 3793.840
Response Time (μs):
Mean: 2593.362
Min: 1515.520
Max: 5306.896
50th percentile: 2774.336
95th percentile: 3055.392
99th percentile: 4367.216
99.9th percentile: 5306.896
========================================================
===VMSTAT_START===
(no vmstat data captured)
===VMSTAT_END===
===CSV_START===
cycle,timestamp_s,execution_time_us,jitter_us,response_time_us,deadline_miss
1,0.051804,488.464,1803.968,2292.432,0
2,0.102856,157.968,2856.352,3014.320,0
3,0.152055,305.600,2054.512,2360.112,0
4,0.202380,190.208,2380.016,2570.224,0
5,0.252650,154.048,2649.664,2803.712,0
6,0.302655,193.616,2655.104,2848.720,0
7,0.351698,240.592,1697.600,1938.192,0
8,0.402609,153.616,2608.832,2762.448,0
9,0.451535,172.560,1534.688,1707.248,0
10,0.502684,155.440,2684.464,2839.904,0
11,0.551553,175.776,1553.008,1728.784,0
12,0.602620,156.512,2619.888,2776.400,0
13,0.651714,277.424,1714.272,1991.696,0
14,0.702628,189.312,2628.016,2817.328,0
15,0.751526,155.968,1526.064,1682.032,0
16,0.801653,216.832,1652.720,1869.552,0
17,0.851438,159.056,1438.032,1597.088,0
18,0.902843,197.696,2843.008,3040.704,0
19,0.951649,207.504,1648.880,1856.384,0
20,1.002743,185.536,2742.912,2928.448,0
21,1.051523,156.800,1522.960,1679.760,0
22,1.102677,237.136,2677.440,2914.576,0
23,1.151378,197.264,1378.464,1575.728,0
24,1.202750,155.136,2749.648,2904.784,0
25,1.251492,175.296,1491.888,1667.184,0
26,1.302776,179.936,2775.760,2955.696,0
27,1.351634,155.616,1633.968,1789.584,0
28,1.402617,157.456,2616.944,2774.400,0
29,1.451607,155.536,1607.040,1762.576,0
30,1.501749,1185.024,1749.248,2934.272,0
31,1.551498,157.200,1498.096,1655.296,0
32,1.602614,157.216,2613.712,2770.928,0
33,1.651484,155.504,1484.192,1639.696,0
34,1.701785,241.168,1784.784,2025.952,0
35,1.751521,157.056,1520.544,1677.600,0
36,1.802531,160.144,2531.216,2691.360,0
37,1.852671,182.784,2670.688,2853.472,0
38,1.901626,184.144,1625.744,1809.888,0
39,1.952652,186.304,2652.288,2838.592,0
40,2.002538,155.216,2537.968,2693.184,0
41,2.052702,175.040,2701.856,2876.896,0
42,2.102574,156.944,2573.856,2730.800,0
43,2.152378,243.376,2378.336,2621.712,0
44,2.202649,187.936,2649.312,2837.248,0
45,2.252754,174.432,2753.936,2928.368,0
46,2.301815,241.808,1814.576,2056.384,0
47,2.351541,156.320,1540.880,1697.200,0
48,2.402694,188.000,2694.272,2882.272,0
49,2.451535,165.968,1535.472,1701.440,0
50,2.502769,184.416,2768.512,2952.928,0
51,2.551657,291.472,1656.672,1948.144,0
52,2.602893,173.488,2892.944,3066.432,0
53,2.651518,169.920,1518.016,1687.936,0
54,2.702663,177.712,2663.184,2840.896,0
55,2.751668,206.672,1667.744,1874.416,0
56,2.802648,185.840,2648.016,2833.856,0
57,2.852666,165.360,2666.384,2831.744,0
58,2.902606,220.896,2606.032,2826.928,0
59,2.952709,176.848,2709.488,2886.336,0
60,3.002836,211.632,2836.160,3047.792,0
61,3.051508,156.992,1508.208,1665.200,0
62,3.101643,1024.576,1642.960,2667.536,0
63,3.151401,171.440,1400.880,1572.320,0
64,3.202650,187.296,2649.680,2836.976,0
65,3.252711,200.416,2710.800,2911.216,0
66,3.302690,210.512,2689.632,2900.144,0
67,3.351507,245.152,1506.752,1751.904,0
68,3.402549,156.368,2549.152,2705.520,0
69,3.452836,172.112,2835.632,3007.744,0
70,3.502858,197.088,2858.304,3055.392,0
71,3.551626,201.744,1626.320,1828.064,0
72,3.602661,181.824,2660.720,2842.544,0
73,3.652791,159.056,2790.576,2949.632,0
74,3.702359,160.240,2358.544,2518.784,0
75,3.752791,155.712,2791.040,2946.752,0
76,3.801618,1139.712,1617.728,2757.440,0
77,3.852782,157.008,2781.648,2938.656,0
78,3.901868,216.864,1867.904,2084.768,0
79,3.952880,195.408,2880.208,3075.616,0
80,4.002643,217.552,2642.528,2860.080,0
81,4.052831,181.744,2830.832,3012.576,0
82,4.101766,1091.856,1766.224,2858.080,0
83,4.152618,177.056,2618.112,2795.168,0
84,4.202385,184.848,2385.424,2570.272,0
85,4.252708,178.144,2708.096,2886.240,0
86,4.302539,174.816,2539.312,2714.128,0
87,4.352767,156.064,2767.056,2923.120,0
88,4.402581,155.808,2581.312,2737.120,0
89,4.451535,163.984,1535.088,1699.072,0
90,4.502592,156.400,2591.840,2748.240,0
91,4.552688,173.232,2687.616,2860.848,0
92,4.602579,156.784,2579.168,2735.952,0
93,4.652795,177.312,2794.576,2971.888,0
94,4.702594,157.568,2594.128,2751.696,0
95,4.751605,166.960,1605.008,1771.968,0
96,4.802646,188.720,2646.464,2835.184,0
97,4.851604,168.624,1604.160,1772.784,0
98,4.902623,186.944,2623.328,2810.272,0
99,4.951584,155.136,1584.048,1739.184,0
100,5.002880,157.792,2880.176,3037.968,0
101,5.051498,167.008,1498.208,1665.216,0
102,5.101624,1192.672,1623.712,2816.384,0
103,5.152884,208.592,2884.336,3092.928,0
104,5.202534,158.912,2533.696,2692.608,0
105,5.252396,156.528,2396.080,2552.608,0
106,5.301692,1224.288,1691.760,2916.048,0
107,5.352573,158.240,2572.720,2730.960,0
108,5.402466,156.304,2466.080,2622.384,0
109,5.452655,158.192,2655.168,2813.360,0
110,5.502602,156.592,2601.552,2758.144,0
111,5.552838,157.952,2838.144,2996.096,0
112,5.602620,185.808,2620.400,2806.208,0
113,5.651654,233.216,1654.112,1887.328,0
114,5.702506,157.616,2506.144,2663.760,0
115,5.751526,159.712,1526.480,1686.192,0
116,5.802517,159.104,2516.688,2675.792,0
117,5.851438,157.376,1438.496,1595.872,0
118,5.902616,156.704,2615.536,2772.240,0
119,5.951550,159.808,1549.920,1709.728,0
120,6.002799,165.328,2799.152,2964.480,0
121,6.051542,156.176,1541.952,1698.128,0
122,6.102620,189.872,2620.080,2809.952,0
123,6.151586,155.648,1585.856,1741.504,0
124,6.202641,154.288,2640.608,2794.896,0
125,6.251440,165.040,1439.648,1604.688,0
126,6.302678,179.648,2678.032,2857.680,0
127,6.351655,223.056,1654.592,1877.648,0
128,6.402589,156.640,2588.720,2745.360,0
129,6.451507,167.120,1506.512,1673.632,0
130,6.502642,154.528,2642.048,2796.576,0
131,6.551610,156.736,1609.584,1766.320,0
132,6.602624,204.048,2624.112,2828.160,0
133,6.651637,155.904,1636.816,1792.720,0
134,6.702607,155.664,2606.976,2762.640,0
135,6.751523,157.536,1523.392,1680.928,0
136,6.802373,160.560,2372.656,2533.216,0
137,6.852632,157.584,2632.176,2789.760,0
138,6.901552,157.856,1551.648,1709.504,0
139,6.952440,166.496,2439.712,2606.208,0
140,7.002630,156.272,2629.504,2785.776,0
141,7.053123,297.936,3123.088,3421.024,0
142,7.102285,271.472,2284.896,2556.368,0
143,7.152532,156.832,2532.208,2689.040,0
144,7.202354,194.112,2353.536,2547.648,0
145,7.252630,171.952,2630.016,2801.968,0
146,7.302545,158.896,2544.880,2703.776,0
147,7.352648,208.512,2648.368,2856.880,0
148,7.402512,157.776,2512.016,2669.792,0
149,7.452698,190.320,2698.096,2888.416,0
150,7.502611,156.704,2610.768,2767.472,0
151,7.552795,164.320,2794.592,2958.912,0
152,7.602703,191.568,2703.104,2894.672,0
153,7.652626,189.472,2625.648,2815.120,0
154,7.702612,186.784,2611.760,2798.544,0
155,7.752697,190.896,2696.928,2887.824,0
156,7.802347,182.128,2346.864,2528.992,0
157,7.852806,209.536,2806.048,3015.584,0
158,7.902538,159.552,2537.952,2697.504,0
159,7.952763,155.760,2763.040,2918.800,0
160,8.001627,1245.520,1627.024,2872.544,0
161,8.052632,194.576,2632.416,2826.992,0
162,8.101607,176.592,1606.624,1783.216,0
163,8.152809,172.976,2808.704,2981.680,0
164,8.202513,156.448,2513.056,2669.504,0
165,8.252715,199.648,2714.848,2914.496,0
166,8.302369,195.072,2368.992,2564.064,0
167,8.351599,155.136,1598.544,1753.680,0
168,8.402604,189.984,2604.256,2794.240,0
169,8.452792,158.512,2791.984,2950.496,0
170,8.502634,156.144,2633.808,2789.952,0
171,8.551852,260.432,1852.240,2112.672,0
172,8.601703,1072.656,1703.136,2775.792,0
173,8.651358,158.128,1358.064,1516.192,0
174,8.702524,155.328,2523.680,2679.008,0
175,8.752669,154.512,2668.896,2823.408,0
176,8.802631,212.784,2630.656,2843.440,0
177,8.852790,154.896,2789.936,2944.832,0
178,8.901638,1147.328,1637.680,2785.008,0
179,8.951796,208.720,1796.400,2005.120,0
180,9.002886,239.888,2886.080,3125.968,0
181,9.052808,154.928,2807.520,2962.448,0
182,9.102779,184.688,2779.392,2964.080,0
183,9.152639,184.096,2638.672,2822.768,0
184,9.202394,184.096,2394.128,2578.224,0
185,9.252610,155.728,2610.288,2766.016,0
186,9.302362,159.984,2361.696,2521.680,0
187,9.352739,157.152,2739.344,2896.496,0
188,9.402507,157.328,2507.088,2664.416,0
189,9.452522,190.672,2522.368,2713.040,0
190,9.501613,1161.648,1612.688,2774.336,0
191,9.552622,200.048,2622.352,2822.400,0
192,9.601587,175.824,1587.312,1763.136,0
193,9.652807,165.264,2806.912,2972.176,0
194,9.702645,186.448,2645.056,2831.504,0
195,9.751636,244.608,1636.352,1880.960,0
196,9.802632,209.968,2631.728,2841.696,0
197,9.851643,266.288,1642.816,1909.104,0
198,9.902579,155.824,2579.136,2734.960,0
199,9.952505,220.656,2504.704,2725.360,0
200,10.002595,156.144,2594.608,2750.752,0
201,10.052805,158.640,2804.528,2963.168,0
202,10.102628,187.328,2628.208,2815.536,0
203,10.152872,188.192,2871.952,3060.144,0
204,10.202640,197.792,2639.712,2837.504,0
205,10.251554,168.352,1554.080,1722.432,0
206,10.302655,186.432,2654.880,2841.312,0
207,10.351562,168.704,1561.744,1730.448,0
208,10.402641,154.912,2640.704,2795.616,0
209,10.451671,248.336,1670.784,1919.120,0
210,10.502588,156.912,2588.080,2744.992,0
211,10.551451,201.088,1451.344,1652.432,0
212,10.602708,195.552,2707.776,2903.328,0
213,10.652637,210.224,2637.072,2847.296,0
214,10.702684,222.368,2684.400,2906.768,0
215,10.751641,154.976,1640.784,1795.760,0
216,10.802596,158.448,2595.664,2754.112,0
217,10.853526,1753.472,3526.016,5279.488,1
218,10.903317,453.904,3317.136,3771.040,0
219,10.953794,573.376,3793.840,4367.216,0
220,11.003305,233.616,3304.832,3538.448,0
221,11.053548,1758.992,3547.904,5306.896,1
222,11.103351,185.648,3351.392,3537.040,0
223,11.152689,184.496,2688.640,2873.136,0
224,11.202535,155.504,2534.592,2690.096,0
225,11.252709,189.056,2709.136,2898.192,0
226,11.302352,198.944,2351.520,2550.464,0
227,11.352504,157.200,2504.144,2661.344,0
228,11.402570,157.136,2569.872,2727.008,0
229,11.451439,157.456,1438.976,1596.432,0
230,11.501631,1292.096,1630.944,2923.040,0
231,11.552824,203.552,2823.744,3027.296,0
232,11.602647,188.704,2646.736,2835.440,0
233,11.652634,195.712,2633.776,2829.488,0
234,11.702547,182.144,2546.512,2728.656,0
235,11.752622,154.720,2621.632,2776.352,0
236,11.801664,1258.960,1664.112,2923.072,0
237,11.852892,200.544,2891.776,3092.320,0
238,11.902493,157.248,2493.392,2650.640,0
239,11.952674,197.632,2673.600,2871.232,0
240,12.002615,301.472,2614.944,2916.416,0
241,12.052617,159.984,2617.184,2777.168,0
242,12.102618,156.448,2617.504,2773.952,0
243,12.151498,157.728,1497.744,1655.472,0
244,12.201825,273.280,1824.976,2098.256,0
