========================================
Signal Sender Workload (Synchronized)
========================================
Initializing shared memory...
Waiting for speedometer to register...
Found speedometer in shared memory!
Sending START command to speedometer: START: 15;5;20

Running workload signal period for 15 seconds...

Workload signal period completed.
Sending STOP command to speedometer...
Waiting for statistics from speedometer...

Stress workload terminated.
===VMSTAT_START===
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 122360   3664  33152    0    0   143    12  240   86 61 22 17  0  0
 2  0      0 122240   3664  33156    0    0     0     0  507   16 100  0  0  0  0
 2  0      0 122240   3664  33156    0    0     0     0  507   14 100  0  0  0  0
 2  0      0 122240   3664  33156    0    0     0     0  507   20 100  0  0  0  0
 2  0      0 122240   3672  33148    0    0     0   124  510   33 100  0  0  0  0
 2  0      0 122240   3672  33156    0    0     0     0  507   20 100  0  0  0  0
 2  0      0 122240   3672  33156    0    0     0     0  508   14 100  0  0  0  0
 2  0      0 122240   3672  33156    0    0     0     0  503   16 100  0  0  0  0
 2  0      0 122240   3672  33156    0    0     0     0  508   19 100  0  0  0  0
 2  0      0 122240   3672  33156    0    0     0     0  507   20 100  0  0  0  0
 2  0      0 122240   3672  33156    0    0     0     0  507   14 100  0  0  0  0
 2  0      0 122240   3672  33156    0    0     0     0  507   20 100  0  0  0  0
 3  0      0 122240   3672  33156    0    0     0     0  504   20 100  0  0  0  0
 2  0      0 122240   3672  33156    0    0     0     0  506   20 100  0  0  0  0
 2  0      0 122240   3672  33156    0    0     0     0  508   14 100  0  0  0  0
 2  0      0 122240   3672  33156    0    0     0     0  531   38 98  2  0  0  0
 2  0      0 122240   3672  33156    0    0     0     0  527   36 98  2  0  0  0
===VMSTAT_END===
========== SPEEDOMETER RT APPLICATION RESULTS ==========
Test Configuration:
Period: 50.000 ms
Deadline: 5.000 ms
RT Priority: 99 (SCHED_FIFO)
Execution Statistics:
Total cycles: 300
Deadline misses: 0 (0.000%)
Execution Time (μs):
Mean: 181.022
Min: 153.936
Max: 346.256
50th percentile: 181.312
95th percentile: 218.416
99th percentile: 290.672
99.9th percentile: 346.256
Jitter (μs):
Mean: 2009.100
Min: 1688.928
Max: 3934.288
Response Time (μs):
Mean: 2190.122
Min: 1844.656
Max: 4131.872
50th percentile: 2134.080
95th percentile: 2883.568
99th percentile: 3261.168
99.9th percentile: 4131.872
========================================================
===VMSTAT_START===
(no vmstat data captured)
===VMSTAT_END===
===CSV_START===
cycle,timestamp_s,execution_time_us,jitter_us,response_time_us,deadline_miss
1,0.051847,195.520,1846.736,2042.256,0
2,0.101844,160.832,1843.920,2004.752,0
3,0.151974,154.256,1973.520,2127.776,0
4,0.201986,156.624,1986.352,2142.976,0
5,0.251689,155.728,1688.928,1844.656,0
6,0.302313,270.320,2312.960,2583.280,0
7,0.352705,157.040,2704.624,2861.664,0
8,0.402024,191.936,2023.808,2215.744,0
9,0.451806,154.032,1805.856,1959.888,0
10,0.502002,197.584,2002.160,2199.744,0
11,0.551944,179.440,1944.016,2123.456,0
12,0.602211,164.016,2211.344,2375.360,0
13,0.652702,155.952,2701.984,2857.936,0
14,0.702045,183.968,2044.880,2228.848,0
15,0.751835,156.976,1834.816,1991.792,0
16,0.801894,184.016,1893.888,2077.904,0
17,0.851873,155.632,1873.200,2028.832,0
18,0.902038,159.440,2037.936,2197.376,0
19,0.951980,159.504,1979.664,2139.168,0
20,1.002097,185.040,2096.848,2281.888,0
21,1.052793,213.680,2792.816,3006.496,0
22,1.102027,217.824,2026.512,2244.336,0
23,1.151792,198.208,1792.400,1990.608,0
24,1.201971,177.632,1970.672,2148.304,0
25,1.251850,157.088,1850.192,2007.280,0
26,1.302034,174.064,2034.480,2208.544,0
27,1.351862,199.168,1862.192,2061.360,0
28,1.402218,237.984,2218.432,2456.416,0
29,1.452714,211.952,2713.888,2925.840,0
30,1.502050,208.864,2050.160,2259.024,0
31,1.552688,157.520,2687.952,2845.472,0
32,1.602122,173.472,2122.272,2295.744,0
33,1.651823,196.912,1823.392,2020.304,0
34,1.701949,156.464,1948.864,2105.328,0
35,1.751811,190.736,1810.816,2001.552,0
36,1.801983,158.752,1983.104,2141.856,0
37,1.851856,195.888,1855.936,2051.824,0
38,1.902035,156.240,2035.312,2191.552,0
39,1.951940,193.856,1940.176,2134.032,0
40,2.001974,155.952,1973.952,2129.904,0
41,2.051832,190.432,1831.904,2022.336,0
42,2.102066,157.616,2065.584,2223.200,0
43,2.151844,189.456,1843.760,2033.216,0
44,2.201975,154.848,1974.880,2129.728,0
45,2.251821,192.784,1821.264,2014.048,0
46,2.302004,175.904,2004.448,2180.352,0
47,2.351977,161.600,1977.456,2139.056,0
48,2.402076,190.928,2075.552,2266.480,0
49,2.451755,156.784,1755.024,1911.808,0
50,2.502086,203.616,2086.192,2289.808,0
51,2.551942,155.280,1941.760,2097.040,0
52,2.601948,195.488,1948.160,2143.648,0
53,2.651800,195.440,1799.760,1995.200,0
54,2.702018,155.840,2018.416,2174.256,0
55,2.751813,191.376,1813.088,2004.464,0
56,2.802001,201.344,2000.800,2202.144,0
57,2.851833,191.008,1832.592,2023.600,0
58,2.902203,157.184,2203.152,2360.336,0
59,2.951849,196.080,1849.152,2045.232,0
60,3.002072,196.944,2072.160,2269.104,0
61,3.051827,187.008,1827.184,2014.192,0
62,3.102035,209.280,2035.312,2244.592,0
63,3.151847,191.344,1847.152,2038.496,0
64,3.201979,156.864,1978.800,2135.664,0
65,3.251863,188.272,1863.008,2051.280,0
66,3.302083,184.368,2083.440,2267.808,0
67,3.351871,181.264,1870.656,2051.920,0
68,3.401940,158.432,1940.288,2098.720,0
69,3.451850,156.064,1849.504,2005.568,0
70,3.501991,210.288,1991.440,2201.728,0
71,3.551788,191.232,1788.016,1979.248,0
72,3.602018,156.672,2018.112,2174.784,0
73,3.651814,206.448,1813.568,2020.016,0
74,3.702084,221.920,2084.224,2306.144,0
75,3.752031,194.544,2031.120,2225.664,0
76,3.802050,164.016,2049.520,2213.536,0
77,3.851919,155.968,1918.976,2074.944,0
78,3.901970,165.648,1969.584,2135.232,0
79,3.951993,209.104,1992.672,2201.776,0
80,4.002252,230.944,2252.080,2483.024,0
81,4.051895,199.168,1894.688,2093.856,0
82,4.101828,192.416,1827.600,2020.016,0
83,4.151988,157.920,1987.616,2145.536,0
84,4.202034,198.720,2033.536,2232.256,0
85,4.251838,187.920,1838.400,2026.320,0
86,4.302011,163.312,2011.008,2174.320,0
87,4.351848,177.248,1848.000,2025.248,0
88,4.402214,275.280,2214.160,2489.440,0
89,4.452728,182.304,2728.016,2910.320,0
90,4.502050,156.656,2049.856,2206.512,0
91,4.551789,192.096,1788.720,1980.816,0
92,4.602016,156.512,2015.536,2172.048,0
93,4.651846,191.056,1845.504,2036.560,0
94,4.701962,155.280,1961.824,2117.104,0
95,4.751813,194.144,1813.280,2007.424,0
96,4.802083,195.472,2082.976,2278.448,0
97,4.851942,194.752,1942.208,2136.960,0
98,4.902206,158.160,2205.728,2363.888,0
99,4.951877,194.752,1876.752,2071.504,0
100,5.002082,215.248,2081.872,2297.120,0
101,5.051808,154.512,1808.416,1962.928,0
102,5.102086,193.088,2086.320,2279.408,0
103,5.151965,158.960,1965.376,2124.336,0
104,5.201866,205.728,1865.680,2071.408,0
105,5.251839,187.888,1838.992,2026.880,0
106,5.302008,194.880,2008.112,2202.992,0
107,5.351833,180.624,1832.592,2013.216,0
108,5.401950,184.080,1949.808,2133.888,0
109,5.451925,189.040,1924.704,2113.744,0
110,5.502223,235.824,2223.328,2459.152,0
111,5.552936,289.872,2935.680,3225.552,0
112,5.601885,196.208,1885.216,2081.424,0
113,5.651864,156.320,1863.648,2019.968,0
114,5.701999,177.504,1999.488,2176.992,0
115,5.751811,156.096,1810.768,1966.864,0
116,5.802097,205.808,2096.960,2302.768,0
117,5.851859,177.024,1858.912,2035.936,0
118,5.902016,155.024,2015.696,2170.720,0
119,5.951978,156.560,1978.016,2134.576,0
120,6.002121,155.728,2120.816,2276.544,0
121,6.052812,236.544,2812.320,3048.864,0
122,6.102106,190.608,2106.144,2296.752,0
123,6.151819,218.416,1818.848,2037.264,0
124,6.202022,204.976,2022.256,2227.232,0
125,6.251813,155.280,1813.312,1968.592,0
126,6.302026,157.280,2026.000,2183.280,0
127,6.351853,157.168,1852.656,2009.824,0
128,6.402073,205.872,2072.640,2278.512,0
129,6.452970,290.672,2970.496,3261.168,0
130,6.501952,155.216,1951.872,2107.088,0
131,6.551838,195.248,1837.744,2032.992,0
132,6.602052,196.480,2051.808,2248.288,0
133,6.651719,346.256,1719.376,2065.632,0
134,6.702033,191.200,2033.232,2224.432,0
135,6.751958,175.984,1958.096,2134.080,0
136,6.802097,168.272,2097.264,2265.536,0
137,6.851861,163.744,1860.880,2024.624,0
138,6.902102,158.384,2101.616,2260.000,0
139,6.951832,190.528,1832.224,2022.752,0
140,7.002027,157.296,2027.472,2184.768,0
141,7.051825,180.496,1825.424,2005.920,0
142,7.102100,156.320,2099.632,2255.952,0
143,7.151838,199.856,1838.032,2037.888,0
144,7.201975,159.216,1974.928,2134.144,0
145,7.251695,156.448,1695.376,1851.824,0
146,7.302017,154.448,2016.592,2171.040,0
147,7.351780,156.688,1779.584,1936.272,0
148,7.401929,161.120,1929.040,2090.160,0
149,7.451699,157.120,1699.376,1856.496,0
150,7.502008,171.936,2008.080,2180.016,0
151,7.551824,189.168,1823.824,2012.992,0
152,7.602062,196.224,2061.568,2257.792,0
153,7.651841,186.080,1840.608,2026.688,0
154,7.702130,247.360,2130.096,2377.456,0
155,7.751960,160.384,1960.176,2120.560,0
156,7.802050,164.032,2050.368,2214.400,0
157,7.851695,157.424,1695.136,1852.560,0
158,7.902120,154.784,2119.680,2274.464,0
159,7.951878,196.704,1878.288,2074.992,0
160,8.002035,182.752,2035.488,2218.240,0
161,8.051850,182.672,1849.568,2032.240,0
162,8.102027,157.776,2026.928,2184.704,0
163,8.151936,195.552,1936.384,2131.936,0
164,8.202020,153.936,2019.904,2173.840,0
165,8.251915,155.296,1915.472,2070.768,0
166,8.301955,162.112,1955.136,2117.248,0
167,8.351860,196.496,1860.048,2056.544,0
168,8.402017,167.584,2016.912,2184.496,0
169,8.452707,203.840,2706.704,2910.544,0
170,8.502118,167.264,2118.096,2285.360,0
171,8.553934,197.584,3934.288,4131.872,0
172,8.601983,158.320,1982.736,2141.056,0
173,8.651953,189.360,1952.656,2142.016,0
174,8.702704,172.752,2704.016,2876.768,0
175,8.751737,155.984,1736.960,1892.944,0
176,8.802057,158.512,2057.104,2215.616,0
177,8.852058,191.664,2057.504,2249.168,0
178,8.902001,195.984,2001.264,2197.248,0
179,8.951802,154.208,1802.176,1956.384,0
180,9.001933,197.728,1933.040,2130.768,0
181,9.051952,175.376,1951.760,2127.136,0
182,9.102021,154.112,2021.184,2175.296,0
183,9.151829,175.616,1828.688,2004.304,0
184,9.202075,194.272,2074.624,2268.896,0
185,9.252036,185.712,2036.272,2221.984,0
186,9.301927,216.640,1927.312,2143.952,0
187,9.351729,155.344,1728.816,1884.160,0
188,9.401938,202.128,1937.952,2140.080,0
189,9.451830,191.184,1829.536,2020.720,0
190,9.502078,178.912,2077.904,2256.816,0
191,9.551806,155.168,1806.000,1961.168,0
192,9.602216,166.160,2216.048,2382.208,0
193,9.652698,157.424,2697.808,2855.232,0
194,9.701955,155.712,1955.248,2110.960,0
195,9.751705,156.256,1705.184,1861.440,0
196,9.801732,194.736,1731.600,1926.336,0
197,9.851816,194.480,1816.240,2010.720,0
198,9.902072,199.968,2072.176,2272.144,0
199,9.951965,168.144,1965.248,2133.392,0
200,10.002129,169.456,2128.672,2298.128,0
201,10.052704,157.712,2704.496,2862.208,0
202,10.101987,168.864,1987.392,2156.256,0
203,10.151706,156.528,1705.984,1862.512,0
204,10.202038,190.640,2038.304,2228.944,0
205,10.251692,156.592,1691.904,1848.496,0
206,10.302838,322.912,2838.192,3161.104,0
207,10.353648,200.576,3647.616,3848.192,0
208,10.401927,208.768,1926.688,2135.456,0
209,10.451772,203.888,1772.224,1976.112,0
210,10.502039,234.304,2039.200,2273.504,0
211,10.551972,156.512,1972.464,2128.976,0
212,10.602045,157.328,2044.864,2202.192,0
213,10.651924,156.592,1923.744,2080.336,0
214,10.701964,159.536,1964.096,2123.632,0
215,10.751704,155.520,1704.256,1859.776,0
216,10.801982,155.584,1981.552,2137.136,0
217,10.851837,192.432,1836.624,2029.056,0
218,10.902093,178.864,2093.312,2272.176,0
219,10.952725,156.720,2724.752,2881.472,0
220,11.002289,200.880,2289.248,2490.128,0
221,11.052728,155.728,2727.840,2883.568,0
222,11.102024,186.704,2024.080,2210.784,0
223,11.151785,155.760,1784.608,1940.368,0
224,11.202181,157.904,2181.456,2339.360,0
225,11.252686,276.384,2686.112,2962.496,0
226,11.301887,175.728,1886.944,2062.672,0
227,11.351746,186.624,1746.416,1933.040,0
228,11.402021,201.920,2021.360,2223.280,0
229,11.451724,155.616,1723.888,1879.504,0
230,11.501973,155.936,1973.392,2129.328,0
231,11.551819,193.616,1818.816,2012.432,0
232,11.601943,187.824,1943.216,2131.040,0
233,11.651932,158.608,1932.144,2090.752,0
234,11.702078,182.000,2077.712,2259.712,0
235,11.751863,189.280,1863.312,2052.592,0
236,11.801879,176.944,1878.704,2055.648,0
237,11.851835,192.048,1835.008,2027.056,0
238,11.902022,154.448,2022.128,2176.576,0
239,11.951777,156.320,1776.752,1933.072,0
240,12.002064,199.200,2063.664,2262.864,0
241,12.052809,155.584,2809.104,2964.688,0
242,12.102054,204.416,2053.840,2258.256,0
243,12.152827,199.856,2826.720,3026.576,0
244,12.202007,183.824,2006.768,2190.592,0
245,12.251794,155.648,1794.384,1950.032,0
246,12.301943,169.552,1943.056,2112.608,0
247,12.351933,155.648,1932.912,2088.560,0
248,12.402035,181.376,2034.704,2216.080,0
249,12.451856,188.672,1856.288,2044.960,0
250,12.501941,187.984,1941.376,2129.360,0
251,12.551942,191.760,1942.160,2133.920,0
252,12.602121,182.576,2121.152,2303.728,0
253,12.651839,168.384,1838.928,2007.312,0
254,12.702056,182.592,2056.400,2238.992,0
255,12.751771,154.496,1770.992,1925.488,0
256,12.801918,155.648,1917.568,2073.216,0
257,12.851804,199.840,1804.080,2003.920,0
258,12.902022,203.120,2021.776,2224.896,0
259,12.951791,156.576,1791.200,1947.776,0
260,13.002044,206.912,2044.256,2251.168,0
261,13.051824,187.680,1824.320,2012.000,0
262,13.101926,156.448,1925.696,2082.144,0
263,13.151839,156.144,1838.912,1995.056,0
264,13.202011,198.736,2011.072,2209.808,0
265,13.251790,156.832,1789.712,1946.544,0
266,13.301969,182.656,1969.312,2151.968,0
267,13.351789,155.936,1789.248,1945.184,0
268,13.402127,182.416,2126.592,2309.008,0
269,13.451837,187.520,1837.488,2025.008,0
270,13.501942,189.840,1941.792,2131.632,0
271,13.551713,156.832,1713.168,1870.000,0
272,13.601914,156.192,1914.352,2070.544,0
273,13.651826,185.104,1826.144,2011.248,0
274,13.701948,188.480,1947.776,2136.256,0
275,13.751718,157.328,1718.240,1875.568,0
276,13.802006,182.032,2005.552,2187.584,0
277,13.851838,159.952,1837.568,1997.520,0
278,13.901960,156.048,1960.336,2116.384,0
279,13.951871,215.808,1871.152,2086.960,0
280,14.002038,183.856,2038.368,2222.224,0
281,14.051863,171.360,1863.360,2034.720,0
282,14.101953,156.816,1953.056,2109.872,0
283,14.151858,191.648,1857.712,2049.360,0
284,14.202082,200.640,2082.080,2282.720,0
285,14.252797,168.128,2797.024,2965.152,0
286,14.302034,181.312,2034.288,2215.600,0
287,14.351846,154.768,1846.432,2001.200,0
288,14.402072,180.912,2071.744,2252.656,0
289,14.451721,155.472,1721.392,1876.864,0
290,14.502025,190.000,2024.560,2214.560,0
291,14.551774,157.104,1774.336,1931.440,0
292,14.602127,182.400,2126.672,2309.072,0
293,14.651948,180.944,1947.536,2128.480,0
294,14.701915,187.936,1915.376,2103.312,0
295,14.751817,155.216,1817.344,1972.560,0
296,14.802013,157.024,2013.264,2170.288,0
297,14.851720,156.192,1719.936,1876.128,0
298,14.902008,200.624,2008.336,2208.960,0
299,14.951844,190.768,1844.496,2035.264,0
300,15.002023,183.376,2022.784,2206.160,0
===CSV_END===
Run #2 completed. Waiting for next START command...
Waiting for START command from li VM...
