========================================
Signal Sender Workload (Synchronized)
========================================
Initializing shared memory...
Waiting for speedometer to register...
Found speedometer in shared memory!
Sending START command to speedometer: START: 15;5;20

Running workload signal period for 15 seconds...

Workload signal period completed.
Sending STOP command to speedometer...
Waiting for statistics from speedometer...

Stress workload terminated.
===VMSTAT_START===
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0      0 122152   3712  33156    0    0    78    10  246   62 76 15  9  0  0
 2  0      0 122032   3712  33156    0    0     0     0  509   27 100  0  0  0  0
 3  0      0 122032   3712  33156    0    0     0     0  503   16 100  0  0  0  0
 2  0      0 122032   3712  33156    0    0     0     0  507   18 100  0  0  0  0
 2  0      0 122032   3720  33148    0    0     0   124  512   27 97  3  0  0  0
 3  0      0 122032   3720  33156    0    0     0     0  507   24 100  0  0  0  0
 2  0      0 122032   3720  33156    0    0     0     0  508   13 100  0  0  0  0
 2  0      0 122032   3720  33156    0    0     0     0  506   17 100  0  0  0  0
 2  0      0 122032   3720  33156    0    0     0     0  507   16 100  0  0  0  0
 2  0      0 122032   3720  33156    0    0     0     0  510   26 100  0  0  0  0
 3  0      0 122032   3720  33156    0    0     0     0  506   14 100  0  0  0  0
 3  0      0 122032   3720  33156    0    0     0     0  505   18 100  0  0  0  0
 2  0      0 122032   3720  33156    0    0     0     0  508   16 100  0  0  0  0
 2  0      0 122032   3720  33156    0    0     0     0  507   23 100  0  0  0  0
 2  0      0 122032   3720  33156    0    0     0     0  508   14 100  0  0  0  0
 3  0      0 122032   3720  33156    0    0     0     0  508   29 98  2  0  0  0
 2  0      0 122032   3720  33156    0    0     0     0  511   47 95  5  0  0  0
===VMSTAT_END===
========== SPEEDOMETER RT APPLICATION RESULTS ==========
Test Configuration:
Period: 50.000 ms
Deadline: 5.000 ms
RT Priority: 99 (SCHED_FIFO)
Execution Statistics:
Total cycles: 299
Deadline misses: 5 (1.672%)
Execution Time (μs):
Mean: 248.313
Min: 152.720
Max: 3046.464
50th percentile: 184.896
95th percentile: 434.448
99th percentile: 2398.112
99.9th percentile: 3046.464
Jitter (μs):
Mean: 2445.229
Min: 1184.464
Max: 6802.960
Response Time (μs):
Mean: 2693.542
Min: 1400.640
Max: 6989.520
50th percentile: 2721.440
95th percentile: 3326.688
99th percentile: 6253.232
99.9th percentile: 6989.520
========================================================
===VMSTAT_START===
(no vmstat data captured)
===VMSTAT_END===
===CSV_START===
cycle,timestamp_s,execution_time_us,jitter_us,response_time_us,deadline_miss
1,0.051557,434.448,1557.424,1991.872,0
2,0.102519,207.488,2519.488,2726.976,0
3,0.152960,366.416,2960.272,3326.688,0
4,0.202371,177.344,2371.056,2548.400,0
5,0.251492,212.192,1491.584,1703.776,0
6,0.302355,187.104,2355.360,2542.464,0
7,0.351244,190.480,1243.712,1434.192,0
8,0.402499,188.512,2498.704,2687.216,0
9,0.452740,206.976,2739.856,2946.832,0
10,0.503332,170.128,3332.032,3502.160,0
11,0.552676,154.896,2675.520,2830.416,0
12,0.602420,166.800,2419.648,2586.448,0
13,0.651491,228.032,1490.752,1718.784,0
14,0.702336,169.600,2336.352,2505.952,0
15,0.751184,218.928,1184.464,1403.392,0
16,0.802375,188.832,2375.392,2564.224,0
17,0.852699,184.896,2699.424,2884.320,0
18,0.902534,174.528,2533.888,2708.416,0
19,0.952294,202.416,2293.888,2496.304,0
20,1.002521,178.992,2521.136,2700.128,0
21,1.052813,196.464,2813.184,3009.648,0
22,1.104688,162.704,4688.176,4850.880,0
23,1.152798,205.840,2798.048,3003.888,0
24,1.202517,209.264,2517.088,2726.352,0
25,1.252655,212.640,2655.184,2867.824,0
26,1.302509,171.552,2509.472,2681.024,0
27,1.352254,226.016,2254.224,2480.240,0
28,1.402394,167.552,2394.400,2561.952,0
29,1.452655,153.952,2655.440,2809.392,0
30,1.502521,239.824,2521.072,2760.896,0
31,1.551515,256.624,1514.816,1771.440,0
32,1.602397,155.120,2396.576,2551.696,0
33,1.651337,154.944,1336.848,1491.792,0
34,1.702398,158.320,2397.552,2555.872,0
35,1.752709,199.072,2709.040,2908.112,0
36,1.802505,178.304,2505.136,2683.440,0
37,1.852514,215.952,2513.984,2729.936,0
38,1.902521,175.504,2520.560,2696.064,0
39,1.951545,206.608,1544.944,1751.552,0
40,2.002468,166.096,2467.856,2633.952,0
41,2.051420,154.784,1420.096,1574.880,0
42,2.102540,194.544,2540.464,2735.008,0
43,2.152537,215.056,2536.528,2751.584,0
44,2.202538,202.720,2538.080,2740.800,0
45,2.252667,161.808,2667.472,2829.280,0
46,2.302514,186.688,2513.632,2700.320,0
47,2.351407,155.696,1407.200,1562.896,0
48,2.402415,168.480,2415.200,2583.680,0
49,2.452662,156.656,2662.016,2818.672,0
50,2.502479,154.960,2478.656,2633.616,0
51,2.551312,195.056,1311.808,1506.864,0
52,2.602239,185.376,2239.264,2424.640,0
53,2.652545,158.480,2544.944,2703.424,0
54,2.702524,216.880,2524.448,2741.328,0
55,2.751400,168.064,1399.776,1567.840,0
56,2.802228,188.560,2227.728,2416.288,0
