========================================
Signal Sender Workload (Synchronized)
========================================
Initializing shared memory...
Waiting for speedometer to register...
Found speedometer in shared memory!
Sending START command to speedometer: START: 15;5;20

Running workload signal period for 15 seconds...

Workload signal period completed.
Sending STOP command to speedometer...
Waiting for statistics from speedometer...

Stress workload terminated.
===VMSTAT_START===
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 122372   3736  33156    0    0    63     9  248   57 79 13  7  0  0
 2  0      0 122252   3736  33156    0    0     0     0  506   12 100  0  0  0  0
 2  0      0 122252   3736  33156    0    0     0     0  508   21 100  0  0  0  0
 2  0      0 122252   3736  33156    0    0     0     0  509   18 100  0  0  0  0
 2  0      0 122252   3736  33156    0    0     0     0  502   22 100  0  0  0  0
 2  0      0 122252   3744  33156    0    0     0   124  512   26 99  1  0  0  0
 2  0      0 122252   3744  33156    0    0     0     0  506   18 100  0  0  0  0
 2  0      0 122252   3744  33156    0    0     0     0  508   14 100  0  0  0  0
 2  0      0 122252   3744  33156    0    0     0     0  508   26 100  0  0  0  0
 2  0      0 122252   3744  33156    0    0     0     0  508   14 100  0  0  0  0
 2  0      0 122252   3744  33156    0    0     0     0  504   17 100  0  0  0  0
 2  0      0 122252   3744  33156    0    0     0     0  508   16 100  0  0  0  0
 2  0      0 122252   3744  33156    0    0     0     0  507   22 100  0  0  0  0
 2  0      0 122252   3744  33156    0    0     0     0  509   18 100  0  0  0  0
 3  0      0 122252   3744  33156    0    0     0     0  504   16 100  0  0  0  0
 2  0      0 122252   3744  33156    0    0     0     0  515   23 99  1  0  0  0
 2  0      0 122252   3744  33156    0    0     0     0  545   48 97  3  0  0  0
===VMSTAT_END===
========== SPEEDOMETER RT APPLICATION RESULTS ==========
Test Configuration:
Period: 50.000 ms
Deadline: 5.000 ms
RT Priority: 99 (SCHED_FIFO)
Execution Statistics:
Total cycles: 300
Deadline misses: 0 (0.000%)
Execution Time (μs):
Mean: 343.257
Min: 153.024
Max: 1696.672
50th percentile: 175.536
95th percentile: 1222.048
99th percentile: 1353.296
99.9th percentile: 1696.672
Jitter (μs):
Mean: 1875.084
Min: 1019.344
Max: 3352.640
Response Time (μs):
Mean: 2218.341
Min: 1181.184
Max: 3850.160
50th percentile: 2167.504
95th percentile: 3397.648
99th percentile: 3606.448
99.9th percentile: 3850.160
========================================================
===VMSTAT_START===
(no vmstat data captured)
===VMSTAT_END===
===CSV_START===
cycle,timestamp_s,execution_time_us,jitter_us,response_time_us,deadline_miss
1,0.052029,163.248,2028.864,2192.112,0
2,0.101999,154.368,1999.312,2153.680,0
3,0.152183,173.984,2183.440,2357.424,0
4,0.201889,185.312,1889.088,2074.400,0
5,0.251990,161.936,1989.856,2151.792,0
6,0.302014,153.696,2013.584,2167.280,0
7,0.352030,155.504,2030.288,2185.792,0
8,0.401950,187.648,1950.128,2137.776,0
9,0.453030,154.976,3030.384,3185.360,0
10,0.501963,193.424,1963.168,2156.592,0
11,0.552135,1086.128,2134.944,3221.072,0
12,0.601427,213.376,1427.040,1640.416,0
13,0.651369,177.696,1369.152,1546.848,0
14,0.703353,200.080,3352.640,3552.720,0
15,0.751497,184.512,1496.784,1681.296,0
16,0.801328,168.688,1328.000,1496.688,0
17,0.851593,223.376,1592.656,1816.032,0
18,0.903231,180.720,3230.880,3411.600,0
19,0.951958,155.616,1957.728,2113.344,0
20,1.001988,157.312,1988.304,2145.616,0
21,1.051599,220.112,1598.656,1818.768,0
22,1.102078,154.048,2078.016,2232.064,0
23,1.152314,261.008,2313.520,2574.528,0
24,1.201239,180.720,1239.488,1420.208,0
25,1.252197,1076.128,2196.912,3273.040,0
26,1.301983,156.112,1982.752,2138.864,0
27,1.351983,156.720,1982.880,2139.600,0
28,1.402002,154.336,2001.568,2155.904,0
29,1.452278,1137.360,2278.096,3415.456,0
30,1.501198,187.424,1197.856,1385.280,0
31,1.552042,176.208,2042.032,2218.240,0
32,1.601985,155.648,1985.072,2140.720,0
33,1.652018,183.600,2018.448,2202.048,0
34,1.701139,153.360,1138.944,1292.304,0
35,1.751991,155.648,1990.512,2146.160,0
36,1.802013,156.704,2012.928,2169.632,0
37,1.852029,174.016,2028.704,2202.720,0
38,1.901970,159.040,1969.888,2128.928,0
39,1.951982,165.888,1981.776,2147.664,0
40,2.001997,158.528,1996.560,2155.088,0
41,2.051985,157.744,1985.408,2143.152,0
42,2.101314,158.208,1313.760,1471.968,0
43,2.152037,155.936,2036.528,2192.464,0
44,2.201175,183.712,1174.736,1358.448,0
45,2.252040,172.512,2039.648,2212.160,0
46,2.302126,215.056,2126.112,2341.168,0
47,2.352162,1054.800,2162.192,3216.992,0
48,2.401167,168.176,1166.880,1335.056,0
49,2.452037,186.096,2037.488,2223.584,0
50,2.501281,236.784,1280.576,1517.360,0
51,2.551127,170.400,1127.056,1297.456,0
52,2.601139,153.024,1138.976,1292.000,0
53,2.652054,174.832,2054.160,2228.992,0
54,2.701145,154.352,1144.768,1299.120,0
55,2.752086,172.688,2085.840,2258.528,0
56,2.802037,155.632,2037.152,2192.784,0
57,2.853035,156.128,3034.960,3191.088,0
58,2.901257,154.512,1257.232,1411.744,0
59,2.952048,173.264,2047.680,2220.944,0
60,3.001169,214.912,1169.152,1384.064,0
61,3.052066,1205.648,2065.584,3271.232,0
62,3.101979,173.456,1979.488,2152.944,0
63,3.152133,175.024,2132.720,2307.744,0
64,3.202014,153.888,2013.856,2167.744,0
65,3.252132,174.128,2131.696,2305.824,0
66,3.301979,156.144,1979.488,2135.632,0
67,3.352164,1049.536,2164.016,3213.552,0
68,3.401260,153.968,1259.872,1413.840,0
69,3.452186,1254.864,2186.160,3441.024,0
70,3.501985,155.632,1985.104,2140.736,0
71,3.551289,155.248,1289.136,1444.384,0
72,3.601970,155.376,1970.256,2125.632,0
73,3.652026,175.280,2026.384,2201.664,0
74,3.701959,181.552,1958.736,2140.288,0
75,3.751994,159.888,1994.256,2154.144,0
76,3.801988,158.048,1988.224,2146.272,0
77,3.852136,212.176,2136.336,2348.512,0
78,3.901994,180.176,1994.240,2174.416,0
79,3.952015,175.536,2014.688,2190.224,0
80,4.001949,188.800,1948.960,2137.760,0
81,4.052004,157.072,2003.824,2160.896,0
82,4.102047,154.496,2046.544,2201.040,0
83,4.152123,174.512,2122.896,2297.408,0
84,4.201940,195.360,1939.728,2135.088,0
85,4.252079,1272.400,2078.880,3351.280,0
86,4.301419,195.312,1418.832,1614.144,0
87,4.351317,158.512,1316.544,1475.056,0
88,4.402021,155.120,2021.232,2176.352,0
89,4.452171,1120.640,2170.768,3291.408,0
90,4.501991,182.096,1991.392,2173.488,0
91,4.551336,181.600,1336.464,1518.064,0
92,4.602002,155.008,2002.144,2157.152,0
93,4.652038,155.584,2037.552,2193.136,0
94,4.701232,189.616,1231.968,1421.584,0
95,4.752038,172.224,2037.536,2209.760,0
96,4.801982,156.160,1981.616,2137.776,0
97,4.852025,174.640,2025.008,2199.648,0
98,4.901314,157.984,1313.776,1471.760,0
99,4.951330,192.320,1329.856,1522.176,0
100,5.001980,156.560,1980.272,2136.832,0
101,5.052159,1153.856,2159.264,3313.120,0
102,5.102123,154.640,2123.376,2278.016,0
103,5.152131,1106.128,2130.592,3236.720,0
104,5.201994,153.392,1993.664,2147.056,0
105,5.252070,177.648,2069.568,2247.216,0
106,5.302044,154.848,2043.824,2198.672,0
107,5.352036,153.920,2035.504,2189.424,0
108,5.401977,157.648,1977.328,2134.976,0
109,5.452329,211.744,2328.576,2540.320,0
110,5.501165,155.760,1164.832,1320.592,0
111,5.551997,153.984,1997.488,2151.472,0
112,5.602014,155.712,2013.552,2169.264,0
113,5.653035,154.496,3035.232,3189.728,0
114,5.701193,174.992,1193.328,1368.320,0
115,5.752087,1336.288,2086.592,3422.880,0
116,5.801414,197.568,1413.904,1611.472,0
117,5.852197,1280.976,2197.056,3478.032,0
118,5.901991,180.928,1990.752,2171.680,0
119,5.952015,173.504,2014.816,2188.320,0
120,6.001875,195.632,1875.328,2070.960,0
121,6.052131,1143.744,2131.360,3275.104,0
