========================================
Signal Sender Workload (Synchronized)
========================================
Initializing shared memory...
Waiting for speedometer to register...
Found speedometer in shared memory!
Sending START command to speedometer: START: 15;5;20

Running workload signal period for 15 seconds...

Workload signal period completed.
Sending STOP command to speedometer...
Waiting for statistics from speedometer...

Stress workload terminated.
===VMSTAT_START===
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 122092   3784  33160    0    0    46     9  249   50 83 11  5  0  0
 2  0      0 121912   3784  33156    0    0     0     0  507   14 100  0  0  0  0
 2  0      0 121912   3784  33156    0    0     0     0  503   20 100  0  0  0  0
 2  0      0 121912   3784  33156    0    0     0     0  507   16 100  0  0  0  0
 3  0      0 121912   3792  33152    0    0     0   124  509   25 99  1  0  0  0
 2  0      0 121912   3792  33156    0    0     0     0  510   20 100  0  0  0  0
 2  0      0 121912   3792  33156    0    0     0     0  508   22 100  0  0  0  0
 2  0      0 121912   3792  33156    0    0     0     0  504   14 100  0  0  0  0
 2  0      0 121912   3792  33156    0    0     0     0  508   20 100  0  0  0  0
 2  0      0 121912   3792  33156    0    0     0     0  507   16 100  0  0  0  0
 2  0      0 121912   3792  33156    0    0     0     0  509   24 100  0  0  0  0
 2  0      0 121912   3792  33156    0    0     0     0  507   16 100  0  0  0  0
 2  0      0 121912   3792  33156    0    0     0     0  504   18 100  0  0  0  0
 2  0      0 121912   3792  33156    0    0     0     0  507   17 100  0  0  0  0
 2  0      0 121912   3792  33156    0    0     0     0  507   22 100  0  0  0  0
 2  0      0 121912   3792  33156    0    0     0     0  529   32 99  1  0  0  0
 2  0      0 121912   3792  33156    0    0     0     0  522   40 98  2  0  0  0
===VMSTAT_END===
========== SPEEDOMETER RT APPLICATION RESULTS ==========
Test Configuration:
Period: 50.000 ms
Deadline: 5.000 ms
RT Priority: 99 (SCHED_FIFO)
Execution Statistics:
Total cycles: 300
Deadline misses: 0 (0.000%)
Execution Time (μs):
Mean: 403.958
Min: 153.040
Max: 1858.320
50th percentile: 176.576
95th percentile: 1283.168
99th percentile: 1680.736
99.9th percentile: 1858.320
Jitter (μs):
Mean: 1397.649
Min: 1081.152
Max: 2637.664
Response Time (μs):
Mean: 1801.607
Min: 1281.296
Max: 3469.456
50th percentile: 1481.776
95th percentile: 2740.272
99th percentile: 3045.472
99.9th percentile: 3469.456
========================================================
===VMSTAT_START===
(no vmstat data captured)
===VMSTAT_END===
===CSV_START===
cycle,timestamp_s,execution_time_us,jitter_us,response_time_us,deadline_miss
1,0.051191,156.496,1190.544,1347.040,0
2,0.102268,154.400,2268.256,2422.656,0
3,0.151249,154.384,1248.576,1402.960,0
4,0.201198,192.880,1198.208,1391.088,0
5,0.251406,264.272,1406.144,1670.416,0
6,0.301289,175.616,1289.360,1464.976,0
7,0.351220,155.184,1219.888,1375.072,0
8,0.401293,173.776,1293.328,1467.104,0
9,0.451259,154.304,1258.880,1413.184,0
10,0.501300,173.952,1300.416,1474.368,0
11,0.551241,162.496,1240.832,1403.328,0
12,0.601305,1298.752,1304.976,2603.728,0
13,0.652433,181.856,2433.376,2615.232,0
14,0.701503,1183.040,1502.624,2685.664,0
15,0.751372,185.920,1371.936,1557.856,0
16,0.801279,154.624,1278.704,1433.328,0
17,0.851233,162.496,1232.688,1395.184,0
18,0.902272,154.096,2271.824,2425.920,0
19,0.951206,193.184,1206.048,1399.232,0
20,1.001500,1166.224,1500.240,2666.464,0
21,1.051236,162.496,1235.824,1398.320,0
22,1.101225,157.872,1224.528,1382.400,0
23,1.151124,191.184,1123.680,1314.864,0
24,1.201267,178.688,1267.088,1445.776,0
25,1.251210,193.024,1209.888,1402.912,0
26,1.301573,187.280,1572.528,1759.808,0
27,1.351417,214.960,1416.912,1631.872,0
28,1.401582,219.936,1581.872,1801.808,0
29,1.451423,300.848,1422.912,1723.760,0
30,1.501292,174.224,1292.464,1466.688,0
31,1.551191,155.264,1190.720,1345.984,0
32,1.601120,176.912,1119.616,1296.528,0
33,1.651297,231.616,1297.152,1528.768,0
34,1.701512,193.360,1512.256,1705.616,0
35,1.751128,212.208,1128.032,1340.240,0
36,1.801351,173.376,1350.512,1523.888,0
37,1.851217,187.968,1216.576,1404.544,0
38,1.901253,158.192,1252.768,1410.960,0
39,1.951329,156.192,1328.720,1484.912,0
40,2.001489,1295.536,1488.912,2784.448,0
41,2.051276,157.408,1275.952,1433.360,0
42,2.101440,207.392,1439.568,1646.960,0
43,2.152325,153.424,2325.344,2478.768,0
44,2.201223,154.112,1222.656,1376.768,0
45,2.251217,162.416,1216.816,1379.232,0
46,2.301512,990.464,1511.936,2502.400,0
47,2.351347,153.680,1346.672,1500.352,0
48,2.401398,208.672,1397.696,1606.368,0
49,2.451270,154.560,1270.304,1424.864,0
50,2.502277,154.064,2277.120,2431.184,0
51,2.551378,250.720,1378.112,1628.832,0
52,2.601409,1150.144,1408.704,2558.848,0
53,2.651113,228.224,1112.912,1341.136,0
54,2.701432,212.512,1431.792,1644.304,0
55,2.751222,163.808,1222.368,1386.176,0
56,2.801530,1126.080,1530.000,2656.080,0
57,2.851262,177.216,1261.568,1438.784,0
58,2.901403,1175.904,1403.296,2579.200,0
59,2.951253,156.288,1252.688,1408.976,0
60,3.001255,173.312,1254.592,1427.904,0
61,3.051260,177.920,1260.032,1437.952,0
62,3.101602,237.552,1602.080,1839.632,0
63,3.152391,195.392,2391.136,2586.528,0
64,3.201429,1239.904,1429.456,2669.360,0
65,3.251222,163.936,1221.600,1385.536,0
66,3.302362,154.752,2362.112,2516.864,0
67,3.351228,154.992,1228.448,1383.440,0
68,3.401348,172.288,1348.128,1520.416,0
69,3.451413,345.104,1413.376,1758.480,0
70,3.501343,173.152,1343.088,1516.240,0
71,3.551223,155.552,1222.912,1378.464,0
72,3.602253,156.416,2253.344,2409.760,0
73,3.651136,165.200,1136.032,1301.232,0
74,3.701420,1200.128,1420.400,2620.528,0
75,3.751251,153.792,1250.848,1404.640,0
76,3.801271,173.456,1270.880,1444.336,0
77,3.851206,165.024,1205.728,1370.752,0
78,3.901407,915.264,1407.392,2322.656,0
79,3.951250,155.792,1249.632,1405.424,0
80,4.001256,176.432,1256.448,1432.880,0
81,4.051440,196.144,1440.352,1636.496,0
82,4.101596,1244.784,1596.384,2841.168,0
83,4.151254,163.376,1254.368,1417.744,0
84,4.202273,157.056,2272.768,2429.824,0
85,4.251284,154.176,1284.128,1438.304,0
86,4.301535,243.968,1535.280,1779.248,0
87,4.352547,253.104,2546.720,2799.824,0
88,4.401374,1229.264,1374.416,2603.680,0
89,4.451264,153.824,1264.288,1418.112,0
90,4.501277,173.136,1277.120,1450.256,0
91,4.551236,162.464,1236.000,1398.464,0
92,4.601520,1857.296,1519.568,3376.864,0
93,4.651236,156.384,1236.304,1392.688,0
94,4.702240,154.992,2239.584,2394.576,0
95,4.751261,158.304,1260.976,1419.280,0
96,4.801309,205.856,1309.456,1515.312,0
97,4.851259,156.864,1259.184,1416.048,0
98,4.901349,1228.640,1349.424,2578.064,0
99,4.951234,182.000,1233.920,1415.920,0
100,5.001391,207.104,1391.056,1598.160,0
101,5.051230,154.992,1230.016,1385.008,0
102,5.101383,1213.408,1382.752,2596.160,0
103,5.151417,260.976,1417.376,1678.352,0
104,5.201294,173.584,1294.000,1467.584,0
105,5.251232,154.400,1232.288,1386.688,0
106,5.301276,175.632,1275.840,1451.472,0
107,5.351293,154.800,1293.120,1447.920,0
108,5.401418,1113.968,1418.320,2532.288,0
109,5.451183,173.360,1182.560,1355.920,0
110,5.501322,1145.952,1322.352,2468.304,0
111,5.551381,264.480,1380.624,1645.104,0
112,5.601446,1356.880,1445.728,2802.608,0
113,5.651243,159.168,1243.056,1402.224,0
114,5.701362,848.784,1362.448,2211.232,0
115,5.751230,155.056,1230.384,1385.440,0
116,5.801294,1129.216,1293.776,2422.992,0
117,5.851370,154.928,1370.288,1525.216,0
118,5.901380,871.312,1379.984,2251.296,0
119,5.951390,262.624,1389.984,1652.608,0
120,6.001283,161.712,1282.640,1444.352,0
121,6.051243,179.440,1243.296,1422.736,0
122,6.101280,175.424,1279.568,1454.992,0
123,6.151339,153.712,1339.184,1492.896,0
124,6.201377,205.376,1376.624,1582.000,0
125,6.251266,161.808,1266.096,1427.904,0
126,6.302282,166.944,2282.352,2449.296,0
127,6.351275,158.880,1275.184,1434.064,0
128,6.401445,1363.392,1444.992,2808.384,0
129,6.451346,153.808,1345.552,1499.360,0
130,6.501206,156.992,1206.464,1363.456,0
131,6.551235,157.808,1234.880,1392.688,0
132,6.601521,1165.664,1520.752,2686.416,0
133,6.651237,156.656,1237.120,1393.776,0
134,6.701366,1679.296,1366.176,3045.472,0
135,6.751340,155.456,1340.240,1495.696,0
136,6.801265,163.840,1264.576,1428.416,0
137,6.851272,154.960,1271.552,1426.512,0
138,6.901264,172.432,1264.096,1436.528,0
139,6.951248,154.480,1247.600,1402.080,0
140,7.001375,1338.080,1374.624,2712.704,0
141,7.051251,155.952,1250.768,1406.720,0
142,7.101346,171.072,1345.968,1517.040,0
143,7.151265,154.576,1264.800,1419.376,0
144,7.201287,173.856,1286.576,1460.432,0
145,7.251107,192.000,1107.488,1299.488,0
146,7.301387,1095.872,1387.328,2483.200,0
147,7.351277,165.712,1277.328,1443.040,0
148,7.401493,1221.072,1492.912,2713.984,0
149,7.451288,161.184,1288.224,1449.408,0
150,7.502281,162.048,2280.800,2442.848,0
151,7.551214,163.872,1214.144,1378.016,0
152,7.601428,1305.504,1428.400,2733.904,0
153,7.651223,179.440,1222.704,1402.144,0
154,7.701491,1496.416,1490.592,2987.008,0
155,7.751129,190.192,1129.312,1319.504,0
156,7.801238,157.552,1237.904,1395.456,0
157,7.851268,153.232,1268.224,1421.456,0
158,7.901251,173.040,1251.136,1424.176,0
159,7.951142,234.112,1142.176,1376.288,0
160,8.002363,179.088,2363.072,2542.160,0
161,8.051219,207.696,1218.880,1426.576,0
162,8.101419,206.160,1418.800,1624.960,0
163,8.151404,253.776,1404.400,1658.176,0
164,8.201523,215.888,1522.992,1738.880,0
165,8.251500,197.664,1500.208,1697.872,0
166,8.301296,185.552,1296.224,1481.776,0
167,8.351216,163.248,1216.496,1379.744,0
