========================================
Signal Sender Workload (Synchronized)
========================================
Initializing shared memory...
Waiting for speedometer to register...
Found speedometer in shared memory!
Sending START command to speedometer: START: 15;5;20

Running workload signal period for 15 seconds...

Workload signal period completed.
Sending STOP command to speedometer...
Waiting for statistics from speedometer...

Stress workload terminated.
===VMSTAT_START===
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 121808   4252  33180    0    0    12     7  253   38 91  7  1  0  0
 3  0      0 121808   4252  33184    0    0     0     0  499   17 100  0  0  0  0
 3  0      0 121808   4252  33184    0    0     0     0  505   15 100  0  0  0  0
 2  0      0 121808   4252  33184    0    0     0     0  502   24 100  1  0  0  0
 2  0      0 121808   4252  33184    0    0     0   124  508   31 99  1  0  0  0
 3  0      0 121808   4252  33184    0    0     0     0  504   16 100  0  0  0  0
 2  0      0 121808   4252  33184    0    0     0     0  495   16 99  1  0  0  0
 2  0      0 121808   4252  33184    0    0     0     0  506   20 100  0  0  0  0
 2  0      0 121808   4252  33184    0    0     0     0  500   24 99  1  0  0  0
 2  0      0 121808   4252  33184    0    0     0     0  507   14 100  0  0  0  0
 2  0      0 121808   4252  33184    0    0     0     0  499   16 100  0  0  0  0
 3  0      0 121808   4252  33184    0    0     0     0  504   20 100  0  0  0  0
 2  0      0 121808   4252  33184    0    0     0     0  499   16 100  0  0  0  0
 2  0      0 121808   4252  33184    0    0     0     0  498   20 99  1  0  0  0
 2  0      0 121808   4252  33184    0    0     0     0  512   20 100  0  0  0  0
 2  0      0 121808   4252  33184    0    0     0     0  542   38 96  4  0  0  0
 2  0      0 121808   4252  33184    0    0     0     0  542   45 93  7  0  0  0
===VMSTAT_END===
========== SPEEDOMETER RT APPLICATION RESULTS ==========
Test Configuration:
Period: 50.000 ms
Deadline: 5.000 ms
RT Priority: 99 (SCHED_FIFO)
Execution Statistics:
Total cycles: 300
Deadline misses: 2 (0.667%)
Execution Time (μs):
Mean: 210.269
Min: 129.824
Max: 1527.824
50th percentile: 144.080
95th percentile: 1072.816
99th percentile: 1232.096
99.9th percentile: 1527.824
Jitter (μs):
Mean: 2314.975
Min: 1428.064
Max: 16302.704
Response Time (μs):
Mean: 2525.245
Min: 1560.032
Max: 16591.792
50th percentile: 2664.272
95th percentile: 3954.720
99th percentile: 4325.952
99.9th percentile: 16591.792
========================================================
===VMSTAT_START===
(no vmstat data captured)
===VMSTAT_END===
===CSV_START===
cycle,timestamp_s,execution_time_us,jitter_us,response_time_us,deadline_miss
1,0.052966,1057.808,2966.032,4023.840,0
2,0.102730,140.208,2729.584,2869.792,0
3,0.152871,1101.616,2871.376,3972.992,0
4,0.202474,140.800,2474.368,2615.168,0
5,0.252550,148.944,2549.824,2698.768,0
6,0.301704,150.992,1704.016,1855.008,0
7,0.352860,1081.248,2859.744,3940.992,0
8,0.402480,143.120,2480.208,2623.328,0
9,0.452928,1259.456,2927.936,4187.392,0
10,0.501523,190.736,1522.976,1713.712,0
11,0.552837,1027.904,2837.184,3865.088,0
12,0.602883,185.616,2882.656,3068.272,0
13,0.652725,132.192,2724.912,2857.104,0
14,0.702535,144.080,2534.560,2678.640,0
15,0.752831,160.272,2830.800,2991.072,0
16,0.802525,132.944,2524.544,2657.488,0
17,0.851822,182.256,1822.032,2004.288,0
18,0.902422,263.872,2422.288,2686.160,0
19,0.952835,162.064,2835.056,2997.120,0
20,1.002666,181.552,2666.288,2847.840,0
21,1.052543,188.000,2543.088,2731.088,0
22,1.101854,147.616,1853.776,2001.392,0
23,1.152785,158.320,2785.248,2943.568,0
24,1.202530,180.624,2530.256,2710.880,0
25,1.252802,149.504,2802.448,2951.952,0
26,1.302666,133.712,2665.616,2799.328,0
27,1.352791,148.336,2791.200,2939.536,0
28,1.402519,132.752,2518.704,2651.456,0
29,1.452818,152.336,2817.664,2970.000,0
30,1.502461,174.592,2460.928,2635.520,0
31,1.552855,1072.816,2854.832,3927.648,0
32,1.602648,154.208,2647.616,2801.824,0
33,1.652694,131.824,2694.416,2826.240,0
34,1.701722,131.776,1722.176,1853.952,0
35,1.751855,164.240,1854.976,2019.216,0
36,1.802670,133.840,2670.000,2803.840,0
37,1.852814,151.264,2813.888,2965.152,0
38,1.902509,156.464,2508.976,2665.440,0
39,1.951855,147.424,1855.424,2002.848,0
40,2.002522,134.816,2521.904,2656.720,0
41,2.051651,132.944,1650.976,1783.920,0
42,2.102698,131.664,2697.936,2829.600,0
43,2.152798,1527.824,2798.128,4325.952,0
44,2.201696,141.584,1695.760,1837.344,0
45,2.252739,142.624,2739.280,2881.904,0
46,2.301818,131.376,1818.448,1949.824,0
47,2.352690,141.344,2690.016,2831.360,0
48,2.401667,132.016,1667.392,1799.408,0
49,2.452868,1063.520,2867.824,3931.344,0
50,2.502567,159.744,2566.688,2726.432,0
51,2.551702,135.664,1701.760,1837.424,0
52,2.602531,158.416,2531.088,2689.504,0
53,2.651894,154.432,1894.160,2048.592,0
54,2.701704,155.632,1703.856,1859.488,0
55,2.751577,172.800,1576.592,1749.392,0
56,2.802683,164.224,2682.800,2847.024,0
57,2.851839,133.312,1838.752,1972.064,0
58,2.901717,132.272,1716.608,1848.880,0
59,2.951833,132.800,1832.768,1965.568,0
60,3.002672,135.632,2672.448,2808.080,0
61,3.051668,134.736,1667.968,1802.704,0
62,3.101638,133.536,1638.304,1771.840,0
63,3.151845,153.776,1845.392,1999.168,0
64,3.202666,163.296,2665.888,2829.184,0
65,3.252766,151.808,2766.368,2918.176,0
66,3.301663,153.696,1662.656,1816.352,0
67,3.351557,147.584,1556.944,1704.528,0
68,3.402552,173.168,2551.776,2724.944,0
69,3.451861,129.824,1861.440,1991.264,0
70,3.501783,152.672,1783.472,1936.144,0
71,3.551816,155.120,1815.760,1970.880,0
72,3.602532,142.640,2531.728,2674.368,0
73,3.651707,167.776,1706.960,1874.736,0
74,3.702534,165.872,2534.304,2700.176,0
75,3.752811,1185.984,2810.752,3996.736,0
76,3.802573,131.344,2573.280,2704.624,0
77,3.851684,144.560,1683.744,1828.304,0
78,3.902674,140.960,2673.584,2814.544,0
79,3.952916,143.440,2915.568,3059.008,0
80,4.002682,149.360,2682.464,2831.824,0
81,4.052807,151.424,2807.472,2958.896,0
82,4.101480,151.552,1480.064,1631.616,0
83,4.151885,171.552,1885.280,2056.832,0
84,4.201570,154.832,1569.600,1724.432,0
85,4.252827,160.592,2827.360,2987.952,0
86,4.302502,137.168,2501.856,2639.024,0
87,4.351793,133.200,1793.264,1926.464,0
88,4.402701,165.696,2700.800,2866.496,0
89,4.452875,222.368,2874.560,3096.928,0
90,4.501552,141.328,1552.272,1693.600,0
91,4.551526,191.120,1525.856,1716.976,0
92,4.602753,136.192,2752.656,2888.848,0
93,4.652874,1232.096,2874.144,4106.240,0
94,4.702506,132.512,2506.320,2638.832,0
95,4.752808,1176.112,2808.128,3984.240,0
96,4.801664,160.032,1664.448,1824.480,0
97,4.851802,167.520,1801.536,1969.056,0
98,4.902464,171.440,2464.064,2635.504,0
99,4.951741,142.592,1740.656,1883.248,0
100,5.002677,152.448,2677.456,2829.904,0
101,5.052755,140.352,2754.752,2895.104,0
102,5.102534,133.440,2534.192,2667.632,0
103,5.151858,133.632,1857.520,1991.152,0
104,5.202566,140.720,2566.416,2707.136,0
105,5.252868,149.296,2867.632,3016.928,0
106,5.302494,144.192,2493.968,2638.160,0
107,5.352860,1182.784,2860.432,4043.216,0
108,5.402543,172.048,2543.248,2715.296,0
109,5.452781,152.272,2780.576,2932.848,0
110,5.502461,135.904,2460.816,2596.720,0
111,5.552701,130.720,2701.216,2831.936,0
112,5.602563,208.944,2562.768,2771.712,0
113,5.652722,131.104,2722.384,2853.488,0
114,5.701559,167.536,1559.248,1726.784,0
115,5.751797,132.464,1797.216,1929.680,0
116,5.802796,132.336,2795.536,2927.872,0
117,5.851664,178.992,1664.000,1842.992,0
118,5.902509,163.872,2508.608,2672.480,0
119,5.952721,131.296,2721.232,2852.528,0
120,6.002561,132.752,2560.880,2693.632,0
121,6.052856,153.008,2855.920,3008.928,0
122,6.102497,137.152,2497.408,2634.560,0
123,6.152783,148.528,2782.768,2931.296,0
124,6.202467,199.072,2467.248,2666.320,0
125,6.252816,150.768,2815.728,2966.496,0
126,6.301547,192.160,1546.896,1739.056,0
127,6.351856,172.064,1855.680,2027.744,0
128,6.401762,141.232,1762.336,1903.568,0
129,6.451700,132.128,1699.552,1831.680,0
130,6.502510,134.352,2510.384,2644.736,0
131,6.551551,152.976,1550.960,1703.936,0
132,6.602819,132.368,2819.328,2951.696,0
133,6.652829,1137.008,2828.720,3965.728,0
134,6.702504,133.376,2504.448,2637.824,0
135,6.751660,134.720,1660.032,1794.752,0
136,6.802561,141.584,2561.168,2702.752,0
137,6.852036,141.712,2035.904,2177.616,0
138,6.902563,169.792,2563.168,2732.960,0
139,6.951789,184.192,1788.784,1972.976,0
140,7.002540,163.440,2539.808,2703.248,0
141,7.052954,132.688,2954.384,3087.072,0
142,7.102514,132.400,2514.000,2646.400,0
143,7.152692,131.360,2691.536,2822.896,0
144,7.216303,289.088,16302.704,16591.792,1
145,7.253541,185.136,3541.472,3726.608,0
146,7.302500,135.776,2500.384,2636.160,0
147,7.351772,170.336,1772.048,1942.384,0
148,7.402537,144.912,2537.184,2682.096,0
149,7.452693,131.424,2693.232,2824.656,0
150,7.502524,172.752,2524.432,2697.184,0
151,7.551714,134.320,1713.520,1847.840,0
152,7.602687,140.048,2686.880,2826.928,0
153,7.652796,153.152,2795.728,2948.880,0
154,7.702513,134.592,2513.392,2647.984,0
155,7.751549,138.480,1548.896,1687.376,0
156,7.802675,164.112,2675.024,2839.136,0
157,7.851848,138.976,1848.208,1987.184,0
158,7.902827,132.000,2827.008,2959.008,0
159,7.952890,1197.648,2889.792,4087.440,0
160,8.002685,132.992,2684.576,2817.568,0
161,8.051861,132.144,1860.976,1993.120,0
162,8.102556,134.832,2555.792,2690.624,0
163,8.151487,208.256,1486.640,1694.896,0
164,8.202513,174.560,2512.864,2687.424,0
165,8.251689,138.688,1689.184,1827.872,0
166,8.302514,132.448,2514.384,2646.832,0
167,8.351849,146.736,1848.976,1995.712,0
168,8.401771,150.480,1770.608,1921.088,0
169,8.452700,144.448,2700.064,2844.512,0
170,8.502515,133.168,2515.136,2648.304,0
171,8.552712,134.016,2712.016,2846.032,0
172,8.602564,176.288,2563.936,2740.224,0
173,8.652190,168.080,2190.352,2358.432,0
174,8.702531,150.640,2530.560,2681.200,0
175,8.752788,150.800,2788.240,2939.040,0
176,8.802549,139.840,2549.472,2689.312,0
177,8.852024,132.960,2024.208,2157.168,0
178,8.902522,169.056,2521.776,2690.832,0
179,8.952794,152.752,2794.320,2947.072,0
180,9.001805,150.544,1805.312,1955.856,0
181,9.052770,151.328,2770.304,2921.632,0
182,9.102530,162.384,2529.808,2692.192,0
183,9.152810,150.336,2810.272,2960.608,0
184,9.201552,160.352,1551.536,1711.888,0
185,9.256780,144.304,6779.552,6923.856,1
186,9.301467,135.136,1467.184,1602.320,0
187,9.351557,132.560,1557.312,1689.872,0
188,9.402530,165.440,2530.208,2695.648,0
189,9.452790,139.280,2790.128,2929.408,0
190,9.502642,132.192,2642.416,2774.608,0
191,9.551560,163.424,1560.240,1723.664,0
192,9.602567,142.400,2567.376,2709.776,0
193,9.651865,135.808,1864.976,2000.784,0
194,9.702614,177.216,2613.856,2791.072,0
195,9.752818,153.808,2818.128,2971.936,0
196,9.801673,166.720,1673.072,1839.792,0
197,9.852712,140.896,2711.536,2852.432,0
198,9.902659,132.720,2658.816,2791.536,0
199,9.951727,133.536,1726.576,1860.112,0
200,10.002524,199.840,2523.648,2723.488,0
201,10.052753,141.392,2752.512,2893.904,0
202,10.101683,163.040,1683.328,1846.368,0
203,10.152720,132.288,2720.336,2852.624,0
204,10.202470,171.504,2469.936,2641.440,0
205,10.252788,133.328,2788.464,2921.792,0
206,10.301493,163.808,1493.312,1657.120,0
207,10.352720,131.040,2719.936,2850.976,0
208,10.401767,144.928,1766.800,1911.728,0
209,10.451691,206.672,1690.528,1897.200,0
210,10.502480,174.576,2480.096,2654.672,0
211,10.551706,144.416,1706.304,1850.720,0
212,10.602470,179.504,2469.968,2649.472,0
213,10.652799,152.208,2799.200,2951.408,0
214,10.701489,138.672,1489.040,1627.712,0
215,10.751490,141.984,1489.584,1631.568,0
216,10.801681,177.616,1681.296,1858.912,0
217,10.851848,132.048,1847.568,1979.616,0
218,10.902558,157.072,2558.032,2715.104,0
219,10.952690,133.040,2689.696,2822.736,0
220,11.002548,175.072,2547.872,2722.944,0
221,11.052819,1138.976,2819.424,3958.400,0
222,11.101804,132.448,1804.064,1936.512,0
223,11.152690,141.504,2690.240,2831.744,0
224,11.202531,133.184,2531.088,2664.272,0
225,11.252826,1124.400,2825.552,3949.952,0
226,11.301947,193.040,1946.704,2139.744,0
227,11.352761,132.720,2761.056,2893.776,0
228,11.402554,153.680,2554.432,2708.112,0
229,11.452792,130.528,2792.208,2922.736,0
230,11.502512,135.376,2511.808,2647.184,0
231,11.551518,135.248,1517.840,1653.088,0
232,11.602533,165.280,2533.264,2698.544,0
233,11.652764,134.464,2764.320,2898.784,0
234,11.702525,131.296,2525.264,2656.560,0
235,11.752566,133.360,2566.160,2699.520,0
236,11.802671,171.600,2671.152,2842.752,0
237,11.851843,131.872,1842.912,1974.784,0
238,11.901692,134.048,1691.568,1825.616,0
239,11.952713,131.792,2712.784,2844.576,0
240,12.002554,133.424,2553.552,2686.976,0
241,12.052798,150.816,2798.144,2948.960,0
242,12.102547,173.248,2547.120,2720.368,0
243,12.152872,1082.800,2871.920,3954.720,0
244,12.202561,153.376,2561.344,2714.720,0
245,12.251529,134.112,1528.864,1662.976,0
246,12.302537,143.680,2536.800,2680.480,0
247,12.352715,131.376,2714.576,2845.952,0
248,12.402561,150.912,2561.184,2712.096,0
249,12.452795,147.344,2795.216,2942.560,0
250,12.502527,133.360,2527.264,2660.624,0
251,12.552722,134.768,2721.856,2856.624,0
252,12.602534,143.744,2533.856,2677.600,0
253,12.652847,162.016,2847.184,3009.200,0
254,12.701681,182.832,1680.656,1863.488,0
255,12.751554,188.128,1554.080,1742.208,0
256,12.801681,149.472,1681.248,1830.720,0
257,12.852670,181.696,2669.920,2851.616,0
258,12.902418,216.800,2418.176,2634.976,0
259,12.952384,225.520,2383.856,2609.376,0
260,13.002555,182.944,2554.512,2737.456,0
261,13.052880,1099.568,2880.288,3979.856,0
262,13.101769,132.592,1768.848,1901.440,0
263,13.152794,176.240,2794.128,2970.368,0
264,13.202554,132.704,2553.616,2686.320,0
265,13.251560,141.680,1560.000,1701.680,0
266,13.301448,131.104,1448.224,1579.328,0
267,13.351530,132.432,1530.496,1662.928,0
268,13.402432,130.464,2432.496,2562.960,0
269,13.451478,140.224,1478.432,1618.656,0
270,13.501467,130.528,1466.832,1597.360,0
271,13.551436,130.368,1436.464,1566.832,0
272,13.601447,130.432,1446.880,1577.312,0
273,13.651472,140.800,1472.368,1613.168,0
274,13.701467,130.656,1467.232,1597.888,0
275,13.751508,141.312,1508.064,1649.376,0
276,13.801451,131.168,1450.704,1581.872,0
277,13.851477,141.328,1477.216,1618.544,0
278,13.901492,131.184,1491.936,1623.120,0
279,13.951481,141.248,1481.008,1622.256,0
280,14.001485,131.264,1485.232,1616.496,0
281,14.051507,141.552,1507.008,1648.560,0
282,14.102445,131.392,2445.424,2576.816,0
283,14.151497,141.408,1497.328,1638.736,0
284,14.201474,131.744,1473.904,1605.648,0
285,14.251473,141.264,1473.440,1614.704,0
286,14.301437,131.296,1437.168,1568.464,0
287,14.351454,141.504,1453.776,1595.280,0
288,14.401486,131.424,1485.872,1617.296,0
289,14.451495,141.952,1494.816,1636.768,0
290,14.501536,131.632,1536.384,1668.016,0
291,14.551437,144.288,1436.800,1581.088,0
292,14.601464,133.888,1463.856,1597.744,0
293,14.651467,142.048,1466.560,1608.608,0
294,14.701534,132.144,1534.080,1666.224,0
295,14.751469,141.808,1469.264,1611.072,0
296,14.801428,131.968,1428.064,1560.032,0
297,14.851473,141.840,1473.040,1614.880,0
298,14.901463,132.016,1463.488,1595.504,0
299,14.951485,141.680,1484.560,1626.240,0
300,15.001476,131.504,1476.336,1607.840,0
===CSV_END===
Run #27 completed. Waiting for next START command...
Waiting for START command from li VM...
