========================================
Signal Sender Workload (Synchronized)
========================================
Initializing shared memory...
Waiting for speedometer to register...
Found speedometer in shared memory!
Sending START command to speedometer: START: 15;5;20

Running workload signal period for 15 seconds...

Workload signal period completed.
Sending STOP command to speedometer...
Waiting for statistics from speedometer...

Stress workload terminated.
===VMSTAT_START===
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 121820   4252  33184    0    0    12     7  253   38 91  7  1  0  0
 3  0      0 121700   4252  33184    0    0     0     0  505   19 100  0  0  0  0
 3  0      0 121700   4252  33184    0    0     0     0  508   16 99  1  0  0  0
 2  0      0 121700   4252  33184    0    0     0     0  506   16 100  0  0  0  0
 3  0      0 121700   4252  33184    0    0     0     0  507   16 100  0  0  0  0
 2  0      0 121700   4252  33184    0    0     0   124  511   33 99  1  0  0  0
 2  0      0 121700   4252  33184    0    0     0     0  507   16 100  0  0  0  0
 2  0      0 121700   4252  33184    0    0     0     0  507   18 100  0  0  0  0
 2  0      0 121700   4252  33184    0    0     0     0  508   18 100  0  0  0  0
 2  0      0 121700   4252  33184    0    0     0     0  507   20 100  0  0  0  0
 2  0      0 121700   4252  33184    0    0     0     0  499   16 99  1  0  0  0
 2  0      0 121700   4252  33184    0    0     0     0  506   18 100  0  0  0  0
 2  0      0 121700   4252  33184    0    0     0     0  508   18 100  0  0  0  0
 3  0      0 121700   4252  33184    0    0     0     0  505   19 100  0  0  0  0
 2  0      0 121700   4252  33184    0    0     0     0  505   16 100  0  0  0  0
 2  0      0 121700   4252  33184    0    0     0     0  518   30 98  2  0  0  0
 2  0      0 121700   4252  33184    0    0     0     0  535   45 94  6  0  0  0
===VMSTAT_END===
========== SPEEDOMETER RT APPLICATION RESULTS ==========
Test Configuration:
Period: 50.000 ms
Deadline: 5.000 ms
RT Priority: 99 (SCHED_FIFO)
Execution Statistics:
Total cycles: 300
Deadline misses: 0 (0.000%)
Execution Time (μs):
Mean: 175.152
Min: 130.000
Max: 1266.176
50th percentile: 152.752
95th percentile: 210.032
99th percentile: 1230.704
99.9th percentile: 1266.176
Jitter (μs):
Mean: 1765.355
Min: 1067.696
Max: 4640.112
Response Time (μs):
Mean: 1940.507
Min: 1296.544
Max: 4851.888
50th percentile: 1700.480
95th percentile: 2610.272
99th percentile: 3745.488
99.9th percentile: 4851.888
========================================================
===VMSTAT_START===
(no vmstat data captured)
===VMSTAT_END===
===CSV_START===
cycle,timestamp_s,execution_time_us,jitter_us,response_time_us,deadline_miss
1,0.051372,135.072,1372.096,1507.168,0
2,0.101528,130.000,1528.432,1658.432,0
3,0.151326,174.800,1326.384,1501.184,0
4,0.201537,171.248,1536.544,1707.792,0
5,0.251379,140.208,1378.800,1519.008,0
6,0.301372,133.200,1371.792,1504.992,0
7,0.351397,142.752,1397.168,1539.920,0
8,0.401434,131.456,1433.600,1565.056,0
9,0.451443,131.360,1443.168,1574.528,0
10,0.501633,133.504,1632.512,1766.016,0
11,0.551520,176.960,1519.680,1696.640,0
12,0.601373,131.792,1372.832,1504.624,0
13,0.651309,164.464,1308.736,1473.200,0
14,0.701692,133.008,1691.760,1824.768,0
15,0.751363,133.648,1362.512,1496.160,0
16,0.801699,170.992,1698.784,1869.776,0
17,0.851388,146.480,1388.496,1534.976,0
18,0.901518,182.240,1518.240,1700.480,0
19,0.951366,133.312,1365.872,1499.184,0
20,1.001624,147.408,1623.712,1771.120,0
21,1.051421,131.248,1420.944,1552.192,0
22,1.101542,232.880,1541.888,1774.768,0
23,1.151387,141.360,1387.168,1528.528,0
24,1.201368,169.504,1367.552,1537.056,0
25,1.251362,135.168,1362.368,1497.536,0
26,1.301673,144.096,1672.768,1816.864,0
27,1.351389,131.856,1388.784,1520.640,0
28,1.401598,168.624,1597.632,1766.256,0
29,1.451468,132.208,1468.496,1600.704,0
30,1.501665,131.584,1665.296,1796.880,0
31,1.551384,131.456,1383.968,1515.424,0
32,1.601507,166.208,1507.008,1673.216,0
33,1.651463,131.744,1463.088,1594.832,0
34,1.701492,134.656,1492.144,1626.800,0
35,1.751379,133.216,1379.472,1512.688,0
36,1.801503,132.336,1502.944,1635.280,0
37,1.851481,131.600,1481.344,1612.944,0
38,1.901667,131.328,1666.960,1798.288,0
39,1.951464,132.704,1463.968,1596.672,0
40,2.001638,133.904,1638.144,1772.048,0
41,2.051373,132.864,1372.992,1505.856,0
42,2.101780,210.032,1779.616,1989.648,0
43,2.151351,139.744,1351.408,1491.152,0
44,2.201633,141.296,1632.576,1773.872,0
45,2.251432,132.128,1432.096,1564.224,0
46,2.301545,145.200,1544.912,1690.112,0
47,2.351338,133.472,1338.176,1471.648,0
48,2.401588,163.824,1587.776,1751.600,0
49,2.451468,132.608,1467.856,1600.464,0
50,2.501483,132.752,1483.312,1616.064,0
51,2.551525,133.808,1524.688,1658.496,0
52,2.601395,162.048,1395.056,1557.104,0
53,2.651351,131.664,1350.944,1482.608,0
54,2.701517,130.688,1517.360,1648.048,0
55,2.751345,131.216,1345.440,1476.656,0
56,2.801471,131.856,1470.592,1602.448,0
57,2.851360,143.152,1359.664,1502.816,0
58,2.901068,232.288,1067.696,1299.984,0
59,2.951377,132.768,1377.456,1510.224,0
60,3.001514,168.544,1513.984,1682.528,0
61,3.051385,131.904,1384.736,1516.640,0
62,3.101582,171.024,1582.432,1753.456,0
63,3.151331,132.256,1330.672,1462.928,0
64,3.201549,161.680,1549.024,1710.704,0
65,3.251384,134.864,1384.128,1518.992,0
66,3.301534,155.088,1533.696,1688.784,0
67,3.351406,131.472,1405.904,1537.376,0
68,3.401549,152.512,1548.912,1701.424,0
69,3.451380,132.496,1380.352,1512.848,0
70,3.501527,143.552,1527.008,1670.560,0
71,3.551472,132.848,1471.872,1604.720,0
72,3.601397,133.312,1396.832,1530.144,0
73,3.651337,133.216,1337.392,1470.608,0
74,3.701584,167.600,1584.272,1751.872,0
75,3.751463,132.304,1462.880,1595.184,0
76,3.801469,152.080,1469.424,1621.504,0
77,3.851384,140.496,1384.192,1524.688,0
78,3.901377,167.008,1377.488,1544.496,0
79,3.951386,132.304,1385.920,1518.224,0
80,4.001482,197.600,1481.504,1679.104,0
81,4.051540,183.792,1539.968,1723.760,0
82,4.101614,173.696,1613.712,1787.408,0
83,4.151477,142.416,1476.864,1619.280,0
84,4.201395,131.360,1395.024,1526.384,0
85,4.251356,139.808,1355.664,1495.472,0
86,4.301627,217.072,1627.440,1844.512,0
87,4.351494,131.232,1493.696,1624.928,0
88,4.401388,142.064,1387.984,1530.048,0
89,4.451366,136.416,1365.936,1502.352,0
90,4.501491,131.312,1490.912,1622.224,0
91,4.551389,142.864,1389.328,1532.192,0
92,4.601609,154.352,1609.424,1763.776,0
93,4.652139,136.496,2139.328,2275.824,0
94,4.701461,189.296,1460.528,1649.824,0
95,4.752170,163.440,2169.760,2333.200,0
96,4.802371,131.696,2371.232,2502.928,0
97,4.852116,172.224,2116.064,2288.288,0
98,4.901199,164.960,1199.184,1364.144,0
