========================================
Signal Sender Workload (Synchronized)
========================================
Initializing shared memory...
Waiting for speedometer to register...
Found speedometer in shared memory!
Sending START command to speedometer: START: 15;5;20

Running workload signal period for 15 seconds...

Workload signal period completed.
Sending STOP command to speedometer...
Waiting for statistics from speedometer...

Stress workload terminated.
===VMSTAT_START===
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0      0 121856   3588  33152    0    0    77     9  246  142 76 15  9  0  0
 4  0      0 121736   3588  33152    0    0     0     0  510  244 100  0  0  0  0
 4  0      0 121736   3588  33152    0    0     0     0  499  256 99  1  0  0  0
 4  0      0 121736   3596  33144    0    0     0   124  509  248 98  3  0  0  0
 4  0      0 121736   3596  33152    0    0     0     0  506  263 100  0  0  0  0
 4  0      0 121736   3596  33152    0    0     0     0  509  261 100  0  0  0  0
 4  0      0 121736   3596  33152    0    0     0     0  496  257 99  1  0  0  0
 5  0      0 121736   3596  33152    0    0     0     0  507  259 100  0  0  0  0
 4  0      0 121736   3596  33152    0    0     0     0  504  266 100  0  0  0  0
 4  0      0 121736   3596  33152    0    0     0     0  507  260 100  0  0  0  0
 4  0      0 121736   3596  33152    0    0     0     0  507  263 100  0  0  0  0
 4  0      0 121736   3596  33152    0    0     0     0  504  258 100  0  0  0  0
 4  0      0 121736   3596  33152    0    0     0     0  507  264 100  0  0  0  0
 4  0      0 121736   3596  33152    0    0     0     0  506  262 100  0  0  0  0
 4  0      0 121736   3596  33152    0    0     0     0  503  261 100  0  0  0  0
 4  0      0 121736   3596  33152    0    0     0     0  537  279 96  4  0  0  0
 4  0      0 121736   3596  33152    0    0     0     0  541  272 95  5  0  0  0
===VMSTAT_END===
========== SPEEDOMETER RT APPLICATION RESULTS ==========
Test Configuration:
Period: 50.000 ms
Deadline: 5.000 ms
RT Priority: 99 (SCHED_FIFO)
Execution Statistics:
Total cycles: 299
Deadline misses: 3 (1.003%)
Execution Time (μs):
Mean: 365.020
Min: 155.488
Max: 2435.264
50th percentile: 213.872
95th percentile: 1229.776
99th percentile: 1718.000
99.9th percentile: 2435.264
Jitter (μs):
Mean: 2245.221
Min: 1161.456
Max: 6195.632
Response Time (μs):
Mean: 2610.241
Min: 1342.640
Max: 6437.712
50th percentile: 2334.000
95th percentile: 3787.904
99th percentile: 5610.768
99.9th percentile: 6437.712
========================================================
===VMSTAT_START===
(no vmstat data captured)
===VMSTAT_END===
===CSV_START===
cycle,timestamp_s,execution_time_us,jitter_us,response_time_us,deadline_miss
1,0.053377,411.216,3376.688,3787.904,0
2,0.103242,234.752,3242.000,3476.752,0
3,0.151240,211.168,1239.504,1450.672,0
4,0.202360,202.960,2359.808,2562.768,0
5,0.252030,155.488,2029.520,2185.008,0
6,0.302355,1176.672,2355.008,3531.680,0
7,0.351279,156.976,1278.960,1435.936,0
8,0.401532,235.680,1532.256,1767.936,0
9,0.453394,199.760,3393.552,3593.312,0
10,0.502111,828.064,2110.688,2938.752,0
11,0.551260,158.848,1259.936,1418.784,0
12,0.601450,212.432,1449.648,1662.080,0
13,0.652107,177.024,2106.656,2283.680,0
14,0.701439,158.000,1439.168,1597.168,0
15,0.753334,176.592,3333.792,3510.384,0
16,0.801427,182.256,1427.376,1609.632,0
17,0.853264,182.048,3263.888,3445.936,0
18,0.902220,157.456,2219.872,2377.328,0
19,0.952080,205.984,2079.712,2285.696,0
20,1.002254,735.376,2253.776,2989.152,0
21,1.052123,208.352,2122.816,2331.168,0
22,1.102350,1076.992,2350.000,3426.992,0
23,1.151353,241.008,1353.248,1594.256,0
24,1.202357,1053.440,2357.392,3410.832,0
25,1.252423,306.928,2422.960,2729.888,0
26,1.301587,2435.264,1586.528,4021.792,0
27,1.352259,279.328,2258.624,2537.952,0
28,1.402441,242.176,2441.184,2683.360,0
29,1.452050,231.232,2049.824,2281.056,0
30,1.502375,1080.240,2374.544,3454.784,0
31,1.552013,223.456,2013.472,2236.928,0
32,1.602213,1035.792,2213.296,3249.088,0
33,1.651161,181.184,1161.456,1342.640,0
34,1.702285,1247.904,2284.576,3532.480,0
35,1.752170,218.688,2169.536,2388.224,0
36,1.802306,1062.560,2306.464,3369.024,0
37,1.852038,213.872,2038.352,2252.224,0
38,1.902324,1009.168,2324.064,3333.232,0
39,1.952091,201.360,2090.656,2292.016,0
40,2.002405,218.784,2404.992,2623.776,0
41,2.052397,414.544,2396.976,2811.520,0
42,2.102393,165.984,2393.296,2559.280,0
43,2.152172,176.816,2172.176,2348.992,0
44,2.202177,990.992,2177.296,3168.288,0
45,2.252180,204.560,2180.448,2385.008,0
46,2.302240,1267.376,2239.632,3507.008,0
47,2.352085,187.568,2085.024,2272.592,0
48,2.402339,221.952,2338.800,2560.752,0
49,2.451996,270.496,1996.064,2266.560,0
50,2.502305,223.200,2305.328,2528.528,0
51,2.552284,288.352,2283.872,2572.224,0
52,2.602182,715.328,2181.552,2896.880,0
53,2.652033,226.928,2032.512,2259.440,0
54,2.702162,183.968,2161.968,2345.936,0
55,2.752069,220.672,2068.912,2289.584,0
