========================================
Signal Sender Workload (Synchronized)
========================================
Initializing shared memory...
Waiting for speedometer to register...
Found speedometer in shared memory!
Sending START command to speedometer: START: 15;5;20

Running workload signal period for 15 seconds...

Workload signal period completed.
Sending STOP command to speedometer...
Waiting for statistics from speedometer...

Stress workload terminated.
===VMSTAT_START===
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0      0 121508   3900  33176    0    0    19     8  252  140 90  8  2  0  0
 4  0      0 121508   3900  33180    0    0     0     0  507  258 100  0  0  0  0
 4  0      0 121508   3900  33180    0    0     0     0  506  260 100  0  0  0  0
 4  0      0 121508   3900  33180    0    0     0     0  507  260 100  0  0  0  0
 4  0      0 121508   3908  33172    0    0     0   124  511  272 100  0  0  0  0
 4  0      0 121508   3908  33180    0    0     0     0  508  265 100  0  0  0  0
 4  0      0 121508   3908  33180    0    0     0     0  503  258 100  0  0  0  0
 4  0      0 121508   3908  33180    0    0     0     0  507  261 100  0  0  0  0
 4  0      0 121508   3908  33180    0    0     0     0  507  263 100  0  0  0  0
 5  0      0 121508   3908  33180    0    0     0     0  503  261 100  0  0  0  0
 4  0      0 121508   3908  33180    0    0     0     0  506  260 100  0  0  0  0
 4  0      0 121508   3908  33180    0    0     0     0  507  256 100  0  0  0  0
 4  0      0 121508   3908  33180    0    0     0     0  506  259 100  0  0  0  0
 4  0      0 121508   3908  33180    0    0     0     0  504  264 100  0  0  0  0
 4  0      0 121508   3908  33180    0    0     0     0  507  262 100  0  0  0  0
 4  0      0 121508   3908  33180    0    0     0     0  534  277 95  5  0  0  0
 4  0      0 121508   3908  33180    0    0     0     0  539  270 87 13  0  0  0
===VMSTAT_END===
========== SPEEDOMETER RT APPLICATION RESULTS ==========
Test Configuration:
Period: 50.000 ms
Deadline: 5.000 ms
RT Priority: 99 (SCHED_FIFO)
Execution Statistics:
Total cycles: 300
Deadline misses: 0 (0.000%)
Execution Time (μs):
Mean: 279.383
Min: 135.936
Max: 1707.696
50th percentile: 175.056
95th percentile: 1137.120
99th percentile: 1297.552
99.9th percentile: 1707.696
Jitter (μs):
Mean: 2197.722
Min: 1028.048
Max: 3699.712
Response Time (μs):
Mean: 2477.105
Min: 1165.088
Max: 3932.016
50th percentile: 2271.392
95th percentile: 3432.240
99th percentile: 3676.528
99.9th percentile: 3932.016
========================================================
===VMSTAT_START===
(no vmstat data captured)
===VMSTAT_END===
===CSV_START===
cycle,timestamp_s,execution_time_us,jitter_us,response_time_us,deadline_miss
1,0.053348,187.888,3348.352,3536.240,0
2,0.101938,139.168,1937.856,2077.024,0
3,0.152147,156.384,2146.656,2303.040,0
4,0.201894,187.360,1893.568,2080.928,0
5,0.252943,160.576,2942.576,3103.152,0
6,0.303192,137.216,3192.384,3329.600,0
7,0.352173,1210.496,2172.928,3383.424,0
8,0.401187,136.176,1186.864,1323.040,0
9,0.452285,1209.312,2284.528,3493.840,0
10,0.502040,137.696,2040.016,2177.712,0
11,0.552143,965.088,2142.880,3107.968,0
12,0.601872,170.848,1871.712,2042.560,0
13,0.652196,144.384,2195.792,2340.176,0
14,0.703005,146.992,3005.184,3152.176,0
15,0.752219,136.624,2219.056,2355.680,0
16,0.803198,178.800,3198.096,3376.896,0
17,0.851432,156.976,1432.032,1589.008,0
18,0.901884,196.896,1884.288,2081.184,0
19,0.952215,141.104,2214.896,2356.000,0
20,1.001943,139.200,1943.232,2082.432,0
21,1.052201,137.184,2201.376,2338.560,0
22,1.103220,146.512,3219.856,3366.368,0
23,1.151289,137.456,1289.104,1426.560,0
24,1.201933,146.384,1933.184,2079.568,0
25,1.252896,181.840,2896.288,3078.128,0
26,1.301888,251.264,1887.808,2139.072,0
27,1.352207,162.272,2206.848,2369.120,0
28,1.401967,155.760,1967.472,2123.232,0
29,1.451363,139.120,1362.880,1502.000,0
30,1.501965,137.696,1965.136,2102.832,0
31,1.551318,197.632,1318.208,1515.840,0
32,1.601868,188.032,1868.368,2056.400,0
33,1.651314,173.920,1313.728,1487.648,0
34,1.701877,185.440,1876.768,2062.208,0
35,1.752276,1082.688,2275.728,3358.416,0
36,1.801934,171.680,1934.160,2105.840,0
37,1.852034,1137.072,2034.224,3171.296,0
38,1.901859,199.072,1859.328,2058.400,0
39,1.952120,1218.736,2119.648,3338.384,0
40,2.001881,183.568,1880.880,2064.448,0
41,2.052211,138.864,2211.152,2350.016,0
42,2.102061,210.112,2060.864,2270.976,0
43,2.152198,1118.672,2197.600,3316.272,0
44,2.201971,173.712,1971.216,2144.928,0
45,2.252257,207.072,2257.200,2464.272,0
46,2.302019,137.488,2019.024,2156.512,0
47,2.352979,148.256,2979.008,3127.264,0
48,2.403485,162.016,3485.136,3647.152,0
49,2.453056,197.760,3055.840,3253.600,0
50,2.501215,137.712,1214.864,1352.576,0
51,2.552127,198.848,2127.440,2326.288,0
52,2.601182,151.408,1181.936,1333.344,0
53,2.652073,188.816,2073.008,2261.824,0
54,2.701934,179.776,1933.952,2113.728,0
55,2.752039,995.632,2039.056,3034.688,0
56,2.803522,154.496,3522.032,3676.528,0
