========================================
Signal Sender Workload (Synchronized)
========================================
Initializing shared memory...
Waiting for speedometer to register...
Found speedometer in shared memory!
Sending START command to speedometer: START: 15;5;20

Running workload signal period for 15 seconds...

Workload signal period completed.
Sending STOP command to speedometer...
Waiting for statistics from speedometer...

Stress workload terminated.
===VMSTAT_START===
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0      0 121208   4044  33188    0    0    15     7  252  140 91  8  2  0  0
 4  0      0 121088   4044  33192    0    0     0     0  510  257 100  0  0  0  0
 4  0      0 121088   4044  33192    0    0     0     0  506  263 100  0  0  0  0
 4  0      0 121088   4044  33192    0    0     0     0  505  262 100  0  0  0  0
 4  0      0 121088   4044  33192    0    0     0     0  503  259 100  0  0  0  0
 4  0      0 121088   4052  33192    0    0     0   124  512  247 99  1  0  0  0
 4  0      0 121088   4052  33192    0    0     0     0  507  262 100  0  0  0  0
 4  0      0 121088   4052  33192    0    0     0     0  508  264 100  0  0  0  0
 4  0      0 121088   4052  33192    0    0     0     0  504  261 100  0  0  0  0
 4  0      0 121088   4052  33192    0    0     0     0  507  259 100  0  0  0  0
 4  0      0 121088   4052  33192    0    0     0     0  506  261 100  0  0  0  0
 4  0      0 121088   4052  33192    0    0     0     0  508  266 100  0  0  0  0
 4  0      0 121088   4052  33192    0    0     0     0  504  261 100  0  0  0  0
 4  0      0 121088   4052  33192    0    0     0     0  508  263 100  0  0  0  0
 4  0      0 121088   4052  33192    0    0     0     0  507  263 100  0  0  0  0
 4  0      0 121088   4052  33192    0    0     0     0  529  278 97  3  0  0  0
 4  0      0 121088   4052  33192    0    0     0     0  535  262 91  9  0  0  0
===VMSTAT_END===
========== SPEEDOMETER RT APPLICATION RESULTS ==========
Test Configuration:
Period: 50.000 ms
Deadline: 5.000 ms
RT Priority: 99 (SCHED_FIFO)
Execution Statistics:
Total cycles: 300
Deadline misses: 0 (0.000%)
Execution Time (μs):
Mean: 247.448
Min: 136.256
Max: 1273.840
50th percentile: 171.680
95th percentile: 1076.272
99th percentile: 1236.176
99.9th percentile: 1273.840
Jitter (μs):
Mean: 2420.199
Min: 1063.072
Max: 4465.680
Response Time (μs):
Mean: 2667.646
Min: 1199.824
Max: 4664.800
50th percentile: 2485.680
95th percentile: 4169.136
99th percentile: 4329.984
99.9th percentile: 4664.800
========================================================
===VMSTAT_START===
(no vmstat data captured)
===VMSTAT_END===
===CSV_START===
cycle,timestamp_s,execution_time_us,jitter_us,response_time_us,deadline_miss
1,0.053190,151.664,3190.272,3341.936,0
2,0.101739,161.264,1739.072,1900.336,0
3,0.153021,164.800,3020.720,3185.520,0
4,0.201882,161.872,1881.856,2043.728,0
5,0.252125,216.432,2125.216,2341.648,0
6,0.301802,174.704,1801.952,1976.656,0
7,0.352296,137.632,2295.968,2433.600,0
8,0.401783,138.304,1783.344,1921.648,0
9,0.452380,159.376,2380.128,2539.504,0
10,0.502814,184.960,2814.304,2999.264,0
11,0.552015,154.560,2014.672,2169.232,0
12,0.602781,178.016,2781.232,2959.248,0
13,0.653134,181.696,3133.520,3315.216,0
14,0.702730,186.512,2729.520,2916.032,0
15,0.753139,225.632,3139.136,3364.768,0
16,0.801206,1044.496,1206.480,2250.976,0
17,0.853011,166.576,3010.512,3177.088,0
18,0.901778,141.904,1778.224,1920.128,0
19,0.952141,196.224,2140.688,2336.912,0
20,1.001801,162.016,1800.624,1962.640,0
21,1.053067,184.480,3066.912,3251.392,0
22,1.102784,172.176,2784.208,2956.384,0
23,1.152052,184.288,2051.792,2236.080,0
24,1.202737,201.392,2736.576,2937.968,0
25,1.252210,195.952,2209.584,2405.536,0
26,1.301806,175.472,1806.400,1981.872,0
27,1.352177,195.264,2177.440,2372.704,0
28,1.401843,161.280,1843.344,2004.624,0
29,1.453050,137.216,3049.680,3186.896,0
30,1.502798,168.240,2798.160,2966.400,0
31,1.551811,157.744,1810.880,1968.624,0
32,1.602807,171.728,2806.608,2978.336,0
33,1.652172,176.400,2172.480,2348.880,0
34,1.702936,189.024,2935.648,3124.672,0
35,1.752026,145.440,2026.384,2171.824,0
36,1.801950,179.408,1950.032,2129.440,0
37,1.853108,251.392,3107.824,3359.216,0
38,1.902820,141.744,2819.504,2961.248,0
39,1.952989,1273.840,2988.752,4262.592,0
40,2.001766,175.136,1765.552,1940.688,0
41,2.052066,139.376,2065.568,2204.944,0
42,2.101807,179.120,1807.120,1986.240,0
43,2.153133,206.480,3133.392,3339.872,0
44,2.202736,158.352,2736.480,2894.832,0
45,2.253057,137.520,3057.168,3194.688,0
46,2.301725,226.256,1724.624,1950.880,0
47,2.352139,217.296,2139.264,2356.560,0
48,2.402801,186.592,2800.816,2987.408,0
49,2.453065,140.176,3064.592,3204.768,0
50,2.503138,211.504,3137.952,3349.456,0
51,2.552045,179.376,2044.816,2224.192,0
52,2.601727,309.056,1727.376,2036.432,0
53,2.651891,184.912,1890.896,2075.808,0
54,2.702732,186.640,2731.584,2918.224,0
55,2.751897,181.248,1897.168,2078.416,0
56,2.802783,176.272,2783.488,2959.760,0
