========================================
Signal Sender Workload (Synchronized)
========================================
Initializing shared memory...
Waiting for speedometer to register...
Found speedometer in shared memory!
Sending START command to speedometer: START: 15;5;20

Running workload signal period for 15 seconds...

Workload signal period completed.
Sending STOP command to speedometer...
Waiting for statistics from speedometer...

Stress workload terminated.
===VMSTAT_START===
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0      0 121284   4136  33196    0    0    12     7  253  140 91  7  1  0  0
 4  0      0 121308   4136  33192    0    0     0     0  505  260 100  0  0  0  0
 4  0      0 121308   4136  33192    0    0     0     0  508  266 100  0  0  0  0
 4  0      0 121308   4136  33192    0    0     0     0  507  264 100  0  0  0  0
 4  0      0 121308   4136  33192    0    0     0   124  512  272 99  1  0  0  0
 4  0      0 121308   4136  33192    0    0     0     0  502  255 100  0  0  0  0
 4  0      0 121308   4136  33192    0    0     0     0  506  262 100  0  0  0  0
 4  0      0 121308   4136  33192    0    0     0     0  507  263 100  0  0  0  0
 4  0      0 121308   4136  33192    0    0     0     0  504  264 100  0  0  0  0
 4  0      0 121308   4136  33192    0    0     0     0  506  259 100  0  0  0  0
 4  0      0 121308   4136  33192    0    0     0     0  508  263 100  0  0  0  0
 4  0      0 121308   4136  33192    0    0     0     0  504  262 100  0  0  0  0
 4  0      0 121308   4136  33192    0    0     0     0  507  262 100  0  0  0  0
 4  0      0 121308   4136  33192    0    0     0     0  506  263 100  0  0  0  0
 4  0      0 121308   4136  33192    0    0     0     0  504  260 100  0  0  0  0
 5  0      0 121308   4136  33192    0    0     0     0  516  270 99  1  0  0  0
 4  0      0 121308   4136  33192    0    0     0     0  528  279 97  3  0  0  0
===VMSTAT_END===
========== SPEEDOMETER RT APPLICATION RESULTS ==========
Test Configuration:
Period: 50.000 ms
Deadline: 5.000 ms
RT Priority: 99 (SCHED_FIFO)
Execution Statistics:
Total cycles: 300
Deadline misses: 0 (0.000%)
Execution Time (μs):
Mean: 263.010
Min: 130.208
Max: 1610.864
50th percentile: 186.960
95th percentile: 1062.512
99th percentile: 1231.888
99.9th percentile: 1610.864
Jitter (μs):
Mean: 2026.352
Min: 995.120
Max: 3629.536
Response Time (μs):
Mean: 2289.362
Min: 1195.728
Max: 3841.072
50th percentile: 2225.056
95th percentile: 3411.184
99th percentile: 3819.008
99.9th percentile: 3841.072
========================================================
===VMSTAT_START===
(no vmstat data captured)
===VMSTAT_END===
===CSV_START===
cycle,timestamp_s,execution_time_us,jitter_us,response_time_us,deadline_miss
1,0.051803,138.320,1802.848,1941.168,0
2,0.102837,184.048,2836.688,3020.736,0
3,0.152067,210.256,2066.992,2277.248,0
4,0.201364,181.968,1363.984,1545.952,0
5,0.251961,210.208,1960.592,2170.800,0
6,0.301298,145.136,1298.144,1443.280,0
7,0.352112,197.232,2112.032,2309.264,0
8,0.401975,130.528,1974.800,2105.328,0
9,0.452144,211.040,2144.288,2355.328,0
10,0.502006,130.400,2006.000,2136.400,0
11,0.552020,236.048,2020.112,2256.160,0
12,0.601700,318.992,1699.984,2018.976,0
13,0.652146,257.344,2146.112,2403.456,0
14,0.702097,136.752,2096.512,2233.264,0
15,0.751130,176.112,1129.760,1305.872,0
16,0.803291,157.056,3290.640,3447.696,0
17,0.852229,253.328,2229.072,2482.400,0
18,0.902001,131.456,2001.040,2132.496,0
19,0.952262,231.088,2262.400,2493.488,0
20,1.002072,182.480,2072.032,2254.512,0
21,1.052027,212.224,2027.248,2239.472,0
22,1.101351,130.704,1350.736,1481.440,0
23,1.152015,235.856,2014.928,2250.784,0
24,1.201363,1038.800,1363.152,2401.952,0
25,1.252127,238.256,2127.136,2365.392,0
26,1.301994,131.568,1994.192,2125.760,0
27,1.352091,175.856,2090.688,2266.544,0
28,1.402942,135.264,2942.352,3077.616,0
29,1.451905,293.728,1905.312,2199.040,0
30,1.502859,182.064,2859.280,3041.344,0
31,1.552084,199.824,2083.584,2283.408,0
32,1.602858,150.720,2858.288,3009.008,0
33,1.652171,213.968,2171.008,2384.976,0
34,1.701959,131.744,1958.656,2090.400,0
35,1.752019,254.336,2018.560,2272.896,0
36,1.803630,189.472,3629.536,3819.008,0
37,1.852110,148.992,2109.696,2258.688,0
38,1.901288,148.800,1288.128,1436.928,0
39,1.952070,200.512,2070.032,2270.544,0
40,2.003081,169.856,3081.376,3251.232,0
41,2.053136,132.464,3135.776,3268.240,0
42,2.102822,172.736,2822.384,2995.120,0
43,2.151918,249.696,1917.568,2167.264,0
44,2.203374,180.320,3374.096,3554.416,0
45,2.251988,186.784,1988.400,2175.184,0
46,2.301967,132.176,1966.960,2099.136,0
47,2.352105,162.944,2105.040,2267.984,0
48,2.401986,131.568,1985.664,2117.232,0
49,2.452103,202.992,2103.328,2306.320,0
50,2.502063,185.184,2062.864,2248.048,0
51,2.552255,206.928,2255.296,2462.224,0
52,2.602764,163.552,2763.632,2927.184,0
53,2.652460,248.496,2459.728,2708.224,0
54,2.701993,211.696,1992.640,2204.336,0
55,2.752087,221.360,2087.152,2308.512,0
56,2.803146,174.304,3146.096,3320.400,0
