========================================
Signal Sender Workload (Synchronized)
========================================
Initializing shared memory...
Waiting for speedometer to register...
Found speedometer in shared memory!
Sending START command to speedometer: START: 15;5;20

Running workload signal period for 15 seconds...

Workload signal period completed.
Sending STOP command to speedometer...
Waiting for statistics from speedometer...

Stress workload terminated.
===VMSTAT_START===
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 8  0      0 121016   3756  33212    0    0    30     8  254  232 88 10  2  0  0
 9  0      0 120896   3756  33212    0    0     0     0  508  490 99  1  0  0  0
 8  0      0 120896   3756  33212    0    0     0     0  503  511 100  0  0  0  0
 8  0      0 120896   3756  33212    0    0     0     0  506  511 100  0  0  0  0
 8  0      0 120896   3764  33204    0    0     0   124  511  492 99  1  0  0  0
 8  0      0 120896   3764  33212    0    0     0     0  506  513 100  0  0  0  0
 8  0      0 120896   3764  33212    0    0     0     0  507  514 100  0  0  0  0
 9  0      0 120896   3764  33212    0    0     0     0  502  507 100  0  0  0  0
 8  0      0 120896   3764  33212    0    0     0     0  507  509 100  0  0  0  0
 9  0      0 120896   3764  33212    0    0     0     0  511  513 100  0  0  0  0
 9  0      0 120896   3764  33212    0    0     0     0  504  502 100  0  0  0  0
 8  0      0 120896   3764  33212    0    0     0     0  505  509 100  0  0  0  0
 8  0      0 120896   3764  33212    0    0     0     0  508  511 100  0  0  0  0
 8  0      0 120896   3764  33212    0    0     0     0  506  511 100  0  0  0  0
 8  0      0 120896   3764  33212    0    0     0     0  509  515 100  0  0  0  0
 8  0      0 120896   3764  33212    0    0     0     0  533  519 96  4  0  0  0
 8  0      0 120896   3764  33212    0    0     0     0  546  454 86 14  0  0  0
===VMSTAT_END===
========== SPEEDOMETER RT APPLICATION RESULTS ==========
Test Configuration:
Period: 50.000 ms
Deadline: 5.000 ms
RT Priority: 99 (SCHED_FIFO)
Execution Statistics:
Total cycles: 300
Deadline misses: 0 (0.000%)
Execution Time (μs):
Mean: 341.738
Min: 153.872
Max: 1666.896
50th percentile: 185.024
95th percentile: 1309.760
99th percentile: 1525.952
99.9th percentile: 1666.896
Jitter (μs):
Mean: 2346.460
Min: 1291.232
Max: 3048.560
Response Time (μs):
Mean: 2688.197
Min: 1462.880
Max: 4330.544
50th percentile: 2608.752
95th percentile: 4100.016
99th percentile: 4308.288
99.9th percentile: 4330.544
========================================================
===VMSTAT_START===
(no vmstat data captured)
===VMSTAT_END===
===CSV_START===
cycle,timestamp_s,execution_time_us,jitter_us,response_time_us,deadline_miss
1,0.052644,182.960,2644.240,2827.200,0
2,0.102138,197.616,2137.584,2335.200,0
3,0.151582,329.136,1581.552,1910.688,0
4,0.202289,186.160,2289.200,2475.360,0
5,0.252682,163.200,2681.504,2844.704,0
6,0.302304,157.008,2303.680,2460.688,0
7,0.351523,250.224,1522.608,1772.832,0
8,0.402429,158.784,2429.360,2588.144,0
9,0.452724,1146.064,2723.824,3869.888,0
10,0.502462,175.184,2462.320,2637.504,0
11,0.552574,184.128,2573.552,2757.680,0
12,0.601504,198.704,1504.304,1703.008,0
13,0.652972,254.320,2971.664,3225.984,0
14,0.701433,194.032,1433.248,1627.280,0
15,0.752677,157.984,2677.184,2835.168,0
16,0.802334,176.000,2333.712,2509.712,0
17,0.851442,269.520,1441.520,1711.040,0
18,0.902416,181.632,2415.952,2597.584,0
19,0.952667,156.672,2667.104,2823.776,0
20,1.002346,161.376,2345.520,2506.896,0
21,1.051594,246.336,1593.712,1840.048,0
22,1.102375,171.168,2375.168,2546.336,0
23,1.151413,319.584,1412.624,1732.208,0
24,1.202419,172.416,2418.832,2591.248,0
25,1.252670,155.280,2669.808,2825.088,0
26,1.301553,184.160,1553.328,1737.488,0
27,1.352677,158.400,2677.200,2835.600,0
28,1.402494,215.360,2493.712,2709.072,0
29,1.452856,1180.848,2855.792,4036.640,0
30,1.502597,182.240,2597.312,2779.552,0
31,1.552675,1146.176,2674.832,3821.008,0
32,1.602410,157.664,2409.648,2567.312,0
33,1.652646,183.872,2645.664,2829.536,0
34,1.702329,190.384,2329.344,2519.728,0
35,1.751484,289.664,1484.192,1773.856,0
36,1.802394,198.624,2393.760,2592.384,0
37,1.852667,158.928,2667.008,2825.936,0
38,1.902359,215.744,2358.608,2574.352,0
39,1.952720,1268.592,2719.632,3988.224,0
40,2.002449,160.192,2449.472,2609.664,0
41,2.052497,162.784,2497.136,2659.920,0
42,2.101579,190.032,1578.960,1768.992,0
43,2.152796,1525.952,2796.352,4322.304,0
44,2.201894,263.232,1893.888,2157.120,0
45,2.252883,337.856,2883.264,3221.120,0
46,2.302419,169.680,2419.216,2588.896,0
47,2.352592,188.848,2591.840,2780.688,0
48,2.402480,156.304,2479.840,2636.144,0
49,2.452793,1498.096,2793.152,4291.248,0
50,2.501452,195.104,1451.504,1646.608,0
51,2.551494,230.432,1493.536,1723.968,0
52,2.602283,198.368,2283.344,2481.712,0
53,2.651334,181.904,1334.368,1516.272,0
54,2.702244,185.664,2243.648,2429.312,0
55,2.751529,235.120,1529.200,1764.320,0
56,2.801630,182.496,1629.664,1812.160,0
